S_S2_Ea_076_v1v9_1	1.6.5.3
S_S2_Ea_076_v1v9_73	3.1.3.48
S_S2_Ea_076_v1v9_74	2.7.7.6
S_S2_Ea_076_v1v9_75	2.7.7.6
S_S2_Ea_076_v1v9_76	2.7.7.6
S_S2_Ea_076_v1v9_77	2.7.7.6
S_S2_Ea_076_v1v9_78	2.3.3.13
S_S2_Ea_076_v1v9_79	2.1.1.191
S_S2_Ea_076_v1v9_80	4.2.1.20
S_S2_Ea_076_v1v9_81	4.2.1.20
S_S2_Ea_076_v1v9_82	6.3.5.6
S_S2_Ea_076_v1v9_83	6.3.5.6
S_S2_Ea_076_v1v9_84	6.3.5.6
S_S2_Ea_076_v1v9_85	6.3.5.7
S_S2_Ea_076_v1v9_86	6.3.5.7
S_S2_Ea_076_v1v9_87	6.3.5.7
S_S2_Ea_076_v1v9_88	2.7.1.11
S_S2_Ea_076_v1v9_89	3.2.2.27
S_S2_Ea_076_v1v9_90	3.2.2.27
S_S2_Ea_076_v1v9_91	2.1.1.176
S_S2_Ea_076_v1v9_92	3.6.3.14
S_S2_Ea_076_v1v9_93	3.6.3.14
S_S2_Ea_076_v1v9_94	3.6.3.14
S_S2_Ea_076_v1v9_95	3.6.1.66
S_S2_Ea_076_v1v9_96	1.17.99.6
S_S2_Ea_076_v1v9_97	1.17.99.6
S_S2_Ea_076_v1v9_98	1.5.1.20
S_S2_Ea_076_v1v9_99	6.3.5.3
S_S2_Ea_076_v1v9_100	6.3.5.3
S_S2_Ea_076_v1v9_101	6.3.5.3
S_S2_Ea_076_v1v9_102	3.1.26.4
S_S2_Ea_076_v1v9_103	3.1.26.4
S_S2_Ea_076_v1v9_104	3.1.26.4
S_S2_Ea_076_v1v9_105	3.1.3.16
S_S2_Ea_076_v1v9_106	3.1.3.16
S_S2_Ea_076_v1v9_107	2.7.8.12
S_S2_Ea_076_v1v9_108	2.3.1.15
S_S2_Ea_076_v1v9_109	2.3.1.15
S_S2_Ea_076_v1v9_110	2.5.1.3
S_S2_Ea_076_v1v9_111	2.3.1.79
S_S2_Ea_076_v1v9_112	2.3.1.79
S_S2_Ea_076_v1v9_113	2.3.1.79
S_S2_Ea_076_v1v9_114	6.1.1.20
S_S2_Ea_076_v1v9_115	6.1.1.20
S_S2_Ea_076_v1v9_116	3.6.3.34
S_S2_Ea_076_v1v9_117	3.6.3.34
S_S2_Ea_076_v1v9_118	3.6.3.34
S_S2_Ea_076_v1v9_119	6.3.2.4
S_S2_Ea_076_v1v9_120	5.99.1.3
S_S2_Ea_076_v1v9_121	5.99.1.3
S_S2_Ea_076_v1v9_122	4.2.1.33
S_S2_Ea_076_v1v9_123	4.2.1.33
S_S2_Ea_076_v1v9_124	4.4.1.8
S_S2_Ea_076_v1v9_125	4.4.1.8
S_S2_Ea_076_v1v9_126	4.4.1.8
S_S2_Ea_076_v1v9_127	4.4.1.8
S_S2_Ea_076_v1v9_128	4.4.1.8
S_S2_Ea_076_v1v9_129	4.4.1.8
S_S2_Ea_076_v1v9_130	4.4.1.8
S_S2_Ea_076_v1v9_131	2.7.1.180
S_S2_Ea_076_v1v9_132	2.5.1.49
S_S2_Ea_076_v1v9_133	2.5.1.47
S_S2_Ea_076_v1v9_134	2.5.1.47
S_S2_Ea_076_v1v9_135	2.5.1.47
S_S2_Ea_076_v1v9_136	2.7.1.49
S_S2_Ea_076_v1v9_137	2.7.1.49
S_S2_Ea_076_v1v9_138	2.7.4.7
S_S2_Ea_076_v1v9_139	2.7.4.7
S_S2_Ea_076_v1v9_140	6.3.1.2
S_S2_Ea_076_v1v9_141	2.4.2.7
S_S2_Ea_076_v1v9_142	2.7.4.3
S_S2_Ea_076_v1v9_143	3.4.21.89
S_S2_Ea_076_v1v9_144	3.4.21.89
S_S2_Ea_076_v1v9_145	3.4.21.89
S_S2_Ea_076_v1v9_146	3.4.21.89
S_S2_Ea_076_v1v9_147	3.4.21.89
S_S2_Ea_076_v1v9_148	2.8.1.7
S_S2_Ea_076_v1v9_149	2.8.1.7
S_S2_Ea_076_v1v9_150	2.8.1.7
S_S2_Ea_076_v1v9_151	3.6.3.27
S_S2_Ea_076_v1v9_152	3.6.3.27
S_S2_Ea_076_v1v9_153	2.3.1.1
S_S2_Ea_076_v1v9_154	5.4.99.23
S_S2_Ea_076_v1v9_155	5.4.99.23
S_S2_Ea_076_v1v9_156	5.4.99.23
S_S2_Ea_076_v1v9_157	5.1.3.2
S_S2_Ea_076_v1v9_158	5.1.3.2
S_S2_Ea_076_v1v9_159	4.2.1.11
S_S2_Ea_076_v1v9_160	1.1.98.6
S_S2_Ea_076_v1v9_161	3.6.3.54
S_S2_Ea_076_v1v9_162	1.2.4.1
S_S2_Ea_076_v1v9_163	1.2.4.1
S_S2_Ea_076_v1v9_164	1.2.4.1
S_S2_Ea_076_v1v9_165	1.8.4.12
S_S2_Ea_076_v1v9_166	1.8.4.12
S_S2_Ea_076_v1v9_167	1.8.4.12
S_S2_Ea_076_v1v9_168	1.8.4.11
S_S2_Ea_076_v1v9_169	1.8.4.11
S_S2_Ea_076_v1v9_170	1.8.4.11
S_S2_Ea_076_v1v9_171	3.5.2.3
S_S2_Ea_076_v1v9_172	3.5.2.3
S_S2_Ea_076_v1v9_173	3.6.1.55
S_S2_Ea_076_v1v9_174	3.6.1.55
S_S2_Ea_076_v1v9_175	2.7.1.2
S_S2_Ea_076_v1v9_176	4.2.3.4
S_S2_Ea_076_v1v9_177	4.2.1.35
S_S2_Ea_076_v1v9_178	4.2.1.35
S_S2_Ea_076_v1v9_179	3.5.1.88
S_S2_Ea_076_v1v9_180	3.5.1.88
S_S2_Ea_076_v1v9_181	1.97.1.4
S_S2_Ea_076_v1v9_182	1.97.1.4
S_S2_Ea_076_v1v9_183	1.97.1.4
S_S2_Ea_076_v1v9_184	1.97.1.4
S_S2_Ea_076_v1v9_185	1.97.1.4
S_S2_Ea_076_v1v9_186	3.2.1.20
S_S2_Ea_076_v1v9_187	3.2.1.20
S_S2_Ea_076_v1v9_188	3.2.1.20
S_S2_Ea_076_v1v9_189	5.4.99.22
S_S2_Ea_076_v1v9_190	2.2.1.6
S_S2_Ea_076_v1v9_191	2.2.1.6
S_S2_Ea_076_v1v9_192	2.2.1.6
S_S2_Ea_076_v1v9_193	4.1.1.48
S_S2_Ea_076_v1v9_194	5.1.1.1
S_S2_Ea_076_v1v9_195	3.1.11.6
S_S2_Ea_076_v1v9_196	3.1.11.6
S_S2_Ea_076_v1v9_197	1.10.3.14
S_S2_Ea_076_v1v9_198	1.10.3.14
S_S2_Ea_076_v1v9_199	3.2.1.1
S_S2_Ea_076_v1v9_200	3.2.1.1
S_S2_Ea_076_v1v9_201	2.1.1.63
S_S2_Ea_076_v1v9_202	2.1.1.63
S_S2_Ea_076_v1v9_203	2.2.1.9
S_S2_Ea_076_v1v9_204	6.1.1.10
S_S2_Ea_076_v1v9_205	4.1.1.44
S_S2_Ea_076_v1v9_206	4.1.1.44
S_S2_Ea_076_v1v9_207	1.1.1.133
S_S2_Ea_076_v1v9_208	1.1.1.133
S_S2_Ea_076_v1v9_209	1.1.1.133
S_S2_Ea_076_v1v9_210	3.5.99.6
S_S2_Ea_076_v1v9_211	2.1.1.227
S_S2_Ea_076_v1v9_212	2.1.1.226
S_S2_Ea_076_v1v9_213	3.2.2.10
S_S2_Ea_076_v1v9_214	3.2.2.10
S_S2_Ea_076_v1v9_215	3.2.2.10
S_S2_Ea_076_v1v9_216	2.4.2.10
S_S2_Ea_076_v1v9_217	3.6.1.27
S_S2_Ea_076_v1v9_218	3.6.1.27
S_S2_Ea_076_v1v9_219	3.6.1.27
S_S2_Ea_076_v1v9_220	4.1.1.23
S_S2_Ea_076_v1v9_221	6.1.1.12
S_S2_Ea_076_v1v9_222	3.1.1.1
S_S2_Ea_076_v1v9_223	1.8.1.9
S_S2_Ea_076_v1v9_224	1.8.1.9
S_S2_Ea_076_v1v9_225	1.8.1.9
S_S2_Ea_076_v1v9_226	4.3.1.17
S_S2_Ea_076_v1v9_227	4.3.1.17
S_S2_Ea_076_v1v9_228	1.2.1.11
S_S2_Ea_076_v1v9_229	2.5.1.29
S_S2_Ea_076_v1v9_230	2.5.1.10
S_S2_Ea_076_v1v9_231	2.5.1.1
S_S2_Ea_076_v1v9_232	3.1.26.5
S_S2_Ea_076_v1v9_233	4.2.1.136
S_S2_Ea_076_v1v9_234	1.4.1.14
S_S2_Ea_076_v1v9_235	1.4.1.14
S_S2_Ea_076_v1v9_236	1.4.1.14
S_S2_Ea_076_v1v9_237	1.4.1.13
S_S2_Ea_076_v1v9_238	1.4.1.13
S_S2_Ea_076_v1v9_239	1.4.1.13
S_S2_Ea_076_v1v9_240	5.3.1.8
S_S2_Ea_076_v1v9_241	5.3.1.8
S_S2_Ea_076_v1v9_242	3.1.3.25
S_S2_Ea_076_v1v9_243	2.1.1.177
S_S2_Ea_076_v1v9_244	5.1.99.6
S_S2_Ea_076_v1v9_245	2.3.1.39
S_S2_Ea_076_v1v9_246	1.11.1.15
S_S2_Ea_076_v1v9_247	3.4.23.36
S_S2_Ea_076_v1v9_248	6.1.1.5
S_S2_Ea_076_v1v9_249	2.7.1.33
S_S2_Ea_076_v1v9_250	2.1.2.9
S_S2_Ea_076_v1v9_251	2.7.1.6
S_S2_Ea_076_v1v9_252	3.1.11.2
S_S2_Ea_076_v1v9_253	3.5.1.25
S_S2_Ea_076_v1v9_254	3.5.1.124
S_S2_Ea_076_v1v9_255	3.5.1.124
S_S2_Ea_076_v1v9_256	6.3.1.20
S_S2_Ea_076_v1v9_257	3.4.11.18
S_S2_Ea_076_v1v9_258	3.4.11.18
S_S2_Ea_076_v1v9_259	2.7.1.23
S_S2_Ea_076_v1v9_260	3.1.3.5
S_S2_Ea_076_v1v9_261	3.1.3.5
S_S2_Ea_076_v1v9_262	3.1.3.5
S_S2_Ea_076_v1v9_263	6.3.2.17
S_S2_Ea_076_v1v9_264	6.3.2.12
S_S2_Ea_076_v1v9_265	1.4.1.4
S_S2_Ea_076_v1v9_266	2.7.1.202
S_S2_Ea_076_v1v9_267	2.7.1.202
S_S2_Ea_076_v1v9_268	2.7.1.202
S_S2_Ea_076_v1v9_269	2.7.1.202
S_S2_Ea_076_v1v9_270	2.7.1.202
S_S2_Ea_076_v1v9_271	2.7.1.202
S_S2_Ea_076_v1v9_272	2.7.1.202
S_S2_Ea_076_v1v9_273	2.7.1.202
S_S2_Ea_076_v1v9_274	2.7.1.202
S_S2_Ea_076_v1v9_275	2.7.1.202
S_S2_Ea_076_v1v9_276	2.7.1.202
S_S2_Ea_076_v1v9_277	2.7.1.202
S_S2_Ea_076_v1v9_278	2.7.1.202
S_S2_Ea_076_v1v9_279	2.7.1.202
S_S2_Ea_076_v1v9_280	2.7.1.202
S_S2_Ea_076_v1v9_281	2.7.1.202
S_S2_Ea_076_v1v9_282	2.7.1.202
S_S2_Ea_076_v1v9_283	2.3.1.54
S_S2_Ea_076_v1v9_284	2.3.1.54
S_S2_Ea_076_v1v9_285	2.3.1.54
S_S2_Ea_076_v1v9_286	2.3.1.54
S_S2_Ea_076_v1v9_287	2.3.1.54
S_S2_Ea_076_v1v9_288	2.3.1.54
S_S2_Ea_076_v1v9_289	2.1.1.45
S_S2_Ea_076_v1v9_290	5.3.1.24
S_S2_Ea_076_v1v9_291	5.3.1.24
S_S2_Ea_076_v1v9_292	4.4.1.16
S_S2_Ea_076_v1v9_293	2.1.3.15
S_S2_Ea_076_v1v9_294	2.1.3.15
S_S2_Ea_076_v1v9_295	5.1.3.3
S_S2_Ea_076_v1v9_296	5.1.3.3
S_S2_Ea_076_v1v9_297	2.7.4.22
S_S2_Ea_076_v1v9_298	1.2.1.12
S_S2_Ea_076_v1v9_299	1.2.1.12
S_S2_Ea_076_v1v9_300	2.3.1.179
S_S2_Ea_076_v1v9_301	6.1.1.2
S_S2_Ea_076_v1v9_302	2.7.1.4
S_S2_Ea_076_v1v9_303	2.7.1.4
S_S2_Ea_076_v1v9_304	2.7.1.4
S_S2_Ea_076_v1v9_305	2.3.1.29
S_S2_Ea_076_v1v9_306	2.1.1.228
S_S2_Ea_076_v1v9_307	1.20.4.1
S_S2_Ea_076_v1v9_308	1.20.4.1
S_S2_Ea_076_v1v9_309	2.4.1.1
S_S2_Ea_076_v1v9_310	3.6.3.8
S_S2_Ea_076_v1v9_311	3.6.3.8
S_S2_Ea_076_v1v9_312	3.6.3.8
S_S2_Ea_076_v1v9_313	3.6.3.8
S_S2_Ea_076_v1v9_314	1.2.3.3
S_S2_Ea_076_v1v9_315	2.4.2.18
S_S2_Ea_076_v1v9_316	4.2.1.46
S_S2_Ea_076_v1v9_317	2.7.7.24
S_S2_Ea_076_v1v9_318	6.3.4.15
S_S2_Ea_076_v1v9_319	6.1.1.21
S_S2_Ea_076_v1v9_320	1.1.1.85
S_S2_Ea_076_v1v9_321	2.7.2.3
S_S2_Ea_076_v1v9_322	6.3.4.4
S_S2_Ea_076_v1v9_323	2.1.2.2
S_S2_Ea_076_v1v9_324	3.5.1.42
S_S2_Ea_076_v1v9_325	2.7.1.40
S_S2_Ea_076_v1v9_326	3.1.1.29
S_S2_Ea_076_v1v9_327	6.1.1.7
S_S2_Ea_076_v1v9_328	2.1.1.182
S_S2_Ea_076_v1v9_329	6.3.3.1
S_S2_Ea_076_v1v9_330	2.4.2.14
S_S2_Ea_076_v1v9_331	4.1.1.36
S_S2_Ea_076_v1v9_332	6.3.2.5
S_S2_Ea_076_v1v9_333	6.3.2.5
S_S2_Ea_076_v1v9_334	3.1.3.100
S_S2_Ea_076_v1v9_335	3.1.3.100
S_S2_Ea_076_v1v9_336	3.1.3.15
S_S2_Ea_076_v1v9_337	2.7.4.8
S_S2_Ea_076_v1v9_338	2.7.4.8
S_S2_Ea_076_v1v9_339	2.3.1.180
S_S2_Ea_076_v1v9_340	2.7.7.3
S_S2_Ea_076_v1v9_341	2.7.7.9
S_S2_Ea_076_v1v9_342	2.7.7.39
S_S2_Ea_076_v1v9_343	2.5.1.74
S_S2_Ea_076_v1v9_344	2.5.1.74
S_S2_Ea_076_v1v9_345	2.5.1.74
S_S2_Ea_076_v1v9_346	2.5.1.74
S_S2_Ea_076_v1v9_347	3.6.5.4
S_S2_Ea_076_v1v9_348	6.1.1.11
S_S2_Ea_076_v1v9_349	4.2.1.2
S_S2_Ea_076_v1v9_350	4.3.3.7
S_S2_Ea_076_v1v9_351	4.3.3.7
S_S2_Ea_076_v1v9_352	4.3.3.7
S_S2_Ea_076_v1v9_353	1.17.1.8
S_S2_Ea_076_v1v9_354	2.1.2.11
S_S2_Ea_076_v1v9_355	6.1.1.3
S_S2_Ea_076_v1v9_356	6.1.1.3
S_S2_Ea_076_v1v9_357	2.4.1.129
S_S2_Ea_076_v1v9_358	2.4.1.129
S_S2_Ea_076_v1v9_359	2.4.1.129
S_S2_Ea_076_v1v9_360	1.1.1.94
S_S2_Ea_076_v1v9_361	6.1.1.6
S_S2_Ea_076_v1v9_362	6.3.5.2
S_S2_Ea_076_v1v9_363	2.6.1.42
S_S2_Ea_076_v1v9_364	4.1.2.13
S_S2_Ea_076_v1v9_365	4.1.2.13
S_S2_Ea_076_v1v9_366	4.1.2.13
S_S2_Ea_076_v1v9_367	4.1.2.13
S_S2_Ea_076_v1v9_368	4.1.2.13
S_S2_Ea_076_v1v9_369	4.1.2.13
S_S2_Ea_076_v1v9_370	4.1.2.13
S_S2_Ea_076_v1v9_371	4.1.2.13
S_S2_Ea_076_v1v9_372	4.1.1.20
S_S2_Ea_076_v1v9_373	2.4.99.17
S_S2_Ea_076_v1v9_374	1.1.1.95
S_S2_Ea_076_v1v9_375	1.1.1.95
S_S2_Ea_076_v1v9_376	1.1.1.95
S_S2_Ea_076_v1v9_377	1.1.1.399
S_S2_Ea_076_v1v9_378	1.1.1.399
S_S2_Ea_076_v1v9_379	1.1.1.399
S_S2_Ea_076_v1v9_380	6.1.1.22
S_S2_Ea_076_v1v9_381	1.1.1.205
S_S2_Ea_076_v1v9_382	4.2.1.10
S_S2_Ea_076_v1v9_383	4.2.1.10
S_S2_Ea_076_v1v9_384	4.2.1.10
S_S2_Ea_076_v1v9_385	1.2.7.1
S_S2_Ea_076_v1v9_386	1.2.7.1
S_S2_Ea_076_v1v9_387	2.5.1.54
S_S2_Ea_076_v1v9_388	2.7.7.2
S_S2_Ea_076_v1v9_389	2.7.1.26
S_S2_Ea_076_v1v9_390	5.4.99.25
S_S2_Ea_076_v1v9_391	3.1.3.7
S_S2_Ea_076_v1v9_392	3.1.13.3
S_S2_Ea_076_v1v9_393	6.3.4.19
S_S2_Ea_076_v1v9_394	6.3.4.19
S_S2_Ea_076_v1v9_395	2.3.1.8
S_S2_Ea_076_v1v9_396	4.2.1.19
S_S2_Ea_076_v1v9_397	2.7.6.1
S_S2_Ea_076_v1v9_398	2.7.6.1
S_S2_Ea_076_v1v9_399	3.5.4.26
S_S2_Ea_076_v1v9_400	1.1.1.193
S_S2_Ea_076_v1v9_401	4.3.1.12
S_S2_Ea_076_v1v9_402	4.1.1.81
S_S2_Ea_076_v1v9_403	2.6.1.9
S_S2_Ea_076_v1v9_404	2.4.1.18
S_S2_Ea_076_v1v9_405	2.1.3.3
S_S2_Ea_076_v1v9_406	2.7.3.9
S_S2_Ea_076_v1v9_407	6.3.3.2
S_S2_Ea_076_v1v9_408	6.1.1.14
S_S2_Ea_076_v1v9_409	6.1.1.14
S_S2_Ea_076_v1v9_410	5.4.99.19
S_S2_Ea_076_v1v9_411	5.4.99.19
S_S2_Ea_076_v1v9_412	3.6.3.21
S_S2_Ea_076_v1v9_413	3.6.3.21
S_S2_Ea_076_v1v9_414	3.6.3.21
S_S2_Ea_076_v1v9_415	3.6.3.21
S_S2_Ea_076_v1v9_416	3.6.3.21
S_S2_Ea_076_v1v9_417	3.6.3.21
S_S2_Ea_076_v1v9_418	3.6.3.21
S_S2_Ea_076_v1v9_419	1.2.1.38
S_S2_Ea_076_v1v9_420	2.3.1.35
S_S2_Ea_076_v1v9_421	5.3.1.16
S_S2_Ea_076_v1v9_422	2.1.1.193
S_S2_Ea_076_v1v9_423	1.5.1.3
S_S2_Ea_076_v1v9_424	2.7.1.50
S_S2_Ea_076_v1v9_425	2.7.1.71
S_S2_Ea_076_v1v9_426	2.3.1.51
S_S2_Ea_076_v1v9_427	3.1.26.3
S_S2_Ea_076_v1v9_428	2.1.1.198
S_S2_Ea_076_v1v9_429	3.5.4.19
S_S2_Ea_076_v1v9_430	1.1.1.23
S_S2_Ea_076_v1v9_431	2.7.7.87
S_S2_Ea_076_v1v9_432	2.4.2.29
S_S2_Ea_076_v1v9_433	2.1.1.33
S_S2_Ea_076_v1v9_434	6.1.1.9
S_S2_Ea_076_v1v9_435	1.3.1.12
S_S2_Ea_076_v1v9_436	3.5.4.12
S_S2_Ea_076_v1v9_437	2.7.4.25
S_S2_Ea_076_v1v9_438	4.3.1.19
S_S2_Ea_076_v1v9_439	4.3.1.19
S_S2_Ea_076_v1v9_440	4.3.1.19
S_S2_Ea_076_v1v9_441	1.4.1.16
S_S2_Ea_076_v1v9_442	6.3.5.10
S_S2_Ea_076_v1v9_443	2.7.8.26
S_S2_Ea_076_v1v9_444	5.3.1.13
S_S2_Ea_076_v1v9_445	6.3.1.10
S_S2_Ea_076_v1v9_446	2.3.1.30
S_S2_Ea_076_v1v9_447	1.2.1.41
S_S2_Ea_076_v1v9_448	2.7.2.11
S_S2_Ea_076_v1v9_449	2.7.2.11
S_S2_Ea_076_v1v9_450	2.2.1.1
S_S2_Ea_076_v1v9_451	2.2.1.1
S_S2_Ea_076_v1v9_452	2.2.1.1
S_S2_Ea_076_v1v9_453	2.2.1.1
S_S2_Ea_076_v1v9_454	2.2.1.1
S_S2_Ea_076_v1v9_455	2.2.1.1
S_S2_Ea_076_v1v9_456	2.2.1.1
S_S2_Ea_076_v1v9_457	6.3.2.6
S_S2_Ea_076_v1v9_458	6.3.2.6
S_S2_Ea_076_v1v9_459	4.2.99.18
S_S2_Ea_076_v1v9_460	4.2.99.18
S_S2_Ea_076_v1v9_461	6.3.4.5
S_S2_Ea_076_v1v9_462	1.8.1.4
S_S2_Ea_076_v1v9_463	1.8.1.4
S_S2_Ea_076_v1v9_464	5.3.1.1
S_S2_Ea_076_v1v9_465	5.3.1.1
S_S2_Ea_076_v1v9_466	5.3.1.1
S_S2_Ea_076_v1v9_467	5.3.1.1
S_S2_Ea_076_v1v9_468	4.1.1.15
S_S2_Ea_076_v1v9_469	4.1.1.15
S_S2_Ea_076_v1v9_470	4.1.1.15
S_S2_Ea_076_v1v9_471	4.3.2.2
S_S2_Ea_076_v1v9_472	1.1.1.25
S_S2_Ea_076_v1v9_473	1.1.1.25
S_S2_Ea_076_v1v9_474	1.17.4.1
S_S2_Ea_076_v1v9_475	1.17.4.1
S_S2_Ea_076_v1v9_476	2.7.2.4
S_S2_Ea_076_v1v9_477	1.1.1.3
S_S2_Ea_076_v1v9_478	2.1.1.13
S_S2_Ea_076_v1v9_479	3.4.11.4
S_S2_Ea_076_v1v9_480	3.4.11.4
S_S2_Ea_076_v1v9_481	1.1.1.42
S_S2_Ea_076_v1v9_482	2.7.7.8
S_S2_Ea_076_v1v9_483	2.4.2.8
S_S2_Ea_076_v1v9_484	2.4.2.8
S_S2_Ea_076_v1v9_485	2.3.1.183
S_S2_Ea_076_v1v9_486	2.3.1.183
S_S2_Ea_076_v1v9_487	2.7.4.9
S_S2_Ea_076_v1v9_488	4.2.1.59
S_S2_Ea_076_v1v9_489	4.2.1.59
S_S2_Ea_076_v1v9_490	1.1.1.1
S_S2_Ea_076_v1v9_491	1.1.1.1
S_S2_Ea_076_v1v9_492	1.1.1.1
S_S2_Ea_076_v1v9_493	1.1.1.1
S_S2_Ea_076_v1v9_494	1.1.1.1
S_S2_Ea_076_v1v9_495	1.1.1.1
S_S2_Ea_076_v1v9_496	1.1.1.1
S_S2_Ea_076_v1v9_497	4.2.3.5
S_S2_Ea_076_v1v9_498	2.5.1.7
S_S2_Ea_076_v1v9_499	2.5.1.7
S_S2_Ea_076_v1v9_500	2.7.9.1
S_S2_Ea_076_v1v9_501	5.3.1.9
S_S2_Ea_076_v1v9_502	1.5.1.2
S_S2_Ea_076_v1v9_503	5.4.99.12
S_S2_Ea_076_v1v9_504	5.4.99.12
S_S2_Ea_076_v1v9_505	2.7.7.18
S_S2_Ea_076_v1v9_506	2.7.7.56
S_S2_Ea_076_v1v9_507	6.3.2.1
S_S2_Ea_076_v1v9_508	1.1.1.169
S_S2_Ea_076_v1v9_509	6.3.4.3
S_S2_Ea_076_v1v9_510	6.3.4.13
S_S2_Ea_076_v1v9_511	4.1.99.12
S_S2_Ea_076_v1v9_512	3.5.4.25
S_S2_Ea_076_v1v9_513	2.5.1.78
S_S2_Ea_076_v1v9_514	2.1.1.192
S_S2_Ea_076_v1v9_515	3.2.2.20
S_S2_Ea_076_v1v9_516	3.2.2.20
S_S2_Ea_076_v1v9_517	2.3.1.57
S_S2_Ea_076_v1v9_518	2.3.1.57
S_S2_Ea_076_v1v9_519	2.1.1.190
S_S2_Ea_076_v1v9_520	2.1.1.190
S_S2_Ea_076_v1v9_521	2.5.1.9
S_S2_Ea_076_v1v9_522	6.1.1.15
S_S2_Ea_076_v1v9_523	2.1.1.297
S_S2_Ea_076_v1v9_524	5.1.1.7
S_S2_Ea_076_v1v9_525	4.3.2.1
S_S2_Ea_076_v1v9_526	3.1.21.2
S_S2_Ea_076_v1v9_527	6.1.1.16
S_S2_Ea_076_v1v9_528	3.4.21.102
S_S2_Ea_076_v1v9_529	2.6.1.17
S_S2_Ea_076_v1v9_530	2.6.1.11
S_S2_Ea_076_v1v9_531	2.7.7.41
S_S2_Ea_076_v1v9_532	2.3.1.12
S_S2_Ea_076_v1v9_533	2.3.1.12
S_S2_Ea_076_v1v9_534	2.1.1.107
S_S2_Ea_076_v1v9_535	2.1.1.107
S_S2_Ea_076_v1v9_536	2.7.8.5
S_S2_Ea_076_v1v9_537	2.7.8.5
