"kingdom_final"	"phylum_final"	"class_final"	"order_final"	"family_final"	"genus_final"	"species_final"
"ASVp1_45"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp1_49"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"citroniae"
"ASVp1_52"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp1_54"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp1_55"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp1_65"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"dorei"
"ASVp1_69"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"sp902362275/sp902472315"
"ASVp1_70"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"subtilis"
"ASVp1_72"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"ASVp1_75"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"hathewayi"
"ASVp1_83"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"sp005845215"
"ASVp1_88"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"alcoholdehydrogenati"
"ASVp1_93"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"epidermidis"
"ASVp1_95"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp1_100"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Pseudoflavonifractor_A"	"sp022772585"
"ASVp1_109"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales_B"	"DSM-18226"	"Cytobacillus"	"S5_Bg_092)"
"ASVp1_116"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"finegoldii"
"ASVp1_117"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
"ASVp1_118"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"fermentum"
"ASVp1_119"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp1_125"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales_B"	"DSM-18226"	"Cytobacillus"	"S5_Bg_092)"
"ASVp1_137"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"	"lenta"
"ASVp1_139"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"sp005845215"
"ASVp1_143"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Alitiscatomonas"	"sp900066535"
"ASVp3_1"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"muciniphila"
"ASVp3_3"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp3_4"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp3_5"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp3_6"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp3_7"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp3_8"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp3_11"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
"ASVp3_12"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	"plautii"
"ASVp3_13"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp3_15"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"dorei"
"ASVp3_18"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Otoolea"	"symbiosa"
"ASVp3_29"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"subtilis"
"ASVp3_30"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"	"lenta"
"ASVp3_32"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"porci"
"ASVp3_34"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"fermentum"
"ASVp3_35"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp3_36"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"perfringens"
"ASVp3_38"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Faecalibacterium"	"longum"
"ASVp3_44"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp3_45"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Alitiscatomonas"	"sp900066535"
"ASVp3_47"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"citroniae"
"ASVp3_48"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Mycobacteriaceae"	"Lawsonella"	"clevelandensis_A"
"ASVp3_50"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"sp005845215"
"ASVp3_51"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Agathobacter"	"faecis"
"ASVp3_54"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp3_59"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sutterella"	"wadsworthensis"
"ASVp3_61"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp3_66"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"sp001556435"
"ASVp3_67"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp3_77"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sutterella"	"wadsworthensis"
"ASVp3_81"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"ASVp3_88"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"pseudocatenulatum"
"ASVp3_92"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp3_108"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Mycobacteriaceae"	"Lawsonella"	"clevelandensis_A"
"ASVp3_109"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Muribaculum"	"gordoncarteri"
"ASVp3_110"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp3_111"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp3_120"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"ammonificans/ammoniigenes"
"ASVp3_123"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp4_1"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"muciniphila"
"ASVp4_2"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"ASVp4_3"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp4_6"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp4_7"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp4_8"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"merdae"
"ASVp4_9"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
"ASVp4_10"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp4_11"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp4_13"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp4_14"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"massiliensis"
"ASVp4_17"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp4_19"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"perfringens"
"ASVp4_22"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"porci"
"ASVp4_23"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp4_24"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_B"	"durans"
"ASVp4_25"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp4_28"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"citroniae"
"ASVp4_31"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp4_37"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"longum"
"ASVp4_40"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"finegoldii"
"ASVp4_44"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"sp902362275/sp902472315"
"ASVp4_49"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"CHH4-2"	"sp018378255"
"ASVp4_50"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp4_52"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Ruminococcus_B"	"gnavus"
"ASVp4_53"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp4_54"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Faecalibacterium"	"longum"
"ASVp4_58"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"perfringens"
"ASVp4_59"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sutterella"	"wadsworthensis"
"ASVp4_61"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"alcoholdehydrogenati"
"ASVp4_62"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp4_63"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp4_69"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"epidermidis"
"ASVp4_73"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp4_86"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Bradyrhizobium"	"rifense/centrolobii/sp023101685/sp900113735/sp015291645/sp030403585/guangzhouense/sp028128765/cytisi/manausense/diazoefficiens_F/manausense_D/sp015291665/sp029909975/diazoefficiens_C/sp000473045/sp029892425/diazoefficiens_D/manausense_A/sp000938255/sp024199945/zhengyangense/campsiandrae/sp900115265/guangdongense"
"ASVp4_103"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	"amarae"
