Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
cytidine deaminase	CDD1	YLR245C	626502	626930	2'-deoxycytidine deaminase // cytidine deaminase
2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	vabE	vabE			2,3-dihydroxybenzoate-[aryl-carrier protein] ligase
pyrimidine-nucleoside phosphorylase	deoA	deoA			pyrimidine-nucleoside phosphorylase
GTP cyclohydrolase IV	mptA	MJ0775			GTP cyclohydrolase IV
L,D-transpeptidase LdtB	ldtB	b0819	854824	855744	L,D-transpeptidase
lipoamide dehydrogenase	lpd	b0116	127912	129336	dihydrolipoate dehydrogenase // H-Gcv-protein-(dihydrolipoyl)lysine:NAD+ oxidoreductase // lipoate acetyltransferase <i>N<sup>6</sup></i>-(dihydrolipoyl)lysine:NAD+ oxidoreductase // tellurite reductase
N-acetylglutaminylglutamine synthase	ngg	ngg	496696	498483	<i>N</i>-acetylglutaminylglutamine synthase
methoxymycolic acid synthase 4	mmaA4	RV0642C	736296	737201	cis-delta21-39-hydroxy-40-methyl-C59:1-[acp] synthase // cis-delta19-37-hydroxy-38-methyl-C57:1-[acp] synthase
GPI &alpha;(1,4)-mannosyltransferase 1 complex	PIGM // PIGX		160024953	160031990	GPI &alpha;(1,4)-mannosyltransferase 1
pyrrol-2-yl(carbonyl)-[peptidyl-carrier protein] brominase	bmp2	PL2TA16_01236			pyrrol-2-yl(carbonyl)-[peptidyl-carrier protein] brominase
alkyl hydroperoxide reductase	ahpF // ahpC		639753	641318	alkyl hydroperoxide reductase
lanosterol 14-&alpha;-demethylase	ERG11	ERG11	120084	121676	lanosterol 14a-demethylase
L-tyrosine decarboxylase subunit	mfnA	mfnA			aspartate 1-decarboxylase // L-tyrosine decarboxylase
dihydroisopyochelinyl-[NRPS] reductase	sven0516	sven0516			dihydroisopyochelinyl-[NRPS] reductase
isocitrate lyase subunit	icl	Rv0467	557527	558813	isocitrate lyase
2-aminomalonyl semialdehyde-[seryl-carrier protein] hydroxylase	gdnA	gdnA			2-aminomalonyl semialdehyde-[seryl-carrier protein] hydroxylase
3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	mlr6791	mlr6791			3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase
dTDP-Rha:&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1,4)-rhamnosyltransferase	wdcC	wdcC			dTDP-Rha:&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1,4)-rhamnosyltransferase
UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase	wecA	wecA			UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase
isoflavone synthase	IFS-Tp	IFS-Tp			6,7,4'-trihydroxyflavanone,NADPH:oxygen oxidoreductase // liquiritigenin,NADPH:oxygen oxidoreductase
succinoglycan biosynthesis transport protein ExoP	exoP	SM_RS22440	1188398	1190758	succinoglycan dimer polymerase
heptose-(7-phosphate)-1-phosphotransferase	hygN	hygN			heptose-(7-phosphate)-1-phosphotransferase
Na(+)-translocating NADH-quinone reductase	nqrA // nqrB // nqrC // nqrD // nqrE // nqrF				Na(+)-translocating NADH-quinone reductase
protein deglycase	PARK7	PARK7	7830708	7854257	a [protein]-L-cysteine-<i>S</i>-1-hydroxypropan-2-one deglycase // L-lysine-<i>N</i>-1-hydroxypropan-2-one deglycase // L-arginine-<i>N</i>-1-hydroxypropan-2-one deglycase
2-hydroxymuconate tautomerase	xylH	xylH			2-hydroxymuconate tautomerase
glutathione-S-transferase NdmE // FMN reductase [NAD(P)H] // monooxygenase NdmC	ndmC // ndmD // ndmE				methylxanthine <i>N7</i>-demethylase
long-chain fatty acid &omega;-hydroxylase	CYP704B1	CYP704B1			oleate &omega;-hydroxylase // stearate &omega;-hydroxylase // palmitate &omega;-hydroxylase // long-chain fatty acid &omega;-hydroxylase
protein-glucosylgalactosylhydroxylysine glucosidase	PGGHG	PGGHG	332989	339538	protein-glucosylgalactosylhydroxylysine glucosidase
ferruginol synthase	CYP76AH24	CYP76AH24			miltiradiene 11-monooxygenase // ferruginol 11-monooxygenase // ferruginol synthase
lipoyl synthase	LIAS	LIAS	39635087	39653684	lipoyl synthase
dihydroxyacetone kinase 1	DAK1	DAK1			dihydroxyacetone kinase
&alpha;-(1,2)-fucosyltransferase FutC	futC	HP0094	98936	99840	alpha-(1,2)-fucosyltransferase // alpha-(1,2)-fucosyltransferase // alpha-(1,2)-fucosyltransferase // alpha-(1,2)-fucosyltransferase
tRNA-dihydrouridine<sup>47</sup> synthase [NAD(P)+]	DUS3	YLR401C			tRNA-dihydrouridine<sup>47</sup> synthase
oligopeptidase A	prlC	b3498	3643140	3645182	oligopeptidase
4'-methoxyviridicatin 4-monooxygenase	asqM	asqM			4'-methoxyviridicatin 4-monooxygenase
(<i>S</i>)-5-amino-3-oxohexanoate cleavage enzyme					(<i>S</i>)-5-amino-3-oxohexanoate cleavage enzyme
saccharopine dehydrogenase (NADP+, L-glutamate-forming)	LYS9	LYS9	714045	715385	saccharopine dehydrogenase (NADP+, L-glutamate-forming)
friedelin synthase	FRS	FRS			friedelin synthase // &beta;-amyrin synthase // taraxerol synthase
(<i>S</i>)-malyl <i>N</i>-acetyl-&alpha;-D-glucosaminide deacetylase 1	bshB1	BSU22470	2358208	2358918	(<i>S</i>)-malyl <i>N</i>-acetyl-&alpha;-D-glucosaminide deacetylase
L2 laccase					L2 laccase // L2 laccase
colibactin serine protease ClbP	clbP	clbP			precolibactin 1491 protease
myo-inositol 2-dehydrogenase	iolG	TM_0414			<i>myo</i>-inositol 2-dehydrogenase
alkene monooxygenase					2-methylpropene monooxygenase
selenophosphate synthetase 2	Sephs2	Sephs2	134415393	134417573	selenophosphate synthetase
violaxanthin de-epoxidase	VDE	VDE			violaxanthin de-epoxidase
NADPH-cytochrome P450 reductase	L19897	L19897			NADPH-cytochrome P450 reductase
ultra-long-chain &omega;-hydroxyacyl-CoA synthetase	SLC27A4	SLC27A4	122749454	122770025	ultra-long-chain &omega;-hydroxy fatty acyl-CoA synthetase // 30-hydroxytriacontanoyl-CoA synthetase
decaprenylphospho-&beta;-D-ribofuranose 2-dehydrogenase	dprE1	MSMEG_6382			decaprenylphospho-&beta;-D-ribofuranose 2-dehydrogenase
endonuclease V	nfi	b3998	4198790	4199461	deoxyribonuclease V
inorganic triphosphatase	ygiF	b3054	3199664	3200965	inorganic triphosphatase
2-epi-5-epi-valiolone synthase	eevs	eevs			2-epi-5-epi-valiolone synthase
phenylpropenal double-bond reductase	<i>PPDBR</i>	<i>PPDBR</i>			phenylpropenal double-bond reductase
8-dimethylallylnaringenin 2'-hydroxylase					8-dimethylallylnaringenin 2'-hydroxylase
(+)-bornyl diphosphate synthase	SBS	SBS			(+)-bornyl diphosphate synthase
tryptophan synthase, beta subunit	TSB1	TSB1	22281820	22284011	tryptophan synthase
proline&mdash;tRNA ligase	proS	b0194	217057	218775	L-cysteine&mdash;tRNA<sup>Pro</sup> ligase // L-alanine&mdash;tRNA<sup>Pro</sup> ligase // proline&mdash;tRNA ligase // L-alanyl-[tRNA<sup>Pro</sup>] deacetylase
nystatin aglycone 10-hydroxylase	nysL	nysL			nystatin aglycone 10-hydroxylase
4-hydroxy-tetrahydrodipicolinate reductase	dapB	b0031	28374	29195	4-hydroxy-tetrahydrodipicolinate reductase
<i>N</i>-hydroxytryptophan <i>O</i>-methyltransferase	APS6	APS6			<i>N</i>-hydroxytryptophan <i>O</i>-methyltransferase
UDP-galactose:&beta;-D-GlcNAc-(1&rarr;3)-&alpha;-D-Gal-(1&rarr;3)-GalNAc-PP-Und &beta;-(1,3)-galactosyltransferase WbgO	wbgO	wbgO			UDP-galactose:&beta;-D-GlcNAc-(1&rarr;3)-&alpha;-D-Gal-(1&rarr;3)-GalNAc-PP-Und &beta;-(1,3)-galactosyltransferase
6-deoxy-6-sulfo-D-fructose transketolase	sqwG // sqwH				6-deoxy-6-sulfo-D-fructose transketolase // 4-deoxy-4-sulfo-D-erythrulose transketolase
histone-lysine <em>N</em>-methyltransferase KMT3D	KMT3D	KMT3D	88660557	88706079	[histone-H3]-lysine-4 <i>N</i>-methyltransferase
arsenic methyltransferase	AS3MT	AS3MT			S-adenosyl-L-methionine:HAPA As-methyltransferase // S-adenosyl-L-methionine:roxarsone As-methyltransferase // S-adenosyl-L-methionine:arsenite As-methyltransferase // S-adenosyl-L-methionine:arsenite As-methyltransferase // S-adenosyl-L-methionine:arsenite As-methyltransferase
glucose-1-phosphate thymidylyltransferase	dnmL	dnmL			glucose-1-phosphate thymidylyltransferase
cAMP phosphodiesterase	cpdA	b3032	3176006	3176833	cAMP phosphodiesterase
acyl-CoA:acyl-CoA alkyltransferase	oleA	XCC0212			acyl-CoA:acyl-CoA alkyltransferase
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase &epsilon;-1	PLCE1	PLCE1	95024224	95321802	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
hematopoietic prostaglandin D synthase	HPGDS	HPGDS	95522183	95540663	prostaglandin D synthase
glycine dehydrogenase (cyanide-forming)	hcnC // hcnB // hcnA				glycine dehydrogenase (cyanide-forming)
enterobacterial common antigen polymerase	wzyE	b3793	3978601	3979953	enterobacterial common antigen polymerase // enterobacterial common antigen polymerase
(<i>S</i>)-hydroxynitrile lyase	HNL	HNL			aliphatic (<i>S</i>)-hydroxynitrile lyase // aromatic (<i>S</i>)-hydroxynitrile lyase // acetone cyanohydrin lyase
L-ornithine <i>N</i> 3-hydroxy acyltransferase	olsB	olsB	423198	424088	L-ornithine <i>N</i> 3-hydroxy acyltransferase
glucuronokinase	AT3G01640	AT3G01640			glucuronokinase
5-aminopentanamidase	davA	davA			5-aminopentanamidase
6-carboxy-5,6,7,8-tetrahydropterin synthase	queD	BSU13730	1440100	1440549	6-carboxy-5,6,7,8-tetrahydropterin synthase
2-methylisocitrate lyase subunit	prpB	prpB			2-methylisocitrate lyase
anthranilate dioxygenase reductase component // anthranilate dioxygenase ferredoxin component // anthranilate dioxygenase oxygenase component	andAd // andAc // andAb // andAa				anthranilate dioxygenase
isoflavone 3'-hydroxylase	I3'H	I3'H			formononetin 3'-hydroxylase
aconitase	Aco	Aco			aconitase
4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase	pigM	SMWW4_v1c10920			4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase
fukutin-related protein	FKRP	FKRP	47642166	47652734	Rbo5P-3-&beta;GalNAc-(1&rarr;3)-&beta;GlucNAc-(1&rarr;4)-P-6-<i>O</i>-&alpha;Man-[protein] ribitol 5-phosphate transferase
8-amino-3,8-dideoxy-D-manno-octulosonate transferase	kdtA	SO_4676			8-amino-3,8-dideoxy-D-manno-octulosonate transferase
heparinase I	hepA	hepA			heparin lyase
2-haloacrylate reductase	caa43	caa43			2-chloroacrylate reductase
sensor histidine kinase NarQ	narQ	b2469	2585731	2587431	protein-histidine autokinase
peptidoglycan-<i>N</i>-acetylglucosamine deacetylase	BC_1960	BC_1960			peptidoglycan-<i>N</i>-acetylglucosamine deacetylase
UDP-galactose 4-epimerase					UDP-galactose 4-epimerase
L-oleandrosyl-oleandolide desosaminyltransferase	oleG1	oleG1			L-oleandrosyl-oleandolide desosaminyltransferase
<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-&alpha;-mannosyltransferase	wbdC	wbdC			<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-&alpha;-mannosyltransferase
glucosyl-3-phosphoglycerate phosphatase	gpgP	gpgP			glucosyl-3-phosphoglycerate phosphatase
inositol-1-phosphate synthase subunit	ips	AF1794			inositol-1-phosphate synthase
methylenetetrahydrofolate reductase					methylenetetrahydrofolate reductase
thiazole tautomerase	tenI	BSU11660	1243134	1243751	thiazole tautomerase
3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic	AT1G24360	AT1G24360	8640571	8643467	(R)-3-hydroxystearoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (<i>R</i>)-3-hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (<i>R</i>)-3-hydroxymyristoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (<i>R</i>)-3-hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (<i>R</i>)-3-hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (<i>R</i>)-3-hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (<i>R</i>)-3-hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase // (3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase // acetoacetyl-[acyl-carrier-protein]:NADPH+ oxidoreductase
L-serine kinase (ADP)	serK	TK0378			L-serine kinase (ADP)
L-2,4-diaminobutyrate decarboxylase	rhbB	RA1259			L-2,4-diaminobutyrate decarboxylase
dTDP-3-oxo-3,4,6-trideoxy-&alpha;-D-glucopyranose transaminase	eryCI	SACE_0734			dTDP-3-oxo-3,4,6-trideoxy-&alpha;-D-glucopyranose transaminase
lipoyltransferase 1	LIPT1	LIPT1	98224143	98266820	lipoyl amidotransferase
cellulase A	celA	Cthe_0269			cellulase
gentamycin A 4'-<i>C</i>-methyltransferase	genD1	genD1			gentamycin A 4'-<i>C</i>-methyltransferase
2-hydroxy-4-isopropenyl-cyclohexan-1-carboxyl-CoA dehydrogenase	mrcD	BN940_14036			2-hydroxy-4-isopropenyl-cyclohexan-1-carboxyl-CoA dehydrogenase
peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase	mepS	b2175	2269979	2270545	peptidoglycan DD-endopeptidase // peptidoglycan LD endopeptidase // peptidoglycan L,D-carboxypeptidase
chorismate lyase	Rv2949c	Rv2949c			chorismate lyase
fimsbactin shunt thioesterase	fbsM	E5A72_RS01945	380071	380832	fimsbactin shunt thioesterase
carbapenemase	blaB	blaB			carbapenemase
glutaminyl-peptide cyclotransferase	QPCT	QPCT	37718812	37747499	glutaminyl-peptide cyclotransferase
cellulose synthase	CesA1	CesA1			UDP-glucose:1,4-&beta;-D-glucan 4-&beta;-D-glucosyltransferase
type II alkyl sulfatase	atsK	atsK			ethylhexyl sulfate sulfatase // dodecyl sulfate sulfatase // decyl sulfate sulfatase // nonyl sulfate sulfatase // octyl sulfate sulfatase // heptyl sulfate sulfatase // hexyl sulfate sulfatase // penyl sulfate sulfatase // butyl sulfate sulfatase // alkyl sulfate sulfatase
tryptophan decarboxylase					tryptophan decarboxylase
3beta-hydroxysteroid dehydrogenase	3&beta;-HSD	3&beta;-HSD			3&beta;-hydroxysteroid dehydrogenase
&Delta;5,7-sterol-&Delta;7 reductase	CHC_T00006492-3001	CHC_T00006492-3001			&Delta;5,7-sterol-&Delta;7 reductase
2,3-butanediol dehydrogenase	BDH1	YAL060W	35155	36303	(R,R)-butanediol dehydrogenase // (R,S)-2,3-butanediol dehydrogenase // [(R)-acetoin forming]-diacetyl reductase
trichothecene 7,8-dihydroxylase	Tri1	Tri1			3,4,15-triacetoxyscirpenol 7,8-dihydroxylase // calonectrin 7,8-dihydroxylase
5-hydroxymethylcytidine 5'-monophosphate nucleosidase subunit	bcmB	bcmB			5-hydroxymethylcytidine 5'-monophosphate nucleosidase
roquefortine synthase	roqD	roqD			dehydrohistidyltryptophyldiketopiperazine prenyltransferase // histidyltryptophyldiketopiperazine prenyltransferase
fused CCA tRNA nucleotidyltransferase/phosphohydrolase	cca	b3056	3201891	3203129	CCA tRNA nucleotidyltransferase
mercuric ion reductase subunit	merA	merA			mercury(II) reductase
&alpha;-1,2 mannosyltransferase KRE2	KRE2	YDR483W	1421157	1422485	&alpha;-D-mannosyl-(1,2)-&alpha;-D-mannosyl-[protein] &alpha;-1,2 mannosyltransferase // &alpha;-D-mannosyl-[protein] &alpha;-1,2 mannosyltransferase
methanesulfonate monooxygenase hydroxylase component // methanesulfonate monooxygenase ferredoxin component // methanesulfonate monooxygenase reductase component	msmD // msmC // msmB // msmA				methanesulfonate monooxygenase
chloroplastic acyl-lipid &omega;-3 desaturase	FAD8	FAD8			(7Z,10Z)-hexadecadienoyl-lipid 13-desaturase // linolenoyl-lipid 15-desaturase // 1-18:3-2-18:2-monogalactosyldiacylglycerol desaturase // 1-18:2-2-18:3-monogalactosyldiacylglycerol desaturase // 1-18:2-2-18:2-monogalactosyldiacylglycerol desaturase // 1-18:2-2-18:2-monogalactosyldiacylglycerol desaturase // 1-16:0-2-18:2-digalactosyldiacylglycerol desaturase // 1-18:2-2-16:0-digalactosyldiacylglycerol desaturase // 1-18:2-2-16:0-phosphatidylglycerol desaturase // 1-18:2-2-18:3-digalactosyldiacylglycerol desaturase // 1-18:3-2-18:2-digalactosyldiacylglycerol desaturase // 1-18:2-2-18:2-digalactosyldiacylglycerol desaturase // 1-18:2-2-18:2-digalactosyldiacylglycerol desaturase // 1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase // 1-18:2-2-16:1-monogalactosyldiacylglycerol desaturase // 1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase // 1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase // 1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase // 1-18:2-2-16:3-monogalactosyldiacylglycerol desaturase // 1-18:3-2-16:2-monogalactosyldiacylglycerol desaturase // 1-18:2-2-trans-16:1-phosphatidylglycerol desaturase
8-demethylnovobiocic acid synthase	novL	novL			8-demethylnovobiocic acid synthase
