ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Cyclitol biosynthesis	8-oxo-GTP-detoxification	Antibiotic resistance	Other degradation	Protein modification	Secondary metabolite biosynthesis	Carboxylic acid biosynthesis	Fluorescence protein biosynthesis	Aldehyde degradation	Aminoacyl-tRNAs-charging	Amide, amidine, amine, and polyamine biosynthesis	Storage compound biosynthesis	Cyclitol degradation	Cofactor, carrier, and vitamin biosynthesis	Amide, amidine, amine, and polyamine degradation	Hydrocarbon degradation	Aromatic compound degradation	Protein degradation	Cell structure biosynthesis	Carboxylic acid degradation	Acetate degradation	Alcohol degradation	Chlorinated compound degradation	Polyprenyl biosynthesis	Tetrapyrrole biosynthesis	nan	Hormone, neurotransmitter, and signaling molecule degradation	Cyanide detoxification	Carbohydrate biosynthesis	Nucleotide-alditol biosynthesis	Secondary metabolite degradation	Amino acid biosynthesis	Chromoprotein biosynthesis	Nucleoside and nucleotide degradation	Carbohydrate degradation	Polymeric compound degradation	Other biosynthesis	Arsenic detoxification	Reactive oxygen species degradation	C1 Compound utilization and assimilation	Fatty acid and lipid degradation	Hormone, neurotransmitter, and signaling molecule biosynthesis	Nucleoside and nucleotide biosynthesis	Mercury detoxification	Nucleic acid processing	Methylglyoxal detoxification	Cofactor, carrier, and vitamin degradation	Inorganic nutrient metabolism	Acid resistance	Amino acid degradation	Metabolic regulator biosynthesis	Nitrogen remobilization from senescing leaves	Metabolic regulators	Aromatic compound biosynthesis	Hydrocarbon biosynthesis	Fatty acid and lipid biosynthesis	Seleno amino acid detoxification
S_NS1_Em_017_updated_parsed_report.tsv	1024	1024	759	1024	0	1	1	4	9	6	56	7	0	4	3	14	5	2	116	31	1	51	0	83	41	1	17	11	6	11	1024	0	0	96	0	9	56	0	28	88	11	13	3	2	18	12	5	38	0	7	2	0	40	2	60	6	0	4	16	2	57	0
S_NS6_He_053_updated_parsed_report.tsv	708	708	502	708	0	1	1	2	7	4	43	6	0	2	3	7	2	2	86	15	0	6	0	26	17	1	14	2	6	12	708	0	0	57	0	8	52	0	23	76	14	6	3	2	16	2	5	35	1	6	1	0	29	1	52	2	0	1	7	2	37	0
S_S2_Rf_118_v1v9_updated_parsed_report.tsv	616	616	407	616	0	0	1	2	6	2	33	5	0	2	3	7	4	2	71	11	0	9	0	20	11	1	10	1	6	3	616	0	0	53	0	7	54	0	20	46	7	7	3	0	13	4	3	31	0	6	1	0	23	1	47	1	0	1	8	0	34	0
S_S5_Ca_088_v1v9_updated_parsed_report.tsv	544	544	313	544	0	0	1	2	2	4	29	6	0	1	2	5	2	5	58	4	0	4	0	53	8	1	11	0	5	1	544	0	0	74	0	2	48	0	15	49	7	7	3	0	13	1	2	31	0	6	0	0	21	0	39	0	0	1	5	0	28	0
S_NS6_Af_030_v1v9_updated_parsed_report.tsv	614	614	418	614	0	1	0	3	4	3	35	7	0	1	3	7	4	2	77	6	0	7	0	46	11	1	10	0	6	2	614	0	0	50	0	4	52	0	19	50	7	7	0	1	14	2	3	32	0	6	1	0	13	2	48	0	0	1	6	0	45	0
S_S5_Et_102_v1v9_updated_parsed_report.tsv	747	747	505	747	0	1	1	4	7	5	36	7	0	2	3	9	4	7	89	17	0	21	0	28	25	1	13	2	6	10	747	0	0	70	0	6	51	0	16	73	13	8	3	2	14	6	5	32	1	6	1	0	25	1	53	3	0	1	9	0	39	0
S_NS1_Bp_010_updated_parsed_report.tsv	594	594	345	594	0	1	1	2	4	6	27	6	0	1	2	3	3	2	73	8	0	5	0	52	14	1	8	1	5	1	594	0	0	77	1	2	50	0	13	46	9	10	4	0	15	3	2	30	0	6	0	0	17	0	43	2	0	3	6	0	32	0
S_S5_Em_101_updated_parsed_report.tsv	726	726	498	726	0	1	1	4	6	6	39	6	0	1	3	7	4	5	76	11	0	8	0	29	25	1	15	2	6	10	726	0	0	69	0	6	52	0	19	77	15	8	3	2	16	5	5	35	1	6	1	0	19	1	51	2	0	2	9	0	40	0
S_S5_Et_102_updated_parsed_report.tsv	747	747	505	747	0	1	1	4	7	5	36	7	0	2	3	9	4	7	89	17	0	21	0	28	25	1	13	2	6	10	747	0	0	70	0	6	51	0	16	73	13	8	3	2	14	6	5	32	1	6	1	0	25	1	53	3	0	1	9	0	39	0
S_S5_Fp_106_v1v9_updated_parsed_report.tsv	687	687	434	687	0	0	0	4	6	3	39	6	0	1	3	10	4	3	71	13	1	27	0	55	23	1	13	2	6	6	687	1	0	55	0	7	54	0	22	62	9	4	3	1	16	9	2	32	0	6	1	0	19	2	53	0	0	1	10	0	33	0
S_NS6_Et_048_updated_parsed_report.tsv	753	753	516	753	0	1	1	4	7	5	37	6	0	2	3	9	4	7	90	17	0	20	0	28	21	1	14	2	6	10	753	0	0	70	0	6	52	0	19	76	15	8	3	2	14	5	5	35	1	6	1	0	26	1	51	3	0	1	9	0	38	0
S_S5_Rf_112_v1v9_updated_parsed_report.tsv	647	647	416	647	0	0	1	2	5	4	36	7	0	2	3	8	4	2	87	9	0	8	0	52	13	1	11	0	6	3	647	0	0	80	1	5	55	0	20	49	8	5	0	0	15	4	1	31	0	6	1	0	21	1	44	1	0	1	8	0	35	0
S_NS6_Pd_055_updated_parsed_report.tsv	788	788	553	788	0	1	1	4	5	2	44	9	0	2	3	9	3	2	100	7	0	7	0	71	21	1	11	1	6	2	788	0	0	94	0	6	56	0	20	70	11	9	3	2	18	3	4	34	0	6	1	0	34	2	50	4	0	2	10	0	45	0
S_NS1_He_021_updated_parsed_report.tsv	693	693	494	693	0	1	1	2	7	3	36	6	0	2	3	7	2	5	82	15	0	8	0	21	19	1	13	2	6	12	693	0	0	54	0	8	53	0	22	76	15	4	3	2	16	2	5	35	1	6	1	0	30	1	52	2	0	1	7	0	36	0
S_NS1_Fp_020_v1v9_updated_parsed_report.tsv	672	672	426	672	0	0	0	4	6	3	39	6	0	1	3	10	4	2	61	13	1	27	0	55	21	1	13	2	6	6	672	1	0	55	0	7	54	0	22	62	9	4	3	1	16	9	2	32	0	6	1	0	19	2	51	0	0	1	10	0	33	0
S_NS6_Em_047_v1v9_updated_parsed_report.tsv	737	737	476	737	0	1	1	4	6	6	36	7	0	1	3	7	4	2	74	11	0	8	0	64	23	1	14	2	6	10	737	0	0	106	0	6	52	0	19	75	15	8	3	2	16	5	4	35	1	6	1	0	19	1	49	2	0	1	9	0	39	0
S_NS1_Bs_004_updated_parsed_report.tsv	703	703	508	703	0	1	0	3	5	2	37	6	0	2	3	7	2	2	99	7	0	7	0	50	18	1	9	0	6	2	703	0	0	59	0	5	52	0	20	63	16	10	3	1	16	2	3	33	0	6	1	0	29	2	46	0	0	2	10	0	48	0
S_NS1_Bs_004_v1v9_updated_parsed_report.tsv	703	703	508	703	0	1	0	3	5	2	37	6	0	2	3	7	2	2	99	7	0	7	0	50	18	1	9	0	6	2	703	0	0	59	0	5	52	0	20	63	16	10	3	1	16	2	3	33	0	6	1	0	29	2	46	0	0	2	10	0	48	0
S_NS6_Pd_055_v1v9_updated_parsed_report.tsv	788	788	553	788	0	1	1	4	5	2	44	9	0	2	3	9	3	2	100	7	0	7	0	71	21	1	11	1	6	2	788	0	0	94	0	6	56	0	20	70	11	9	3	2	18	3	4	34	0	6	1	0	34	2	50	4	0	2	10	0	45	0
S_NS1_Em_017_v1v9_updated_parsed_report.tsv	1024	1024	759	1024	0	1	1	4	9	6	56	7	0	4	3	14	5	2	116	31	1	51	0	83	41	1	17	11	6	11	1024	0	0	96	0	9	56	0	28	88	11	13	3	2	18	12	5	38	0	7	2	0	40	2	60	6	0	4	16	2	57	0
S_S2_Et_074_v1v9_updated_parsed_report.tsv	757	757	519	757	0	1	1	4	7	5	37	7	0	2	3	9	4	7	91	17	0	21	0	28	25	1	13	2	6	10	757	0	0	70	0	6	52	0	19	75	15	8	3	2	14	5	5	35	1	6	1	0	23	1	53	3	0	1	9	0	38	0
S_S5_Rg_113_v1v9_updated_parsed_report.tsv	628	628	435	628	0	0	1	3	4	2	35	6	0	2	3	8	2	2	90	10	0	6	0	27	12	1	14	1	6	10	628	0	0	49	0	6	52	0	20	68	10	4	3	1	14	3	2	32	0	6	1	0	21	2	41	1	0	1	7	0	36	0
S_NS1_Ss_026_v1v9_updated_parsed_report.tsv	603	603	367	603	0	1	1	2	7	4	50	8	0	1	3	4	4	3	45	6	0	17	0	58	13	1	9	2	5	7	603	0	0	71	0	2	50	0	21	40	5	12	3	1	13	1	5	35	0	7	1	0	14	1	45	0	0	1	9	0	31	0
S_NS6_Sh_058_v1v9_updated_parsed_report.tsv	695	695	456	695	0	1	1	3	9	6	48	6	0	2	3	6	4	2	102	11	0	15	0	58	13	1	14	2	7	11	695	0	0	55	0	4	47	0	16	50	5	10	3	2	14	3	5	35	0	6	1	0	28	0	45	2	0	2	8	0	34	0
S_NS1_Pm_023_v1v9_updated_parsed_report.tsv	752	752	530	752	0	1	1	3	5	4	45	7	0	2	3	9	2	2	102	8	0	11	0	52	21	1	12	0	6	6	752	0	0	62	0	5	58	0	20	67	12	10	3	1	17	3	4	32	0	6	1	0	31	2	51	3	0	3	10	0	50	0
S_NS6_He_053_v1v9_updated_parsed_report.tsv	708	708	502	708	0	1	1	2	7	4	43	6	0	2	3	7	2	2	86	15	0	6	0	26	17	1	14	2	6	12	708	0	0	57	0	8	52	0	23	76	14	6	3	2	16	2	5	35	1	6	1	0	29	1	52	2	0	1	7	2	37	0
S_S2_Ef_078_updated_parsed_report.tsv	1002	1002	748	1002	0	1	1	4	10	6	59	7	0	4	3	15	5	2	117	28	1	22	0	85	38	1	19	10	6	11	1002	0	0	98	0	7	56	0	28	90	11	14	3	2	18	12	5	38	0	7	2	0	39	3	60	6	0	4	15	2	59	0
S_S2_Hf_081_updated_parsed_report.tsv	345	345	201	345	0	0	1	2	3	3	14	4	0	0	2	1	2	1	34	8	0	1	0	17	11	1	7	1	5	0	345	0	0	18	0	2	20	0	13	45	6	3	3	0	13	0	4	30	0	6	0	0	8	0	18	0	0	2	0	0	11	0
S_NS1_Fp_020_updated_parsed_report.tsv	672	672	426	672	0	0	0	4	6	3	39	6	0	1	3	10	4	2	61	13	1	27	0	55	21	1	13	2	6	6	672	1	0	55	0	7	54	0	22	62	9	4	3	1	16	9	2	32	0	6	1	0	19	2	51	0	0	1	10	0	33	0
S_S5_Pd_110_updated_parsed_report.tsv	788	788	553	788	0	1	1	4	5	2	44	9	0	2	3	9	3	2	100	7	0	7	0	71	21	1	11	1	6	2	788	0	0	94	0	6	56	0	20	70	11	9	3	2	18	3	4	34	0	6	1	0	34	2	50	4	0	2	10	0	45	0
S_NS6_Bs_033_v1v9_updated_parsed_report.tsv	710	710	517	710	0	1	0	4	5	2	39	7	0	2	3	7	2	2	99	7	0	7	0	50	17	1	9	0	6	2	710	0	0	57	0	5	55	0	20	64	16	10	3	1	16	2	3	33	0	6	1	0	29	2	47	0	0	2	10	0	48	0
S_NS6_Fp_052_updated_parsed_report.tsv	676	676	428	676	0	0	0	4	6	3	41	6	0	1	3	10	4	3	62	13	1	27	0	55	22	1	13	2	6	6	676	1	0	55	0	7	54	0	22	59	8	4	3	1	16	9	2	32	0	6	1	0	19	2	53	0	0	1	10	0	33	0
S_NS1_Am_001_v1v9_updated_parsed_report.tsv	618	618	417	618	0	1	1	3	4	5	38	5	0	0	3	8	2	2	102	4	0	3	0	42	5	1	4	0	6	2	618	0	0	47	0	1	49	0	10	42	8	9	3	2	14	1	4	30	0	6	0	0	21	2	43	0	0	3	9	2	46	0
S_S2_Pd_083_v1v9_updated_parsed_report.tsv	788	788	553	788	0	1	1	4	5	2	44	9	0	2	3	9	3	2	100	7	0	7	0	71	21	1	11	1	6	2	788	0	0	94	0	6	56	0	20	70	11	9	3	2	18	3	4	34	0	6	1	0	34	2	50	4	0	2	10	0	45	0
S_NS6_Blss_040_v1v9_updated_parsed_report.tsv	600	600	351	600	0	1	1	2	4	6	31	6	0	1	2	3	3	2	74	9	0	3	0	52	12	1	8	1	5	8	600	0	0	77	1	4	50	0	14	46	9	9	3	0	15	3	2	30	1	6	0	0	19	0	45	2	0	2	6	0	32	0
S_S2_Cc_069_updated_parsed_report.tsv	614	614	396	614	0	0	1	2	5	5	39	7	0	2	3	8	4	2	77	8	0	8	0	19	18	1	10	2	6	10	614	0	0	52	0	3	50	0	21	47	5	5	3	0	14	5	1	32	0	6	1	0	23	1	45	1	0	3	8	0	35	0
S_NS1_Bt_005_v1v9_updated_parsed_report.tsv	758	758	523	758	0	1	1	3	5	2	49	7	0	2	3	8	2	2	84	9	0	8	0	69	24	1	8	0	6	9	758	0	0	81	0	6	56	0	20	64	16	11	3	2	17	4	4	35	0	6	1	0	31	2	48	0	0	3	10	0	51	0
S_NS1_Bu_006_updated_parsed_report.tsv	774	774	532	774	0	1	0	3	5	5	45	8	0	1	3	8	2	2	100	9	0	7	0	88	22	1	7	0	6	2	774	0	0	109	1	4	55	0	20	62	13	10	3	1	17	2	3	33	0	6	1	0	29	2	47	3	0	3	8	2	50	0
S_NS1_Am_001_updated_parsed_report.tsv	618	618	417	618	0	1	1	3	4	5	38	5	0	0	3	8	2	2	102	4	0	3	0	42	5	1	4	0	6	2	618	0	0	47	0	1	49	0	10	42	8	9	3	2	14	1	4	30	0	6	0	0	21	2	43	0	0	3	9	2	46	0
S_S2_Blss_067_updated_parsed_report.tsv	591	591	351	591	0	1	1	2	4	6	28	6	0	1	2	3	3	2	70	9	0	3	0	53	11	1	8	1	5	1	591	0	0	78	1	4	50	0	14	41	7	9	3	0	15	3	2	30	1	6	0	0	19	0	45	2	0	2	7	0	32	0
S_NS1_Cc_012_updated_parsed_report.tsv	774	774	525	774	0	1	1	2	8	5	42	6	0	2	3	7	5	5	84	17	0	34	0	25	30	1	13	3	6	10	774	0	0	64	0	9	56	0	25	71	13	6	3	1	15	4	4	33	1	6	1	0	27	1	53	1	0	1	9	0	37	0
S_NS6_Sw_060_updated_parsed_report.tsv	584	584	383	584	0	1	1	2	6	4	39	6	0	0	2	12	2	2	83	11	0	11	0	37	10	1	10	4	5	9	584	0	0	22	0	3	47	0	19	29	6	7	3	1	15	2	3	31	1	6	0	0	23	2	43	2	0	2	4	0	48	0
S_S2_Bs_063_v1v9_updated_parsed_report.tsv	855	855	585	855	0	1	1	2	11	6	54	7	0	1	3	13	4	5	96	18	1	38	0	55	35	1	14	4	7	11	855	0	0	82	1	8	53	0	21	69	12	12	3	2	18	9	5	35	0	7	1	0	33	1	61	2	0	2	12	0	34	0
S_NS1_Bv_007_updated_parsed_report.tsv	741	741	535	741	0	1	1	3	5	3	44	6	0	3	3	8	5	2	104	9	0	7	0	52	21	1	11	0	6	9	741	0	0	62	0	6	55	0	20	66	13	11	3	1	16	2	4	35	0	6	1	0	28	2	49	3	0	2	10	0	44	0
S_S5_Cc_097_updated_parsed_report.tsv	760	760	523	760	0	1	1	2	6	5	42	6	0	2	3	7	5	5	84	17	0	27	0	22	29	1	13	2	6	10	760	0	0	59	0	9	56	0	24	71	13	6	3	1	15	6	4	33	1	6	1	0	27	1	53	1	0	1	9	0	37	0
S_S2_Bd_064_updated_parsed_report.tsv	765	765	544	765	0	1	1	3	5	4	43	6	0	3	3	9	5	2	103	9	0	14	0	65	21	1	11	1	6	9	765	0	0	78	1	6	55	0	20	67	13	11	3	1	16	2	4	35	0	6	1	0	28	2	50	3	0	2	10	0	44	0
S_NS1_Ao_003_v1v9_updated_parsed_report.tsv	607	607	412	607	0	1	0	3	4	3	35	6	0	1	3	8	4	2	77	7	0	7	0	45	7	1	9	0	6	2	607	0	0	45	0	5	51	0	19	46	7	7	0	2	14	2	3	32	0	6	1	0	16	2	48	0	0	1	6	0	44	0
S_S5_Fp_105_updated_parsed_report.tsv	602	602	394	602	0	0	1	2	5	4	41	6	0	2	3	10	4	2	76	6	0	11	0	15	18	1	10	1	6	9	602	1	0	42	0	2	50	0	19	58	11	5	0	0	15	3	1	33	0	6	1	0	13	2	46	1	0	1	8	0	35	0
S_NS1_Et_015_v1v9_updated_parsed_report.tsv	752	752	511	752	0	1	1	4	7	5	37	7	0	2	3	9	4	7	93	17	0	21	0	28	24	1	14	2	6	10	752	0	0	71	0	6	51	0	19	77	15	8	3	2	14	4	5	35	1	6	1	0	23	1	49	3	0	1	7	0	38	0
S_NS6_Cb_042_v1v9_updated_parsed_report.tsv	795	795	541	795	0	1	1	2	6	4	43	7	0	2	3	7	5	3	88	18	0	32	0	30	33	1	17	3	6	3	795	0	0	62	0	7	55	0	24	78	14	8	3	1	17	5	7	33	1	6	1	0	27	1	58	1	0	1	9	0	37	0
S_S2_Bd_064_v1v9_updated_parsed_report.tsv	765	765	544	765	0	1	1	3	5	4	43	6	0	3	3	9	5	2	103	9	0	14	0	65	21	1	11	1	6	9	765	0	0	78	1	6	55	0	20	67	13	11	3	1	16	2	4	35	0	6	1	0	28	2	50	3	0	2	10	0	44	0
S_NS1_Bv_007_v1v9_updated_parsed_report.tsv	741	741	535	741	0	1	1	3	5	3	44	6	0	3	3	8	5	2	104	9	0	7	0	52	21	1	11	0	6	9	741	0	0	62	0	6	55	0	20	66	13	11	3	1	16	2	4	35	0	6	1	0	28	2	49	3	0	2	10	0	44	0
S_S2_Et_075_updated_parsed_report.tsv	757	757	519	757	0	1	1	4	7	5	37	7	0	2	3	9	4	7	91	17	0	21	0	28	25	1	13	2	6	10	757	0	0	70	0	6	52	0	19	75	15	8	3	2	14	5	5	35	1	6	1	0	23	1	53	3	0	1	9	0	38	0
S_NS6_Bx_038_2_updated_parsed_report.tsv	795	795	554	795	0	1	0	3	5	2	42	8	0	2	3	8	4	2	105	9	0	9	0	85	28	1	8	0	6	9	795	0	0	102	0	6	56	0	20	68	16	11	3	2	17	4	3	35	0	6	1	0	26	2	49	0	0	2	10	0	49	0
S_S5_Blss_094_v1v9_updated_parsed_report.tsv	589	589	350	589	0	1	1	2	4	6	28	6	0	1	2	3	3	2	70	9	0	3	0	53	11	1	8	1	5	1	589	0	0	79	1	4	50	0	14	41	7	9	0	0	15	3	2	30	1	6	0	0	20	0	45	2	0	2	6	0	32	0
S_NS1_Af_002_updated_parsed_report.tsv	615	615	420	615	0	1	0	3	4	3	35	6	0	1	3	7	4	2	77	6	0	7	0	46	11	1	10	0	6	2	615	0	0	49	0	4	52	0	19	50	7	7	0	1	14	2	3	32	0	6	1	0	16	2	48	0	0	1	6	0	45	0
S_NS1_Ig_115_v1v9_updated_parsed_report.tsv	647	647	403	647	0	0	0	4	7	4	39	6	0	1	3	9	4	2	55	15	1	22	0	55	21	1	12	1	6	1	647	0	0	55	0	7	52	0	21	45	6	5	3	1	15	9	4	33	0	6	1	0	18	2	49	0	0	1	10	0	33	0
S_NS6_Ao_031_updated_parsed_report.tsv	612	612	423	612	0	1	0	3	4	3	36	6	0	1	3	8	4	2	77	7	0	7	0	45	7	1	9	0	6	2	612	0	0	49	0	5	53	0	19	46	7	7	0	2	14	2	3	32	0	6	1	0	13	2	49	0	0	1	6	0	44	0
S_S2_Ea_076_v1v9_updated_parsed_report.tsv	740	740	478	740	0	1	1	2	9	6	46	7	0	2	3	4	4	3	87	12	0	28	0	56	21	1	16	3	7	6	740	0	0	77	1	4	49	0	20	71	10	8	3	1	14	3	4	35	0	7	1	0	21	2	61	0	0	2	6	0	35	0
S_NS6_Pp_057_updated_parsed_report.tsv	614	614	378	614	0	0	1	2	6	3	40	6	0	1	3	9	2	3	85	11	0	6	0	53	13	1	9	1	6	10	614	0	0	53	0	7	53	0	23	41	7	5	3	1	16	1	3	32	0	6	0	0	16	2	51	0	0	1	7	0	31	0
S_NS6_Bv_037_v1v9_updated_parsed_report.tsv	763	763	542	763	0	1	1	3	5	3	43	6	0	3	3	8	5	2	103	9	0	7	0	67	22	1	11	0	6	9	763	0	0	84	0	6	56	0	20	67	13	11	3	1	16	2	4	35	0	6	1	0	28	2	50	3	0	2	9	0	44	0
S_S5_Blss_094_updated_parsed_report.tsv	589	589	350	589	0	1	1	2	4	6	28	6	0	1	2	3	3	2	70	9	0	3	0	53	11	1	8	1	5	1	589	0	0	79	1	4	50	0	14	41	7	9	0	0	15	3	2	30	1	6	0	0	20	0	45	2	0	2	6	0	32	0
S_NS6_Cb_041_updated_parsed_report.tsv	769	769	540	769	0	1	1	2	6	4	36	7	0	2	3	11	5	2	88	19	0	31	0	21	28	1	17	3	6	3	769	0	0	60	0	7	54	0	24	76	14	8	3	1	17	5	6	33	1	6	1	0	26	1	54	2	0	1	8	0	38	0
S_S5_Am_089_updated_parsed_report.tsv	614	614	412	614	0	1	1	3	4	5	38	5	0	0	3	8	2	2	102	4	0	3	0	42	5	1	4	0	6	2	614	0	0	47	0	1	47	0	10	42	8	9	3	2	14	1	4	28	0	6	0	0	21	2	41	0	0	3	9	2	46	0
S_S2_Hf_081_v1v9_updated_parsed_report.tsv	345	345	201	345	0	0	1	2	3	3	14	4	0	0	2	1	2	1	34	8	0	1	0	17	11	1	7	1	5	0	345	0	0	18	0	2	20	0	13	45	6	3	3	0	13	0	4	30	0	6	0	0	8	0	18	0	0	2	0	0	11	0
S_S2_Pd_083_updated_parsed_report.tsv	788	788	553	788	0	1	1	4	5	2	44	9	0	2	3	9	3	2	100	7	0	7	0	71	21	1	11	1	6	2	788	0	0	94	0	6	56	0	20	70	11	9	3	2	18	3	4	34	0	6	1	0	34	2	50	4	0	2	10	0	45	0
S_NS6_Pm_056_v1v9_updated_parsed_report.tsv	751	751	528	751	0	1	1	3	5	4	45	7	0	2	3	9	2	2	102	8	0	11	0	51	21	1	12	0	6	6	751	0	0	62	0	5	58	0	20	67	12	10	3	1	17	3	4	32	0	6	1	0	31	2	51	3	0	3	10	0	50	0
S_S2_Rg_085_v1v9_updated_parsed_report.tsv	630	630	440	630	0	0	1	4	4	4	36	6	0	2	3	8	2	2	91	9	0	3	0	27	12	1	14	1	6	10	630	0	0	49	0	6	52	0	20	66	8	4	3	1	14	3	2	34	0	6	1	0	21	2	43	1	0	1	7	0	36	0
S_S2_Blss_067_v1v9_updated_parsed_report.tsv	591	591	351	591	0	1	1	2	4	6	28	6	0	1	2	3	3	2	70	9	0	3	0	53	11	1	8	1	5	1	591	0	0	78	1	4	50	0	14	41	7	9	3	0	15	3	2	30	1	6	0	0	19	0	45	2	0	2	7	0	32	0
S_S5_Cc_098_v1v9_updated_parsed_report.tsv	725	725	500	725	0	1	1	2	7	4	39	6	0	2	3	7	5	2	75	16	0	25	0	28	27	1	15	2	6	3	725	0	0	60	0	7	54	0	23	71	13	5	3	1	15	6	4	33	0	6	1	0	21	1	48	2	0	2	8	0	38	0
S_NS6_Sh_058_updated_parsed_report.tsv	695	695	456	695	0	1	1	3	9	6	48	6	0	2	3	6	4	2	102	11	0	15	0	58	13	1	14	2	7	11	695	0	0	55	0	4	47	0	16	50	5	10	3	2	14	3	5	35	0	6	1	0	28	0	45	2	0	2	8	0	34	0
S_S2_Af_119_updated_parsed_report.tsv	604	604	413	604	0	1	0	3	4	3	35	6	0	1	3	7	4	2	77	6	0	7	0	46	6	1	9	0	6	2	604	0	0	51	0	4	50	0	19	46	7	7	0	1	14	2	3	32	0	6	1	0	13	2	46	0	0	1	6	0	45	0
