S_S2_Ea_077_v1v9_1	1.6.5.3
S_S2_Ea_077_v1v9_46	2.7.13.3
S_S2_Ea_077_v1v9_47	2.7.13.3
S_S2_Ea_077_v1v9_48	2.7.13.3
S_S2_Ea_077_v1v9_49	2.7.13.3
S_S2_Ea_077_v1v9_50	3.5.1.28
S_S2_Ea_077_v1v9_51	3.5.1.28
S_S2_Ea_077_v1v9_52	3.1.3.18
S_S2_Ea_077_v1v9_53	3.6.1.1
S_S2_Ea_077_v1v9_54	4.1.3.27
S_S2_Ea_077_v1v9_55	4.1.3.27
S_S2_Ea_077_v1v9_56	4.1.3.27
S_S2_Ea_077_v1v9_57	2.7.11.1
S_S2_Ea_077_v1v9_58	3.4.16.4
S_S2_Ea_077_v1v9_59	3.4.16.4
S_S2_Ea_077_v1v9_60	3.4.16.4
S_S2_Ea_077_v1v9_61	3.4.16.4
S_S2_Ea_077_v1v9_62	3.6.4.13
S_S2_Ea_077_v1v9_63	3.6.4.13
S_S2_Ea_077_v1v9_64	6.3.5.5
S_S2_Ea_077_v1v9_65	6.3.5.5
S_S2_Ea_077_v1v9_66	3.1.3.48
S_S2_Ea_077_v1v9_67	3.1.3.48
S_S2_Ea_077_v1v9_68	3.1.3.48
S_S2_Ea_077_v1v9_69	3.1.3.48
S_S2_Ea_077_v1v9_70	3.1.3.48
S_S2_Ea_077_v1v9_71	2.7.7.6
S_S2_Ea_077_v1v9_72	2.7.7.6
S_S2_Ea_077_v1v9_73	2.7.7.6
S_S2_Ea_077_v1v9_74	2.7.7.6
S_S2_Ea_077_v1v9_75	2.3.3.13
S_S2_Ea_077_v1v9_76	2.1.1.191
S_S2_Ea_077_v1v9_77	4.2.1.20
S_S2_Ea_077_v1v9_78	4.2.1.20
S_S2_Ea_077_v1v9_79	6.3.5.6
S_S2_Ea_077_v1v9_80	6.3.5.6
S_S2_Ea_077_v1v9_81	6.3.5.6
S_S2_Ea_077_v1v9_82	6.3.5.7
S_S2_Ea_077_v1v9_83	6.3.5.7
S_S2_Ea_077_v1v9_84	6.3.5.7
S_S2_Ea_077_v1v9_85	2.7.1.11
S_S2_Ea_077_v1v9_86	2.7.1.11
S_S2_Ea_077_v1v9_87	3.2.2.27
S_S2_Ea_077_v1v9_88	3.2.2.27
S_S2_Ea_077_v1v9_89	2.1.1.176
S_S2_Ea_077_v1v9_90	3.6.3.14
S_S2_Ea_077_v1v9_91	3.6.3.14
S_S2_Ea_077_v1v9_92	3.6.3.14
S_S2_Ea_077_v1v9_93	3.6.1.66
S_S2_Ea_077_v1v9_94	1.17.99.6
S_S2_Ea_077_v1v9_95	1.5.1.20
S_S2_Ea_077_v1v9_96	6.3.5.3
S_S2_Ea_077_v1v9_97	6.3.5.3
S_S2_Ea_077_v1v9_98	6.3.5.3
S_S2_Ea_077_v1v9_99	3.1.26.4
S_S2_Ea_077_v1v9_100	3.1.26.4
S_S2_Ea_077_v1v9_101	3.1.26.4
S_S2_Ea_077_v1v9_102	3.1.26.4
S_S2_Ea_077_v1v9_103	3.1.3.16
S_S2_Ea_077_v1v9_104	3.1.3.16
S_S2_Ea_077_v1v9_105	2.7.8.12
S_S2_Ea_077_v1v9_106	2.3.1.15
S_S2_Ea_077_v1v9_107	2.3.1.15
S_S2_Ea_077_v1v9_108	2.5.1.3
S_S2_Ea_077_v1v9_109	2.3.1.79
S_S2_Ea_077_v1v9_110	2.3.1.79
S_S2_Ea_077_v1v9_111	2.3.1.79
S_S2_Ea_077_v1v9_112	6.1.1.20
S_S2_Ea_077_v1v9_113	6.1.1.20
S_S2_Ea_077_v1v9_114	3.6.3.34
S_S2_Ea_077_v1v9_115	3.6.3.34
S_S2_Ea_077_v1v9_116	3.6.3.34
S_S2_Ea_077_v1v9_117	6.3.2.4
S_S2_Ea_077_v1v9_118	5.99.1.3
S_S2_Ea_077_v1v9_119	5.99.1.3
S_S2_Ea_077_v1v9_120	4.2.1.33
S_S2_Ea_077_v1v9_121	4.2.1.33
S_S2_Ea_077_v1v9_122	4.4.1.8
S_S2_Ea_077_v1v9_123	4.4.1.8
S_S2_Ea_077_v1v9_124	4.4.1.8
S_S2_Ea_077_v1v9_125	4.4.1.8
S_S2_Ea_077_v1v9_126	4.4.1.8
S_S2_Ea_077_v1v9_127	4.4.1.8
S_S2_Ea_077_v1v9_128	2.7.1.180
S_S2_Ea_077_v1v9_129	2.5.1.49
S_S2_Ea_077_v1v9_130	2.5.1.47
S_S2_Ea_077_v1v9_131	2.5.1.47
S_S2_Ea_077_v1v9_132	2.7.1.49
S_S2_Ea_077_v1v9_133	2.7.1.49
S_S2_Ea_077_v1v9_134	2.7.4.7
S_S2_Ea_077_v1v9_135	2.7.4.7
S_S2_Ea_077_v1v9_136	6.3.1.2
S_S2_Ea_077_v1v9_137	2.4.2.7
S_S2_Ea_077_v1v9_138	2.7.4.3
S_S2_Ea_077_v1v9_139	3.4.21.89
S_S2_Ea_077_v1v9_140	3.4.21.89
S_S2_Ea_077_v1v9_141	3.4.21.89
S_S2_Ea_077_v1v9_142	3.4.21.89
S_S2_Ea_077_v1v9_143	3.4.21.89
S_S2_Ea_077_v1v9_144	3.4.21.89
S_S2_Ea_077_v1v9_145	2.8.1.7
S_S2_Ea_077_v1v9_146	2.8.1.7
S_S2_Ea_077_v1v9_147	2.8.1.7
S_S2_Ea_077_v1v9_148	3.6.3.27
S_S2_Ea_077_v1v9_149	3.6.3.27
S_S2_Ea_077_v1v9_150	2.3.1.1
S_S2_Ea_077_v1v9_151	5.4.99.23
S_S2_Ea_077_v1v9_152	5.4.99.23
S_S2_Ea_077_v1v9_153	5.4.99.23
S_S2_Ea_077_v1v9_154	5.1.3.2
S_S2_Ea_077_v1v9_155	5.1.3.2
S_S2_Ea_077_v1v9_156	4.2.1.11
S_S2_Ea_077_v1v9_157	3.2.1.22
S_S2_Ea_077_v1v9_158	1.1.98.6
S_S2_Ea_077_v1v9_159	3.6.3.54
S_S2_Ea_077_v1v9_160	1.2.4.1
S_S2_Ea_077_v1v9_161	1.2.4.1
S_S2_Ea_077_v1v9_162	1.2.4.1
S_S2_Ea_077_v1v9_163	1.8.4.12
S_S2_Ea_077_v1v9_164	1.8.4.12
S_S2_Ea_077_v1v9_165	1.8.4.12
S_S2_Ea_077_v1v9_166	1.8.4.11
S_S2_Ea_077_v1v9_167	1.8.4.11
S_S2_Ea_077_v1v9_168	1.8.4.11
S_S2_Ea_077_v1v9_169	3.5.2.3
S_S2_Ea_077_v1v9_170	3.5.2.3
S_S2_Ea_077_v1v9_171	3.5.2.3
S_S2_Ea_077_v1v9_172	3.6.1.55
S_S2_Ea_077_v1v9_173	3.6.1.55
S_S2_Ea_077_v1v9_174	2.7.1.2
S_S2_Ea_077_v1v9_175	4.2.3.4
S_S2_Ea_077_v1v9_176	4.2.1.35
S_S2_Ea_077_v1v9_177	4.2.1.35
S_S2_Ea_077_v1v9_178	3.5.1.88
S_S2_Ea_077_v1v9_179	3.5.1.88
S_S2_Ea_077_v1v9_180	1.97.1.4
S_S2_Ea_077_v1v9_181	1.97.1.4
S_S2_Ea_077_v1v9_182	1.97.1.4
S_S2_Ea_077_v1v9_183	1.97.1.4
S_S2_Ea_077_v1v9_184	3.2.1.20
S_S2_Ea_077_v1v9_185	3.2.1.20
S_S2_Ea_077_v1v9_186	5.4.99.22
S_S2_Ea_077_v1v9_187	2.2.1.6
S_S2_Ea_077_v1v9_188	2.2.1.6
S_S2_Ea_077_v1v9_189	2.2.1.6
S_S2_Ea_077_v1v9_190	4.1.1.48
S_S2_Ea_077_v1v9_191	5.1.1.1
S_S2_Ea_077_v1v9_192	3.1.11.6
S_S2_Ea_077_v1v9_193	3.1.11.6
S_S2_Ea_077_v1v9_194	1.10.3.14
S_S2_Ea_077_v1v9_195	1.10.3.14
S_S2_Ea_077_v1v9_196	1.10.3.14
S_S2_Ea_077_v1v9_197	3.2.1.1
S_S2_Ea_077_v1v9_198	3.2.1.1
S_S2_Ea_077_v1v9_199	2.1.1.63
S_S2_Ea_077_v1v9_200	2.1.1.63
S_S2_Ea_077_v1v9_201	2.2.1.9
S_S2_Ea_077_v1v9_202	6.1.1.10
S_S2_Ea_077_v1v9_203	4.1.1.44
S_S2_Ea_077_v1v9_204	1.1.1.133
S_S2_Ea_077_v1v9_205	1.1.1.133
S_S2_Ea_077_v1v9_206	3.5.99.6
S_S2_Ea_077_v1v9_207	2.1.1.227
S_S2_Ea_077_v1v9_208	2.1.1.226
S_S2_Ea_077_v1v9_209	3.2.2.10
S_S2_Ea_077_v1v9_210	3.2.2.10
S_S2_Ea_077_v1v9_211	3.2.2.10
S_S2_Ea_077_v1v9_212	2.4.2.10
S_S2_Ea_077_v1v9_213	3.6.1.27
S_S2_Ea_077_v1v9_214	3.6.1.27
S_S2_Ea_077_v1v9_215	3.6.1.27
S_S2_Ea_077_v1v9_216	4.1.1.23
S_S2_Ea_077_v1v9_217	6.1.1.12
S_S2_Ea_077_v1v9_218	3.1.1.1
S_S2_Ea_077_v1v9_219	1.8.1.9
S_S2_Ea_077_v1v9_220	1.8.1.9
S_S2_Ea_077_v1v9_221	1.8.1.9
S_S2_Ea_077_v1v9_222	4.3.1.17
S_S2_Ea_077_v1v9_223	4.3.1.17
S_S2_Ea_077_v1v9_224	1.2.1.11
S_S2_Ea_077_v1v9_225	2.5.1.29
S_S2_Ea_077_v1v9_226	2.5.1.10
S_S2_Ea_077_v1v9_227	2.5.1.1
S_S2_Ea_077_v1v9_228	3.1.26.5
S_S2_Ea_077_v1v9_229	4.2.1.136
S_S2_Ea_077_v1v9_230	1.4.1.14
S_S2_Ea_077_v1v9_231	1.4.1.14
S_S2_Ea_077_v1v9_232	1.4.1.14
S_S2_Ea_077_v1v9_233	1.4.1.13
S_S2_Ea_077_v1v9_234	1.4.1.13
S_S2_Ea_077_v1v9_235	1.4.1.13
S_S2_Ea_077_v1v9_236	5.3.1.8
S_S2_Ea_077_v1v9_237	5.3.1.8
S_S2_Ea_077_v1v9_238	3.1.3.25
S_S2_Ea_077_v1v9_239	2.1.1.177
S_S2_Ea_077_v1v9_240	5.1.99.6
S_S2_Ea_077_v1v9_241	2.3.1.39
S_S2_Ea_077_v1v9_242	1.11.1.15
S_S2_Ea_077_v1v9_243	3.4.23.36
S_S2_Ea_077_v1v9_244	6.1.1.5
S_S2_Ea_077_v1v9_245	2.7.1.33
S_S2_Ea_077_v1v9_246	2.1.2.9
S_S2_Ea_077_v1v9_247	2.7.1.6
S_S2_Ea_077_v1v9_248	3.1.11.2
S_S2_Ea_077_v1v9_249	3.5.1.25
S_S2_Ea_077_v1v9_250	3.5.1.124
S_S2_Ea_077_v1v9_251	6.3.1.20
S_S2_Ea_077_v1v9_252	3.4.11.18
S_S2_Ea_077_v1v9_253	3.4.11.18
S_S2_Ea_077_v1v9_254	2.7.1.23
S_S2_Ea_077_v1v9_255	3.1.3.5
S_S2_Ea_077_v1v9_256	3.1.3.5
S_S2_Ea_077_v1v9_257	3.1.3.5
S_S2_Ea_077_v1v9_258	3.1.3.5
S_S2_Ea_077_v1v9_259	6.3.2.17
S_S2_Ea_077_v1v9_260	6.3.2.12
S_S2_Ea_077_v1v9_261	1.4.1.4
S_S2_Ea_077_v1v9_262	2.7.1.202
S_S2_Ea_077_v1v9_263	2.7.1.202
S_S2_Ea_077_v1v9_264	2.7.1.202
S_S2_Ea_077_v1v9_265	2.7.1.202
S_S2_Ea_077_v1v9_266	2.7.1.202
S_S2_Ea_077_v1v9_267	2.7.1.202
S_S2_Ea_077_v1v9_268	2.7.1.202
S_S2_Ea_077_v1v9_269	2.7.1.202
S_S2_Ea_077_v1v9_270	2.7.1.202
S_S2_Ea_077_v1v9_271	2.7.1.202
S_S2_Ea_077_v1v9_272	2.7.1.202
S_S2_Ea_077_v1v9_273	2.7.1.202
S_S2_Ea_077_v1v9_274	2.7.1.202
S_S2_Ea_077_v1v9_275	2.7.1.202
S_S2_Ea_077_v1v9_276	2.7.1.202
S_S2_Ea_077_v1v9_277	2.7.1.202
S_S2_Ea_077_v1v9_278	2.3.1.54
S_S2_Ea_077_v1v9_279	2.3.1.54
S_S2_Ea_077_v1v9_280	2.3.1.54
S_S2_Ea_077_v1v9_281	2.3.1.54
S_S2_Ea_077_v1v9_282	2.1.1.45
S_S2_Ea_077_v1v9_283	5.3.1.24
S_S2_Ea_077_v1v9_284	5.3.1.24
S_S2_Ea_077_v1v9_285	4.4.1.16
S_S2_Ea_077_v1v9_286	2.1.3.15
S_S2_Ea_077_v1v9_287	2.1.3.15
S_S2_Ea_077_v1v9_288	5.1.3.3
S_S2_Ea_077_v1v9_289	2.7.4.22
S_S2_Ea_077_v1v9_290	1.2.1.12
S_S2_Ea_077_v1v9_291	1.2.1.12
S_S2_Ea_077_v1v9_292	2.3.1.179
S_S2_Ea_077_v1v9_293	6.1.1.2
S_S2_Ea_077_v1v9_294	2.7.1.4
S_S2_Ea_077_v1v9_295	2.7.1.4
S_S2_Ea_077_v1v9_296	2.3.1.29
S_S2_Ea_077_v1v9_297	2.1.1.228
S_S2_Ea_077_v1v9_298	1.20.4.1
S_S2_Ea_077_v1v9_299	1.20.4.1
S_S2_Ea_077_v1v9_300	1.20.4.1
S_S2_Ea_077_v1v9_301	2.4.1.1
S_S2_Ea_077_v1v9_302	3.6.3.8
S_S2_Ea_077_v1v9_303	3.6.3.8
S_S2_Ea_077_v1v9_304	3.6.3.8
S_S2_Ea_077_v1v9_305	1.2.3.3
S_S2_Ea_077_v1v9_306	2.4.2.18
S_S2_Ea_077_v1v9_307	4.2.1.46
S_S2_Ea_077_v1v9_308	2.7.7.24
S_S2_Ea_077_v1v9_309	6.3.4.15
S_S2_Ea_077_v1v9_310	6.1.1.21
S_S2_Ea_077_v1v9_311	1.1.1.85
S_S2_Ea_077_v1v9_312	2.7.2.3
S_S2_Ea_077_v1v9_313	6.3.4.4
S_S2_Ea_077_v1v9_314	2.1.2.2
S_S2_Ea_077_v1v9_315	3.5.1.42
S_S2_Ea_077_v1v9_316	2.7.1.40
S_S2_Ea_077_v1v9_317	3.1.1.29
S_S2_Ea_077_v1v9_318	6.1.1.7
S_S2_Ea_077_v1v9_319	2.1.1.182
S_S2_Ea_077_v1v9_320	6.3.3.1
S_S2_Ea_077_v1v9_321	2.4.2.14
S_S2_Ea_077_v1v9_322	4.1.1.36
S_S2_Ea_077_v1v9_323	6.3.2.5
S_S2_Ea_077_v1v9_324	6.3.2.5
S_S2_Ea_077_v1v9_325	3.1.3.100
S_S2_Ea_077_v1v9_326	3.1.3.100
S_S2_Ea_077_v1v9_327	3.1.3.15
S_S2_Ea_077_v1v9_328	2.7.4.8
S_S2_Ea_077_v1v9_329	2.7.4.8
S_S2_Ea_077_v1v9_330	2.3.1.180
S_S2_Ea_077_v1v9_331	2.7.7.3
S_S2_Ea_077_v1v9_332	2.7.7.9
S_S2_Ea_077_v1v9_333	2.7.7.39
S_S2_Ea_077_v1v9_334	2.5.1.74
S_S2_Ea_077_v1v9_335	2.5.1.74
S_S2_Ea_077_v1v9_336	2.5.1.74
S_S2_Ea_077_v1v9_337	2.5.1.74
S_S2_Ea_077_v1v9_338	3.6.5.4
S_S2_Ea_077_v1v9_339	6.1.1.11
S_S2_Ea_077_v1v9_340	4.2.1.2
S_S2_Ea_077_v1v9_341	4.3.3.7
S_S2_Ea_077_v1v9_342	4.3.3.7
S_S2_Ea_077_v1v9_343	1.17.1.8
S_S2_Ea_077_v1v9_344	2.1.2.11
S_S2_Ea_077_v1v9_345	6.1.1.3
S_S2_Ea_077_v1v9_346	6.1.1.3
S_S2_Ea_077_v1v9_347	2.4.1.129
S_S2_Ea_077_v1v9_348	2.4.1.129
S_S2_Ea_077_v1v9_349	2.4.1.129
S_S2_Ea_077_v1v9_350	1.1.1.94
S_S2_Ea_077_v1v9_351	6.1.1.6
S_S2_Ea_077_v1v9_352	6.3.5.2
S_S2_Ea_077_v1v9_353	2.6.1.42
S_S2_Ea_077_v1v9_354	4.1.2.13
S_S2_Ea_077_v1v9_355	4.1.2.13
S_S2_Ea_077_v1v9_356	4.1.2.13
S_S2_Ea_077_v1v9_357	4.1.2.13
S_S2_Ea_077_v1v9_358	4.1.2.13
S_S2_Ea_077_v1v9_359	4.1.2.13
S_S2_Ea_077_v1v9_360	4.1.1.20
S_S2_Ea_077_v1v9_361	2.4.99.17
S_S2_Ea_077_v1v9_362	1.1.1.95
S_S2_Ea_077_v1v9_363	1.1.1.95
S_S2_Ea_077_v1v9_364	1.1.1.95
S_S2_Ea_077_v1v9_365	1.1.1.95
S_S2_Ea_077_v1v9_366	1.1.1.399
S_S2_Ea_077_v1v9_367	1.1.1.399
S_S2_Ea_077_v1v9_368	1.1.1.399
S_S2_Ea_077_v1v9_369	1.1.1.399
S_S2_Ea_077_v1v9_370	6.1.1.22
S_S2_Ea_077_v1v9_371	1.1.1.205
S_S2_Ea_077_v1v9_372	4.2.1.10
S_S2_Ea_077_v1v9_373	4.2.1.10
S_S2_Ea_077_v1v9_374	4.2.1.10
S_S2_Ea_077_v1v9_375	1.2.7.1
S_S2_Ea_077_v1v9_376	1.2.7.1
S_S2_Ea_077_v1v9_377	2.5.1.54
S_S2_Ea_077_v1v9_378	2.7.7.2
S_S2_Ea_077_v1v9_379	2.7.1.26
S_S2_Ea_077_v1v9_380	5.4.99.25
S_S2_Ea_077_v1v9_381	3.1.3.7
S_S2_Ea_077_v1v9_382	3.1.13.3
S_S2_Ea_077_v1v9_383	6.3.4.19
S_S2_Ea_077_v1v9_384	6.3.4.19
S_S2_Ea_077_v1v9_385	2.3.1.8
S_S2_Ea_077_v1v9_386	4.2.1.19
S_S2_Ea_077_v1v9_387	2.7.6.1
S_S2_Ea_077_v1v9_388	2.7.6.1
S_S2_Ea_077_v1v9_389	3.5.4.26
S_S2_Ea_077_v1v9_390	1.1.1.193
S_S2_Ea_077_v1v9_391	4.3.1.12
S_S2_Ea_077_v1v9_392	4.1.1.81
S_S2_Ea_077_v1v9_393	2.6.1.9
S_S2_Ea_077_v1v9_394	2.6.1.9
S_S2_Ea_077_v1v9_395	2.4.1.18
S_S2_Ea_077_v1v9_396	2.1.3.3
S_S2_Ea_077_v1v9_397	2.7.3.9
S_S2_Ea_077_v1v9_398	6.3.3.2
S_S2_Ea_077_v1v9_399	6.1.1.14
S_S2_Ea_077_v1v9_400	6.1.1.14
S_S2_Ea_077_v1v9_401	5.4.99.19
S_S2_Ea_077_v1v9_402	5.4.99.19
S_S2_Ea_077_v1v9_403	3.6.3.21
S_S2_Ea_077_v1v9_404	3.6.3.21
S_S2_Ea_077_v1v9_405	3.6.3.21
S_S2_Ea_077_v1v9_406	3.6.3.21
S_S2_Ea_077_v1v9_407	3.6.3.21
S_S2_Ea_077_v1v9_408	3.6.3.21
S_S2_Ea_077_v1v9_409	1.2.1.38
S_S2_Ea_077_v1v9_410	2.3.1.35
S_S2_Ea_077_v1v9_411	5.3.1.16
S_S2_Ea_077_v1v9_412	2.1.1.193
S_S2_Ea_077_v1v9_413	1.5.1.3
S_S2_Ea_077_v1v9_414	2.7.1.50
S_S2_Ea_077_v1v9_415	2.7.1.71
S_S2_Ea_077_v1v9_416	2.3.1.51
S_S2_Ea_077_v1v9_417	3.1.26.3
S_S2_Ea_077_v1v9_418	2.1.1.198
S_S2_Ea_077_v1v9_419	3.5.4.19
S_S2_Ea_077_v1v9_420	1.1.1.23
S_S2_Ea_077_v1v9_421	2.7.7.87
S_S2_Ea_077_v1v9_422	2.4.2.29
S_S2_Ea_077_v1v9_423	2.1.1.33
S_S2_Ea_077_v1v9_424	6.1.1.9
S_S2_Ea_077_v1v9_425	1.3.1.12
S_S2_Ea_077_v1v9_426	3.5.4.12
S_S2_Ea_077_v1v9_427	2.7.4.25
S_S2_Ea_077_v1v9_428	4.3.1.19
S_S2_Ea_077_v1v9_429	4.3.1.19
S_S2_Ea_077_v1v9_430	4.3.1.19
S_S2_Ea_077_v1v9_431	1.4.1.16
S_S2_Ea_077_v1v9_432	6.3.5.10
S_S2_Ea_077_v1v9_433	2.7.8.26
S_S2_Ea_077_v1v9_434	5.3.1.13
S_S2_Ea_077_v1v9_435	6.3.1.10
S_S2_Ea_077_v1v9_436	2.3.1.30
S_S2_Ea_077_v1v9_437	1.2.1.41
S_S2_Ea_077_v1v9_438	2.7.2.11
S_S2_Ea_077_v1v9_439	2.2.1.1
S_S2_Ea_077_v1v9_440	2.2.1.1
S_S2_Ea_077_v1v9_441	2.2.1.1
S_S2_Ea_077_v1v9_442	2.2.1.1
S_S2_Ea_077_v1v9_443	6.3.2.6
S_S2_Ea_077_v1v9_444	6.3.2.6
S_S2_Ea_077_v1v9_445	6.3.2.6
S_S2_Ea_077_v1v9_446	4.2.99.18
S_S2_Ea_077_v1v9_447	4.2.99.18
S_S2_Ea_077_v1v9_448	6.3.4.5
S_S2_Ea_077_v1v9_449	1.8.1.4
S_S2_Ea_077_v1v9_450	1.8.1.4
S_S2_Ea_077_v1v9_451	5.3.1.1
S_S2_Ea_077_v1v9_452	5.3.1.1
S_S2_Ea_077_v1v9_453	5.3.1.1
S_S2_Ea_077_v1v9_454	4.1.1.15
S_S2_Ea_077_v1v9_455	4.1.1.15
S_S2_Ea_077_v1v9_456	4.1.1.15
S_S2_Ea_077_v1v9_457	2.1.1.37
S_S2_Ea_077_v1v9_458	2.1.1.37
S_S2_Ea_077_v1v9_459	2.1.1.37
S_S2_Ea_077_v1v9_460	4.3.2.2
S_S2_Ea_077_v1v9_461	1.1.1.25
S_S2_Ea_077_v1v9_462	1.1.1.25
S_S2_Ea_077_v1v9_463	1.17.4.1
S_S2_Ea_077_v1v9_464	1.17.4.1
S_S2_Ea_077_v1v9_465	2.7.2.4
S_S2_Ea_077_v1v9_466	1.1.1.3
S_S2_Ea_077_v1v9_467	2.1.1.13
S_S2_Ea_077_v1v9_468	3.4.11.4
S_S2_Ea_077_v1v9_469	3.4.11.4
S_S2_Ea_077_v1v9_470	1.1.1.42
S_S2_Ea_077_v1v9_471	2.7.7.8
S_S2_Ea_077_v1v9_472	2.4.2.8
S_S2_Ea_077_v1v9_473	2.4.2.8
S_S2_Ea_077_v1v9_474	2.3.1.183
S_S2_Ea_077_v1v9_475	2.7.4.9
S_S2_Ea_077_v1v9_476	4.2.1.59
S_S2_Ea_077_v1v9_477	4.2.1.59
S_S2_Ea_077_v1v9_478	1.1.1.1
S_S2_Ea_077_v1v9_479	1.1.1.1
S_S2_Ea_077_v1v9_480	1.1.1.1
S_S2_Ea_077_v1v9_481	1.1.1.1
S_S2_Ea_077_v1v9_482	1.1.1.1
S_S2_Ea_077_v1v9_483	4.2.3.5
S_S2_Ea_077_v1v9_484	2.5.1.7
S_S2_Ea_077_v1v9_485	2.5.1.7
S_S2_Ea_077_v1v9_486	2.7.9.1
S_S2_Ea_077_v1v9_487	5.3.1.9
S_S2_Ea_077_v1v9_488	1.5.1.2
S_S2_Ea_077_v1v9_489	5.4.99.12
S_S2_Ea_077_v1v9_490	5.4.99.12
S_S2_Ea_077_v1v9_491	2.7.7.18
S_S2_Ea_077_v1v9_492	2.7.7.56
S_S2_Ea_077_v1v9_493	6.3.2.1
S_S2_Ea_077_v1v9_494	1.1.1.169
S_S2_Ea_077_v1v9_495	6.3.4.3
S_S2_Ea_077_v1v9_496	6.3.4.13
S_S2_Ea_077_v1v9_497	4.1.99.12
S_S2_Ea_077_v1v9_498	3.5.4.25
S_S2_Ea_077_v1v9_499	2.5.1.78
S_S2_Ea_077_v1v9_500	2.1.1.192
S_S2_Ea_077_v1v9_501	3.2.2.20
S_S2_Ea_077_v1v9_502	3.2.2.20
S_S2_Ea_077_v1v9_503	2.3.1.57
S_S2_Ea_077_v1v9_504	2.3.1.57
S_S2_Ea_077_v1v9_505	2.1.1.190
S_S2_Ea_077_v1v9_506	2.1.1.190
S_S2_Ea_077_v1v9_507	2.5.1.9
S_S2_Ea_077_v1v9_508	6.1.1.15
S_S2_Ea_077_v1v9_509	2.1.1.297
S_S2_Ea_077_v1v9_510	5.1.1.7
S_S2_Ea_077_v1v9_511	4.3.2.1
S_S2_Ea_077_v1v9_512	6.1.1.16
S_S2_Ea_077_v1v9_513	3.4.21.102
S_S2_Ea_077_v1v9_514	2.6.1.17
S_S2_Ea_077_v1v9_515	2.6.1.11
S_S2_Ea_077_v1v9_516	2.7.7.41
S_S2_Ea_077_v1v9_517	2.3.1.12
S_S2_Ea_077_v1v9_518	2.3.1.12
S_S2_Ea_077_v1v9_519	2.1.1.107
S_S2_Ea_077_v1v9_520	2.1.1.107
S_S2_Ea_077_v1v9_521	2.7.8.5
S_S2_Ea_077_v1v9_522	2.7.8.5
S_S2_Ea_077_v1v9_523	6.5.1.2
S_S2_Ea_077_v1v9_524	4.2.1.51
S_S2_Ea_077_v1v9_525	2.3.3.1
S_S2_Ea_077_v1v9_526	2.1.1.207
S_S2_Ea_077_v1v9_527	2.5.1.19
S_S2_Ea_077_v1v9_528	2.7.4.6
S_S2_Ea_077_v1v9_529	4.1.2.48
S_S2_Ea_077_v1v9_530	1.1.1.86
S_S2_Ea_077_v1v9_531	2.6.1.1
S_S2_Ea_077_v1v9_532	2.5.1.31
S_S2_Ea_077_v1v9_533	2.7.1.148
S_S2_Ea_077_v1v9_534	2.7.2.8
S_S2_Ea_077_v1v9_535	3.5.4.10
S_S2_Ea_077_v1v9_536	2.1.2.3
S_S2_Ea_077_v1v9_537	2.7.8.7
