S_NS1_Ca_028_1	NADH-DEHYDROG-A-RXN
S_NS1_Ca_028_72	ATPSYN-RXN
S_NS1_Ca_028_73	ATPSYN-RXN
S_NS1_Ca_028_75	RXN-12104
S_NS1_Ca_028_76	1.5.1.20-RXN
S_NS1_Ca_028_77	FGAMSYN-RXN
S_NS1_Ca_028_78	3.1.26.4-RXN
S_NS1_Ca_028_79	3.1.26.4-RXN
S_NS1_Ca_028_80	3.1.3.16-RXN
S_NS1_Ca_028_81	3.1.3.16-RXN
S_NS1_Ca_028_82	3.1.3.16-RXN
S_NS1_Ca_028_83	2.7.8.12-RXN
S_NS1_Ca_028_83	TEICHOICSYN4-RXN
S_NS1_Ca_028_84	2.7.8.12-RXN
S_NS1_Ca_028_84	TEICHOICSYN4-RXN
S_NS1_Ca_028_85	RXN-16024
S_NS1_Ca_028_85	RXN-16117
S_NS1_Ca_028_85	RXN-10462
S_NS1_Ca_028_85	RXN-13805
S_NS1_Ca_028_85	RXN-1381
S_NS1_Ca_028_85	RXN-15045
S_NS1_Ca_028_86	RXN-16024
S_NS1_Ca_028_86	RXN-16117
S_NS1_Ca_028_86	RXN-10462
S_NS1_Ca_028_86	RXN-13805
S_NS1_Ca_028_86	RXN-1381
S_NS1_Ca_028_86	RXN-15045
S_NS1_Ca_028_87	HISTONE-ACETYLTRANSFERASE-RXN
S_NS1_Ca_028_88	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_89	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_90	DALADALALIG-RXN
S_NS1_Ca_028_91	5.99.1.3-RXN
S_NS1_Ca_028_92	5.99.1.3-RXN
S_NS1_Ca_028_93	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS1_Ca_028_93	ACETYLHOMOSER-CYS-RXN
S_NS1_Ca_028_94	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS1_Ca_028_94	ACETYLHOMOSER-CYS-RXN
S_NS1_Ca_028_95	SULFOCYS-RXN
S_NS1_Ca_028_95	RXN-12726
S_NS1_Ca_028_95	ACSERLY-RXN
S_NS1_Ca_028_96	OHMETPYRKIN-RXN
S_NS1_Ca_028_97	PYRIMSYN3-RXN
S_NS1_Ca_028_98	PYRIMSYN1-RXN
S_NS1_Ca_028_99	GLUTAMINESYN-RXN
S_NS1_Ca_028_100	GLUTAMINESYN-RXN
S_NS1_Ca_028_101	ADENPRIBOSYLTRAN-RXN
S_NS1_Ca_028_101	RXN-14270
S_NS1_Ca_028_102	ADENYL-KIN-RXN
S_NS1_Ca_028_103	3.4.21.89-RXN
S_NS1_Ca_028_104	RXN-15881
S_NS1_Ca_028_104	RXN-14384
S_NS1_Ca_028_104	RXN-14385
S_NS1_Ca_028_104	RXN-14386
S_NS1_Ca_028_104	RXN-12587
S_NS1_Ca_028_104	RXN-9787
S_NS1_Ca_028_104	RXN-12588
S_NS1_Ca_028_104	RXN0-308
S_NS1_Ca_028_105	RXN-15881
S_NS1_Ca_028_105	RXN-14384
S_NS1_Ca_028_105	RXN-14385
S_NS1_Ca_028_105	RXN-14386
S_NS1_Ca_028_105	RXN-12587
S_NS1_Ca_028_105	RXN-9787
S_NS1_Ca_028_105	RXN-12588
S_NS1_Ca_028_105	RXN0-308
S_NS1_Ca_028_106	ABC-27-RXN
S_NS1_Ca_028_107	ABC-27-RXN
S_NS1_Ca_028_108	RXN0-6948
S_NS1_Ca_028_108	N-ACETYLTRANSFER-RXN
S_NS1_Ca_028_109	RXN-11837
S_NS1_Ca_028_110	RXN-11837
S_NS1_Ca_028_111	UDPGLUCEPIM-RXN
S_NS1_Ca_028_112	UDPGLUCEPIM-RXN
S_NS1_Ca_028_113	2PGADEHYDRAT-RXN
S_NS1_Ca_028_115	DIHYDROOROT-RXN
S_NS1_Ca_028_116	GLUCOKIN-RXN
S_NS1_Ca_028_116	RXN66-521
S_NS1_Ca_028_116	RXN-1685
S_NS1_Ca_028_117	GLUCOKIN-RXN
S_NS1_Ca_028_117	RXN66-521
S_NS1_Ca_028_117	RXN-1685
S_NS1_Ca_028_118	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS1_Ca_028_119	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS1_Ca_028_120	3.5.1.88-RXN
S_NS1_Ca_028_120	3.5.1.27-RXN
S_NS1_Ca_028_121	3.5.1.88-RXN
S_NS1_Ca_028_121	3.5.1.27-RXN
S_NS1_Ca_028_122	3.5.1.88-RXN
S_NS1_Ca_028_122	3.5.1.27-RXN
S_NS1_Ca_028_123	TDCEACT-RXN
S_NS1_Ca_028_124	TDCEACT-RXN
S_NS1_Ca_028_125	TDCEACT-RXN
S_NS1_Ca_028_126	RXN-11836
S_NS1_Ca_028_127	2.7.1.90-RXN
S_NS1_Ca_028_128	ALARACECAT-RXN
S_NS1_Ca_028_129	3.1.11.6-RXN
S_NS1_Ca_028_130	3.1.11.6-RXN
S_NS1_Ca_028_131	2.1.1.63-RXN
S_NS1_Ca_028_132	2.5.1.64-RXN
S_NS1_Ca_028_133	2.5.1.64-RXN
S_NS1_Ca_028_134	3.4.23.43-RXN
S_NS1_Ca_028_135	METHIONINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_135	RXN-16165
S_NS1_Ca_028_136	METHIONINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_136	RXN-16165
S_NS1_Ca_028_137	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Ca_028_138	DTDPDEHYRHAMREDUCT-RXN
S_NS1_Ca_028_139	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS1_Ca_028_140	RXN-12462
S_NS1_Ca_028_141	RXN-12463
S_NS1_Ca_028_142	RXN-14065
S_NS1_Ca_028_143	RXN-14065
S_NS1_Ca_028_144	OROPRIBTRANS-RXN
S_NS1_Ca_028_145	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS1_Ca_028_146	OROTPDECARB-RXN
S_NS1_Ca_028_147	ASPARTATE--TRNA-LIGASE-RXN
S_NS1_Ca_028_148	THIOREDOXIN-REDUCT-NADPH-RXN
S_NS1_Ca_028_149	4.3.1.17-RXN
S_NS1_Ca_028_150	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_NS1_Ca_028_151	FARNESYLTRANSTRANSFERASE-RXN
S_NS1_Ca_028_152	FARNESYLTRANSTRANSFERASE-RXN
S_NS1_Ca_028_153	FPPSYN-RXN
S_NS1_Ca_028_154	FPPSYN-RXN
S_NS1_Ca_028_155	GPPSYN-RXN
S_NS1_Ca_028_156	GPPSYN-RXN
S_NS1_Ca_028_157	QUINOPRIBOTRANS-RXN
S_NS1_Ca_028_158	RXN0-6480
S_NS1_Ca_028_158	3.1.26.5-RXN
S_NS1_Ca_028_159	RXN0-6727
S_NS1_Ca_028_159	RXN-13141
S_NS1_Ca_028_160	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS1_Ca_028_161	GLUTAMATESYN-RXN
S_NS1_Ca_028_162	MANNPISOM-RXN
S_NS1_Ca_028_163	RXN0-302
S_NS1_Ca_028_164	RXN-11592
S_NS1_Ca_028_165	RXN-12752
S_NS1_Ca_028_165	RXN-13142
S_NS1_Ca_028_166	PPPGPPHYDRO-RXN
S_NS1_Ca_028_167	3.4.23.36-RXN
S_NS1_Ca_028_168	ISOLEUCINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_169	PANTOTHENATE-KIN-RXN
S_NS1_Ca_028_170	PANTOTHENATE-KIN-RXN
S_NS1_Ca_028_171	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_NS1_Ca_028_172	GALACTOKIN-RXN
S_NS1_Ca_028_173	3.1.11.2-RXN
S_NS1_Ca_028_174	NAG6PDEACET-RXN
S_NS1_Ca_028_174	3.5.1.80-RXN
S_NS1_Ca_028_176	POLYPHOSPHATE-KINASE-RXN
S_NS1_Ca_028_177	EXOPOLYPHOSPHATASE-RXN
S_NS1_Ca_028_178	3.4.11.18-RXN
S_NS1_Ca_028_179	3.4.11.18-RXN
S_NS1_Ca_028_180	NAD-KIN-RXN
S_NS1_Ca_028_181	RXN0-2921
S_NS1_Ca_028_181	FOLYLPOLYGLUTAMATESYNTH-RXN
S_NS1_Ca_028_181	FORMYLTHFGLUSYNTH-RXN
S_NS1_Ca_028_182	DIHYDROFOLATESYNTH-RXN
S_NS1_Ca_028_183	GLUTDEHYD-RXN
S_NS1_Ca_028_187	PYRUVFORMLY-RXN
S_NS1_Ca_028_188	THYMIDYLATESYN-RXN
S_NS1_Ca_028_189	SELENOCYSTEINE-LYASE-RXN
S_NS1_Ca_028_190	ALDOSE1EPIM-RXN
S_NS1_Ca_028_190	ALDOSE-1-EPIMERASE-RXN
S_NS1_Ca_028_191	ALDOSE1EPIM-RXN
S_NS1_Ca_028_191	ALDOSE-1-EPIMERASE-RXN
S_NS1_Ca_028_192	RXN-12002
S_NS1_Ca_028_193	GAPOXNPHOSPHN-RXN
S_NS1_Ca_028_194	2.7.7.60-RXN
S_NS1_Ca_028_195	TRYPTOPHAN--TRNA-LIGASE-RXN
S_NS1_Ca_028_196	TRYPTOPHAN--TRNA-LIGASE-RXN
S_NS1_Ca_028_197	FRUCTOKINASE-RXN
S_NS1_Ca_028_198	RXN-14517
S_NS1_Ca_028_198	RXN-12458
S_NS1_Ca_028_199	RXN-982
S_NS1_Ca_028_200	RXN-14285
S_NS1_Ca_028_200	RXN-14284
S_NS1_Ca_028_200	RXN-14286
S_NS1_Ca_028_200	RXN-14353
S_NS1_Ca_028_200	RXN-9025
S_NS1_Ca_028_200	RXN0-5182
S_NS1_Ca_028_200	RXN0-5184
S_NS1_Ca_028_200	GLYCOPHOSPHORYL-RXN
S_NS1_Ca_028_200	RXN-12171
S_NS1_Ca_028_200	GLYMALTOPHOSPHORYL-RXN
S_NS1_Ca_028_200	RXN-1826
S_NS1_Ca_028_200	RXN-12392
S_NS1_Ca_028_201	RXN-14285
S_NS1_Ca_028_201	RXN-14284
S_NS1_Ca_028_201	RXN-14286
S_NS1_Ca_028_201	RXN-14353
S_NS1_Ca_028_201	RXN-9025
S_NS1_Ca_028_201	RXN0-5182
S_NS1_Ca_028_201	RXN0-5184
S_NS1_Ca_028_201	GLYCOPHOSPHORYL-RXN
S_NS1_Ca_028_201	RXN-12171
S_NS1_Ca_028_201	GLYMALTOPHOSPHORYL-RXN
S_NS1_Ca_028_201	RXN-1826
S_NS1_Ca_028_201	RXN-12392
S_NS1_Ca_028_202	3.6.3.8-RXN
S_NS1_Ca_028_203	DTDPGLUCDEHYDRAT-RXN
S_NS1_Ca_028_204	DTDPGLUCDEHYDRAT-RXN
S_NS1_Ca_028_205	DTDPGLUCOSEPP-RXN
S_NS1_Ca_028_206	HISTIDINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_207	PHOSGLYPHOS-RXN
S_NS1_Ca_028_208	ADENYLOSUCCINATE-SYNTHASE-RXN
S_NS1_Ca_028_209	GART-RXN
S_NS1_Ca_028_210	NMNAMIDOHYDRO-RXN
S_NS1_Ca_028_211	RXN-14207
S_NS1_Ca_028_211	PEPDEPHOS-RXN
S_NS1_Ca_028_211	RXN-14117
S_NS1_Ca_028_211	RXN-14192
S_NS1_Ca_028_212	RXN-15878
S_NS1_Ca_028_213	RXN0-882
S_NS1_Ca_028_214	RXN-12460
S_NS1_Ca_028_214	AMINOCYL-TRNA-HYDROLASE-RXN
S_NS1_Ca_028_214	RXN-16637
S_NS1_Ca_028_215	ALANINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_216	RXN-11633
S_NS1_Ca_028_217	AIRS-RXN
S_NS1_Ca_028_218	PRPPAMIDOTRANS-RXN
S_NS1_Ca_028_219	P-PANTOCYSDECARB-RXN
S_NS1_Ca_028_220	P-PANTOCYSLIG-RXN
S_NS1_Ca_028_222	HISTIDPHOS-RXN
S_NS1_Ca_028_223	GUANYL-KIN-RXN
S_NS1_Ca_028_224	DXPREDISOM-RXN
S_NS1_Ca_028_225	PANTEPADENYLYLTRAN-RXN
S_NS1_Ca_028_226	GLUC1PURIDYLTRANS-RXN
S_NS1_Ca_028_227	QUINOLINATE-SYNTHA-RXN
S_NS1_Ca_028_228	RXN0-5462
S_NS1_Ca_028_229	SERINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_229	RXN0-2161
S_NS1_Ca_028_230	DIHYDRODIPICSYN-RXN
S_NS1_Ca_028_231	RXN-14014
S_NS1_Ca_028_232	THREONINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_233	RXN-14712
S_NS1_Ca_028_233	RXN-15521
S_NS1_Ca_028_233	2.4.1.129-RXN
S_NS1_Ca_028_233	RXN-11350
S_NS1_Ca_028_233	RXN-11291
S_NS1_Ca_028_233	RXN-16650
S_NS1_Ca_028_233	RXN-11348
S_NS1_Ca_028_234	GLYC3PDEHYDROGBIOSYN-RXN
S_NS1_Ca_028_235	LYSINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_236	GMP-SYN-GLUT-RXN
S_NS1_Ca_028_237	GMP-SYN-GLUT-RXN
S_NS1_Ca_028_238	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_NS1_Ca_028_238	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_NS1_Ca_028_238	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_NS1_Ca_028_239	F16ALDOLASE-RXN
S_NS1_Ca_028_239	RXN-8631
S_NS1_Ca_028_240	F16ALDOLASE-RXN
S_NS1_Ca_028_240	RXN-8631
S_NS1_Ca_028_241	DIAMINOPIMDECARB-RXN
S_NS1_Ca_028_242	RXN0-1342
S_NS1_Ca_028_243	PGLYCDEHYDROG-RXN
S_NS1_Ca_028_245	ASPARAGINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_246	IMP-DEHYDROG-RXN
S_NS1_Ca_028_247	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_NS1_Ca_028_248	PYRUFLAVREDUCT-RXN
S_NS1_Ca_028_248	2-OXOBUTYRATE-SYNTHASE-RXN
S_NS1_Ca_028_249	PYRUFLAVREDUCT-RXN
S_NS1_Ca_028_249	2-OXOBUTYRATE-SYNTHASE-RXN
S_NS1_Ca_028_250	DAHPSYN-RXN
S_NS1_Ca_028_251	DAHPSYN-RXN
S_NS1_Ca_028_252	FADSYN-RXN
S_NS1_Ca_028_253	RIBOFLAVINKIN-RXN
S_NS1_Ca_028_254	RXN-11839
S_NS1_Ca_028_255	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_NS1_Ca_028_257	3.1.22.4-RXN
S_NS1_Ca_028_258	RXN-1961
S_NS1_Ca_028_259	PHOSACETYLTRANS-RXN
S_NS1_Ca_028_260	IMIDPHOSDEHYD-RXN
S_NS1_Ca_028_261	PRPPSYN-RXN
S_NS1_Ca_028_262	HISTAMINOTRANS-RXN
S_NS1_Ca_028_263	RXN-7669
S_NS1_Ca_028_263	GLYCOGEN-BRANCH-RXN
S_NS1_Ca_028_263	RXN-7710
S_NS1_Ca_028_263	RXN-14371
S_NS1_Ca_028_263	RXN-14372
S_NS1_Ca_028_264	RXN-13482
S_NS1_Ca_028_264	ORNCARBAMTRANSFER-RXN
S_NS1_Ca_028_265	RXN-13482
S_NS1_Ca_028_265	ORNCARBAMTRANSFER-RXN
S_NS1_Ca_028_266	2.7.3.9-RXN
S_NS1_Ca_028_267	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_NS1_Ca_028_268	GLYCINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_269	GLYCINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_270	UGD-RXN
S_NS1_Ca_028_271	ABC-14-RXN
S_NS1_Ca_028_271	ABC-12-RXN
S_NS1_Ca_028_271	RXN0-3
S_NS1_Ca_028_271	ABC-4-RXN
S_NS1_Ca_028_271	TRANS-RXN-265
S_NS1_Ca_028_271	ABC-3-RXN
S_NS1_Ca_028_271	TRANS-RXN0-222
S_NS1_Ca_028_271	ABC-13-RXN
S_NS1_Ca_028_271	TRANS-RXN0-593
S_NS1_Ca_028_271	3.6.3.21-RXN
S_NS1_Ca_028_271	ABC-37-RXN
S_NS1_Ca_028_272	ABC-14-RXN
S_NS1_Ca_028_272	ABC-12-RXN
S_NS1_Ca_028_272	RXN0-3
S_NS1_Ca_028_272	ABC-4-RXN
S_NS1_Ca_028_272	TRANS-RXN-265
S_NS1_Ca_028_272	ABC-3-RXN
S_NS1_Ca_028_272	TRANS-RXN0-222
S_NS1_Ca_028_272	ABC-13-RXN
S_NS1_Ca_028_272	TRANS-RXN0-593
S_NS1_Ca_028_272	3.6.3.21-RXN
S_NS1_Ca_028_272	ABC-37-RXN
S_NS1_Ca_028_273	RXN-15006
S_NS1_Ca_028_273	N-ACETYLGLUTPREDUCT-RXN
S_NS1_Ca_028_274	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_NS1_Ca_028_275	PRIBFAICARPISOM-RXN
S_NS1_Ca_028_276	DIHYDROFOLATEREDUCT-RXN
S_NS1_Ca_028_277	THIAZOLSYN3-RXN
S_NS1_Ca_028_278	SHIKIMATE-KINASE-RXN
S_NS1_Ca_028_279	RXN-16076
S_NS1_Ca_028_279	RXN-16077
S_NS1_Ca_028_279	RXN-16032
S_NS1_Ca_028_279	RXN-16118
S_NS1_Ca_028_279	RXN-15043
S_NS1_Ca_028_279	RXN0-6705
S_NS1_Ca_028_279	RXN-16067
S_NS1_Ca_028_279	RXN-16066
S_NS1_Ca_028_279	RXN-16025
S_NS1_Ca_028_279	RXN0-5514
S_NS1_Ca_028_279	RXN-1623
S_NS1_Ca_028_279	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_NS1_Ca_028_280	3.1.26.3-RXN
S_NS1_Ca_028_281	RXN-11637
S_NS1_Ca_028_282	HISTCYCLOHYD-RXN
S_NS1_Ca_028_283	NAD-SYNTH-GLN-RXN
S_NS1_Ca_028_284	NAD-SYNTH-GLN-RXN
S_NS1_Ca_028_285	RXN-8001
S_NS1_Ca_028_286	RXN-14569
S_NS1_Ca_028_287	RXN0-1321
S_NS1_Ca_028_287	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_NS1_Ca_028_288	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_NS1_Ca_028_289	VALINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_290	3PGAREARR-RXN
S_NS1_Ca_028_291	3PGAREARR-RXN
S_NS1_Ca_028_292	DXS-RXN
S_NS1_Ca_028_293	PREPHENATEDEHYDROG-RXN
S_NS1_Ca_028_294	DCMP-DEAMINASE-RXN
S_NS1_Ca_028_295	RXN-7913
S_NS1_Ca_028_295	RXN-11832
S_NS1_Ca_028_296	SERINE-O-ACETTRAN-RXN
S_NS1_Ca_028_297	SERINE-O-ACETTRAN-RXN
S_NS1_Ca_028_298	GLUTSEMIALDEHYDROG-RXN
S_NS1_Ca_028_299	GLUTKIN-RXN
S_NS1_Ca_028_300	2TRANSKETO-RXN
S_NS1_Ca_028_300	1TRANSKETO-RXN
S_NS1_Ca_028_301	2TRANSKETO-RXN
S_NS1_Ca_028_301	1TRANSKETO-RXN
S_NS1_Ca_028_302	SAICARSYN-RXN
S_NS1_Ca_028_303	4.2.99.18-RXN
S_NS1_Ca_028_303	RXN0-2601
S_NS1_Ca_028_304	ARGSUCCINSYN-RXN
S_NS1_Ca_028_304	RXN-10
S_NS1_Ca_028_305	TRIOSEPISOMERIZATION-RXN
S_NS1_Ca_028_306	3.1.13.5-RXN
S_NS1_Ca_028_306	RXN0-6483
S_NS1_Ca_028_306	RXN0-6484
S_NS1_Ca_028_307	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_NS1_Ca_028_308	AMPSYN-RXN
S_NS1_Ca_028_308	AICARSYN-RXN
S_NS1_Ca_028_309	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_NS1_Ca_028_309	RXN0-748
S_NS1_Ca_028_309	RXN0-747
S_NS1_Ca_028_309	GDPREDUCT-RXN
S_NS1_Ca_028_309	ADPREDUCT-RXN
S_NS1_Ca_028_309	RXN0-722
S_NS1_Ca_028_309	CDPREDUCT-RXN
S_NS1_Ca_028_309	UDPREDUCT-RXN
S_NS1_Ca_028_309	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_NS1_Ca_028_310	ASPARTATEKIN-RXN
S_NS1_Ca_028_311	HOMOSERDEHYDROG-RXN
S_NS1_Ca_028_312	HOMOCYSMETB12-RXN
S_NS1_Ca_028_313	HOMOCYSMETB12-RXN
S_NS1_Ca_028_314	3.4.11.4-RXN
S_NS1_Ca_028_315	2.7.7.8-RXN
S_NS1_Ca_028_316	GUANPRIBOSYLTRAN-RXN
S_NS1_Ca_028_316	HYPOXANPRIBOSYLTRAN-RXN
S_NS1_Ca_028_317	RXN-9382
S_NS1_Ca_028_318	DTMPKI-RXN
S_NS1_Ca_028_319	RXN-10781
S_NS1_Ca_028_319	RXN-5424
S_NS1_Ca_028_319	METHANOL-DEHYDROGENASE-RXN
S_NS1_Ca_028_319	RXN-15818
S_NS1_Ca_028_319	RXN3O-4113
S_NS1_Ca_028_319	RXN-12448
S_NS1_Ca_028_319	ALCOHOL-DEHYDROG-GENERIC-RXN
S_NS1_Ca_028_319	RXN-7694
S_NS1_Ca_028_319	RXN-7693
S_NS1_Ca_028_319	RXN-7657
S_NS1_Ca_028_319	ALCOHOL-DEHYDROG-RXN
S_NS1_Ca_028_319	RXN-7700
S_NS1_Ca_028_319	RXN-7706
S_NS1_Ca_028_319	RXN-10911
S_NS1_Ca_028_319	RXN-10915
S_NS1_Ca_028_319	RXN66-478
S_NS1_Ca_028_319	RXN-15823
S_NS1_Ca_028_319	RXN-13198
S_NS1_Ca_028_320	RXN-10781
S_NS1_Ca_028_320	RXN-5424
S_NS1_Ca_028_320	METHANOL-DEHYDROGENASE-RXN
S_NS1_Ca_028_320	RXN-15818
S_NS1_Ca_028_320	RXN3O-4113
S_NS1_Ca_028_320	RXN-12448
S_NS1_Ca_028_320	ALCOHOL-DEHYDROG-GENERIC-RXN
S_NS1_Ca_028_320	RXN-7694
S_NS1_Ca_028_320	RXN-7693
