S_NS1_Pm_023_1	NADH-DEHYDROG-A-RXN
S_NS1_Pm_023_23	BETAGALACTOSID-RXN
S_NS1_Pm_023_23	KETOLACTOSE-RXN
S_NS1_Pm_023_24	3.2.1.23-RXN
S_NS1_Pm_023_24	RXN-12400
S_NS1_Pm_023_24	RXN-12399
S_NS1_Pm_023_24	RXN-12398
S_NS1_Pm_023_24	BETAGALACTOSID-RXN
S_NS1_Pm_023_24	KETOLACTOSE-RXN
S_NS1_Pm_023_25	3.2.1.23-RXN
S_NS1_Pm_023_25	RXN-12400
S_NS1_Pm_023_25	RXN-12399
S_NS1_Pm_023_25	RXN-12398
S_NS1_Pm_023_25	BETAGALACTOSID-RXN
S_NS1_Pm_023_25	KETOLACTOSE-RXN
S_NS1_Pm_023_26	3.2.1.23-RXN
S_NS1_Pm_023_26	RXN-12400
S_NS1_Pm_023_26	RXN-12399
S_NS1_Pm_023_26	RXN-12398
S_NS1_Pm_023_26	BETAGALACTOSID-RXN
S_NS1_Pm_023_26	KETOLACTOSE-RXN
S_NS1_Pm_023_27	3.2.1.23-RXN
S_NS1_Pm_023_27	RXN-12400
S_NS1_Pm_023_27	RXN-12399
S_NS1_Pm_023_27	RXN-12398
S_NS1_Pm_023_27	BETAGALACTOSID-RXN
S_NS1_Pm_023_27	KETOLACTOSE-RXN
S_NS1_Pm_023_28	3.2.1.23-RXN
S_NS1_Pm_023_28	RXN-12400
S_NS1_Pm_023_28	RXN-12399
S_NS1_Pm_023_28	RXN-12398
S_NS1_Pm_023_28	BETAGALACTOSID-RXN
S_NS1_Pm_023_28	KETOLACTOSE-RXN
S_NS1_Pm_023_29	3.2.1.23-RXN
S_NS1_Pm_023_29	RXN-12400
S_NS1_Pm_023_29	RXN-12399
S_NS1_Pm_023_29	RXN-12398
S_NS1_Pm_023_29	BETAGALACTOSID-RXN
S_NS1_Pm_023_29	KETOLACTOSE-RXN
S_NS1_Pm_023_30	RXN0-5226
S_NS1_Pm_023_30	3.2.1.52-RXN
S_NS1_Pm_023_30	RXN-12625
S_NS1_Pm_023_30	RXN-12626
S_NS1_Pm_023_31	RXN0-5226
S_NS1_Pm_023_31	3.2.1.52-RXN
S_NS1_Pm_023_31	RXN-12625
S_NS1_Pm_023_31	RXN-12626
S_NS1_Pm_023_32	RXN0-5226
S_NS1_Pm_023_32	3.2.1.52-RXN
S_NS1_Pm_023_32	RXN-12625
S_NS1_Pm_023_32	RXN-12626
S_NS1_Pm_023_33	RXN0-5226
S_NS1_Pm_023_33	3.2.1.52-RXN
S_NS1_Pm_023_33	RXN-12625
S_NS1_Pm_023_33	RXN-12626
S_NS1_Pm_023_34	RXN0-5226
S_NS1_Pm_023_34	3.2.1.52-RXN
S_NS1_Pm_023_34	RXN-12625
S_NS1_Pm_023_34	RXN-12626
S_NS1_Pm_023_35	RXN0-5226
S_NS1_Pm_023_35	3.2.1.52-RXN
S_NS1_Pm_023_35	RXN-12625
S_NS1_Pm_023_35	RXN-12626
S_NS1_Pm_023_36	RXN0-5226
S_NS1_Pm_023_36	3.2.1.52-RXN
S_NS1_Pm_023_36	RXN-12625
S_NS1_Pm_023_36	RXN-12626
S_NS1_Pm_023_37	RXN0-5226
S_NS1_Pm_023_37	3.2.1.52-RXN
S_NS1_Pm_023_37	RXN-12625
S_NS1_Pm_023_37	RXN-12626
S_NS1_Pm_023_38	RXN0-5226
S_NS1_Pm_023_38	3.2.1.52-RXN
S_NS1_Pm_023_38	RXN-12625
S_NS1_Pm_023_38	RXN-12626
S_NS1_Pm_023_39	RXN0-5226
S_NS1_Pm_023_39	3.2.1.52-RXN
S_NS1_Pm_023_39	RXN-12625
S_NS1_Pm_023_39	RXN-12626
S_NS1_Pm_023_40	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_41	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_42	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_43	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_44	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_45	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_46	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_47	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_48	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_49	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_50	2.1.1.72-RXN
S_NS1_Pm_023_51	2.1.1.72-RXN
S_NS1_Pm_023_52	2.1.1.72-RXN
S_NS1_Pm_023_53	TRANS-RXN-2
S_NS1_Pm_023_53	3.6.3.12-RXN
S_NS1_Pm_023_54	TRANS-RXN-2
S_NS1_Pm_023_54	3.6.3.12-RXN
S_NS1_Pm_023_55	TRANS-RXN-2
S_NS1_Pm_023_55	3.6.3.12-RXN
S_NS1_Pm_023_56	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_57	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_58	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_59	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_60	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_61	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_62	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_63	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_64	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_65	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_66	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_67	2.7.13.3-RXN
S_NS1_Pm_023_68	2.7.13.3-RXN
S_NS1_Pm_023_69	2.7.13.3-RXN
S_NS1_Pm_023_70	2.7.13.3-RXN
S_NS1_Pm_023_71	2.7.13.3-RXN
S_NS1_Pm_023_72	2.7.13.3-RXN
S_NS1_Pm_023_73	RXN-14267
S_NS1_Pm_023_73	RXN0-5225
S_NS1_Pm_023_73	3.4.24.32-RXN
S_NS1_Pm_023_74	RXN-14267
S_NS1_Pm_023_74	RXN0-5225
S_NS1_Pm_023_74	3.4.24.32-RXN
S_NS1_Pm_023_75	RXN-14267
S_NS1_Pm_023_75	RXN0-5225
S_NS1_Pm_023_75	3.4.24.32-RXN
S_NS1_Pm_023_76	RXN-14267
S_NS1_Pm_023_76	RXN0-5225
S_NS1_Pm_023_76	3.4.24.32-RXN
S_NS1_Pm_023_77	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_78	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_79	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_80	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_81	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_82	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_83	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_84	GPH-RXN
S_NS1_Pm_023_85	GPH-RXN
S_NS1_Pm_023_86	INORGPYROPHOSPHAT-RXN
S_NS1_Pm_023_87	ANTHRANSYN-RXN
S_NS1_Pm_023_88	ANTHRANSYN-RXN
S_NS1_Pm_023_89	ANTHRANSYN-RXN
S_NS1_Pm_023_90	3.2.1.18-RXN
S_NS1_Pm_023_91	3.2.1.18-RXN
S_NS1_Pm_023_92	3.2.1.18-RXN
S_NS1_Pm_023_93	PROTEIN-KINASE-RXN
S_NS1_Pm_023_94	PROTEIN-KINASE-RXN
S_NS1_Pm_023_95	PROTEIN-KINASE-RXN
S_NS1_Pm_023_96	PROTEIN-KINASE-RXN
S_NS1_Pm_023_97	RXN-11065
S_NS1_Pm_023_97	3.4.16.4-RXN
S_NS1_Pm_023_97	RXN-16649
S_NS1_Pm_023_97	RXN-11351
S_NS1_Pm_023_97	RXN-16659
S_NS1_Pm_023_97	RXN-11302
S_NS1_Pm_023_98	RXN-11065
S_NS1_Pm_023_98	3.4.16.4-RXN
S_NS1_Pm_023_98	RXN-16649
S_NS1_Pm_023_98	RXN-11351
S_NS1_Pm_023_98	RXN-16659
S_NS1_Pm_023_98	RXN-11302
S_NS1_Pm_023_99	RXN-11065
S_NS1_Pm_023_99	3.4.16.4-RXN
S_NS1_Pm_023_99	RXN-16649
S_NS1_Pm_023_99	RXN-11351
S_NS1_Pm_023_99	RXN-16659
S_NS1_Pm_023_99	RXN-11302
S_NS1_Pm_023_100	RXN-11065
S_NS1_Pm_023_100	3.4.16.4-RXN
S_NS1_Pm_023_100	RXN-16649
S_NS1_Pm_023_100	RXN-11351
S_NS1_Pm_023_100	RXN-16659
S_NS1_Pm_023_100	RXN-11302
S_NS1_Pm_023_101	3.1.21.3-RXN
S_NS1_Pm_023_102	RXN-11109
S_NS1_Pm_023_103	RXN-11109
S_NS1_Pm_023_104	RXN-11109
S_NS1_Pm_023_105	RXN-13202
S_NS1_Pm_023_105	CARBPSYN-RXN
S_NS1_Pm_023_106	RXN-13202
S_NS1_Pm_023_106	CARBPSYN-RXN
S_NS1_Pm_023_107	RXN-13202
S_NS1_Pm_023_107	CARBPSYN-RXN
S_NS1_Pm_023_108	RXN-13202
S_NS1_Pm_023_108	CARBPSYN-RXN
S_NS1_Pm_023_109	3.4.24.70-RXN
S_NS1_Pm_023_110	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS1_Pm_023_111	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS1_Pm_023_112	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Pm_023_113	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Pm_023_114	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Pm_023_115	2-ISOPROPYLMALATESYN-RXN
S_NS1_Pm_023_116	RXN-11602
S_NS1_Pm_023_117	TRYPSYN-RXN
S_NS1_Pm_023_118	TRYPSYN-RXN
S_NS1_Pm_023_119	TRYPSYN-RXN
S_NS1_Pm_023_120	6PFRUCTPHOS-RXN
S_NS1_Pm_023_121	6PFRUCTPHOS-RXN
S_NS1_Pm_023_122	6PFRUCTPHOS-RXN
S_NS1_Pm_023_123	6PFRUCTPHOS-RXN
S_NS1_Pm_023_124	RXN0-2584
S_NS1_Pm_023_125	RXN0-2584
S_NS1_Pm_023_126	ATPSYN-RXN
S_NS1_Pm_023_127	ATPSYN-RXN
S_NS1_Pm_023_128	ATPSYN-RXN
S_NS1_Pm_023_131	RXN-12104
S_NS1_Pm_023_132	1.5.1.20-RXN
S_NS1_Pm_023_133	FGAMSYN-RXN
S_NS1_Pm_023_134	3.1.26.4-RXN
S_NS1_Pm_023_135	3.1.26.4-RXN
S_NS1_Pm_023_136	3.1.3.16-RXN
S_NS1_Pm_023_137	2.7.8.12-RXN
S_NS1_Pm_023_137	TEICHOICSYN4-RXN
S_NS1_Pm_023_138	THI-P-SYN-RXN
S_NS1_Pm_023_138	RXN-12610
S_NS1_Pm_023_138	RXN-12611
S_NS1_Pm_023_139	THI-P-SYN-RXN
S_NS1_Pm_023_139	RXN-12610
S_NS1_Pm_023_139	RXN-12611
S_NS1_Pm_023_140	MALTACETYLTRAN-RXN
S_NS1_Pm_023_141	MALTACETYLTRAN-RXN
S_NS1_Pm_023_142	RXN-11618
S_NS1_Pm_023_142	RXN-11620
S_NS1_Pm_023_142	3.2.1.35-RXN
S_NS1_Pm_023_143	RXN-11618
S_NS1_Pm_023_143	RXN-11620
S_NS1_Pm_023_143	3.2.1.35-RXN
S_NS1_Pm_023_144	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_145	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_146	METHYLMALONYL-COA-MUT-RXN
S_NS1_Pm_023_147	METHYLMALONYL-COA-MUT-RXN
S_NS1_Pm_023_148	GLUCUROISOM-RXN
S_NS1_Pm_023_148	GALACTUROISOM-RXN
S_NS1_Pm_023_149	ADCLY-RXN
S_NS1_Pm_023_150	RXN-14971
S_NS1_Pm_023_150	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS1_Pm_023_150	RXN-15378
S_NS1_Pm_023_151	RXN-14971
S_NS1_Pm_023_151	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS1_Pm_023_151	RXN-15378
S_NS1_Pm_023_152	ABC-9-RXN
S_NS1_Pm_023_152	ABC-10-RXN
S_NS1_Pm_023_152	3.6.3.34-RXN
S_NS1_Pm_023_152	ABC-11-RXN
S_NS1_Pm_023_153	ABC-9-RXN
S_NS1_Pm_023_153	ABC-10-RXN
S_NS1_Pm_023_153	3.6.3.34-RXN
S_NS1_Pm_023_153	ABC-11-RXN
S_NS1_Pm_023_154	2.7.7.13-RXN
S_NS1_Pm_023_155	2.7.7.13-RXN
S_NS1_Pm_023_156	DALADALALIG-RXN
S_NS1_Pm_023_157	DALADALALIG-RXN
S_NS1_Pm_023_158	5.99.1.3-RXN
S_NS1_Pm_023_159	5.99.1.3-RXN
S_NS1_Pm_023_160	RXN-13163
S_NS1_Pm_023_161	RXN-13163
S_NS1_Pm_023_162	CYSTATHIONINE-BETA-LYASE-RXN
S_NS1_Pm_023_162	RXN-12729
S_NS1_Pm_023_163	CYSTATHIONINE-BETA-LYASE-RXN
S_NS1_Pm_023_163	RXN-12729
S_NS1_Pm_023_164	RXN-14461
S_NS1_Pm_023_165	RXN-14461
S_NS1_Pm_023_166	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS1_Pm_023_166	ACETYLHOMOSER-CYS-RXN
S_NS1_Pm_023_167	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS1_Pm_023_167	ACETYLHOMOSER-CYS-RXN
S_NS1_Pm_023_168	SULFOCYS-RXN
S_NS1_Pm_023_168	RXN-12726
S_NS1_Pm_023_168	ACSERLY-RXN
S_NS1_Pm_023_169	OHMETPYRKIN-RXN
S_NS1_Pm_023_170	PYRIMSYN3-RXN
S_NS1_Pm_023_171	PYRIMSYN1-RXN
S_NS1_Pm_023_172	OXALODECARB-RXN
S_NS1_Pm_023_173	OXALODECARB-RXN
S_NS1_Pm_023_174	OXALODECARB-RXN
S_NS1_Pm_023_175	OXALODECARB-RXN
S_NS1_Pm_023_176	GLUTAMINESYN-RXN
S_NS1_Pm_023_177	GLUTAMINESYN-RXN
S_NS1_Pm_023_178	GLUTAMINESYN-RXN
S_NS1_Pm_023_179	ADENYL-KIN-RXN
S_NS1_Pm_023_180	3.4.21.89-RXN
S_NS1_Pm_023_181	3.4.21.89-RXN
S_NS1_Pm_023_182	3.4.21.89-RXN
S_NS1_Pm_023_183	3.4.21.89-RXN
S_NS1_Pm_023_184	3.4.21.89-RXN
S_NS1_Pm_023_185	RXN-15881
S_NS1_Pm_023_185	RXN-14384
S_NS1_Pm_023_185	RXN-14385
S_NS1_Pm_023_185	RXN-14386
S_NS1_Pm_023_185	RXN-12587
S_NS1_Pm_023_185	RXN-9787
S_NS1_Pm_023_185	RXN-12588
S_NS1_Pm_023_185	RXN0-308
S_NS1_Pm_023_186	ABC-27-RXN
S_NS1_Pm_023_187	RXN-12720
S_NS1_Pm_023_187	SULFATE-ADENYLYLTRANS-RXN
S_NS1_Pm_023_188	RXN-12720
S_NS1_Pm_023_188	SULFATE-ADENYLYLTRANS-RXN
S_NS1_Pm_023_189	RXN-11837
S_NS1_Pm_023_190	RXN-11837
S_NS1_Pm_023_191	RXN-11837
S_NS1_Pm_023_192	UDPGLUCEPIM-RXN
S_NS1_Pm_023_193	UDPGLUCEPIM-RXN
S_NS1_Pm_023_194	2PGADEHYDRAT-RXN
S_NS1_Pm_023_195	ALPHAGALACTOSID-RXN
S_NS1_Pm_023_195	RXN-11501
S_NS1_Pm_023_195	RXN-12088
S_NS1_Pm_023_197	RXN-14455
S_NS1_Pm_023_198	1.8.4.12-RXN
S_NS1_Pm_023_199	RXN-8668
S_NS1_Pm_023_200	DIHYDROOROT-RXN
S_NS1_Pm_023_201	RXN-11396
S_NS1_Pm_023_202	GLUCOKIN-RXN
S_NS1_Pm_023_202	RXN66-521
S_NS1_Pm_023_202	RXN-1685
S_NS1_Pm_023_203	GLUCOKIN-RXN
S_NS1_Pm_023_203	RXN66-521
S_NS1_Pm_023_203	RXN-1685
S_NS1_Pm_023_204	ADENOSYLHOMOCYSTEINASE-RXN
S_NS1_Pm_023_205	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS1_Pm_023_206	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS1_Pm_023_207	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS1_Pm_023_208	RXN-13182
S_NS1_Pm_023_208	SIALATE-O-ACETYLESTERASE-RXN
S_NS1_Pm_023_208	RXN-13181
S_NS1_Pm_023_209	RXN-14970
S_NS1_Pm_023_209	RXN-14963
S_NS1_Pm_023_209	R601-RXN
S_NS1_Pm_023_210	RXN-14970
S_NS1_Pm_023_210	RXN-14963
S_NS1_Pm_023_210	R601-RXN
S_NS1_Pm_023_211	3.5.1.88-RXN
S_NS1_Pm_023_211	3.5.1.27-RXN
S_NS1_Pm_023_212	TDCEACT-RXN
S_NS1_Pm_023_213	TDCEACT-RXN
S_NS1_Pm_023_214	TDCEACT-RXN
S_NS1_Pm_023_215	RXN-14283
S_NS1_Pm_023_215	RXN-14282
S_NS1_Pm_023_215	RXN-14350
S_NS1_Pm_023_215	RXN-15910
S_NS1_Pm_023_215	RXN0-5183
S_NS1_Pm_023_215	RXN-14349
S_NS1_Pm_023_215	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_215	RXN-14281
S_NS1_Pm_023_215	RXN-2141
S_NS1_Pm_023_216	RXN-14283
S_NS1_Pm_023_216	RXN-14282
S_NS1_Pm_023_216	RXN-14350
S_NS1_Pm_023_216	RXN-15910
S_NS1_Pm_023_216	RXN0-5183
S_NS1_Pm_023_216	RXN-14349
S_NS1_Pm_023_216	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_216	RXN-14281
S_NS1_Pm_023_216	RXN-2141
S_NS1_Pm_023_217	RXN-14283
S_NS1_Pm_023_217	RXN-14282
S_NS1_Pm_023_217	RXN-14350
S_NS1_Pm_023_217	RXN-15910
S_NS1_Pm_023_217	RXN0-5183
S_NS1_Pm_023_217	RXN-14349
S_NS1_Pm_023_217	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_217	RXN-14281
S_NS1_Pm_023_217	RXN-2141
S_NS1_Pm_023_218	RXN-14283
S_NS1_Pm_023_218	RXN-14282
S_NS1_Pm_023_218	RXN-14350
S_NS1_Pm_023_218	RXN-15910
S_NS1_Pm_023_218	RXN0-5183
S_NS1_Pm_023_218	RXN-14349
S_NS1_Pm_023_218	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_218	RXN-14281
S_NS1_Pm_023_218	RXN-2141
S_NS1_Pm_023_219	RXN-14283
S_NS1_Pm_023_219	RXN-14282
S_NS1_Pm_023_219	RXN-14350
S_NS1_Pm_023_219	RXN-15910
S_NS1_Pm_023_219	RXN0-5183
S_NS1_Pm_023_219	RXN-14349
S_NS1_Pm_023_219	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_219	RXN-14281
S_NS1_Pm_023_219	RXN-2141
S_NS1_Pm_023_220	RXN-11836
S_NS1_Pm_023_221	2.7.1.90-RXN
S_NS1_Pm_023_222	2.7.1.90-RXN
S_NS1_Pm_023_223	ACETOLACTSYN-RXN
S_NS1_Pm_023_223	ACETOOHBUTSYN-RXN
S_NS1_Pm_023_224	ACETOLACTSYN-RXN
S_NS1_Pm_023_224	ACETOOHBUTSYN-RXN
S_NS1_Pm_023_225	IGPSYN-RXN
S_NS1_Pm_023_226	ALARACECAT-RXN
S_NS1_Pm_023_227	3.1.11.6-RXN
S_NS1_Pm_023_228	3.1.11.6-RXN
S_NS1_Pm_023_229	RXN0-5266
S_NS1_Pm_023_230	RXN0-5266
S_NS1_Pm_023_231	ALPHA-AMYL-RXN
S_NS1_Pm_023_231	RXN0-5181
S_NS1_Pm_023_231	3.2.1.1-RXN
S_NS1_Pm_023_231	RXN-1823
S_NS1_Pm_023_232	GLUTAMIN-RXN
S_NS1_Pm_023_233	2.1.1.63-RXN
S_NS1_Pm_023_234	2.5.1.64-RXN
S_NS1_Pm_023_235	METHIONINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_235	RXN-16165
S_NS1_Pm_023_236	MALIC-NADP-RXN
S_NS1_Pm_023_237	3.1.21.5-RXN
S_NS1_Pm_023_238	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Pm_023_239	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Pm_023_240	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Pm_023_241	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Pm_023_242	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Pm_023_243	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS1_Pm_023_244	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_NS1_Pm_023_245	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_NS1_Pm_023_246	DTDPDEHYRHAMREDUCT-RXN
S_NS1_Pm_023_247	DTDPDEHYRHAMREDUCT-RXN
S_NS1_Pm_023_248	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS1_Pm_023_249	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS1_Pm_023_250	FUCULOKIN-RXN
S_NS1_Pm_023_251	RXN-14065
S_NS1_Pm_023_252	ADENYLYLSULFKIN-RXN
S_NS1_Pm_023_253	ADENYLYLSULFKIN-RXN
S_NS1_Pm_023_254	OROPRIBTRANS-RXN
S_NS1_Pm_023_255	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS1_Pm_023_256	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS1_Pm_023_257	OROTPDECARB-RXN
S_NS1_Pm_023_258	OROTPDECARB-RXN
S_NS1_Pm_023_259	ASPARTATE--TRNA-LIGASE-RXN
S_NS1_Pm_023_260	7KAPSYN-RXN
S_NS1_Pm_023_260	RXN-11484
S_NS1_Pm_023_261	7KAPSYN-RXN
S_NS1_Pm_023_261	RXN-11484
S_NS1_Pm_023_262	THIOREDOXIN-REDUCT-NADPH-RXN
S_NS1_Pm_023_263	4.3.1.17-RXN
S_NS1_Pm_023_264	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_NS1_Pm_023_265	FARNESYLTRANSTRANSFERASE-RXN
S_NS1_Pm_023_266	FPPSYN-RXN
S_NS1_Pm_023_267	GPPSYN-RXN
S_NS1_Pm_023_268	QUINOPRIBOTRANS-RXN
S_NS1_Pm_023_269	RXN0-6480
S_NS1_Pm_023_269	3.1.26.5-RXN
S_NS1_Pm_023_270	RXN0-6727
S_NS1_Pm_023_270	RXN-13141
S_NS1_Pm_023_271	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS1_Pm_023_272	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS1_Pm_023_273	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS1_Pm_023_274	GLUTAMATESYN-RXN
S_NS1_Pm_023_275	GLUTAMATESYN-RXN
S_NS1_Pm_023_276	GLUTAMATESYN-RXN
S_NS1_Pm_023_277	GDPMANDEHYDRA-RXN
S_NS1_Pm_023_278	GDPMANDEHYDRA-RXN
S_NS1_Pm_023_279	1.1.1.271-RXN
S_NS1_Pm_023_280	1.1.1.271-RXN
S_NS1_Pm_023_281	MANNPISOM-RXN
S_NS1_Pm_023_282	RXN0-302
S_NS1_Pm_023_283	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_NS1_Pm_023_283	RXN-10949
S_NS1_Pm_023_283	RXN-7253
S_NS1_Pm_023_283	RXN0-5408
S_NS1_Pm_023_283	RXN-10954
S_NS1_Pm_023_283	RXN-10953
S_NS1_Pm_023_283	RXN-10952
S_NS1_Pm_023_284	RXN-11592
S_NS1_Pm_023_285	RXN-12752
S_NS1_Pm_023_285	RXN-13142
S_NS1_Pm_023_286	MALONYL-COA-ACP-TRANSACYL-RXN
S_NS1_Pm_023_287	1.11.1.15-RXN
S_NS1_Pm_023_287	RXN0-5468
S_NS1_Pm_023_288	1.11.1.15-RXN
S_NS1_Pm_023_288	RXN0-5468
S_NS1_Pm_023_289	1.11.1.15-RXN
S_NS1_Pm_023_289	RXN0-5468
S_NS1_Pm_023_290	3.4.23.36-RXN
S_NS1_Pm_023_291	ISOLEUCINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_292	BETA-LACTAMASE-RXN
S_NS1_Pm_023_293	PANTOTHENATE-KIN-RXN
S_NS1_Pm_023_294	PANTOTHENATE-KIN-RXN
S_NS1_Pm_023_295	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_NS1_Pm_023_296	GALACTOKIN-RXN
S_NS1_Pm_023_297	3.1.11.2-RXN
S_NS1_Pm_023_298	NAG6PDEACET-RXN
S_NS1_Pm_023_298	3.5.1.80-RXN
S_NS1_Pm_023_299	NAG6PDEACET-RXN
