S_S5_He_108_1	NADH-DEHYDROG-A-RXN
S_S5_He_108_108	2.7.13.3-RXN
S_S5_He_108_109	2.7.13.3-RXN
S_S5_He_108_110	2.7.13.3-RXN
S_S5_He_108_111	2.7.13.3-RXN
S_S5_He_108_112	2.7.13.3-RXN
S_S5_He_108_113	2.7.13.3-RXN
S_S5_He_108_114	2.7.13.3-RXN
S_S5_He_108_115	2.7.13.3-RXN
S_S5_He_108_116	2.7.13.3-RXN
S_S5_He_108_117	2.7.13.3-RXN
S_S5_He_108_118	2.7.13.3-RXN
S_S5_He_108_119	2.7.13.3-RXN
S_S5_He_108_120	2.7.13.3-RXN
S_S5_He_108_121	2.7.13.3-RXN
S_S5_He_108_122	2.7.13.3-RXN
S_S5_He_108_123	2.7.13.3-RXN
S_S5_He_108_124	2.7.13.3-RXN
S_S5_He_108_125	2.7.13.3-RXN
S_S5_He_108_126	2.7.13.3-RXN
S_S5_He_108_127	2.7.13.3-RXN
S_S5_He_108_128	RXN-14267
S_S5_He_108_128	RXN0-5225
S_S5_He_108_128	3.4.24.32-RXN
S_S5_He_108_129	RXN-14267
S_S5_He_108_129	RXN0-5225
S_S5_He_108_129	3.4.24.32-RXN
S_S5_He_108_130	RXN-14267
S_S5_He_108_130	RXN0-5225
S_S5_He_108_130	3.4.24.32-RXN
S_S5_He_108_131	RXN-14267
S_S5_He_108_131	RXN0-5225
S_S5_He_108_131	3.4.24.32-RXN
S_S5_He_108_132	RXN-14267
S_S5_He_108_132	RXN0-5225
S_S5_He_108_132	3.4.24.32-RXN
S_S5_He_108_133	RXN-14267
S_S5_He_108_133	RXN0-5225
S_S5_He_108_133	3.4.24.32-RXN
S_S5_He_108_134	RXN-14267
S_S5_He_108_134	RXN0-5225
S_S5_He_108_134	3.4.24.32-RXN
S_S5_He_108_135	ALPHA-L-FUCOSIDASE-RXN
S_S5_He_108_136	ALPHA-L-FUCOSIDASE-RXN
S_S5_He_108_137	GPH-RXN
S_S5_He_108_138	GPH-RXN
S_S5_He_108_139	INORGPYROPHOSPHAT-RXN
S_S5_He_108_140	INORGPYROPHOSPHAT-RXN
S_S5_He_108_141	INORGPYROPHOSPHAT-RXN
S_S5_He_108_142	INORGPYROPHOSPHAT-RXN
S_S5_He_108_143	INORGPYROPHOSPHAT-RXN
S_S5_He_108_144	ANTHRANSYN-RXN
S_S5_He_108_145	ANTHRANSYN-RXN
S_S5_He_108_146	ANTHRANSYN-RXN
S_S5_He_108_147	3.2.1.18-RXN
S_S5_He_108_148	PROTEIN-KINASE-RXN
S_S5_He_108_149	PROTEIN-KINASE-RXN
S_S5_He_108_150	PROTEIN-KINASE-RXN
S_S5_He_108_151	PROTEIN-KINASE-RXN
S_S5_He_108_152	PROTEIN-KINASE-RXN
S_S5_He_108_153	PROTEIN-KINASE-RXN
S_S5_He_108_154	PROTEIN-KINASE-RXN
S_S5_He_108_155	RXN-11065
S_S5_He_108_155	3.4.16.4-RXN
S_S5_He_108_155	RXN-16649
S_S5_He_108_155	RXN-11351
S_S5_He_108_155	RXN-16659
S_S5_He_108_155	RXN-11302
S_S5_He_108_156	RXN-11065
S_S5_He_108_156	3.4.16.4-RXN
S_S5_He_108_156	RXN-16649
S_S5_He_108_156	RXN-11351
S_S5_He_108_156	RXN-16659
S_S5_He_108_156	RXN-11302
S_S5_He_108_157	RXN-11065
S_S5_He_108_157	3.4.16.4-RXN
S_S5_He_108_157	RXN-16649
S_S5_He_108_157	RXN-11351
S_S5_He_108_157	RXN-16659
S_S5_He_108_157	RXN-11302
S_S5_He_108_158	RXN-11065
S_S5_He_108_158	3.4.16.4-RXN
S_S5_He_108_158	RXN-16649
S_S5_He_108_158	RXN-11351
S_S5_He_108_158	RXN-16659
S_S5_He_108_158	RXN-11302
S_S5_He_108_159	RXN-11065
S_S5_He_108_159	3.4.16.4-RXN
S_S5_He_108_159	RXN-16649
S_S5_He_108_159	RXN-11351
S_S5_He_108_159	RXN-16659
S_S5_He_108_159	RXN-11302
S_S5_He_108_160	RXN-11065
S_S5_He_108_160	3.4.16.4-RXN
S_S5_He_108_160	RXN-16649
S_S5_He_108_160	RXN-11351
S_S5_He_108_160	RXN-16659
S_S5_He_108_160	RXN-11302
S_S5_He_108_161	RXN-11065
S_S5_He_108_161	3.4.16.4-RXN
S_S5_He_108_161	RXN-16649
S_S5_He_108_161	RXN-11351
S_S5_He_108_161	RXN-16659
S_S5_He_108_161	RXN-11302
S_S5_He_108_162	RXN-11065
S_S5_He_108_162	3.4.16.4-RXN
S_S5_He_108_162	RXN-16649
S_S5_He_108_162	RXN-11351
S_S5_He_108_162	RXN-16659
S_S5_He_108_162	RXN-11302
S_S5_He_108_163	RXN-11065
S_S5_He_108_163	3.4.16.4-RXN
S_S5_He_108_163	RXN-16649
S_S5_He_108_163	RXN-11351
S_S5_He_108_163	RXN-16659
S_S5_He_108_163	RXN-11302
S_S5_He_108_164	RXN-11065
S_S5_He_108_164	3.4.16.4-RXN
S_S5_He_108_164	RXN-16649
S_S5_He_108_164	RXN-11351
S_S5_He_108_164	RXN-16659
S_S5_He_108_164	RXN-11302
S_S5_He_108_165	RXN-11065
S_S5_He_108_165	3.4.16.4-RXN
S_S5_He_108_165	RXN-16649
S_S5_He_108_165	RXN-11351
S_S5_He_108_165	RXN-16659
S_S5_He_108_165	RXN-11302
S_S5_He_108_166	RXN-11065
S_S5_He_108_166	3.4.16.4-RXN
S_S5_He_108_166	RXN-16649
S_S5_He_108_166	RXN-11351
S_S5_He_108_166	RXN-16659
S_S5_He_108_166	RXN-11302
S_S5_He_108_167	RXN-11065
S_S5_He_108_167	3.4.16.4-RXN
S_S5_He_108_167	RXN-16649
S_S5_He_108_167	RXN-11351
S_S5_He_108_167	RXN-16659
S_S5_He_108_167	RXN-11302
S_S5_He_108_168	RXN-11065
S_S5_He_108_168	3.4.16.4-RXN
S_S5_He_108_168	RXN-16649
S_S5_He_108_168	RXN-11351
S_S5_He_108_168	RXN-16659
S_S5_He_108_168	RXN-11302
S_S5_He_108_169	3.1.21.3-RXN
S_S5_He_108_170	RXN-11109
S_S5_He_108_171	RXN-11109
S_S5_He_108_172	RXN-11109
S_S5_He_108_173	RXN-13202
S_S5_He_108_173	CARBPSYN-RXN
S_S5_He_108_174	RXN-13202
S_S5_He_108_174	CARBPSYN-RXN
S_S5_He_108_175	RXN-13202
S_S5_He_108_175	CARBPSYN-RXN
S_S5_He_108_176	RXN-13202
S_S5_He_108_176	CARBPSYN-RXN
S_S5_He_108_177	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_He_108_178	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_He_108_179	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_He_108_180	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_181	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_182	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_183	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_184	2-ISOPROPYLMALATESYN-RXN
S_S5_He_108_185	RXN-11602
S_S5_He_108_186	TRYPSYN-RXN
S_S5_He_108_187	TRYPSYN-RXN
S_S5_He_108_188	TRYPSYN-RXN
S_S5_He_108_189	6.3.5.6-RXN
S_S5_He_108_190	6.3.5.6-RXN
S_S5_He_108_191	6.3.5.6-RXN
S_S5_He_108_192	6.3.5.7-RXN
S_S5_He_108_193	6.3.5.7-RXN
S_S5_He_108_194	6.3.5.7-RXN
S_S5_He_108_195	6PFRUCTPHOS-RXN
S_S5_He_108_196	6PFRUCTPHOS-RXN
S_S5_He_108_197	6PFRUCTPHOS-RXN
S_S5_He_108_198	6PFRUCTPHOS-RXN
S_S5_He_108_199	6PFRUCTPHOS-RXN
S_S5_He_108_200	6PFRUCTPHOS-RXN
S_S5_He_108_201	RXN-11591
S_S5_He_108_202	ATPSYN-RXN
S_S5_He_108_203	ATPSYN-RXN
S_S5_He_108_204	ATPSYN-RXN
S_S5_He_108_205	ATPSYN-RXN
S_S5_He_108_206	ATPSYN-RXN
S_S5_He_108_207	ATPSYN-RXN
S_S5_He_108_210	RXN-12104
S_S5_He_108_211	1.5.1.20-RXN
S_S5_He_108_212	1.5.1.20-RXN
S_S5_He_108_213	FGAMSYN-RXN
S_S5_He_108_214	3.1.26.4-RXN
S_S5_He_108_215	3.1.26.4-RXN
S_S5_He_108_216	3.1.26.4-RXN
S_S5_He_108_217	3.1.3.16-RXN
S_S5_He_108_218	3.1.3.16-RXN
S_S5_He_108_219	3.1.3.16-RXN
S_S5_He_108_220	3.1.3.16-RXN
S_S5_He_108_221	2.7.8.12-RXN
S_S5_He_108_221	TEICHOICSYN4-RXN
S_S5_He_108_222	RXN-16024
S_S5_He_108_222	RXN-16117
S_S5_He_108_222	RXN-10462
S_S5_He_108_222	RXN-13805
S_S5_He_108_222	RXN-1381
S_S5_He_108_222	RXN-15045
S_S5_He_108_223	RXN-16024
S_S5_He_108_223	RXN-16117
S_S5_He_108_223	RXN-10462
S_S5_He_108_223	RXN-13805
S_S5_He_108_223	RXN-1381
S_S5_He_108_223	RXN-15045
S_S5_He_108_224	THI-P-SYN-RXN
S_S5_He_108_224	RXN-12610
S_S5_He_108_224	RXN-12611
S_S5_He_108_225	MALTACETYLTRAN-RXN
S_S5_He_108_226	MALTACETYLTRAN-RXN
S_S5_He_108_227	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_He_108_228	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_He_108_229	GLUCUROISOM-RXN
S_S5_He_108_229	GALACTUROISOM-RXN
S_S5_He_108_230	GLUCUROISOM-RXN
S_S5_He_108_230	GALACTUROISOM-RXN
S_S5_He_108_231	ADCLY-RXN
S_S5_He_108_232	ABC-9-RXN
S_S5_He_108_232	ABC-10-RXN
S_S5_He_108_232	3.6.3.34-RXN
S_S5_He_108_232	ABC-11-RXN
S_S5_He_108_233	ABC-9-RXN
S_S5_He_108_233	ABC-10-RXN
S_S5_He_108_233	3.6.3.34-RXN
S_S5_He_108_233	ABC-11-RXN
S_S5_He_108_234	ABC-9-RXN
S_S5_He_108_234	ABC-10-RXN
S_S5_He_108_234	3.6.3.34-RXN
S_S5_He_108_234	ABC-11-RXN
S_S5_He_108_235	ABC-9-RXN
S_S5_He_108_235	ABC-10-RXN
S_S5_He_108_235	3.6.3.34-RXN
S_S5_He_108_235	ABC-11-RXN
S_S5_He_108_236	2.7.7.13-RXN
S_S5_He_108_237	DALADALALIG-RXN
S_S5_He_108_238	DALADALALIG-RXN
S_S5_He_108_239	5.99.1.3-RXN
S_S5_He_108_240	5.99.1.3-RXN
S_S5_He_108_241	5.99.1.3-RXN
S_S5_He_108_242	5.99.1.3-RXN
S_S5_He_108_243	RXN-13163
S_S5_He_108_244	RXN-13163
S_S5_He_108_245	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_245	RXN-12729
S_S5_He_108_246	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_246	RXN-12729
S_S5_He_108_247	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_247	RXN-12729
S_S5_He_108_248	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_248	RXN-12729
S_S5_He_108_249	RXN-14461
S_S5_He_108_250	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_He_108_250	ACETYLHOMOSER-CYS-RXN
S_S5_He_108_251	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_He_108_251	ACETYLHOMOSER-CYS-RXN
S_S5_He_108_252	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_He_108_252	ACETYLHOMOSER-CYS-RXN
S_S5_He_108_253	OHMETPYRKIN-RXN
S_S5_He_108_254	PYRIMSYN3-RXN
S_S5_He_108_255	OXALODECARB-RXN
S_S5_He_108_256	OXALODECARB-RXN
S_S5_He_108_257	OXALODECARB-RXN
S_S5_He_108_258	GLUTAMINESYN-RXN
S_S5_He_108_259	GLUTAMINESYN-RXN
S_S5_He_108_260	GLUTAMINESYN-RXN
S_S5_He_108_261	ADENPRIBOSYLTRAN-RXN
S_S5_He_108_261	RXN-14270
S_S5_He_108_262	ADENPRIBOSYLTRAN-RXN
S_S5_He_108_262	RXN-14270
S_S5_He_108_263	ADENYL-KIN-RXN
S_S5_He_108_264	3.4.21.89-RXN
S_S5_He_108_265	3.4.21.89-RXN
S_S5_He_108_266	3.4.21.89-RXN
S_S5_He_108_267	3.4.21.89-RXN
S_S5_He_108_268	3.4.21.89-RXN
S_S5_He_108_269	3.4.21.89-RXN
S_S5_He_108_270	3.4.21.89-RXN
S_S5_He_108_271	RXN-15881
S_S5_He_108_271	RXN-14384
S_S5_He_108_271	RXN-14385
S_S5_He_108_271	RXN-14386
S_S5_He_108_271	RXN-12587
S_S5_He_108_271	RXN-9787
S_S5_He_108_271	RXN-12588
S_S5_He_108_271	RXN0-308
S_S5_He_108_272	RXN-15881
S_S5_He_108_272	RXN-14384
S_S5_He_108_272	RXN-14385
S_S5_He_108_272	RXN-14386
S_S5_He_108_272	RXN-12587
S_S5_He_108_272	RXN-9787
S_S5_He_108_272	RXN-12588
S_S5_He_108_272	RXN0-308
S_S5_He_108_273	RXN-15881
S_S5_He_108_273	RXN-14384
S_S5_He_108_273	RXN-14385
S_S5_He_108_273	RXN-14386
S_S5_He_108_273	RXN-12587
S_S5_He_108_273	RXN-9787
S_S5_He_108_273	RXN-12588
S_S5_He_108_273	RXN0-308
S_S5_He_108_274	ABC-27-RXN
S_S5_He_108_275	RXN0-6948
S_S5_He_108_275	N-ACETYLTRANSFER-RXN
S_S5_He_108_276	RXN0-6948
S_S5_He_108_276	N-ACETYLTRANSFER-RXN
S_S5_He_108_277	RXN-11837
S_S5_He_108_278	RXN-11837
S_S5_He_108_279	RXN-11837
S_S5_He_108_280	UDPGLUCEPIM-RXN
S_S5_He_108_281	UDPGLUCEPIM-RXN
S_S5_He_108_282	UDPGLUCEPIM-RXN
S_S5_He_108_283	UDPGLUCEPIM-RXN
S_S5_He_108_284	2PGADEHYDRAT-RXN
S_S5_He_108_285	2PGADEHYDRAT-RXN
S_S5_He_108_286	ALPHAGALACTOSID-RXN
S_S5_He_108_286	RXN-11501
S_S5_He_108_286	RXN-12088
S_S5_He_108_287	ALPHAGALACTOSID-RXN
S_S5_He_108_287	RXN-11501
S_S5_He_108_287	RXN-12088
S_S5_He_108_288	ALPHAGALACTOSID-RXN
S_S5_He_108_288	RXN-11501
S_S5_He_108_288	RXN-12088
S_S5_He_108_289	ALPHAGALACTOSID-RXN
S_S5_He_108_289	RXN-11501
S_S5_He_108_289	RXN-12088
S_S5_He_108_290	ALPHAGALACTOSID-RXN
S_S5_He_108_290	RXN-11501
S_S5_He_108_290	RXN-12088
S_S5_He_108_291	ALPHAGALACTOSID-RXN
S_S5_He_108_291	RXN-11501
S_S5_He_108_291	RXN-12088
S_S5_He_108_296	RXN-14455
S_S5_He_108_297	1.8.4.12-RXN
S_S5_He_108_298	RXN-8668
S_S5_He_108_299	DIHYDROOROT-RXN
S_S5_He_108_300	RXN-11396
S_S5_He_108_301	RXN-11396
S_S5_He_108_302	RXN-11396
S_S5_He_108_303	GLUCOKIN-RXN
S_S5_He_108_303	RXN66-521
S_S5_He_108_303	RXN-1685
S_S5_He_108_304	GLUCOKIN-RXN
S_S5_He_108_304	RXN66-521
S_S5_He_108_304	RXN-1685
S_S5_He_108_305	GLUCOKIN-RXN
S_S5_He_108_305	RXN66-521
S_S5_He_108_305	RXN-1685
S_S5_He_108_306	GLUCOKIN-RXN
S_S5_He_108_306	RXN66-521
S_S5_He_108_306	RXN-1685
S_S5_He_108_307	GLUCOKIN-RXN
S_S5_He_108_307	RXN66-521
S_S5_He_108_307	RXN-1685
S_S5_He_108_308	GLUCOKIN-RXN
S_S5_He_108_308	RXN66-521
S_S5_He_108_308	RXN-1685
S_S5_He_108_309	GLUCOKIN-RXN
S_S5_He_108_309	RXN66-521
S_S5_He_108_309	RXN-1685
S_S5_He_108_310	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S5_He_108_311	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S5_He_108_312	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S5_He_108_313	RXN-13182
S_S5_He_108_313	SIALATE-O-ACETYLESTERASE-RXN
S_S5_He_108_313	RXN-13181
S_S5_He_108_314	3.5.1.88-RXN
S_S5_He_108_314	3.5.1.27-RXN
S_S5_He_108_315	3.5.1.88-RXN
S_S5_He_108_315	3.5.1.27-RXN
S_S5_He_108_316	3.5.1.88-RXN
S_S5_He_108_316	3.5.1.27-RXN
S_S5_He_108_317	TDCEACT-RXN
S_S5_He_108_318	TDCEACT-RXN
S_S5_He_108_319	TDCEACT-RXN
S_S5_He_108_320	TDCEACT-RXN
S_S5_He_108_321	TDCEACT-RXN
S_S5_He_108_322	TDCEACT-RXN
S_S5_He_108_323	TDCEACT-RXN
S_S5_He_108_324	TDCEACT-RXN
S_S5_He_108_325	TDCEACT-RXN
S_S5_He_108_326	RXN-14283
S_S5_He_108_326	RXN-14282
S_S5_He_108_326	RXN-14350
S_S5_He_108_326	RXN-15910
S_S5_He_108_326	RXN0-5183
S_S5_He_108_326	RXN-14349
S_S5_He_108_326	MALTODEXGLUCOSID-RXN
S_S5_He_108_326	RXN-14281
S_S5_He_108_326	RXN-2141
S_S5_He_108_327	RXN-11836
S_S5_He_108_328	2.7.1.90-RXN
S_S5_He_108_329	2.7.1.90-RXN
S_S5_He_108_330	2.7.1.90-RXN
S_S5_He_108_331	2.7.1.90-RXN
S_S5_He_108_332	2.7.1.90-RXN
S_S5_He_108_333	ACETOLACTSYN-RXN
S_S5_He_108_333	ACETOOHBUTSYN-RXN
S_S5_He_108_334	ACETOLACTSYN-RXN
S_S5_He_108_334	ACETOOHBUTSYN-RXN
S_S5_He_108_335	ACETOLACTSYN-RXN
S_S5_He_108_335	ACETOOHBUTSYN-RXN
S_S5_He_108_336	ACETOLACTSYN-RXN
S_S5_He_108_336	ACETOOHBUTSYN-RXN
S_S5_He_108_337	ACETOLACTSYN-RXN
S_S5_He_108_337	ACETOOHBUTSYN-RXN
S_S5_He_108_338	IGPSYN-RXN
S_S5_He_108_339	ALARACECAT-RXN
S_S5_He_108_340	ALARACECAT-RXN
S_S5_He_108_341	3.1.11.6-RXN
S_S5_He_108_342	3.1.11.6-RXN
S_S5_He_108_343	ALPHA-AMYL-RXN
S_S5_He_108_343	RXN0-5181
S_S5_He_108_343	3.2.1.1-RXN
S_S5_He_108_343	RXN-1823
S_S5_He_108_344	ALPHA-AMYL-RXN
S_S5_He_108_344	RXN0-5181
S_S5_He_108_344	3.2.1.1-RXN
S_S5_He_108_344	RXN-1823
S_S5_He_108_345	ALPHA-AMYL-RXN
S_S5_He_108_345	RXN0-5181
S_S5_He_108_345	3.2.1.1-RXN
S_S5_He_108_345	RXN-1823
S_S5_He_108_346	ALPHA-AMYL-RXN
S_S5_He_108_346	RXN0-5181
S_S5_He_108_346	3.2.1.1-RXN
S_S5_He_108_346	RXN-1823
S_S5_He_108_347	ALPHA-AMYL-RXN
S_S5_He_108_347	RXN0-5181
S_S5_He_108_347	3.2.1.1-RXN
S_S5_He_108_347	RXN-1823
S_S5_He_108_348	ALPHA-AMYL-RXN
S_S5_He_108_348	RXN0-5181
S_S5_He_108_348	3.2.1.1-RXN
S_S5_He_108_348	RXN-1823
S_S5_He_108_349	ALPHA-AMYL-RXN
S_S5_He_108_349	RXN0-5181
S_S5_He_108_349	3.2.1.1-RXN
S_S5_He_108_349	RXN-1823
