S_NS6_Pm_056_1	NADH-DEHYDROG-A-RXN
S_NS6_Pm_056_103	RXN-11351
S_NS6_Pm_056_103	RXN-16659
S_NS6_Pm_056_103	RXN-11302
S_NS6_Pm_056_104	RXN-11065
S_NS6_Pm_056_104	3.4.16.4-RXN
S_NS6_Pm_056_104	RXN-16649
S_NS6_Pm_056_104	RXN-11351
S_NS6_Pm_056_104	RXN-16659
S_NS6_Pm_056_104	RXN-11302
S_NS6_Pm_056_105	3.1.21.3-RXN
S_NS6_Pm_056_106	3.1.21.3-RXN
S_NS6_Pm_056_107	3.1.21.3-RXN
S_NS6_Pm_056_108	3.1.21.3-RXN
S_NS6_Pm_056_109	3.1.21.3-RXN
S_NS6_Pm_056_110	3.1.21.3-RXN
S_NS6_Pm_056_111	RXN-11109
S_NS6_Pm_056_112	RXN-11109
S_NS6_Pm_056_113	RXN-11109
S_NS6_Pm_056_114	RXN-13202
S_NS6_Pm_056_114	CARBPSYN-RXN
S_NS6_Pm_056_115	RXN-13202
S_NS6_Pm_056_115	CARBPSYN-RXN
S_NS6_Pm_056_116	RXN-13202
S_NS6_Pm_056_116	CARBPSYN-RXN
S_NS6_Pm_056_117	RXN-13202
S_NS6_Pm_056_117	CARBPSYN-RXN
S_NS6_Pm_056_118	3.4.24.70-RXN
S_NS6_Pm_056_119	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS6_Pm_056_120	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS6_Pm_056_121	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Pm_056_122	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Pm_056_123	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Pm_056_124	2-ISOPROPYLMALATESYN-RXN
S_NS6_Pm_056_125	RXN-11602
S_NS6_Pm_056_126	TRYPSYN-RXN
S_NS6_Pm_056_127	TRYPSYN-RXN
S_NS6_Pm_056_128	TRYPSYN-RXN
S_NS6_Pm_056_129	6PFRUCTPHOS-RXN
S_NS6_Pm_056_130	6PFRUCTPHOS-RXN
S_NS6_Pm_056_131	6PFRUCTPHOS-RXN
S_NS6_Pm_056_132	6PFRUCTPHOS-RXN
S_NS6_Pm_056_133	RXN0-2584
S_NS6_Pm_056_134	RXN0-2584
S_NS6_Pm_056_135	ATPSYN-RXN
S_NS6_Pm_056_136	ATPSYN-RXN
S_NS6_Pm_056_137	ATPSYN-RXN
S_NS6_Pm_056_140	RXN-12104
S_NS6_Pm_056_141	1.5.1.20-RXN
S_NS6_Pm_056_142	FGAMSYN-RXN
S_NS6_Pm_056_143	3.1.26.4-RXN
S_NS6_Pm_056_144	3.1.26.4-RXN
S_NS6_Pm_056_145	3.1.3.16-RXN
S_NS6_Pm_056_146	THI-P-SYN-RXN
S_NS6_Pm_056_146	RXN-12610
S_NS6_Pm_056_146	RXN-12611
S_NS6_Pm_056_147	THI-P-SYN-RXN
S_NS6_Pm_056_147	RXN-12610
S_NS6_Pm_056_147	RXN-12611
S_NS6_Pm_056_148	MALTACETYLTRAN-RXN
S_NS6_Pm_056_149	MALTACETYLTRAN-RXN
S_NS6_Pm_056_150	MALTACETYLTRAN-RXN
S_NS6_Pm_056_151	RXN-11618
S_NS6_Pm_056_151	RXN-11620
S_NS6_Pm_056_151	3.2.1.35-RXN
S_NS6_Pm_056_152	RXN-11618
S_NS6_Pm_056_152	RXN-11620
S_NS6_Pm_056_152	3.2.1.35-RXN
S_NS6_Pm_056_153	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_154	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_155	METHYLMALONYL-COA-MUT-RXN
S_NS6_Pm_056_156	METHYLMALONYL-COA-MUT-RXN
S_NS6_Pm_056_157	GLUCUROISOM-RXN
S_NS6_Pm_056_157	GALACTUROISOM-RXN
S_NS6_Pm_056_158	ADCLY-RXN
S_NS6_Pm_056_159	RXN-14971
S_NS6_Pm_056_159	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS6_Pm_056_159	RXN-15378
S_NS6_Pm_056_160	RXN-14971
S_NS6_Pm_056_160	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS6_Pm_056_160	RXN-15378
S_NS6_Pm_056_161	ABC-9-RXN
S_NS6_Pm_056_161	ABC-10-RXN
S_NS6_Pm_056_161	3.6.3.34-RXN
S_NS6_Pm_056_161	ABC-11-RXN
S_NS6_Pm_056_162	ABC-9-RXN
S_NS6_Pm_056_162	ABC-10-RXN
S_NS6_Pm_056_162	3.6.3.34-RXN
S_NS6_Pm_056_162	ABC-11-RXN
S_NS6_Pm_056_163	2.7.7.13-RXN
S_NS6_Pm_056_164	2.7.7.13-RXN
S_NS6_Pm_056_165	DALADALALIG-RXN
S_NS6_Pm_056_166	DALADALALIG-RXN
S_NS6_Pm_056_167	5.99.1.3-RXN
S_NS6_Pm_056_168	5.99.1.3-RXN
S_NS6_Pm_056_169	RXN-13163
S_NS6_Pm_056_170	RXN-13163
S_NS6_Pm_056_171	CYSTATHIONINE-BETA-LYASE-RXN
S_NS6_Pm_056_171	RXN-12729
S_NS6_Pm_056_172	CYSTATHIONINE-BETA-LYASE-RXN
S_NS6_Pm_056_172	RXN-12729
S_NS6_Pm_056_173	RXN-14461
S_NS6_Pm_056_174	RXN-14461
S_NS6_Pm_056_175	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS6_Pm_056_175	ACETYLHOMOSER-CYS-RXN
S_NS6_Pm_056_176	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS6_Pm_056_176	ACETYLHOMOSER-CYS-RXN
S_NS6_Pm_056_177	SULFOCYS-RXN
S_NS6_Pm_056_177	RXN-12726
S_NS6_Pm_056_177	ACSERLY-RXN
S_NS6_Pm_056_178	OHMETPYRKIN-RXN
S_NS6_Pm_056_179	OHMETPYRKIN-RXN
S_NS6_Pm_056_180	PYRIMSYN3-RXN
S_NS6_Pm_056_181	PYRIMSYN3-RXN
S_NS6_Pm_056_182	PYRIMSYN1-RXN
S_NS6_Pm_056_183	OXALODECARB-RXN
S_NS6_Pm_056_184	OXALODECARB-RXN
S_NS6_Pm_056_185	OXALODECARB-RXN
S_NS6_Pm_056_186	OXALODECARB-RXN
S_NS6_Pm_056_187	GLUTAMINESYN-RXN
S_NS6_Pm_056_188	GLUTAMINESYN-RXN
S_NS6_Pm_056_189	GLUTAMINESYN-RXN
S_NS6_Pm_056_190	ADENYL-KIN-RXN
S_NS6_Pm_056_191	3.4.21.89-RXN
S_NS6_Pm_056_192	3.4.21.89-RXN
S_NS6_Pm_056_193	3.4.21.89-RXN
S_NS6_Pm_056_194	3.4.21.89-RXN
S_NS6_Pm_056_195	3.4.21.89-RXN
S_NS6_Pm_056_196	RXN-15881
S_NS6_Pm_056_196	RXN-14384
S_NS6_Pm_056_196	RXN-14385
S_NS6_Pm_056_196	RXN-14386
S_NS6_Pm_056_196	RXN-12587
S_NS6_Pm_056_196	RXN-9787
S_NS6_Pm_056_196	RXN-12588
S_NS6_Pm_056_196	RXN0-308
S_NS6_Pm_056_197	ABC-27-RXN
S_NS6_Pm_056_198	RXN-12720
S_NS6_Pm_056_198	SULFATE-ADENYLYLTRANS-RXN
S_NS6_Pm_056_199	RXN-12720
S_NS6_Pm_056_199	SULFATE-ADENYLYLTRANS-RXN
S_NS6_Pm_056_200	RXN-11837
S_NS6_Pm_056_201	RXN-11837
S_NS6_Pm_056_202	RXN-11837
S_NS6_Pm_056_203	UDPGLUCEPIM-RXN
S_NS6_Pm_056_204	UDPGLUCEPIM-RXN
S_NS6_Pm_056_205	2PGADEHYDRAT-RXN
S_NS6_Pm_056_206	ALPHAGALACTOSID-RXN
S_NS6_Pm_056_206	RXN-11501
S_NS6_Pm_056_206	RXN-12088
S_NS6_Pm_056_208	RXN-14455
S_NS6_Pm_056_209	1.8.4.12-RXN
S_NS6_Pm_056_210	RXN-8668
S_NS6_Pm_056_211	DIHYDROOROT-RXN
S_NS6_Pm_056_212	RXN-11396
S_NS6_Pm_056_213	GLUCOKIN-RXN
S_NS6_Pm_056_213	RXN66-521
S_NS6_Pm_056_213	RXN-1685
S_NS6_Pm_056_214	GLUCOKIN-RXN
S_NS6_Pm_056_214	RXN66-521
S_NS6_Pm_056_214	RXN-1685
S_NS6_Pm_056_215	ADENOSYLHOMOCYSTEINASE-RXN
S_NS6_Pm_056_216	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS6_Pm_056_217	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS6_Pm_056_218	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS6_Pm_056_219	RXN-13182
S_NS6_Pm_056_219	SIALATE-O-ACETYLESTERASE-RXN
S_NS6_Pm_056_219	RXN-13181
S_NS6_Pm_056_220	RXN-14970
S_NS6_Pm_056_220	RXN-14963
S_NS6_Pm_056_220	R601-RXN
S_NS6_Pm_056_221	RXN-14970
S_NS6_Pm_056_221	RXN-14963
S_NS6_Pm_056_221	R601-RXN
S_NS6_Pm_056_222	3.5.1.88-RXN
S_NS6_Pm_056_222	3.5.1.27-RXN
S_NS6_Pm_056_223	TDCEACT-RXN
S_NS6_Pm_056_224	TDCEACT-RXN
S_NS6_Pm_056_225	TDCEACT-RXN
S_NS6_Pm_056_226	RXN-14283
S_NS6_Pm_056_226	RXN-14282
S_NS6_Pm_056_226	RXN-14350
S_NS6_Pm_056_226	RXN-15910
S_NS6_Pm_056_226	RXN0-5183
S_NS6_Pm_056_226	RXN-14349
S_NS6_Pm_056_226	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_226	RXN-14281
S_NS6_Pm_056_226	RXN-2141
S_NS6_Pm_056_227	RXN-14283
S_NS6_Pm_056_227	RXN-14282
S_NS6_Pm_056_227	RXN-14350
S_NS6_Pm_056_227	RXN-15910
S_NS6_Pm_056_227	RXN0-5183
S_NS6_Pm_056_227	RXN-14349
S_NS6_Pm_056_227	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_227	RXN-14281
S_NS6_Pm_056_227	RXN-2141
S_NS6_Pm_056_228	RXN-14283
S_NS6_Pm_056_228	RXN-14282
S_NS6_Pm_056_228	RXN-14350
S_NS6_Pm_056_228	RXN-15910
S_NS6_Pm_056_228	RXN0-5183
S_NS6_Pm_056_228	RXN-14349
S_NS6_Pm_056_228	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_228	RXN-14281
S_NS6_Pm_056_228	RXN-2141
S_NS6_Pm_056_229	RXN-14283
S_NS6_Pm_056_229	RXN-14282
S_NS6_Pm_056_229	RXN-14350
S_NS6_Pm_056_229	RXN-15910
S_NS6_Pm_056_229	RXN0-5183
S_NS6_Pm_056_229	RXN-14349
S_NS6_Pm_056_229	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_229	RXN-14281
S_NS6_Pm_056_229	RXN-2141
S_NS6_Pm_056_230	RXN-14283
S_NS6_Pm_056_230	RXN-14282
S_NS6_Pm_056_230	RXN-14350
S_NS6_Pm_056_230	RXN-15910
S_NS6_Pm_056_230	RXN0-5183
S_NS6_Pm_056_230	RXN-14349
S_NS6_Pm_056_230	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_230	RXN-14281
S_NS6_Pm_056_230	RXN-2141
S_NS6_Pm_056_231	RXN-11836
S_NS6_Pm_056_232	2.7.1.90-RXN
S_NS6_Pm_056_233	2.7.1.90-RXN
S_NS6_Pm_056_234	ACETOLACTSYN-RXN
S_NS6_Pm_056_234	ACETOOHBUTSYN-RXN
S_NS6_Pm_056_235	ACETOLACTSYN-RXN
S_NS6_Pm_056_235	ACETOOHBUTSYN-RXN
S_NS6_Pm_056_236	IGPSYN-RXN
S_NS6_Pm_056_237	ALARACECAT-RXN
S_NS6_Pm_056_238	3.1.11.6-RXN
S_NS6_Pm_056_239	3.1.11.6-RXN
S_NS6_Pm_056_240	RXN0-5266
S_NS6_Pm_056_241	RXN0-5266
S_NS6_Pm_056_242	ALPHA-AMYL-RXN
S_NS6_Pm_056_242	RXN0-5181
S_NS6_Pm_056_242	3.2.1.1-RXN
S_NS6_Pm_056_242	RXN-1823
S_NS6_Pm_056_243	GLUTAMIN-RXN
S_NS6_Pm_056_244	2.1.1.63-RXN
S_NS6_Pm_056_245	2.5.1.64-RXN
S_NS6_Pm_056_246	METHIONINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_246	RXN-16165
S_NS6_Pm_056_247	MALIC-NADP-RXN
S_NS6_Pm_056_248	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_249	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_250	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_251	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_252	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_253	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_254	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_NS6_Pm_056_255	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_NS6_Pm_056_256	DTDPDEHYRHAMREDUCT-RXN
S_NS6_Pm_056_257	DTDPDEHYRHAMREDUCT-RXN
S_NS6_Pm_056_258	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS6_Pm_056_259	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS6_Pm_056_260	FUCULOKIN-RXN
S_NS6_Pm_056_261	RXN-14065
S_NS6_Pm_056_262	ADENYLYLSULFKIN-RXN
S_NS6_Pm_056_263	ADENYLYLSULFKIN-RXN
S_NS6_Pm_056_264	OROPRIBTRANS-RXN
S_NS6_Pm_056_265	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS6_Pm_056_266	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS6_Pm_056_267	OROTPDECARB-RXN
S_NS6_Pm_056_268	OROTPDECARB-RXN
S_NS6_Pm_056_269	ASPARTATE--TRNA-LIGASE-RXN
S_NS6_Pm_056_270	7KAPSYN-RXN
S_NS6_Pm_056_270	RXN-11484
S_NS6_Pm_056_271	7KAPSYN-RXN
S_NS6_Pm_056_271	RXN-11484
S_NS6_Pm_056_272	THIOREDOXIN-REDUCT-NADPH-RXN
S_NS6_Pm_056_273	4.3.1.17-RXN
S_NS6_Pm_056_274	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_NS6_Pm_056_275	FARNESYLTRANSTRANSFERASE-RXN
S_NS6_Pm_056_276	FPPSYN-RXN
S_NS6_Pm_056_277	GPPSYN-RXN
S_NS6_Pm_056_278	QUINOPRIBOTRANS-RXN
S_NS6_Pm_056_279	RXN0-6480
S_NS6_Pm_056_279	3.1.26.5-RXN
S_NS6_Pm_056_280	RXN0-6727
S_NS6_Pm_056_280	RXN-13141
S_NS6_Pm_056_281	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Pm_056_282	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Pm_056_283	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Pm_056_284	GLUTAMATESYN-RXN
S_NS6_Pm_056_285	GLUTAMATESYN-RXN
S_NS6_Pm_056_286	GLUTAMATESYN-RXN
S_NS6_Pm_056_287	GDPMANDEHYDRA-RXN
S_NS6_Pm_056_288	1.1.1.271-RXN
S_NS6_Pm_056_289	MANNPISOM-RXN
S_NS6_Pm_056_290	RXN0-302
S_NS6_Pm_056_291	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_NS6_Pm_056_291	RXN-10949
S_NS6_Pm_056_291	RXN-7253
S_NS6_Pm_056_291	RXN0-5408
S_NS6_Pm_056_291	RXN-10954
S_NS6_Pm_056_291	RXN-10953
S_NS6_Pm_056_291	RXN-10952
S_NS6_Pm_056_292	RXN-11592
S_NS6_Pm_056_293	RXN-12752
S_NS6_Pm_056_293	RXN-13142
S_NS6_Pm_056_294	MALONYL-COA-ACP-TRANSACYL-RXN
S_NS6_Pm_056_295	1.11.1.15-RXN
S_NS6_Pm_056_295	RXN0-5468
S_NS6_Pm_056_296	1.11.1.15-RXN
S_NS6_Pm_056_296	RXN0-5468
S_NS6_Pm_056_297	1.11.1.15-RXN
S_NS6_Pm_056_297	RXN0-5468
S_NS6_Pm_056_298	PPPGPPHYDRO-RXN
