S_S2_Ea_076_1	NADH-DEHYDROG-A-RXN
S_S2_Ea_076_59	RXN-11065
S_S2_Ea_076_59	3.4.16.4-RXN
S_S2_Ea_076_59	RXN-16649
S_S2_Ea_076_59	RXN-11351
S_S2_Ea_076_59	RXN-16659
S_S2_Ea_076_59	RXN-11302
S_S2_Ea_076_60	RXN-11065
S_S2_Ea_076_60	3.4.16.4-RXN
S_S2_Ea_076_60	RXN-16649
S_S2_Ea_076_60	RXN-11351
S_S2_Ea_076_60	RXN-16659
S_S2_Ea_076_60	RXN-11302
S_S2_Ea_076_61	RXN-11065
S_S2_Ea_076_61	3.4.16.4-RXN
S_S2_Ea_076_61	RXN-16649
S_S2_Ea_076_61	RXN-11351
S_S2_Ea_076_61	RXN-16659
S_S2_Ea_076_61	RXN-11302
S_S2_Ea_076_62	3.1.21.3-RXN
S_S2_Ea_076_63	3.1.21.3-RXN
S_S2_Ea_076_64	RXN-11109
S_S2_Ea_076_65	RXN-11109
S_S2_Ea_076_66	RXN-13202
S_S2_Ea_076_66	CARBPSYN-RXN
S_S2_Ea_076_67	RXN-13202
S_S2_Ea_076_67	CARBPSYN-RXN
S_S2_Ea_076_68	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_076_69	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_076_70	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_076_71	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_076_72	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_076_73	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_076_74	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_076_75	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_076_76	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_076_77	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_076_78	2-ISOPROPYLMALATESYN-RXN
S_S2_Ea_076_79	RXN-11602
S_S2_Ea_076_80	TRYPSYN-RXN
S_S2_Ea_076_81	TRYPSYN-RXN
S_S2_Ea_076_82	6.3.5.6-RXN
S_S2_Ea_076_83	6.3.5.6-RXN
S_S2_Ea_076_84	6.3.5.6-RXN
S_S2_Ea_076_85	6.3.5.7-RXN
S_S2_Ea_076_86	6.3.5.7-RXN
S_S2_Ea_076_87	6.3.5.7-RXN
S_S2_Ea_076_88	6PFRUCTPHOS-RXN
S_S2_Ea_076_89	RXN0-2584
S_S2_Ea_076_90	RXN0-2584
S_S2_Ea_076_91	RXN-11591
S_S2_Ea_076_92	ATPSYN-RXN
S_S2_Ea_076_93	ATPSYN-RXN
S_S2_Ea_076_94	ATPSYN-RXN
S_S2_Ea_076_96	RXN-12104
S_S2_Ea_076_97	RXN-12104
S_S2_Ea_076_98	1.5.1.20-RXN
S_S2_Ea_076_99	FGAMSYN-RXN
S_S2_Ea_076_100	FGAMSYN-RXN
S_S2_Ea_076_101	FGAMSYN-RXN
S_S2_Ea_076_102	3.1.26.4-RXN
S_S2_Ea_076_103	3.1.26.4-RXN
S_S2_Ea_076_104	3.1.26.4-RXN
S_S2_Ea_076_105	3.1.3.16-RXN
S_S2_Ea_076_106	3.1.3.16-RXN
S_S2_Ea_076_107	2.7.8.12-RXN
S_S2_Ea_076_107	TEICHOICSYN4-RXN
S_S2_Ea_076_108	RXN-16024
S_S2_Ea_076_108	RXN-16117
S_S2_Ea_076_108	RXN-10462
S_S2_Ea_076_108	RXN-13805
S_S2_Ea_076_108	RXN-1381
S_S2_Ea_076_108	RXN-15045
S_S2_Ea_076_109	RXN-16024
S_S2_Ea_076_109	RXN-16117
S_S2_Ea_076_109	RXN-10462
S_S2_Ea_076_109	RXN-13805
S_S2_Ea_076_109	RXN-1381
S_S2_Ea_076_109	RXN-15045
S_S2_Ea_076_110	THI-P-SYN-RXN
S_S2_Ea_076_110	RXN-12610
S_S2_Ea_076_110	RXN-12611
S_S2_Ea_076_111	MALTACETYLTRAN-RXN
S_S2_Ea_076_112	MALTACETYLTRAN-RXN
S_S2_Ea_076_113	MALTACETYLTRAN-RXN
S_S2_Ea_076_114	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Ea_076_115	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Ea_076_116	ABC-9-RXN
S_S2_Ea_076_116	ABC-10-RXN
S_S2_Ea_076_116	3.6.3.34-RXN
S_S2_Ea_076_116	ABC-11-RXN
S_S2_Ea_076_117	ABC-9-RXN
S_S2_Ea_076_117	ABC-10-RXN
S_S2_Ea_076_117	3.6.3.34-RXN
S_S2_Ea_076_117	ABC-11-RXN
S_S2_Ea_076_118	ABC-9-RXN
S_S2_Ea_076_118	ABC-10-RXN
S_S2_Ea_076_118	3.6.3.34-RXN
S_S2_Ea_076_118	ABC-11-RXN
S_S2_Ea_076_119	DALADALALIG-RXN
S_S2_Ea_076_120	5.99.1.3-RXN
S_S2_Ea_076_121	5.99.1.3-RXN
S_S2_Ea_076_122	RXN-13163
S_S2_Ea_076_123	RXN-13163
S_S2_Ea_076_124	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_124	RXN-12729
S_S2_Ea_076_125	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_125	RXN-12729
S_S2_Ea_076_126	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_126	RXN-12729
S_S2_Ea_076_127	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_127	RXN-12729
S_S2_Ea_076_128	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_128	RXN-12729
S_S2_Ea_076_129	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_129	RXN-12729
S_S2_Ea_076_130	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_076_130	RXN-12729
S_S2_Ea_076_131	RXN-14461
S_S2_Ea_076_132	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S2_Ea_076_132	ACETYLHOMOSER-CYS-RXN
S_S2_Ea_076_133	SULFOCYS-RXN
S_S2_Ea_076_133	RXN-12726
S_S2_Ea_076_133	ACSERLY-RXN
S_S2_Ea_076_134	SULFOCYS-RXN
S_S2_Ea_076_134	RXN-12726
S_S2_Ea_076_134	ACSERLY-RXN
S_S2_Ea_076_135	SULFOCYS-RXN
S_S2_Ea_076_135	RXN-12726
S_S2_Ea_076_135	ACSERLY-RXN
S_S2_Ea_076_136	OHMETPYRKIN-RXN
S_S2_Ea_076_137	OHMETPYRKIN-RXN
S_S2_Ea_076_138	PYRIMSYN3-RXN
S_S2_Ea_076_139	PYRIMSYN3-RXN
S_S2_Ea_076_140	GLUTAMINESYN-RXN
S_S2_Ea_076_141	ADENPRIBOSYLTRAN-RXN
S_S2_Ea_076_141	RXN-14270
S_S2_Ea_076_142	ADENYL-KIN-RXN
S_S2_Ea_076_143	3.4.21.89-RXN
S_S2_Ea_076_144	3.4.21.89-RXN
S_S2_Ea_076_145	3.4.21.89-RXN
S_S2_Ea_076_146	3.4.21.89-RXN
S_S2_Ea_076_147	3.4.21.89-RXN
S_S2_Ea_076_148	RXN-15881
S_S2_Ea_076_148	RXN-14384
S_S2_Ea_076_148	RXN-14385
S_S2_Ea_076_148	RXN-14386
S_S2_Ea_076_148	RXN-12587
S_S2_Ea_076_148	RXN-9787
S_S2_Ea_076_148	RXN-12588
S_S2_Ea_076_148	RXN0-308
S_S2_Ea_076_149	RXN-15881
S_S2_Ea_076_149	RXN-14384
S_S2_Ea_076_149	RXN-14385
S_S2_Ea_076_149	RXN-14386
S_S2_Ea_076_149	RXN-12587
S_S2_Ea_076_149	RXN-9787
S_S2_Ea_076_149	RXN-12588
S_S2_Ea_076_149	RXN0-308
S_S2_Ea_076_150	RXN-15881
S_S2_Ea_076_150	RXN-14384
S_S2_Ea_076_150	RXN-14385
S_S2_Ea_076_150	RXN-14386
S_S2_Ea_076_150	RXN-12587
S_S2_Ea_076_150	RXN-9787
S_S2_Ea_076_150	RXN-12588
S_S2_Ea_076_150	RXN0-308
S_S2_Ea_076_151	ABC-27-RXN
S_S2_Ea_076_152	ABC-27-RXN
S_S2_Ea_076_153	RXN0-6948
S_S2_Ea_076_153	N-ACETYLTRANSFER-RXN
S_S2_Ea_076_154	RXN-11837
S_S2_Ea_076_155	RXN-11837
S_S2_Ea_076_156	RXN-11837
S_S2_Ea_076_157	UDPGLUCEPIM-RXN
S_S2_Ea_076_158	UDPGLUCEPIM-RXN
S_S2_Ea_076_159	2PGADEHYDRAT-RXN
S_S2_Ea_076_161	RXN-14455
S_S2_Ea_076_162	RXN0-1134
S_S2_Ea_076_163	RXN0-1134
S_S2_Ea_076_164	RXN0-1134
S_S2_Ea_076_165	1.8.4.12-RXN
S_S2_Ea_076_166	1.8.4.12-RXN
S_S2_Ea_076_167	1.8.4.12-RXN
S_S2_Ea_076_168	RXN-8668
S_S2_Ea_076_169	RXN-8668
S_S2_Ea_076_170	RXN-8668
S_S2_Ea_076_171	DIHYDROOROT-RXN
S_S2_Ea_076_172	DIHYDROOROT-RXN
S_S2_Ea_076_173	RXN-11396
S_S2_Ea_076_174	RXN-11396
S_S2_Ea_076_175	GLUCOKIN-RXN
S_S2_Ea_076_175	RXN66-521
S_S2_Ea_076_175	RXN-1685
S_S2_Ea_076_176	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Ea_076_177	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Ea_076_178	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Ea_076_179	3.5.1.88-RXN
S_S2_Ea_076_179	3.5.1.27-RXN
S_S2_Ea_076_180	3.5.1.88-RXN
S_S2_Ea_076_180	3.5.1.27-RXN
S_S2_Ea_076_181	TDCEACT-RXN
S_S2_Ea_076_182	TDCEACT-RXN
S_S2_Ea_076_183	TDCEACT-RXN
S_S2_Ea_076_184	TDCEACT-RXN
S_S2_Ea_076_185	TDCEACT-RXN
S_S2_Ea_076_186	RXN-14283
S_S2_Ea_076_186	RXN-14282
S_S2_Ea_076_186	RXN-14350
S_S2_Ea_076_186	RXN-15910
S_S2_Ea_076_186	RXN0-5183
S_S2_Ea_076_186	RXN-14349
S_S2_Ea_076_186	MALTODEXGLUCOSID-RXN
S_S2_Ea_076_186	RXN-14281
S_S2_Ea_076_186	RXN-2141
S_S2_Ea_076_187	RXN-14283
S_S2_Ea_076_187	RXN-14282
S_S2_Ea_076_187	RXN-14350
S_S2_Ea_076_187	RXN-15910
S_S2_Ea_076_187	RXN0-5183
S_S2_Ea_076_187	RXN-14349
S_S2_Ea_076_187	MALTODEXGLUCOSID-RXN
S_S2_Ea_076_187	RXN-14281
S_S2_Ea_076_187	RXN-2141
S_S2_Ea_076_188	RXN-14283
S_S2_Ea_076_188	RXN-14282
S_S2_Ea_076_188	RXN-14350
S_S2_Ea_076_188	RXN-15910
S_S2_Ea_076_188	RXN0-5183
S_S2_Ea_076_188	RXN-14349
S_S2_Ea_076_188	MALTODEXGLUCOSID-RXN
S_S2_Ea_076_188	RXN-14281
S_S2_Ea_076_188	RXN-2141
S_S2_Ea_076_189	RXN-11836
S_S2_Ea_076_190	ACETOLACTSYN-RXN
S_S2_Ea_076_190	ACETOOHBUTSYN-RXN
S_S2_Ea_076_191	ACETOLACTSYN-RXN
S_S2_Ea_076_191	ACETOOHBUTSYN-RXN
S_S2_Ea_076_192	ACETOLACTSYN-RXN
S_S2_Ea_076_192	ACETOOHBUTSYN-RXN
S_S2_Ea_076_193	IGPSYN-RXN
S_S2_Ea_076_194	ALARACECAT-RXN
S_S2_Ea_076_195	3.1.11.6-RXN
S_S2_Ea_076_196	3.1.11.6-RXN
S_S2_Ea_076_197	RXN0-5266
S_S2_Ea_076_198	RXN0-5266
S_S2_Ea_076_199	ALPHA-AMYL-RXN
S_S2_Ea_076_199	RXN0-5181
S_S2_Ea_076_199	3.2.1.1-RXN
S_S2_Ea_076_199	RXN-1823
S_S2_Ea_076_200	ALPHA-AMYL-RXN
S_S2_Ea_076_200	RXN0-5181
S_S2_Ea_076_200	3.2.1.1-RXN
S_S2_Ea_076_200	RXN-1823
S_S2_Ea_076_201	2.1.1.63-RXN
S_S2_Ea_076_202	2.1.1.63-RXN
S_S2_Ea_076_203	2.5.1.64-RXN
S_S2_Ea_076_204	METHIONINE--TRNA-LIGASE-RXN
S_S2_Ea_076_204	RXN-16165
S_S2_Ea_076_205	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Ea_076_206	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Ea_076_207	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ea_076_208	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ea_076_209	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ea_076_210	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Ea_076_211	RXN-12462
S_S2_Ea_076_212	RXN-12463
S_S2_Ea_076_213	RXN-14065
S_S2_Ea_076_214	RXN-14065
S_S2_Ea_076_215	RXN-14065
S_S2_Ea_076_216	OROPRIBTRANS-RXN
S_S2_Ea_076_217	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ea_076_218	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ea_076_219	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ea_076_220	OROTPDECARB-RXN
S_S2_Ea_076_221	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Ea_076_222	CARBOXYLESTERASE-RXN
S_S2_Ea_076_222	RXN-12575
S_S2_Ea_076_222	RXN-10711
S_S2_Ea_076_222	3.1.1.64-RXN
S_S2_Ea_076_222	RXN-10767
S_S2_Ea_076_222	RXN-12252
S_S2_Ea_076_222	RETINYL-PALMITATE-ESTERASE-RXN
S_S2_Ea_076_222	RXNQT-4366
S_S2_Ea_076_223	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ea_076_224	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ea_076_225	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ea_076_226	4.3.1.17-RXN
S_S2_Ea_076_227	4.3.1.17-RXN
S_S2_Ea_076_228	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Ea_076_229	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Ea_076_230	FPPSYN-RXN
S_S2_Ea_076_231	GPPSYN-RXN
S_S2_Ea_076_232	RXN0-6480
S_S2_Ea_076_232	3.1.26.5-RXN
S_S2_Ea_076_233	RXN0-6727
S_S2_Ea_076_233	RXN-13141
S_S2_Ea_076_234	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ea_076_235	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ea_076_236	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ea_076_237	GLUTAMATESYN-RXN
S_S2_Ea_076_238	GLUTAMATESYN-RXN
S_S2_Ea_076_239	GLUTAMATESYN-RXN
S_S2_Ea_076_240	MANNPISOM-RXN
S_S2_Ea_076_241	MANNPISOM-RXN
S_S2_Ea_076_242	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S2_Ea_076_242	RXN-10949
S_S2_Ea_076_242	RXN-7253
S_S2_Ea_076_242	RXN0-5408
S_S2_Ea_076_242	RXN-10954
S_S2_Ea_076_242	RXN-10953
S_S2_Ea_076_242	RXN-10952
S_S2_Ea_076_243	RXN-11592
S_S2_Ea_076_244	RXN-12752
S_S2_Ea_076_244	RXN-13142
S_S2_Ea_076_245	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Ea_076_246	1.11.1.15-RXN
S_S2_Ea_076_246	RXN0-5468
S_S2_Ea_076_247	3.4.23.36-RXN
S_S2_Ea_076_248	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Ea_076_249	PANTOTHENATE-KIN-RXN
S_S2_Ea_076_250	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Ea_076_251	GALACTOKIN-RXN
S_S2_Ea_076_252	3.1.11.2-RXN
S_S2_Ea_076_253	NAG6PDEACET-RXN
S_S2_Ea_076_253	3.5.1.80-RXN
S_S2_Ea_076_257	3.4.11.18-RXN
S_S2_Ea_076_258	3.4.11.18-RXN
S_S2_Ea_076_259	NAD-KIN-RXN
S_S2_Ea_076_260	RXN-14025
S_S2_Ea_076_260	RXN-14026
S_S2_Ea_076_260	RXN-7607
S_S2_Ea_076_260	RXN-7609
S_S2_Ea_076_260	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_076_260	5-NUCLEOTID-RXN
S_S2_Ea_076_260	RXN-14227
S_S2_Ea_076_260	RXN-5841
S_S2_Ea_076_260	XMPXAN-RXN
S_S2_Ea_076_261	RXN-14025
S_S2_Ea_076_261	RXN-14026
S_S2_Ea_076_261	RXN-7607
S_S2_Ea_076_261	RXN-7609
S_S2_Ea_076_261	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_076_261	5-NUCLEOTID-RXN
S_S2_Ea_076_261	RXN-14227
S_S2_Ea_076_261	RXN-5841
S_S2_Ea_076_261	XMPXAN-RXN
S_S2_Ea_076_262	RXN-14025
S_S2_Ea_076_262	RXN-14026
S_S2_Ea_076_262	RXN-7607
S_S2_Ea_076_262	RXN-7609
S_S2_Ea_076_262	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_076_262	5-NUCLEOTID-RXN
S_S2_Ea_076_262	RXN-14227
S_S2_Ea_076_262	RXN-5841
S_S2_Ea_076_262	XMPXAN-RXN
S_S2_Ea_076_263	RXN0-2921
S_S2_Ea_076_263	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Ea_076_263	FORMYLTHFGLUSYNTH-RXN
S_S2_Ea_076_264	DIHYDROFOLATESYNTH-RXN
S_S2_Ea_076_265	GLUTDEHYD-RXN
S_S2_Ea_076_283	PYRUVFORMLY-RXN
S_S2_Ea_076_284	PYRUVFORMLY-RXN
S_S2_Ea_076_285	PYRUVFORMLY-RXN
S_S2_Ea_076_286	PYRUVFORMLY-RXN
S_S2_Ea_076_287	PYRUVFORMLY-RXN
S_S2_Ea_076_288	PYRUVFORMLY-RXN
S_S2_Ea_076_289	THYMIDYLATESYN-RXN
S_S2_Ea_076_290	PRAISOM-RXN
S_S2_Ea_076_291	PRAISOM-RXN
S_S2_Ea_076_292	SELENOCYSTEINE-LYASE-RXN
S_S2_Ea_076_295	ALDOSE1EPIM-RXN
S_S2_Ea_076_295	ALDOSE-1-EPIMERASE-RXN
S_S2_Ea_076_296	ALDOSE1EPIM-RXN
S_S2_Ea_076_296	ALDOSE-1-EPIMERASE-RXN
S_S2_Ea_076_297	RXN-12002
S_S2_Ea_076_298	GAPOXNPHOSPHN-RXN
S_S2_Ea_076_299	GAPOXNPHOSPHN-RXN
S_S2_Ea_076_300	RXN1G-94
S_S2_Ea_076_300	RXN1G-1015
S_S2_Ea_076_300	RXN1G-202
S_S2_Ea_076_300	RXN1G-883
S_S2_Ea_076_300	RXN1G-660
S_S2_Ea_076_300	RXN1G-374
S_S2_Ea_076_300	RXN1G-334
S_S2_Ea_076_300	RXN-8391
S_S2_Ea_076_300	RXN1G-582
S_S2_Ea_076_300	RXN1G-580
S_S2_Ea_076_300	RXN1G-89
S_S2_Ea_076_300	2.3.1.179-RXN
S_S2_Ea_076_300	RXN1G-1212
S_S2_Ea_076_300	RXN1G-424
S_S2_Ea_076_300	RXN1G-818
S_S2_Ea_076_300	RXN1G-79
S_S2_Ea_076_300	RXN1G-172
S_S2_Ea_076_300	RXN1G-557
S_S2_Ea_076_300	RXN1G-32
S_S2_Ea_076_301	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S2_Ea_076_302	FRUCTOKINASE-RXN
S_S2_Ea_076_303	FRUCTOKINASE-RXN
S_S2_Ea_076_304	FRUCTOKINASE-RXN
S_S2_Ea_076_305	AKBLIG-RXN
S_S2_Ea_076_306	RXN-14517
S_S2_Ea_076_306	RXN-12458
S_S2_Ea_076_307	RXN-982
S_S2_Ea_076_308	RXN-982
S_S2_Ea_076_309	RXN-14285
S_S2_Ea_076_309	RXN-14284
S_S2_Ea_076_309	RXN-14286
S_S2_Ea_076_309	RXN-14353
S_S2_Ea_076_309	RXN-9025
S_S2_Ea_076_309	RXN0-5182
S_S2_Ea_076_309	RXN0-5184
S_S2_Ea_076_309	GLYCOPHOSPHORYL-RXN
S_S2_Ea_076_309	RXN-12171
S_S2_Ea_076_309	GLYMALTOPHOSPHORYL-RXN
S_S2_Ea_076_309	RXN-1826
S_S2_Ea_076_309	RXN-12392
S_S2_Ea_076_310	3.6.3.8-RXN
S_S2_Ea_076_311	3.6.3.8-RXN
S_S2_Ea_076_312	3.6.3.8-RXN
S_S2_Ea_076_313	3.6.3.8-RXN
S_S2_Ea_076_314	1.2.3.3-RXN
S_S2_Ea_076_315	PRTRANS-RXN
S_S2_Ea_076_316	DTDPGLUCDEHYDRAT-RXN
S_S2_Ea_076_317	DTDPGLUCOSEPP-RXN
S_S2_Ea_076_318	BIOTINLIG-RXN
S_S2_Ea_076_319	HISTIDINE--TRNA-LIGASE-RXN
S_S2_Ea_076_320	RXN-13158
S_S2_Ea_076_320	RXN-14986
S_S2_Ea_076_321	PHOSGLYPHOS-RXN
S_S2_Ea_076_322	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S2_Ea_076_323	GART-RXN
S_S2_Ea_076_324	NMNAMIDOHYDRO-RXN
S_S2_Ea_076_325	RXN-14207
S_S2_Ea_076_325	PEPDEPHOS-RXN
S_S2_Ea_076_325	RXN-14117
S_S2_Ea_076_325	RXN-14192
S_S2_Ea_076_326	RXN-12460
S_S2_Ea_076_326	AMINOCYL-TRNA-HYDROLASE-RXN
S_S2_Ea_076_326	RXN-16637
S_S2_Ea_076_327	ALANINE--TRNA-LIGASE-RXN
S_S2_Ea_076_328	RXN-11633
S_S2_Ea_076_329	AIRS-RXN
S_S2_Ea_076_330	PRPPAMIDOTRANS-RXN
S_S2_Ea_076_331	P-PANTOCYSDECARB-RXN
S_S2_Ea_076_332	P-PANTOCYSLIG-RXN
S_S2_Ea_076_333	P-PANTOCYSLIG-RXN
S_S2_Ea_076_336	HISTIDPHOS-RXN
S_S2_Ea_076_337	GUANYL-KIN-RXN
S_S2_Ea_076_338	GUANYL-KIN-RXN
S_S2_Ea_076_339	2.3.1.180-RXN
S_S2_Ea_076_340	PANTEPADENYLYLTRAN-RXN
S_S2_Ea_076_341	GLUC1PURIDYLTRANS-RXN
S_S2_Ea_076_342	2.7.7.39-RXN
S_S2_Ea_076_343	RXN-11047
S_S2_Ea_076_343	RXN-9217
S_S2_Ea_076_343	DMK-RXN
S_S2_Ea_076_343	RXN-9358
S_S2_Ea_076_343	RXN-9359
S_S2_Ea_076_343	RXN-9204
S_S2_Ea_076_343	RXN-9190
S_S2_Ea_076_343	RXN-9360
S_S2_Ea_076_343	RXN-9365
S_S2_Ea_076_344	RXN-11047
S_S2_Ea_076_344	RXN-9217
S_S2_Ea_076_344	DMK-RXN
S_S2_Ea_076_344	RXN-9358
S_S2_Ea_076_344	RXN-9359
S_S2_Ea_076_344	RXN-9204
S_S2_Ea_076_344	RXN-9190
S_S2_Ea_076_344	RXN-9360
