S_S5_Ca_088_1	NADH-DEHYDROG-A-RXN
S_S5_Ca_088_108	3.5.1.88-RXN
S_S5_Ca_088_108	3.5.1.27-RXN
S_S5_Ca_088_109	3.5.1.88-RXN
S_S5_Ca_088_109	3.5.1.27-RXN
S_S5_Ca_088_110	3.5.1.88-RXN
S_S5_Ca_088_110	3.5.1.27-RXN
S_S5_Ca_088_111	TDCEACT-RXN
S_S5_Ca_088_112	TDCEACT-RXN
S_S5_Ca_088_113	TDCEACT-RXN
S_S5_Ca_088_114	TDCEACT-RXN
S_S5_Ca_088_115	RXN-14283
S_S5_Ca_088_115	RXN-14282
S_S5_Ca_088_115	RXN-14350
S_S5_Ca_088_115	RXN-15910
S_S5_Ca_088_115	RXN0-5183
S_S5_Ca_088_115	RXN-14349
S_S5_Ca_088_115	MALTODEXGLUCOSID-RXN
S_S5_Ca_088_115	RXN-14281
S_S5_Ca_088_115	RXN-2141
S_S5_Ca_088_116	RXN-11836
S_S5_Ca_088_117	2.7.1.90-RXN
S_S5_Ca_088_118	ALARACECAT-RXN
S_S5_Ca_088_119	3.1.11.6-RXN
S_S5_Ca_088_120	3.1.11.6-RXN
S_S5_Ca_088_121	2.1.1.63-RXN
S_S5_Ca_088_122	3.4.23.43-RXN
S_S5_Ca_088_123	METHIONINE--TRNA-LIGASE-RXN
S_S5_Ca_088_123	RXN-16165
S_S5_Ca_088_124	METHIONINE--TRNA-LIGASE-RXN
S_S5_Ca_088_124	RXN-16165
S_S5_Ca_088_125	2-OXOGLUTARATE-SYNTHASE-RXN
S_S5_Ca_088_126	DTDPDEHYRHAMREDUCT-RXN
S_S5_Ca_088_127	DTDPDEHYRHAMREDUCT-RXN
S_S5_Ca_088_128	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_Ca_088_129	RXN-12462
S_S5_Ca_088_130	RXN-12463
S_S5_Ca_088_131	RXN-14065
S_S5_Ca_088_132	RXN-14065
S_S5_Ca_088_133	OROPRIBTRANS-RXN
S_S5_Ca_088_134	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_Ca_088_135	OROTPDECARB-RXN
S_S5_Ca_088_136	ASPARTATE--TRNA-LIGASE-RXN
S_S5_Ca_088_137	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_Ca_088_138	4.3.1.17-RXN
S_S5_Ca_088_139	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S5_Ca_088_140	FARNESYLTRANSTRANSFERASE-RXN
S_S5_Ca_088_141	FPPSYN-RXN
S_S5_Ca_088_142	GPPSYN-RXN
S_S5_Ca_088_143	QUINOPRIBOTRANS-RXN
S_S5_Ca_088_144	RXN0-6480
S_S5_Ca_088_144	3.1.26.5-RXN
S_S5_Ca_088_145	RXN0-6727
S_S5_Ca_088_145	RXN-13141
S_S5_Ca_088_146	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_Ca_088_147	GLUTAMATESYN-RXN
S_S5_Ca_088_148	MANNPISOM-RXN
S_S5_Ca_088_149	RXN0-302
S_S5_Ca_088_150	RXN-11592
S_S5_Ca_088_151	RXN-12752
S_S5_Ca_088_151	RXN-13142
S_S5_Ca_088_152	PPPGPPHYDRO-RXN
S_S5_Ca_088_153	3.4.23.36-RXN
S_S5_Ca_088_154	ISOLEUCINE--TRNA-LIGASE-RXN
S_S5_Ca_088_155	PANTOTHENATE-KIN-RXN
S_S5_Ca_088_156	PANTOTHENATE-KIN-RXN
S_S5_Ca_088_157	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S5_Ca_088_158	GALACTOKIN-RXN
S_S5_Ca_088_159	3.1.11.2-RXN
S_S5_Ca_088_160	NAG6PDEACET-RXN
S_S5_Ca_088_160	3.5.1.80-RXN
S_S5_Ca_088_161	NAG6PDEACET-RXN
S_S5_Ca_088_161	3.5.1.80-RXN
S_S5_Ca_088_163	POLYPHOSPHATE-KINASE-RXN
S_S5_Ca_088_164	EXOPOLYPHOSPHATASE-RXN
S_S5_Ca_088_165	3.4.11.18-RXN
S_S5_Ca_088_166	3.4.11.18-RXN
S_S5_Ca_088_167	NAD-KIN-RXN
S_S5_Ca_088_168	RXN-14025
S_S5_Ca_088_168	RXN-14026
S_S5_Ca_088_168	RXN-7607
S_S5_Ca_088_168	RXN-7609
S_S5_Ca_088_168	AMP-DEPHOSPHORYLATION-RXN
S_S5_Ca_088_168	5-NUCLEOTID-RXN
S_S5_Ca_088_168	RXN-14227
S_S5_Ca_088_168	RXN-5841
S_S5_Ca_088_168	XMPXAN-RXN
S_S5_Ca_088_169	RXN0-2921
S_S5_Ca_088_169	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S5_Ca_088_169	FORMYLTHFGLUSYNTH-RXN
S_S5_Ca_088_170	DIHYDROFOLATESYNTH-RXN
S_S5_Ca_088_171	GLUTDEHYD-RXN
S_S5_Ca_088_173	PYRUVFORMLY-RXN
S_S5_Ca_088_174	THYMIDYLATESYN-RXN
S_S5_Ca_088_175	SELENOCYSTEINE-LYASE-RXN
S_S5_Ca_088_176	ALDOSE1EPIM-RXN
S_S5_Ca_088_176	ALDOSE-1-EPIMERASE-RXN
S_S5_Ca_088_177	RXN-12002
S_S5_Ca_088_178	GAPOXNPHOSPHN-RXN
S_S5_Ca_088_179	2.7.7.60-RXN
S_S5_Ca_088_180	2.7.7.60-RXN
S_S5_Ca_088_181	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S5_Ca_088_182	FRUCTOKINASE-RXN
S_S5_Ca_088_183	RXN-14517
S_S5_Ca_088_183	RXN-12458
S_S5_Ca_088_184	RXN-982
S_S5_Ca_088_185	RXN-14285
S_S5_Ca_088_185	RXN-14284
S_S5_Ca_088_185	RXN-14286
S_S5_Ca_088_185	RXN-14353
S_S5_Ca_088_185	RXN-9025
S_S5_Ca_088_185	RXN0-5182
S_S5_Ca_088_185	RXN0-5184
S_S5_Ca_088_185	GLYCOPHOSPHORYL-RXN
S_S5_Ca_088_185	RXN-12171
S_S5_Ca_088_185	GLYMALTOPHOSPHORYL-RXN
S_S5_Ca_088_185	RXN-1826
S_S5_Ca_088_185	RXN-12392
S_S5_Ca_088_186	RXN-14285
S_S5_Ca_088_186	RXN-14284
S_S5_Ca_088_186	RXN-14286
S_S5_Ca_088_186	RXN-14353
S_S5_Ca_088_186	RXN-9025
S_S5_Ca_088_186	RXN0-5182
S_S5_Ca_088_186	RXN0-5184
S_S5_Ca_088_186	GLYCOPHOSPHORYL-RXN
S_S5_Ca_088_186	RXN-12171
S_S5_Ca_088_186	GLYMALTOPHOSPHORYL-RXN
S_S5_Ca_088_186	RXN-1826
S_S5_Ca_088_186	RXN-12392
S_S5_Ca_088_187	3.6.3.8-RXN
S_S5_Ca_088_188	DTDPGLUCDEHYDRAT-RXN
S_S5_Ca_088_189	DTDPGLUCDEHYDRAT-RXN
S_S5_Ca_088_190	DTDPGLUCOSEPP-RXN
S_S5_Ca_088_191	HISTIDINE--TRNA-LIGASE-RXN
S_S5_Ca_088_192	PHOSGLYPHOS-RXN
S_S5_Ca_088_193	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S5_Ca_088_194	GART-RXN
S_S5_Ca_088_195	NMNAMIDOHYDRO-RXN
S_S5_Ca_088_196	RXN-14207
S_S5_Ca_088_196	PEPDEPHOS-RXN
S_S5_Ca_088_196	RXN-14117
S_S5_Ca_088_196	RXN-14192
S_S5_Ca_088_197	RXN-15878
S_S5_Ca_088_198	RXN0-882
S_S5_Ca_088_199	RXN-12460
S_S5_Ca_088_199	AMINOCYL-TRNA-HYDROLASE-RXN
S_S5_Ca_088_199	RXN-16637
S_S5_Ca_088_200	ALANINE--TRNA-LIGASE-RXN
S_S5_Ca_088_201	RXN-11633
S_S5_Ca_088_202	AIRS-RXN
S_S5_Ca_088_203	PRPPAMIDOTRANS-RXN
S_S5_Ca_088_204	P-PANTOCYSDECARB-RXN
S_S5_Ca_088_205	P-PANTOCYSLIG-RXN
S_S5_Ca_088_207	HISTIDPHOS-RXN
S_S5_Ca_088_208	GUANYL-KIN-RXN
S_S5_Ca_088_209	DXPREDISOM-RXN
S_S5_Ca_088_210	PANTEPADENYLYLTRAN-RXN
S_S5_Ca_088_211	GLUC1PURIDYLTRANS-RXN
S_S5_Ca_088_212	QUINOLINATE-SYNTHA-RXN
S_S5_Ca_088_213	RXN0-5462
S_S5_Ca_088_214	SERINE--TRNA-LIGASE-RXN
S_S5_Ca_088_214	RXN0-2161
S_S5_Ca_088_215	DIHYDRODIPICSYN-RXN
S_S5_Ca_088_216	RXN-14014
S_S5_Ca_088_217	THREONINE--TRNA-LIGASE-RXN
S_S5_Ca_088_218	RXN-14712
S_S5_Ca_088_218	RXN-15521
S_S5_Ca_088_218	2.4.1.129-RXN
S_S5_Ca_088_218	RXN-11350
S_S5_Ca_088_218	RXN-11291
S_S5_Ca_088_218	RXN-16650
S_S5_Ca_088_218	RXN-11348
S_S5_Ca_088_219	GLYC3PDEHYDROGBIOSYN-RXN
S_S5_Ca_088_220	LYSINE--TRNA-LIGASE-RXN
S_S5_Ca_088_221	GMP-SYN-GLUT-RXN
S_S5_Ca_088_222	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S5_Ca_088_222	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S5_Ca_088_222	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S5_Ca_088_223	F16ALDOLASE-RXN
S_S5_Ca_088_223	RXN-8631
S_S5_Ca_088_224	F16ALDOLASE-RXN
S_S5_Ca_088_224	RXN-8631
S_S5_Ca_088_225	DIAMINOPIMDECARB-RXN
S_S5_Ca_088_226	RXN0-1342
S_S5_Ca_088_227	PGLYCDEHYDROG-RXN
S_S5_Ca_088_229	ASPARAGINE--TRNA-LIGASE-RXN
S_S5_Ca_088_230	IMP-DEHYDROG-RXN
S_S5_Ca_088_231	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S5_Ca_088_232	PYRUFLAVREDUCT-RXN
S_S5_Ca_088_232	2-OXOBUTYRATE-SYNTHASE-RXN
S_S5_Ca_088_233	PYRUFLAVREDUCT-RXN
S_S5_Ca_088_233	2-OXOBUTYRATE-SYNTHASE-RXN
S_S5_Ca_088_234	DAHPSYN-RXN
S_S5_Ca_088_235	DAHPSYN-RXN
S_S5_Ca_088_236	FADSYN-RXN
S_S5_Ca_088_237	RIBOFLAVINKIN-RXN
S_S5_Ca_088_238	RXN-11839
S_S5_Ca_088_239	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S5_Ca_088_241	3.1.22.4-RXN
S_S5_Ca_088_242	RXN-1961
S_S5_Ca_088_243	PHOSACETYLTRANS-RXN
S_S5_Ca_088_244	IMIDPHOSDEHYD-RXN
S_S5_Ca_088_245	PRPPSYN-RXN
S_S5_Ca_088_246	HISTAMINOTRANS-RXN
S_S5_Ca_088_247	RXN-7669
S_S5_Ca_088_247	GLYCOGEN-BRANCH-RXN
S_S5_Ca_088_247	RXN-7710
S_S5_Ca_088_247	RXN-14371
S_S5_Ca_088_247	RXN-14372
S_S5_Ca_088_248	RXN-13482
S_S5_Ca_088_248	ORNCARBAMTRANSFER-RXN
S_S5_Ca_088_249	2.7.3.9-RXN
S_S5_Ca_088_250	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S5_Ca_088_251	GLYCINE--TRNA-LIGASE-RXN
S_S5_Ca_088_252	GLYCINE--TRNA-LIGASE-RXN
S_S5_Ca_088_253	ABC-14-RXN
S_S5_Ca_088_253	ABC-12-RXN
S_S5_Ca_088_253	RXN0-3
S_S5_Ca_088_253	ABC-4-RXN
S_S5_Ca_088_253	TRANS-RXN-265
S_S5_Ca_088_253	ABC-3-RXN
S_S5_Ca_088_253	TRANS-RXN0-222
S_S5_Ca_088_253	ABC-13-RXN
S_S5_Ca_088_253	TRANS-RXN0-593
S_S5_Ca_088_253	3.6.3.21-RXN
S_S5_Ca_088_253	ABC-37-RXN
S_S5_Ca_088_254	ABC-14-RXN
S_S5_Ca_088_254	ABC-12-RXN
S_S5_Ca_088_254	RXN0-3
S_S5_Ca_088_254	ABC-4-RXN
S_S5_Ca_088_254	TRANS-RXN-265
S_S5_Ca_088_254	ABC-3-RXN
S_S5_Ca_088_254	TRANS-RXN0-222
S_S5_Ca_088_254	ABC-13-RXN
S_S5_Ca_088_254	TRANS-RXN0-593
S_S5_Ca_088_254	3.6.3.21-RXN
S_S5_Ca_088_254	ABC-37-RXN
S_S5_Ca_088_255	RXN-15006
S_S5_Ca_088_255	N-ACETYLGLUTPREDUCT-RXN
S_S5_Ca_088_256	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S5_Ca_088_257	PRIBFAICARPISOM-RXN
S_S5_Ca_088_258	DIHYDROFOLATEREDUCT-RXN
S_S5_Ca_088_259	THIAZOLSYN3-RXN
S_S5_Ca_088_260	SHIKIMATE-KINASE-RXN
S_S5_Ca_088_261	RXN-16076
S_S5_Ca_088_261	RXN-16077
S_S5_Ca_088_261	RXN-16032
S_S5_Ca_088_261	RXN-16118
S_S5_Ca_088_261	RXN-15043
S_S5_Ca_088_261	RXN0-6705
S_S5_Ca_088_261	RXN-16067
S_S5_Ca_088_261	RXN-16066
S_S5_Ca_088_261	RXN-16025
S_S5_Ca_088_261	RXN0-5514
S_S5_Ca_088_261	RXN-1623
S_S5_Ca_088_261	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S5_Ca_088_262	3.1.26.3-RXN
S_S5_Ca_088_263	RXN-11637
S_S5_Ca_088_264	HISTCYCLOHYD-RXN
S_S5_Ca_088_265	NAD-SYNTH-GLN-RXN
S_S5_Ca_088_266	NAD-SYNTH-GLN-RXN
S_S5_Ca_088_267	RXN-8001
S_S5_Ca_088_268	RXN-14569
S_S5_Ca_088_269	RXN0-1321
S_S5_Ca_088_269	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S5_Ca_088_270	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S5_Ca_088_271	VALINE--TRNA-LIGASE-RXN
S_S5_Ca_088_272	3PGAREARR-RXN
S_S5_Ca_088_273	3PGAREARR-RXN
S_S5_Ca_088_274	DXS-RXN
S_S5_Ca_088_275	PREPHENATEDEHYDROG-RXN
S_S5_Ca_088_276	DCMP-DEAMINASE-RXN
S_S5_Ca_088_277	RXN-7913
S_S5_Ca_088_277	RXN-11832
S_S5_Ca_088_278	SERINE-O-ACETTRAN-RXN
S_S5_Ca_088_279	GLUTSEMIALDEHYDROG-RXN
S_S5_Ca_088_280	GLUTKIN-RXN
S_S5_Ca_088_281	2TRANSKETO-RXN
S_S5_Ca_088_281	1TRANSKETO-RXN
S_S5_Ca_088_282	2TRANSKETO-RXN
S_S5_Ca_088_282	1TRANSKETO-RXN
S_S5_Ca_088_283	SAICARSYN-RXN
S_S5_Ca_088_284	4.2.99.18-RXN
S_S5_Ca_088_284	RXN0-2601
S_S5_Ca_088_285	ARGSUCCINSYN-RXN
S_S5_Ca_088_285	RXN-10
S_S5_Ca_088_286	TRIOSEPISOMERIZATION-RXN
S_S5_Ca_088_287	3.1.13.5-RXN
S_S5_Ca_088_287	RXN0-6483
S_S5_Ca_088_287	RXN0-6484
S_S5_Ca_088_288	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_Ca_088_289	AMPSYN-RXN
S_S5_Ca_088_289	AICARSYN-RXN
S_S5_Ca_088_290	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_Ca_088_290	RXN0-748
S_S5_Ca_088_290	RXN0-747
S_S5_Ca_088_290	GDPREDUCT-RXN
S_S5_Ca_088_290	ADPREDUCT-RXN
S_S5_Ca_088_290	RXN0-722
S_S5_Ca_088_290	CDPREDUCT-RXN
S_S5_Ca_088_290	UDPREDUCT-RXN
S_S5_Ca_088_290	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_Ca_088_291	ASPARTATEKIN-RXN
S_S5_Ca_088_292	HOMOSERDEHYDROG-RXN
S_S5_Ca_088_293	HOMOCYSMETB12-RXN
S_S5_Ca_088_294	HOMOCYSMETB12-RXN
S_S5_Ca_088_295	3.4.11.4-RXN
S_S5_Ca_088_296	2.7.7.8-RXN
S_S5_Ca_088_297	GUANPRIBOSYLTRAN-RXN
S_S5_Ca_088_297	HYPOXANPRIBOSYLTRAN-RXN
S_S5_Ca_088_298	RXN-9382
S_S5_Ca_088_299	DTMPKI-RXN
S_S5_Ca_088_300	RXN-10781
S_S5_Ca_088_300	RXN-5424
S_S5_Ca_088_300	METHANOL-DEHYDROGENASE-RXN
S_S5_Ca_088_300	RXN-15818
S_S5_Ca_088_300	RXN3O-4113
S_S5_Ca_088_300	RXN-12448
S_S5_Ca_088_300	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ca_088_300	RXN-7694
S_S5_Ca_088_300	RXN-7693
S_S5_Ca_088_300	RXN-7657
S_S5_Ca_088_300	ALCOHOL-DEHYDROG-RXN
S_S5_Ca_088_300	RXN-7700
S_S5_Ca_088_300	RXN-7706
S_S5_Ca_088_300	RXN-10911
S_S5_Ca_088_300	RXN-10915
S_S5_Ca_088_300	RXN66-478
S_S5_Ca_088_300	RXN-15823
S_S5_Ca_088_300	RXN-13198
S_S5_Ca_088_301	RXN-10781
S_S5_Ca_088_301	RXN-5424
S_S5_Ca_088_301	METHANOL-DEHYDROGENASE-RXN
S_S5_Ca_088_301	RXN-15818
S_S5_Ca_088_301	RXN3O-4113
S_S5_Ca_088_301	RXN-12448
S_S5_Ca_088_301	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ca_088_301	RXN-7694
S_S5_Ca_088_301	RXN-7693
S_S5_Ca_088_301	RXN-7657
S_S5_Ca_088_301	ALCOHOL-DEHYDROG-RXN
S_S5_Ca_088_301	RXN-7700
S_S5_Ca_088_301	RXN-7706
S_S5_Ca_088_301	RXN-10911
S_S5_Ca_088_301	RXN-10915
S_S5_Ca_088_301	RXN66-478
S_S5_Ca_088_301	RXN-15823
S_S5_Ca_088_301	RXN-13198
S_S5_Ca_088_302	GLURS-RXN
S_S5_Ca_088_303	GLURS-RXN
S_S5_Ca_088_304	CHORISMATE-SYNTHASE-RXN
S_S5_Ca_088_305	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S5_Ca_088_306	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_S5_Ca_088_307	PGLUCISOM-RXN
S_S5_Ca_088_307	RXN-6182
S_S5_Ca_088_307	RXN-13720
S_S5_Ca_088_308	RXN66-546
S_S5_Ca_088_308	PYRROLINECARBREDUCT-RXN
S_S5_Ca_088_309	DGTPTRIPHYDRO-RXN
S_S5_Ca_088_310	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S5_Ca_088_311	NICONUCADENYLYLTRAN-RXN
S_S5_Ca_088_312	TRNA-NUCLEOTIDYLTRANSFERASE-RXN
S_S5_Ca_088_312	RXN0-6482
S_S5_Ca_088_312	RXN0-6481
S_S5_Ca_088_313	2-DEHYDROPANTOATE-REDUCT-RXN
S_S5_Ca_088_314	FORMATETHFLIG-RXN
S_S5_Ca_088_315	GLYRIBONUCSYN-RXN
S_S5_Ca_088_316	RXN-11586
S_S5_Ca_088_317	RXN-11601
S_S5_Ca_088_318	PROLINE--TRNA-LIGASE-RXN
S_S5_Ca_088_319	RXN-14992
S_S5_Ca_088_320	ARGSUCCINLYA-RXN
S_S5_Ca_088_320	RXN-22
