Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
1121R_L_M_NS1_week9_S67_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 15.0)	(13.0, 54.0)	(14.0, 206.0)	(15.0, 359.0)	(16.0, 434.0)	(17.0, 422.0)	(18.0, 407.0)	(19.0, 389.0)	(20.0, 435.0)	(21.0, 507.0)	(22.0, 593.0)	(23.0, 693.0)	(24.0, 822.0)	(25.0, 1020.0)	(26.0, 1407.0)	(27.0, 1936.0)	(28.0, 2636.0)	(29.0, 3771.0)	(30.0, 5241.0)	(31.0, 7410.0)	(32.0, 10076.0)	(33.0, 13120.0)	(34.0, 16477.0)	(35.0, 17368.0)	(36.0, 15535.0)	(37.0, 1318.0)						
1121R_NS1_week19_S35_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 11.0)	(19.0, 24.0)	(20.0, 57.0)	(21.0, 120.0)	(22.0, 203.0)	(23.0, 258.0)	(24.0, 417.0)	(25.0, 553.0)	(26.0, 657.0)	(27.0, 777.0)	(28.0, 995.0)	(29.0, 1241.0)	(30.0, 1349.0)	(31.0, 1625.0)	(32.0, 2218.0)	(33.0, 2903.0)	(34.0, 4307.0)	(35.0, 6937.0)	(36.0, 15437.0)	(37.0, 55019.0)													
1121R_NS1_week19_S35_L001_R2_001	(5.0, 2.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 12.0)	(13.0, 81.0)	(14.0, 228.0)	(15.0, 343.0)	(16.0, 372.0)	(17.0, 295.0)	(18.0, 305.0)	(19.0, 332.0)	(20.0, 344.0)	(21.0, 453.0)	(22.0, 504.0)	(23.0, 600.0)	(24.0, 718.0)	(25.0, 831.0)	(26.0, 1066.0)	(27.0, 1508.0)	(28.0, 2056.0)	(29.0, 2928.0)	(30.0, 4228.0)	(31.0, 5935.0)	(32.0, 8699.0)	(33.0, 11815.0)	(34.0, 15216.0)	(35.0, 17635.0)	(36.0, 16984.0)	(37.0, 1620.0)		
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	(17.0, 3.0)	(18.0, 9.0)	(19.0, 29.0)	(20.0, 101.0)	(21.0, 272.0)	(22.0, 413.0)	(23.0, 566.0)	(24.0, 693.0)	(25.0, 901.0)	(26.0, 1052.0)	(27.0, 1304.0)	(28.0, 1476.0)	(29.0, 1881.0)	(30.0, 2238.0)	(31.0, 2613.0)	(32.0, 3396.0)	(33.0, 4334.0)	(34.0, 6394.0)	(35.0, 10625.0)	(36.0, 23626.0)	(37.0, 76470.0)														
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	(11.0, 1.0)	(12.0, 19.0)	(13.0, 72.0)	(14.0, 257.0)	(15.0, 550.0)	(16.0, 711.0)	(17.0, 656.0)	(18.0, 577.0)	(19.0, 563.0)	(20.0, 611.0)	(21.0, 661.0)	(22.0, 785.0)	(23.0, 867.0)	(24.0, 1003.0)	(25.0, 1300.0)	(26.0, 1533.0)	(27.0, 2013.0)	(28.0, 2816.0)	(29.0, 4051.0)	(30.0, 5883.0)	(31.0, 8297.0)	(32.0, 12090.0)	(33.0, 16773.0)	(34.0, 22094.0)	(35.0, 26009.0)	(36.0, 25916.0)	(37.0, 2288.0)								
1121R_RL_M_NS1_week5_S48_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 7.0)	(19.0, 22.0)	(20.0, 100.0)	(21.0, 197.0)	(22.0, 337.0)	(23.0, 465.0)	(24.0, 601.0)	(25.0, 777.0)	(26.0, 931.0)	(27.0, 1127.0)	(28.0, 1298.0)	(29.0, 1614.0)	(30.0, 1935.0)	(31.0, 2361.0)	(32.0, 3036.0)	(33.0, 3793.0)	(34.0, 5544.0)	(35.0, 9120.0)	(36.0, 20049.0)	(37.0, 66382.0)													
1121R_RL_M_NS1_week5_S48_L001_R2_001	(12.0, 18.0)	(13.0, 93.0)	(14.0, 255.0)	(15.0, 492.0)	(16.0, 580.0)	(17.0, 522.0)	(18.0, 477.0)	(19.0, 488.0)	(20.0, 515.0)	(21.0, 635.0)	(22.0, 700.0)	(23.0, 868.0)	(24.0, 970.0)	(25.0, 1228.0)	(26.0, 1549.0)	(27.0, 2158.0)	(28.0, 3090.0)	(29.0, 4465.0)	(30.0, 6311.0)	(31.0, 8679.0)	(32.0, 11760.0)	(33.0, 15224.0)	(34.0, 19070.0)	(35.0, 20103.0)	(36.0, 18061.0)	(37.0, 1387.0)									
1121R_RL_M_NS1_week9_S69_L001_R1_001	(17.0, 2.0)	(18.0, 14.0)	(19.0, 29.0)	(20.0, 97.0)	(21.0, 254.0)	(22.0, 372.0)	(23.0, 534.0)	(24.0, 678.0)	(25.0, 890.0)	(26.0, 1022.0)	(27.0, 1214.0)	(28.0, 1517.0)	(29.0, 1707.0)	(30.0, 2091.0)	(31.0, 2565.0)	(32.0, 3217.0)	(33.0, 4180.0)	(34.0, 5950.0)	(35.0, 9759.0)	(36.0, 21717.0)	(37.0, 75524.0)														
1121R_RL_M_NS1_week9_S69_L001_R2_001	(11.0, 1.0)	(12.0, 23.0)	(13.0, 77.0)	(14.0, 219.0)	(15.0, 415.0)	(16.0, 541.0)	(17.0, 511.0)	(18.0, 540.0)	(19.0, 540.0)	(20.0, 557.0)	(21.0, 647.0)	(22.0, 767.0)	(23.0, 790.0)	(24.0, 1035.0)	(25.0, 1299.0)	(26.0, 1657.0)	(27.0, 2352.0)	(28.0, 3197.0)	(29.0, 4655.0)	(30.0, 6400.0)	(31.0, 8926.0)	(32.0, 12248.0)	(33.0, 16594.0)	(34.0, 21163.0)	(35.0, 22855.0)	(36.0, 22764.0)	(37.0, 2560.0)								
1121R_RR_M_NS1_week5_S49_L001_R1_001	(18.0, 11.0)	(19.0, 24.0)	(20.0, 77.0)	(21.0, 154.0)	(22.0, 253.0)	(23.0, 383.0)	(24.0, 489.0)	(25.0, 644.0)	(26.0, 687.0)	(27.0, 849.0)	(28.0, 1058.0)	(29.0, 1159.0)	(30.0, 1471.0)	(31.0, 1720.0)	(32.0, 2132.0)	(33.0, 2774.0)	(34.0, 4037.0)	(35.0, 6458.0)	(36.0, 14161.0)	(37.0, 46425.0)															
1121R_RR_M_NS1_week5_S49_L001_R2_001	(11.0, 2.0)	(12.0, 25.0)	(13.0, 114.0)	(14.0, 312.0)	(15.0, 554.0)	(16.0, 539.0)	(17.0, 449.0)	(18.0, 368.0)	(19.0, 380.0)	(20.0, 393.0)	(21.0, 455.0)	(22.0, 573.0)	(23.0, 626.0)	(24.0, 758.0)	(25.0, 950.0)	(26.0, 1156.0)	(27.0, 1620.0)	(28.0, 2263.0)	(29.0, 3172.0)	(30.0, 4328.0)	(31.0, 6091.0)	(32.0, 8065.0)	(33.0, 10746.0)	(34.0, 13250.0)	(35.0, 13916.0)	(36.0, 12828.0)	(37.0, 1033.0)								
1121R_RR_M_NS1_week9_S70_L001_R1_001	(17.0, 3.0)	(18.0, 16.0)	(19.0, 24.0)	(20.0, 84.0)	(21.0, 272.0)	(22.0, 387.0)	(23.0, 555.0)	(24.0, 761.0)	(25.0, 941.0)	(26.0, 1126.0)	(27.0, 1323.0)	(28.0, 1533.0)	(29.0, 1783.0)	(30.0, 2166.0)	(31.0, 2676.0)	(32.0, 3326.0)	(33.0, 4296.0)	(34.0, 5917.0)	(35.0, 9741.0)	(36.0, 21252.0)	(37.0, 69224.0)														
1121R_RR_M_NS1_week9_S70_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 18.0)	(13.0, 62.0)	(14.0, 239.0)	(15.0, 434.0)	(16.0, 558.0)	(17.0, 511.0)	(18.0, 497.0)	(19.0, 530.0)	(20.0, 575.0)	(21.0, 662.0)	(22.0, 705.0)	(23.0, 874.0)	(24.0, 1017.0)	(25.0, 1208.0)	(26.0, 1686.0)	(27.0, 2388.0)	(28.0, 3361.0)	(29.0, 4831.0)	(30.0, 6760.0)	(31.0, 9219.0)	(32.0, 12486.0)	(33.0, 15864.0)	(34.0, 19619.0)	(35.0, 21285.0)	(36.0, 20046.0)	(37.0, 1968.0)						
1121R_R_M_NS1_week5_S47_L001_R1_001	(17.0, 3.0)	(18.0, 6.0)	(19.0, 23.0)	(20.0, 58.0)	(21.0, 176.0)	(22.0, 272.0)	(23.0, 379.0)	(24.0, 537.0)	(25.0, 669.0)	(26.0, 819.0)	(27.0, 927.0)	(28.0, 1073.0)	(29.0, 1294.0)	(30.0, 1661.0)	(31.0, 1873.0)	(32.0, 2385.0)	(33.0, 3049.0)	(34.0, 4449.0)	(35.0, 7358.0)	(36.0, 15929.0)	(37.0, 51812.0)														
1121R_R_M_NS1_week5_S47_L001_R2_001	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 14.0)	(13.0, 79.0)	(14.0, 245.0)	(15.0, 409.0)	(16.0, 496.0)	(17.0, 451.0)	(18.0, 413.0)	(19.0, 414.0)	(20.0, 423.0)	(21.0, 452.0)	(22.0, 577.0)	(23.0, 631.0)	(24.0, 799.0)	(25.0, 939.0)	(26.0, 1230.0)	(27.0, 1565.0)	(28.0, 2322.0)	(29.0, 3302.0)	(30.0, 4530.0)	(31.0, 6518.0)	(32.0, 8953.0)	(33.0, 11786.0)	(34.0, 14684.0)	(35.0, 16356.0)	(36.0, 15698.0)	(37.0, 1464.0)					
1121R_R_M_NS1_week9_S68_L001_R1_001	(18.0, 4.0)	(19.0, 30.0)	(20.0, 67.0)	(21.0, 193.0)	(22.0, 312.0)	(23.0, 467.0)	(24.0, 574.0)	(25.0, 762.0)	(26.0, 831.0)	(27.0, 1034.0)	(28.0, 1250.0)	(29.0, 1489.0)	(30.0, 1784.0)	(31.0, 2122.0)	(32.0, 2648.0)	(33.0, 3526.0)	(34.0, 5043.0)	(35.0, 8163.0)	(36.0, 17859.0)	(37.0, 61456.0)															
1121R_R_M_NS1_week9_S68_L001_R2_001	(11.0, 2.0)	(12.0, 9.0)	(13.0, 54.0)	(14.0, 176.0)	(15.0, 351.0)	(16.0, 473.0)	(17.0, 430.0)	(18.0, 399.0)	(19.0, 408.0)	(20.0, 481.0)	(21.0, 527.0)	(22.0, 581.0)	(23.0, 683.0)	(24.0, 830.0)	(25.0, 975.0)	(26.0, 1232.0)	(27.0, 1772.0)	(28.0, 2408.0)	(29.0, 3488.0)	(30.0, 5203.0)	(31.0, 7207.0)	(32.0, 9911.0)	(33.0, 13614.0)	(34.0, 17466.0)	(35.0, 19644.0)	(36.0, 19373.0)	(37.0, 1917.0)								
1136R_0_F_S5_week5_S14_L001_R1_001	(17.0, 3.0)	(18.0, 5.0)	(19.0, 16.0)	(20.0, 74.0)	(21.0, 179.0)	(22.0, 288.0)	(23.0, 433.0)	(24.0, 564.0)	(25.0, 748.0)	(26.0, 849.0)	(27.0, 994.0)	(28.0, 1062.0)	(29.0, 1326.0)	(30.0, 1506.0)	(31.0, 1877.0)	(32.0, 2241.0)	(33.0, 3045.0)	(34.0, 4136.0)	(35.0, 6810.0)	(36.0, 14379.0)	(37.0, 46812.0)														
1136R_0_F_S5_week5_S14_L001_R2_001	(10.0, 1.0)	(11.0, 3.0)	(12.0, 17.0)	(13.0, 86.0)	(14.0, 260.0)	(15.0, 428.0)	(16.0, 379.0)	(17.0, 368.0)	(18.0, 374.0)	(19.0, 352.0)	(20.0, 432.0)	(21.0, 476.0)	(22.0, 535.0)	(23.0, 625.0)	(24.0, 715.0)	(25.0, 929.0)	(26.0, 1164.0)	(27.0, 1721.0)	(28.0, 2279.0)	(29.0, 3233.0)	(30.0, 4647.0)	(31.0, 6253.0)	(32.0, 8419.0)	(33.0, 10892.0)	(34.0, 13243.0)	(35.0, 14958.0)	(36.0, 13183.0)	(37.0, 1375.0)							
1151R_0_M_NS1_week5_S50_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 14.0)	(20.0, 67.0)	(21.0, 148.0)	(22.0, 243.0)	(23.0, 389.0)	(24.0, 490.0)	(25.0, 594.0)	(26.0, 725.0)	(27.0, 900.0)	(28.0, 1044.0)	(29.0, 1225.0)	(30.0, 1469.0)	(31.0, 1871.0)	(32.0, 2262.0)	(33.0, 3016.0)	(34.0, 4254.0)	(35.0, 7173.0)	(36.0, 15742.0)	(37.0, 56975.0)														
1151R_0_M_NS1_week5_S50_L001_R2_001	(10.0, 1.0)	(11.0, 2.0)	(12.0, 20.0)	(13.0, 104.0)	(14.0, 346.0)	(15.0, 606.0)	(16.0, 633.0)	(17.0, 500.0)	(18.0, 452.0)	(19.0, 435.0)	(20.0, 437.0)	(21.0, 496.0)	(22.0, 571.0)	(23.0, 635.0)	(24.0, 737.0)	(25.0, 878.0)	(26.0, 1060.0)	(27.0, 1428.0)	(28.0, 2107.0)	(29.0, 2857.0)	(30.0, 4004.0)	(31.0, 5895.0)	(32.0, 8212.0)	(33.0, 11623.0)	(34.0, 15172.0)	(35.0, 18349.0)	(36.0, 19190.0)	(37.0, 1857.0)							
1151R_0_M_NS1_week9_S71_L001_R1_001	(16.0, 2.0)	(17.0, 1.0)	(18.0, 11.0)	(19.0, 17.0)	(20.0, 72.0)	(21.0, 212.0)	(22.0, 319.0)	(23.0, 432.0)	(24.0, 611.0)	(25.0, 741.0)	(26.0, 967.0)	(27.0, 1149.0)	(28.0, 1314.0)	(29.0, 1591.0)	(30.0, 1884.0)	(31.0, 2291.0)	(32.0, 2879.0)	(33.0, 3825.0)	(34.0, 5385.0)	(35.0, 8807.0)	(36.0, 19089.0)	(37.0, 63774.0)													
1151R_0_M_NS1_week9_S71_L001_R2_001	(11.0, 2.0)	(12.0, 7.0)	(13.0, 61.0)	(14.0, 198.0)	(15.0, 377.0)	(16.0, 492.0)	(17.0, 451.0)	(18.0, 439.0)	(19.0, 467.0)	(20.0, 489.0)	(21.0, 585.0)	(22.0, 685.0)	(23.0, 795.0)	(24.0, 938.0)	(25.0, 1154.0)	(26.0, 1503.0)	(27.0, 2098.0)	(28.0, 2864.0)	(29.0, 4239.0)	(30.0, 5858.0)	(31.0, 8300.0)	(32.0, 11289.0)	(33.0, 14918.0)	(34.0, 18505.0)	(35.0, 19622.0)	(36.0, 17424.0)	(37.0, 1613.0)								
1151R_NS1_week21_S36_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 6.0)	(19.0, 22.0)	(20.0, 71.0)	(21.0, 164.0)	(22.0, 258.0)	(23.0, 382.0)	(24.0, 598.0)	(25.0, 702.0)	(26.0, 872.0)	(27.0, 1096.0)	(28.0, 1324.0)	(29.0, 1604.0)	(30.0, 1927.0)	(31.0, 2335.0)	(32.0, 3002.0)	(33.0, 3864.0)	(34.0, 5660.0)	(35.0, 9538.0)	(36.0, 21094.0)	(37.0, 73914.0)													
1151R_NS1_week21_S36_L001_R2_001	(8.0, 2.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 26.0)	(13.0, 123.0)	(14.0, 287.0)	(15.0, 485.0)	(16.0, 473.0)	(17.0, 389.0)	(18.0, 393.0)	(19.0, 409.0)	(20.0, 506.0)	(21.0, 552.0)	(22.0, 685.0)	(23.0, 747.0)	(24.0, 913.0)	(25.0, 1097.0)	(26.0, 1445.0)	(27.0, 1826.0)	(28.0, 2588.0)	(29.0, 3835.0)	(30.0, 5457.0)	(31.0, 7978.0)	(32.0, 11273.0)	(33.0, 15489.0)	(34.0, 20396.0)	(35.0, 23747.0)	(36.0, 24561.0)	(37.0, 2751.0)					
1151R_R_M_NS1_diabetes_S24_L001_R1_001	(15.0, 2.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 11.0)	(19.0, 37.0)	(20.0, 110.0)	(21.0, 256.0)	(22.0, 389.0)	(23.0, 565.0)	(24.0, 672.0)	(25.0, 925.0)	(26.0, 1112.0)	(27.0, 1336.0)	(28.0, 1602.0)	(29.0, 1909.0)	(30.0, 2256.0)	(31.0, 2868.0)	(32.0, 3472.0)	(33.0, 4573.0)	(34.0, 6637.0)	(35.0, 11082.0)	(36.0, 24308.0)	(37.0, 85593.0)												
1151R_R_M_NS1_diabetes_S24_L001_R2_001	(11.0, 5.0)	(12.0, 15.0)	(13.0, 90.0)	(14.0, 306.0)	(15.0, 587.0)	(16.0, 687.0)	(17.0, 703.0)	(18.0, 598.0)	(19.0, 649.0)	(20.0, 648.0)	(21.0, 695.0)	(22.0, 859.0)	(23.0, 963.0)	(24.0, 1153.0)	(25.0, 1436.0)	(26.0, 1880.0)	(27.0, 2622.0)	(28.0, 3758.0)	(29.0, 5337.0)	(30.0, 7576.0)	(31.0, 10696.0)	(32.0, 14473.0)	(33.0, 19244.0)	(34.0, 23951.0)	(35.0, 25961.0)	(36.0, 23091.0)	(37.0, 1733.0)								
1184R_0_M_NS6_week5_S4_L001_R1_001	(17.0, 2.0)	(18.0, 5.0)	(19.0, 18.0)	(20.0, 65.0)	(21.0, 185.0)	(22.0, 336.0)	(23.0, 423.0)	(24.0, 533.0)	(25.0, 654.0)	(26.0, 746.0)	(27.0, 852.0)	(28.0, 997.0)	(29.0, 1260.0)	(30.0, 1432.0)	(31.0, 1799.0)	(32.0, 2254.0)	(33.0, 2830.0)	(34.0, 4252.0)	(35.0, 7258.0)	(36.0, 15651.0)	(37.0, 40539.0)														
1184R_0_M_NS6_week5_S4_L001_R2_001	(11.0, 2.0)	(12.0, 15.0)	(13.0, 96.0)	(14.0, 291.0)	(15.0, 542.0)	(16.0, 473.0)	(17.0, 423.0)	(18.0, 368.0)	(19.0, 369.0)	(20.0, 408.0)	(21.0, 419.0)	(22.0, 464.0)	(23.0, 580.0)	(24.0, 641.0)	(25.0, 792.0)	(26.0, 1018.0)	(27.0, 1383.0)	(28.0, 1853.0)	(29.0, 2771.0)	(30.0, 4002.0)	(31.0, 5773.0)	(32.0, 8247.0)	(33.0, 10964.0)	(34.0, 13593.0)	(35.0, 14995.0)	(36.0, 11169.0)	(37.0, 440.0)								
1186R_0_M_NS6_week5_S5_L001_R1_001	(17.0, 2.0)	(18.0, 5.0)	(19.0, 22.0)	(20.0, 59.0)	(21.0, 142.0)	(22.0, 261.0)	(23.0, 353.0)	(24.0, 470.0)	(25.0, 564.0)	(26.0, 721.0)	(27.0, 848.0)	(28.0, 951.0)	(29.0, 1124.0)	(30.0, 1363.0)	(31.0, 1568.0)	(32.0, 1953.0)	(33.0, 2659.0)	(34.0, 3848.0)	(35.0, 6272.0)	(36.0, 13763.0)	(37.0, 43468.0)														
1186R_0_M_NS6_week5_S5_L001_R2_001	(11.0, 4.0)	(12.0, 17.0)	(13.0, 89.0)	(14.0, 286.0)	(15.0, 451.0)	(16.0, 495.0)	(17.0, 415.0)	(18.0, 407.0)	(19.0, 380.0)	(20.0, 389.0)	(21.0, 403.0)	(22.0, 449.0)	(23.0, 600.0)	(24.0, 692.0)	(25.0, 738.0)	(26.0, 941.0)	(27.0, 1279.0)	(28.0, 1785.0)	(29.0, 2472.0)	(30.0, 3594.0)	(31.0, 5047.0)	(32.0, 7018.0)	(33.0, 9518.0)	(34.0, 12514.0)	(35.0, 14516.0)	(36.0, 14597.0)	(37.0, 1320.0)								
1186R_RR_M_NS6_week5_S6_L001_R1_001	(17.0, 3.0)	(18.0, 5.0)	(19.0, 21.0)	(20.0, 71.0)	(21.0, 165.0)	(22.0, 276.0)	(23.0, 420.0)	(24.0, 537.0)	(25.0, 645.0)	(26.0, 768.0)	(27.0, 951.0)	(28.0, 1115.0)	(29.0, 1230.0)	(30.0, 1482.0)	(31.0, 1839.0)	(32.0, 2271.0)	(33.0, 3126.0)	(34.0, 4310.0)	(35.0, 7281.0)	(36.0, 15349.0)	(37.0, 50474.0)														
1186R_RR_M_NS6_week5_S6_L001_R2_001	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 20.0)	(13.0, 82.0)	(14.0, 309.0)	(15.0, 465.0)	(16.0, 550.0)	(17.0, 490.0)	(18.0, 432.0)	(19.0, 412.0)	(20.0, 454.0)	(21.0, 474.0)	(22.0, 576.0)	(23.0, 618.0)	(24.0, 673.0)	(25.0, 867.0)	(26.0, 1063.0)	(27.0, 1414.0)	(28.0, 2003.0)	(29.0, 2703.0)	(30.0, 3945.0)	(31.0, 5585.0)	(32.0, 7905.0)	(33.0, 10740.0)	(34.0, 14262.0)	(35.0, 16809.0)	(36.0, 17634.0)	(37.0, 1851.0)					
1193R_0_F_NS1_week5_S51_L001_R1_001	(17.0, 3.0)	(18.0, 10.0)	(19.0, 24.0)	(20.0, 66.0)	(21.0, 197.0)	(22.0, 279.0)	(23.0, 431.0)	(24.0, 552.0)	(25.0, 650.0)	(26.0, 906.0)	(27.0, 1003.0)	(28.0, 1204.0)	(29.0, 1460.0)	(30.0, 1685.0)	(31.0, 2055.0)	(32.0, 2607.0)	(33.0, 3349.0)	(34.0, 4806.0)	(35.0, 8053.0)	(36.0, 17515.0)	(37.0, 61616.0)														
1193R_0_F_NS1_week5_S51_L001_R2_001	(11.0, 2.0)	(12.0, 26.0)	(13.0, 126.0)	(14.0, 381.0)	(15.0, 722.0)	(16.0, 719.0)	(17.0, 573.0)	(18.0, 485.0)	(19.0, 459.0)	(20.0, 485.0)	(21.0, 582.0)	(22.0, 693.0)	(23.0, 752.0)	(24.0, 869.0)	(25.0, 1060.0)	(26.0, 1361.0)	(27.0, 1755.0)	(28.0, 2418.0)	(29.0, 3423.0)	(30.0, 4762.0)	(31.0, 6841.0)	(32.0, 9518.0)	(33.0, 13158.0)	(34.0, 16839.0)	(35.0, 19296.0)	(36.0, 19241.0)	(37.0, 1925.0)								
1193R_0_F_NS1_week9_S72_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 11.0)	(19.0, 32.0)	(20.0, 57.0)	(21.0, 156.0)	(22.0, 288.0)	(23.0, 382.0)	(24.0, 495.0)	(25.0, 638.0)	(26.0, 710.0)	(27.0, 949.0)	(28.0, 1091.0)	(29.0, 1277.0)	(30.0, 1562.0)	(31.0, 1838.0)	(32.0, 2437.0)	(33.0, 3188.0)	(34.0, 4459.0)	(35.0, 7450.0)	(36.0, 16264.0)	(37.0, 57716.0)													
1193R_0_F_NS1_week9_S72_L001_R2_001	(11.0, 1.0)	(12.0, 10.0)	(13.0, 45.0)	(14.0, 148.0)	(15.0, 355.0)	(16.0, 417.0)	(17.0, 389.0)	(18.0, 393.0)	(19.0, 380.0)	(20.0, 400.0)	(21.0, 473.0)	(22.0, 527.0)	(23.0, 605.0)	(24.0, 685.0)	(25.0, 953.0)	(26.0, 1168.0)	(27.0, 1585.0)	(28.0, 2286.0)	(29.0, 3254.0)	(30.0, 4674.0)	(31.0, 6469.0)	(32.0, 9320.0)	(33.0, 12539.0)	(34.0, 16054.0)	(35.0, 18377.0)	(36.0, 18083.0)	(37.0, 1414.0)								
1193R_L_F_NS1_diabetes_S25_L001_R1_001	(17.0, 2.0)	(18.0, 7.0)	(19.0, 16.0)	(20.0, 83.0)	(21.0, 161.0)	(22.0, 243.0)	(23.0, 353.0)	(24.0, 471.0)	(25.0, 585.0)	(26.0, 691.0)	(27.0, 771.0)	(28.0, 909.0)	(29.0, 1093.0)	(30.0, 1316.0)	(31.0, 1639.0)	(32.0, 1949.0)	(33.0, 2746.0)	(34.0, 3795.0)	(35.0, 6310.0)	(36.0, 13802.0)	(37.0, 44874.0)														
1193R_L_F_NS1_diabetes_S25_L001_R2_001	(12.0, 31.0)	(13.0, 170.0)	(14.0, 452.0)	(15.0, 730.0)	(16.0, 746.0)	(17.0, 633.0)	(18.0, 495.0)	(19.0, 443.0)	(20.0, 451.0)	(21.0, 547.0)	(22.0, 571.0)	(23.0, 669.0)	(24.0, 785.0)	(25.0, 952.0)	(26.0, 1178.0)	(27.0, 1610.0)	(28.0, 2025.0)	(29.0, 2797.0)	(30.0, 3951.0)	(31.0, 5354.0)	(32.0, 7199.0)	(33.0, 9927.0)	(34.0, 12358.0)	(35.0, 13477.0)	(36.0, 13096.0)	(37.0, 1169.0)									
1193R_L_F_NS1_week5_S52_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 25.0)	(20.0, 83.0)	(21.0, 212.0)	(22.0, 349.0)	(23.0, 460.0)	(24.0, 538.0)	(25.0, 711.0)	(26.0, 850.0)	(27.0, 1003.0)	(28.0, 1209.0)	(29.0, 1363.0)	(30.0, 1623.0)	(31.0, 2005.0)	(32.0, 2573.0)	(33.0, 3403.0)	(34.0, 4665.0)	(35.0, 8132.0)	(36.0, 17455.0)	(37.0, 61351.0)													
1193R_L_F_NS1_week5_S52_L001_R2_001	(11.0, 3.0)	(12.0, 19.0)	(13.0, 131.0)	(14.0, 383.0)	(15.0, 703.0)	(16.0, 691.0)	(17.0, 593.0)	(18.0, 508.0)	(19.0, 444.0)	(20.0, 499.0)	(21.0, 577.0)	(22.0, 608.0)	(23.0, 664.0)	(24.0, 825.0)	(25.0, 959.0)	(26.0, 1226.0)	(27.0, 1651.0)	(28.0, 2289.0)	(29.0, 3217.0)	(30.0, 4563.0)	(31.0, 6524.0)	(32.0, 9163.0)	(33.0, 12614.0)	(34.0, 16378.0)	(35.0, 19515.0)	(36.0, 20845.0)	(37.0, 2428.0)								
1193R_L_F_NS1_week9_S73_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 28.0)	(20.0, 57.0)	(21.0, 145.0)	(22.0, 303.0)	(23.0, 404.0)	(24.0, 471.0)	(25.0, 582.0)	(26.0, 694.0)	(27.0, 901.0)	(28.0, 1074.0)	(29.0, 1233.0)	(30.0, 1387.0)	(31.0, 1770.0)	(32.0, 2185.0)	(33.0, 2921.0)	(34.0, 4225.0)	(35.0, 7007.0)	(36.0, 14987.0)	(37.0, 50204.0)													
1193R_L_F_NS1_week9_S73_L001_R2_001	(10.0, 1.0)	(11.0, 6.0)	(12.0, 28.0)	(13.0, 111.0)	(14.0, 303.0)	(15.0, 467.0)	(16.0, 477.0)	(17.0, 391.0)	(18.0, 370.0)	(19.0, 384.0)	(20.0, 456.0)	(21.0, 485.0)	(22.0, 525.0)	(23.0, 624.0)	(24.0, 779.0)	(25.0, 847.0)	(26.0, 1099.0)	(27.0, 1433.0)	(28.0, 2014.0)	(29.0, 2909.0)	(30.0, 4109.0)	(31.0, 5866.0)	(32.0, 8093.0)	(33.0, 10993.0)	(34.0, 14118.0)	(35.0, 16501.0)	(36.0, 15934.0)	(37.0, 1264.0)							
1193R_NS1_week24_S38_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 25.0)	(20.0, 53.0)	(21.0, 138.0)	(22.0, 215.0)	(23.0, 318.0)	(24.0, 457.0)	(25.0, 560.0)	(26.0, 712.0)	(27.0, 845.0)	(28.0, 1031.0)	(29.0, 1213.0)	(30.0, 1472.0)	(31.0, 1806.0)	(32.0, 2290.0)	(33.0, 3003.0)	(34.0, 4264.0)	(35.0, 7071.0)	(36.0, 15299.0)	(37.0, 51765.0)													
