S_S2_Ca_088_1	1.6.5.3
S_S2_Ca_088_132	3.2.2.10
S_S2_Ca_088_133	2.4.2.10
S_S2_Ca_088_134	3.6.1.27
S_S2_Ca_088_135	4.1.1.23
S_S2_Ca_088_136	6.1.1.12
S_S2_Ca_088_137	1.8.1.9
S_S2_Ca_088_138	4.3.1.17
S_S2_Ca_088_139	1.2.1.11
S_S2_Ca_088_140	2.5.1.29
S_S2_Ca_088_141	2.5.1.10
S_S2_Ca_088_142	2.5.1.1
S_S2_Ca_088_143	2.4.2.19
S_S2_Ca_088_144	3.1.26.5
S_S2_Ca_088_145	4.2.1.136
S_S2_Ca_088_146	1.4.1.14
S_S2_Ca_088_147	1.4.1.13
S_S2_Ca_088_148	5.3.1.8
S_S2_Ca_088_149	4.6.1.12
S_S2_Ca_088_150	2.1.1.177
S_S2_Ca_088_151	5.1.99.6
S_S2_Ca_088_152	3.6.1.40
S_S2_Ca_088_153	3.4.23.36
S_S2_Ca_088_154	6.1.1.5
S_S2_Ca_088_155	2.7.1.33
S_S2_Ca_088_156	2.7.1.33
S_S2_Ca_088_157	2.1.2.9
S_S2_Ca_088_158	2.7.1.6
S_S2_Ca_088_159	3.1.11.2
S_S2_Ca_088_160	3.5.1.25
S_S2_Ca_088_161	3.5.1.25
S_S2_Ca_088_162	3.5.1.124
S_S2_Ca_088_163	2.7.4.1
S_S2_Ca_088_164	3.6.1.11
S_S2_Ca_088_165	3.4.11.18
S_S2_Ca_088_166	3.4.11.18
S_S2_Ca_088_167	2.7.1.23
S_S2_Ca_088_168	3.1.3.5
S_S2_Ca_088_169	6.3.2.17
S_S2_Ca_088_170	6.3.2.12
S_S2_Ca_088_171	1.4.1.4
S_S2_Ca_088_172	2.7.1.202
S_S2_Ca_088_173	2.3.1.54
S_S2_Ca_088_174	2.1.1.45
S_S2_Ca_088_175	4.4.1.16
S_S2_Ca_088_176	5.1.3.3
S_S2_Ca_088_177	2.7.4.22
S_S2_Ca_088_178	1.2.1.12
S_S2_Ca_088_179	2.7.7.60
S_S2_Ca_088_180	2.7.7.60
S_S2_Ca_088_181	6.1.1.2
S_S2_Ca_088_182	2.7.1.4
S_S2_Ca_088_183	2.1.1.228
S_S2_Ca_088_184	1.20.4.1
S_S2_Ca_088_185	2.4.1.1
S_S2_Ca_088_186	2.4.1.1
S_S2_Ca_088_187	3.6.3.8
S_S2_Ca_088_188	4.2.1.46
S_S2_Ca_088_189	4.2.1.46
S_S2_Ca_088_190	2.7.7.24
S_S2_Ca_088_191	6.1.1.21
S_S2_Ca_088_192	2.7.2.3
S_S2_Ca_088_193	6.3.4.4
S_S2_Ca_088_194	2.1.2.2
S_S2_Ca_088_195	3.5.1.42
S_S2_Ca_088_196	2.7.1.40
S_S2_Ca_088_197	1.17.7.3
S_S2_Ca_088_198	1.17.7.1
S_S2_Ca_088_199	3.1.1.29
S_S2_Ca_088_200	6.1.1.7
S_S2_Ca_088_201	2.1.1.182
S_S2_Ca_088_202	6.3.3.1
S_S2_Ca_088_203	2.4.2.14
S_S2_Ca_088_204	4.1.1.36
S_S2_Ca_088_205	6.3.2.5
S_S2_Ca_088_206	3.1.3.100
S_S2_Ca_088_207	3.1.3.15
S_S2_Ca_088_208	2.7.4.8
S_S2_Ca_088_209	1.1.1.267
S_S2_Ca_088_210	2.7.7.3
S_S2_Ca_088_211	2.7.7.9
S_S2_Ca_088_212	2.5.1.72
S_S2_Ca_088_213	3.6.5.4
S_S2_Ca_088_214	6.1.1.11
S_S2_Ca_088_215	4.3.3.7
S_S2_Ca_088_216	1.17.1.8
S_S2_Ca_088_217	6.1.1.3
S_S2_Ca_088_218	2.4.1.129
S_S2_Ca_088_219	1.1.1.94
S_S2_Ca_088_220	6.1.1.6
S_S2_Ca_088_221	6.3.5.2
S_S2_Ca_088_222	2.6.1.42
S_S2_Ca_088_223	4.1.2.13
S_S2_Ca_088_224	4.1.2.13
S_S2_Ca_088_225	4.1.1.20
S_S2_Ca_088_226	2.4.99.17
S_S2_Ca_088_227	1.1.1.95
S_S2_Ca_088_228	1.1.1.399
S_S2_Ca_088_229	6.1.1.22
S_S2_Ca_088_230	1.1.1.205
S_S2_Ca_088_231	4.2.1.10
S_S2_Ca_088_232	1.2.7.1
S_S2_Ca_088_233	1.2.7.1
S_S2_Ca_088_234	2.5.1.54
S_S2_Ca_088_235	2.5.1.54
S_S2_Ca_088_236	2.7.7.2
S_S2_Ca_088_237	2.7.1.26
S_S2_Ca_088_238	5.4.99.25
S_S2_Ca_088_239	3.1.3.7
S_S2_Ca_088_240	3.1.13.3
S_S2_Ca_088_241	3.1.22.4
S_S2_Ca_088_242	6.3.4.19
S_S2_Ca_088_243	2.3.1.8
S_S2_Ca_088_244	4.2.1.19
S_S2_Ca_088_245	2.7.6.1
S_S2_Ca_088_246	2.6.1.9
S_S2_Ca_088_247	2.4.1.18
S_S2_Ca_088_248	2.1.3.3
S_S2_Ca_088_249	2.7.3.9
S_S2_Ca_088_250	6.3.3.2
S_S2_Ca_088_251	6.1.1.14
S_S2_Ca_088_252	6.1.1.14
S_S2_Ca_088_253	3.6.3.21
S_S2_Ca_088_254	3.6.3.21
S_S2_Ca_088_255	1.2.1.38
S_S2_Ca_088_256	2.3.1.35
S_S2_Ca_088_257	5.3.1.16
S_S2_Ca_088_258	1.5.1.3
S_S2_Ca_088_259	2.7.1.50
S_S2_Ca_088_260	2.7.1.71
S_S2_Ca_088_261	2.3.1.51
S_S2_Ca_088_262	3.1.26.3
S_S2_Ca_088_263	2.1.1.198
S_S2_Ca_088_264	3.5.4.19
S_S2_Ca_088_265	6.3.5.1
S_S2_Ca_088_266	6.3.5.1
S_S2_Ca_088_267	1.1.1.23
S_S2_Ca_088_268	2.7.7.87
S_S2_Ca_088_269	2.4.2.29
S_S2_Ca_088_270	2.1.1.33
S_S2_Ca_088_271	6.1.1.9
S_S2_Ca_088_272	5.4.2.12
S_S2_Ca_088_273	5.4.2.12
S_S2_Ca_088_274	2.2.1.7
S_S2_Ca_088_275	1.3.1.12
S_S2_Ca_088_276	3.5.4.12
S_S2_Ca_088_277	2.7.4.25
S_S2_Ca_088_278	2.3.1.30
S_S2_Ca_088_279	1.2.1.41
S_S2_Ca_088_280	2.7.2.11
S_S2_Ca_088_281	2.2.1.1
S_S2_Ca_088_282	2.2.1.1
S_S2_Ca_088_283	6.3.2.6
S_S2_Ca_088_284	4.2.99.18
S_S2_Ca_088_285	6.3.4.5
S_S2_Ca_088_286	5.3.1.1
S_S2_Ca_088_287	3.1.13.5
S_S2_Ca_088_288	2.1.1.37
S_S2_Ca_088_289	4.3.2.2
S_S2_Ca_088_290	1.17.4.1
S_S2_Ca_088_291	2.7.2.4
S_S2_Ca_088_292	1.1.1.3
S_S2_Ca_088_293	2.1.1.13
S_S2_Ca_088_294	2.1.1.13
S_S2_Ca_088_295	3.4.11.4
S_S2_Ca_088_296	2.7.7.8
S_S2_Ca_088_297	2.4.2.8
S_S2_Ca_088_298	2.3.1.183
S_S2_Ca_088_299	2.7.4.9
S_S2_Ca_088_300	1.1.1.1
S_S2_Ca_088_301	1.1.1.1
S_S2_Ca_088_302	6.1.1.17
S_S2_Ca_088_303	6.1.1.17
S_S2_Ca_088_304	4.2.3.5
S_S2_Ca_088_305	2.5.1.7
S_S2_Ca_088_306	2.7.9.1
S_S2_Ca_088_307	5.3.1.9
S_S2_Ca_088_308	1.5.1.2
S_S2_Ca_088_309	3.1.5.1
S_S2_Ca_088_310	5.4.99.12
S_S2_Ca_088_311	2.7.7.18
S_S2_Ca_088_312	2.7.7.56
S_S2_Ca_088_313	1.1.1.169
S_S2_Ca_088_314	6.3.4.3
S_S2_Ca_088_315	6.3.4.13
S_S2_Ca_088_316	2.1.1.192
S_S2_Ca_088_317	2.1.1.190
S_S2_Ca_088_318	6.1.1.15
S_S2_Ca_088_319	2.1.1.297
S_S2_Ca_088_320	4.3.2.1
S_S2_Ca_088_321	2.4.1.25
S_S2_Ca_088_322	2.4.1.25
S_S2_Ca_088_323	3.1.21.2
S_S2_Ca_088_324	2.8.4.3
S_S2_Ca_088_325	2.8.4.4
S_S2_Ca_088_326	6.1.1.16
S_S2_Ca_088_327	2.6.1.17
S_S2_Ca_088_328	2.6.1.11
S_S2_Ca_088_329	2.7.7.41
S_S2_Ca_088_330	2.6.1.66
S_S2_Ca_088_331	2.7.8.5
S_S2_Ca_088_332	6.5.1.2
S_S2_Ca_088_333	4.2.1.51
S_S2_Ca_088_334	2.3.3.1
S_S2_Ca_088_335	2.1.1.207
S_S2_Ca_088_336	2.5.1.19
S_S2_Ca_088_337	4.1.2.48
S_S2_Ca_088_338	2.6.1.1
S_S2_Ca_088_339	2.6.1.1
S_S2_Ca_088_340	2.6.1.1
S_S2_Ca_088_341	2.5.1.31
S_S2_Ca_088_342	2.7.1.148
S_S2_Ca_088_343	2.7.2.8
S_S2_Ca_088_344	3.5.4.10
S_S2_Ca_088_345	2.1.2.3
S_S2_Ca_088_346	2.7.8.7
S_S2_Ca_088_347	6.1.1.19
S_S2_Ca_088_348	4.99.1.12
S_S2_Ca_088_349	4.99.1.12
S_S2_Ca_088_350	3.6.1.13
S_S2_Ca_088_351	5.4.99.5
S_S2_Ca_088_352	5.99.1.2
S_S2_Ca_088_353	1.5.1.5
S_S2_Ca_088_354	2.1.1.185
S_S2_Ca_088_355	6.1.1.4
S_S2_Ca_088_356	2.5.1.6
S_S2_Ca_088_357	3.4.21.92
S_S2_Ca_088_358	2.3.1.234
S_S2_Ca_088_359	2.5.1.75
S_S2_Ca_088_360	2.4.1.227
S_S2_Ca_088_361	6.3.2.9
S_S2_Ca_088_362	2.7.8.13
S_S2_Ca_088_363	6.3.2.10
S_S2_Ca_088_364	6.3.2.13
S_S2_Ca_088_365	2.1.1.199
S_S2_Ca_088_366	2.8.1.13
S_S2_Ca_088_367	1.1.1.100
S_S2_Ca_088_368	1.4.3.16
S_S2_Ca_088_369	1.4.3.16
S_S2_Ca_088_370	5.1.3.1
S_S2_Ca_088_371	3.5.4.9
S_S2_Ca_088_372	6.3.4.2
S_S2_Ca_088_373	5.4.2.2
S_S2_Ca_088_374	6.1.1.1
S_S2_Ca_088_375	5.4.99.18
S_S2_Ca_088_376	2.4.2.9
S_S2_Ca_088_377	2.4.2.9
S_S2_Ca_088_378	2.1.3.2
S_S2_Ca_088_379	3.5.4.16
S_S2_Ca_088_380	1.17.7.4
S_S2_Ca_088_381	2.4.2.17
S_S2_Ca_088_382	3.4.11.9
S_S2_Ca_088_383	3.2.1.86
S_S2_Ca_088_384	3.2.1.86
S_S2_Ca_088_385	2.8.2.22
S_S2_Ca_088_386	2.7.1.15
S_S2_Ca_088_387	2.4.2.1
S_S2_Ca_088_388	3.4.22.70
S_S2_Ca_088_389	3.4.22.70
S_S2_Ca_088_390	3.2.2.1
S_S2_Ca_088_391	2.7.6.5
S_S2_Ca_088_392	3.5.1.18
S_S2_Ca_088_393	3.5.1.18
S_S2_Ca_088_394	3.2.1.172
S_S2_Ca_088_395	3.4.13.9
S_S2_Ca_088_396	1.3.1.14
S_S2_Ca_088_397	5.1.3.13
S_S2_Ca_088_398	5.1.3.13
S_S2_Ca_088_399	2.7.1.211
S_S2_Ca_088_400	2.6.1.16
S_S2_Ca_088_401	3.6.3.3
S_S2_Ca_088_402	3.6.3.3
S_S2_Ca_088_403	3.6.3.5
S_S2_Ca_088_404	3.6.3.5
S_S2_Ca_088_405	2.7.1.30
S_S2_Ca_088_406	5.4.2.10
S_S2_Ca_088_407	5.4.2.10
S_S2_Ca_088_408	5.4.99.9
S_S2_Ca_088_409	5.4.99.9
S_S2_Ca_088_410	3.6.3.40
S_S2_Ca_088_411	3.5.4.2
S_S2_Ca_088_412	5.3.1.6
S_S2_Ca_088_413	5.3.1.6
S_S2_Ca_088_414	3.2.1.26
S_S2_Ca_088_415	3.2.1.26
S_S2_Ca_088_416	1.1.1.69
S_S2_Ca_088_417	2.7.1.24
S_S2_Ca_088_418	2.5.1.17
S_S2_Ca_088_419	1.1.1.27
S_S2_Ca_088_420	1.1.1.27
S_S2_Ca_088_421	1.2.1.10
S_S2_Ca_088_422	2.7.2.2
S_S2_Ca_088_423	2.7.2.2
S_S2_Ca_088_424	2.7.8.41
S_S2_Ca_088_425	4.1.2.14
S_S2_Ca_088_426	2.7.1.45
S_S2_Ca_088_427	4.1.3.42
S_S2_Ca_088_428	4.2.1.126
S_S2_Ca_088_429	2.6.1.83
S_S2_Ca_088_430	2.7.7.27
S_S2_Ca_088_431	2.7.7.27
S_S2_Ca_088_432	1.3.1.31
S_S2_Ca_088_433	1.15.1.2
S_S2_Ca_088_434	2.7.1.199
S_S2_Ca_088_435	2.10.1.1
S_S2_Ca_088_436	2.7.1.201
S_S2_Ca_088_437	6.3.2.8
S_S2_Ca_088_438	6.3.4.21
S_S2_Ca_088_439	2.7.1.208
S_S2_Ca_088_440	2.7.7.85
S_S2_Ca_088_441	2.7.1.205
S_S2_Ca_088_442	2.7.1.205
S_S2_Ca_088_443	2.7.1.205
S_S2_Ca_088_444	2.7.1.205
S_S2_Ca_088_445	2.7.1.205
S_S2_Ca_088_446	2.7.1.205
S_S2_Ca_088_447	2.7.1.205
S_S2_Ca_088_448	2.4.2.22
S_S2_Ca_088_449	2.7.9.3
S_S2_Ca_088_450	2.7.1.196
S_S2_Ca_088_451	2.7.1.196
S_S2_Ca_088_452	2.7.1.196
S_S2_Ca_088_453	2.7.1.196
S_S2_Ca_088_454	2.7.1.196
S_S2_Ca_088_455	2.7.1.196
S_S2_Ca_088_456	2.7.1.196
S_S2_Ca_088_457	3.6.1.45
S_S2_Ca_088_458	4.3.1.15
S_S2_Ca_088_459	2.9.1.1
S_S2_Ca_088_460	3.6.3.2
S_S2_Ca_088_461	3.6.3.29
S_S2_Ca_088_462	4.1.99.22
S_S2_Ca_088_463	4.6.1.17
S_S2_Ca_088_464	1.97.1.9
S_S2_Ca_088_465	2.7.1.191
S_S2_Ca_088_466	2.7.1.191
S_S2_Ca_088_467	3.6.1.23
S_S2_Ca_088_468	1.19.1.1
S_S2_Ca_088_469	1.19.1.1
S_S2_Ca_088_470	1.18.1.2
S_S2_Ca_088_471	1.18.1.2
S_S2_Ca_088_472	1.3.1.98
S_S2_Ca_088_473	1.3.1.98
S_S2_Ca_088_474	4.4.1.21
S_S2_Ca_088_475	1.1.5.3
S_S2_Ca_088_476	1.1.1.369
S_S2_Ca_088_477	1.1.1.18
S_S2_Ca_088_478	3.2.2.9
S_S2_Ca_088_479	5.1.1.13
S_S2_Ca_088_480	2.2.1.2
S_S2_Ca_088_481	3.5.1.24
S_S2_Ca_088_482	1.1.1.77
S_S2_Ca_088_483	3.5.1.1
S_S2_Ca_088_484	1.1.1.6
S_S2_Ca_088_485	1.1.1.6
S_S2_Ca_088_486	1.1.1.6
S_S2_Ca_088_487	2.8.1.4
S_S2_Ca_088_488	2.8.4.5
S_S2_Ca_088_489	4.1.1.49
S_S2_Ca_088_490	6.3.5.4
S_S2_Ca_088_491	4.2.3.1
S_S2_Ca_088_492	3.4.21.88
S_S2_Ca_088_493	1.1.1.31
S_S2_Ca_088_494	3.6.1.31
S_S2_Ca_088_495	3.6.1.31
S_S2_Ca_088_496	2.4.1.315
S_S2_Ca_088_497	3.1.3.11
S_S2_Ca_088_498	2.6.1.52
S_S2_Ca_088_499	5.1.3.9
S_S2_Ca_088_500	5.1.1.3
S_S2_Ca_088_501	2.1.1.171
S_S2_Ca_088_502	1.8.99.2
S_S2_Ca_088_503	2.7.6.2
S_S2_Ca_088_504	3.4.17.19
S_S2_Ca_088_505	2.7.7.12
S_S2_Ca_088_506	2.7.7.12
S_S2_Ca_088_507	2.5.1.129
S_S2_Ca_088_508	4.1.1.98
S_S2_Ca_088_509	2.4.1.21
S_S2_Ca_088_510	3.4.11.21
S_S2_Ca_088_511	2.7.7.72
S_S2_Ca_088_512	3.4.13.19
S_S2_Ca_088_513	2.3.1.46
S_S2_Ca_088_514	2.7.1.56
S_S2_Ca_088_515	2.7.1.56
S_S2_Ca_088_516	1.2.1.3
S_S2_Ca_088_517	2.1.1.170
S_S2_Ca_088_518	3.6.1.7
S_S2_Ca_088_519	2.7.2.1
S_S2_Ca_088_520	2.7.2.1
S_S2_Ca_088_521	2.7.1.207
S_S2_Ca_088_522	2.7.1.207
S_S2_Ca_088_523	2.7.1.207
S_S2_Ca_088_524	2.7.1.207
S_S2_Ca_088_525	2.7.1.200
S_S2_Ca_088_526	2.7.1.200
S_S2_Ca_088_527	4.3.3.6
S_S2_Ca_088_528	4.3.3.6
S_S2_Ca_088_529	5.3.1.26
S_S2_Ca_088_530	5.3.1.26
S_S2_Ca_088_531	2.7.1.144
S_S2_Ca_088_532	2.7.1.144
S_S2_Ca_088_533	3.5.3.6
S_S2_Ca_088_534	3.1.1.41
S_S2_Ca_088_535	3.1.1.41
S_S2_Ca_088_536	2.7.4.28
S_S2_Ca_088_537	2.7.11.33
S_S2_Ca_088_538	1.3.1.34
S_S2_Ca_088_539	2.7.7.23
S_S2_Ca_088_540	2.3.1.157
S_S2_Ca_088_541	2.1.1.74
S_S2_Ca_088_542	1.8.5.5
S_S2_Ca_088_543	3.4.23.51
S_S2_Ca_088_544	1.17.99.7
S_S2_Ca_088_545	1.17.1.9
S_S2_Ca_088_546	2.7.1.107
S_S2_Ca_088_547	5.4.2.11
S_S2_Ca_088_548	4.1.1.31
S_S2_Ca_088_549	2.5.1.16
S_S2_Ca_088_550	1.2.1.27
S_S2_Ca_088_551	1.2.1.18
S_S2_Ca_088_552	2.6.1.2
S_S2_Ca_088_553	2.7.8.35
S_S2_Ca_088_554	2.7.8.33
S_S2_Ca_088_555	3.2.1.58
S_S2_Ca_088_556	3.5.3.18
S_S2_Ca_088_557	1.3.7.1
S_S2_Ca_088_558	2.7.1.39
S_S2_Ca_088_559	3.6.3.4
S_S2_Ca_088_560	2.1.1.64
S_S2_Ca_088_561	2.1.1.222
S_S2_Ca_088_562	1.1.1.41
S_S2_Ca_088_563	2.3.1.117
S_S2_Ca_088_564	5.1.99.8
S_S2_Ca_088_565	4.1.2.25
S_S2_Ca_088_566	1.13.11.81
S_S2_Ca_088_567	6.3.1.12
S_S2_Ca_088_568	4.1.2.40
S_S2_Ca_088_569	2.1.1.303
S_S2_Ca_088_570	2.1.1.187
S_S2_Ca_088_571	2.1.1.242
S_S2_Ca_088_572	1.1.1.157
S_S2_Ca_088_573	5.3.3.2
S_S2_Ca_088_574	2.1.1.173
S_S2_Ca_088_575	2.1.1.264
S_S2_Ca_088_576	5.1.3.14
S_S2_Ca_088_577	1.3.1.1
S_S2_Ca_088_578	5.3.1.5
S_S2_Ca_088_579	3.5.3.1
S_S2_Ca_088_580	2.6.1.98
S_S2_Ca_088_581	1.14.13.208
