S_S5_Ea_103_1	1.6.5.3
S_S5_Ea_103_88	2.7.1.11
S_S5_Ea_103_89	3.2.2.27
S_S5_Ea_103_90	3.2.2.27
S_S5_Ea_103_91	2.1.1.176
S_S5_Ea_103_92	3.6.3.14
S_S5_Ea_103_93	3.6.3.14
S_S5_Ea_103_94	3.6.3.14
S_S5_Ea_103_95	3.6.1.66
S_S5_Ea_103_96	1.17.99.6
S_S5_Ea_103_97	1.5.1.20
S_S5_Ea_103_98	6.3.5.3
S_S5_Ea_103_99	6.3.5.3
S_S5_Ea_103_100	6.3.5.3
S_S5_Ea_103_101	3.1.26.4
S_S5_Ea_103_102	3.1.26.4
S_S5_Ea_103_103	3.1.26.4
S_S5_Ea_103_104	3.1.3.16
S_S5_Ea_103_105	3.1.3.16
S_S5_Ea_103_106	2.7.8.12
S_S5_Ea_103_107	2.3.1.15
S_S5_Ea_103_108	2.3.1.15
S_S5_Ea_103_109	2.5.1.3
S_S5_Ea_103_110	2.3.1.79
S_S5_Ea_103_111	2.3.1.79
S_S5_Ea_103_112	2.3.1.79
S_S5_Ea_103_113	6.1.1.20
S_S5_Ea_103_114	6.1.1.20
S_S5_Ea_103_115	3.6.3.34
S_S5_Ea_103_116	3.6.3.34
S_S5_Ea_103_117	3.6.3.34
S_S5_Ea_103_118	6.3.2.4
S_S5_Ea_103_119	5.99.1.3
S_S5_Ea_103_120	5.99.1.3
S_S5_Ea_103_121	4.2.1.33
S_S5_Ea_103_122	4.2.1.33
S_S5_Ea_103_123	4.4.1.8
S_S5_Ea_103_124	4.4.1.8
S_S5_Ea_103_125	4.4.1.8
S_S5_Ea_103_126	4.4.1.8
S_S5_Ea_103_127	4.4.1.8
S_S5_Ea_103_128	4.4.1.8
S_S5_Ea_103_129	4.4.1.8
S_S5_Ea_103_130	2.7.1.180
S_S5_Ea_103_131	2.5.1.49
S_S5_Ea_103_132	2.5.1.47
S_S5_Ea_103_133	2.5.1.47
S_S5_Ea_103_134	2.5.1.47
S_S5_Ea_103_135	2.7.1.49
S_S5_Ea_103_136	2.7.1.49
S_S5_Ea_103_137	2.7.4.7
S_S5_Ea_103_138	2.7.4.7
S_S5_Ea_103_139	6.3.1.2
S_S5_Ea_103_140	2.4.2.7
S_S5_Ea_103_141	2.7.4.3
S_S5_Ea_103_142	3.4.21.89
S_S5_Ea_103_143	3.4.21.89
S_S5_Ea_103_144	3.4.21.89
S_S5_Ea_103_145	3.4.21.89
S_S5_Ea_103_146	3.4.21.89
S_S5_Ea_103_147	2.8.1.7
S_S5_Ea_103_148	2.8.1.7
S_S5_Ea_103_149	2.8.1.7
S_S5_Ea_103_150	3.6.3.27
S_S5_Ea_103_151	3.6.3.27
S_S5_Ea_103_152	2.3.1.1
S_S5_Ea_103_153	5.4.99.23
S_S5_Ea_103_154	5.4.99.23
S_S5_Ea_103_155	5.4.99.23
S_S5_Ea_103_156	5.1.3.2
S_S5_Ea_103_157	5.1.3.2
S_S5_Ea_103_158	4.2.1.11
S_S5_Ea_103_159	3.2.1.22
S_S5_Ea_103_160	1.1.98.6
S_S5_Ea_103_161	3.6.3.54
S_S5_Ea_103_162	1.2.4.1
S_S5_Ea_103_163	1.2.4.1
S_S5_Ea_103_164	1.2.4.1
S_S5_Ea_103_165	1.8.4.12
S_S5_Ea_103_166	1.8.4.12
S_S5_Ea_103_167	1.8.4.12
S_S5_Ea_103_168	1.8.4.11
S_S5_Ea_103_169	1.8.4.11
S_S5_Ea_103_170	1.8.4.11
S_S5_Ea_103_171	3.5.2.3
S_S5_Ea_103_172	3.5.2.3
S_S5_Ea_103_173	3.6.1.55
S_S5_Ea_103_174	3.6.1.55
S_S5_Ea_103_175	2.7.1.2
S_S5_Ea_103_176	4.2.3.4
S_S5_Ea_103_177	4.2.1.35
S_S5_Ea_103_178	4.2.1.35
S_S5_Ea_103_179	3.5.1.88
S_S5_Ea_103_180	3.5.1.88
S_S5_Ea_103_181	1.97.1.4
S_S5_Ea_103_182	1.97.1.4
S_S5_Ea_103_183	1.97.1.4
S_S5_Ea_103_184	1.97.1.4
S_S5_Ea_103_185	3.2.1.20
S_S5_Ea_103_186	3.2.1.20
S_S5_Ea_103_187	3.2.1.20
S_S5_Ea_103_188	5.4.99.22
S_S5_Ea_103_189	2.2.1.6
S_S5_Ea_103_190	2.2.1.6
S_S5_Ea_103_191	2.2.1.6
S_S5_Ea_103_192	4.1.1.48
S_S5_Ea_103_193	5.1.1.1
S_S5_Ea_103_194	3.1.11.6
S_S5_Ea_103_195	3.1.11.6
S_S5_Ea_103_196	1.10.3.14
S_S5_Ea_103_197	1.10.3.14
S_S5_Ea_103_198	3.2.1.1
S_S5_Ea_103_199	3.2.1.1
S_S5_Ea_103_200	2.1.1.63
S_S5_Ea_103_201	2.1.1.63
S_S5_Ea_103_202	2.2.1.9
S_S5_Ea_103_203	6.1.1.10
S_S5_Ea_103_204	4.1.1.44
S_S5_Ea_103_205	4.1.1.44
S_S5_Ea_103_206	1.1.1.133
S_S5_Ea_103_207	1.1.1.133
S_S5_Ea_103_208	1.1.1.133
S_S5_Ea_103_209	1.1.1.133
S_S5_Ea_103_210	3.5.99.6
S_S5_Ea_103_211	2.1.1.227
S_S5_Ea_103_212	2.1.1.226
S_S5_Ea_103_213	3.2.2.10
S_S5_Ea_103_214	3.2.2.10
S_S5_Ea_103_215	3.2.2.10
S_S5_Ea_103_216	2.4.2.10
S_S5_Ea_103_217	3.6.1.27
S_S5_Ea_103_218	3.6.1.27
S_S5_Ea_103_219	3.6.1.27
S_S5_Ea_103_220	4.1.1.23
S_S5_Ea_103_221	6.1.1.12
S_S5_Ea_103_222	3.1.1.1
S_S5_Ea_103_223	1.8.1.9
S_S5_Ea_103_224	1.8.1.9
S_S5_Ea_103_225	1.8.1.9
S_S5_Ea_103_226	4.3.1.17
S_S5_Ea_103_227	4.3.1.17
S_S5_Ea_103_228	1.2.1.11
S_S5_Ea_103_229	2.5.1.29
S_S5_Ea_103_230	2.5.1.10
S_S5_Ea_103_231	2.5.1.1
S_S5_Ea_103_232	3.1.26.5
S_S5_Ea_103_233	4.2.1.136
S_S5_Ea_103_234	1.4.1.14
S_S5_Ea_103_235	1.4.1.14
S_S5_Ea_103_236	1.4.1.14
S_S5_Ea_103_237	1.4.1.13
S_S5_Ea_103_238	1.4.1.13
S_S5_Ea_103_239	1.4.1.13
S_S5_Ea_103_240	5.3.1.8
S_S5_Ea_103_241	5.3.1.8
S_S5_Ea_103_242	3.1.3.25
S_S5_Ea_103_243	2.1.1.177
S_S5_Ea_103_244	5.1.99.6
S_S5_Ea_103_245	2.3.1.39
S_S5_Ea_103_246	1.11.1.15
S_S5_Ea_103_247	3.4.23.36
S_S5_Ea_103_248	6.1.1.5
S_S5_Ea_103_249	2.7.1.33
S_S5_Ea_103_250	2.1.2.9
S_S5_Ea_103_251	2.7.1.6
S_S5_Ea_103_252	3.1.11.2
S_S5_Ea_103_253	3.5.1.25
S_S5_Ea_103_254	3.5.1.124
S_S5_Ea_103_255	6.3.1.20
S_S5_Ea_103_256	3.4.11.18
S_S5_Ea_103_257	3.4.11.18
S_S5_Ea_103_258	2.7.1.23
S_S5_Ea_103_259	3.1.3.5
S_S5_Ea_103_260	3.1.3.5
S_S5_Ea_103_261	3.1.3.5
S_S5_Ea_103_262	6.3.2.17
S_S5_Ea_103_263	6.3.2.12
S_S5_Ea_103_264	1.4.1.4
S_S5_Ea_103_265	2.7.1.202
S_S5_Ea_103_266	2.7.1.202
S_S5_Ea_103_267	2.7.1.202
S_S5_Ea_103_268	2.7.1.202
S_S5_Ea_103_269	2.7.1.202
S_S5_Ea_103_270	2.7.1.202
S_S5_Ea_103_271	2.7.1.202
S_S5_Ea_103_272	2.7.1.202
S_S5_Ea_103_273	2.7.1.202
S_S5_Ea_103_274	2.7.1.202
S_S5_Ea_103_275	2.7.1.202
S_S5_Ea_103_276	2.7.1.202
S_S5_Ea_103_277	2.7.1.202
S_S5_Ea_103_278	2.7.1.202
S_S5_Ea_103_279	2.7.1.202
S_S5_Ea_103_280	2.3.1.54
S_S5_Ea_103_281	2.3.1.54
S_S5_Ea_103_282	2.3.1.54
S_S5_Ea_103_283	2.3.1.54
S_S5_Ea_103_284	2.3.1.54
S_S5_Ea_103_285	2.1.1.45
S_S5_Ea_103_286	5.3.1.24
S_S5_Ea_103_287	5.3.1.24
S_S5_Ea_103_288	4.4.1.16
S_S5_Ea_103_289	2.1.3.15
S_S5_Ea_103_290	2.1.3.15
S_S5_Ea_103_291	5.1.3.3
S_S5_Ea_103_292	2.7.4.22
S_S5_Ea_103_293	1.2.1.12
S_S5_Ea_103_294	1.2.1.12
S_S5_Ea_103_295	2.3.1.179
S_S5_Ea_103_296	2.7.7.60
S_S5_Ea_103_297	6.1.1.2
S_S5_Ea_103_298	2.7.1.4
S_S5_Ea_103_299	2.7.1.4
S_S5_Ea_103_300	2.3.1.29
S_S5_Ea_103_301	2.1.1.228
S_S5_Ea_103_302	1.20.4.1
S_S5_Ea_103_303	1.20.4.1
S_S5_Ea_103_304	2.4.1.1
S_S5_Ea_103_305	3.6.3.8
S_S5_Ea_103_306	3.6.3.8
S_S5_Ea_103_307	3.6.3.8
S_S5_Ea_103_308	3.6.3.8
S_S5_Ea_103_309	1.2.3.3
S_S5_Ea_103_310	2.4.2.18
S_S5_Ea_103_311	4.2.1.46
S_S5_Ea_103_312	4.2.1.46
S_S5_Ea_103_313	2.7.7.24
S_S5_Ea_103_314	6.3.4.15
S_S5_Ea_103_315	6.1.1.21
S_S5_Ea_103_316	1.1.1.85
S_S5_Ea_103_317	2.7.2.3
S_S5_Ea_103_318	6.3.4.4
S_S5_Ea_103_319	2.1.2.2
S_S5_Ea_103_320	3.5.1.42
S_S5_Ea_103_321	2.7.1.40
S_S5_Ea_103_322	3.1.1.29
S_S5_Ea_103_323	6.1.1.7
S_S5_Ea_103_324	2.1.1.182
S_S5_Ea_103_325	6.3.3.1
S_S5_Ea_103_326	2.4.2.14
S_S5_Ea_103_327	4.1.1.36
S_S5_Ea_103_328	6.3.2.5
S_S5_Ea_103_329	6.3.2.5
S_S5_Ea_103_330	3.1.3.100
S_S5_Ea_103_331	3.1.3.100
S_S5_Ea_103_332	3.1.3.15
S_S5_Ea_103_333	2.7.4.8
S_S5_Ea_103_334	2.7.4.8
S_S5_Ea_103_335	2.3.1.180
S_S5_Ea_103_336	2.7.7.3
S_S5_Ea_103_337	2.7.7.9
S_S5_Ea_103_338	2.5.1.74
S_S5_Ea_103_339	2.5.1.74
S_S5_Ea_103_340	2.5.1.74
S_S5_Ea_103_341	2.5.1.74
S_S5_Ea_103_342	3.6.5.4
S_S5_Ea_103_343	6.1.1.11
S_S5_Ea_103_344	4.2.1.2
S_S5_Ea_103_345	4.3.3.7
S_S5_Ea_103_346	4.3.3.7
S_S5_Ea_103_347	4.3.3.7
S_S5_Ea_103_348	1.17.1.8
S_S5_Ea_103_349	2.1.2.11
S_S5_Ea_103_350	6.1.1.3
S_S5_Ea_103_351	6.1.1.3
S_S5_Ea_103_352	2.4.1.129
S_S5_Ea_103_353	2.4.1.129
S_S5_Ea_103_354	2.4.1.129
S_S5_Ea_103_355	1.1.1.94
S_S5_Ea_103_356	6.1.1.6
S_S5_Ea_103_357	6.3.5.2
S_S5_Ea_103_358	2.6.1.42
S_S5_Ea_103_359	4.1.2.13
S_S5_Ea_103_360	4.1.2.13
S_S5_Ea_103_361	4.1.2.13
S_S5_Ea_103_362	4.1.2.13
S_S5_Ea_103_363	4.1.2.13
S_S5_Ea_103_364	4.1.2.13
S_S5_Ea_103_365	4.1.2.13
S_S5_Ea_103_366	4.1.1.20
S_S5_Ea_103_367	2.4.99.17
S_S5_Ea_103_368	1.1.1.95
S_S5_Ea_103_369	1.1.1.95
S_S5_Ea_103_370	1.1.1.95
S_S5_Ea_103_371	1.1.1.399
S_S5_Ea_103_372	1.1.1.399
S_S5_Ea_103_373	1.1.1.399
S_S5_Ea_103_374	6.1.1.22
S_S5_Ea_103_375	1.1.1.205
S_S5_Ea_103_376	4.2.1.10
S_S5_Ea_103_377	4.2.1.10
S_S5_Ea_103_378	4.2.1.10
S_S5_Ea_103_379	1.2.7.1
S_S5_Ea_103_380	1.2.7.1
S_S5_Ea_103_381	2.5.1.54
S_S5_Ea_103_382	2.7.7.2
S_S5_Ea_103_383	2.7.1.26
S_S5_Ea_103_384	5.4.99.25
S_S5_Ea_103_385	3.1.3.7
S_S5_Ea_103_386	3.1.13.3
S_S5_Ea_103_387	6.3.4.19
S_S5_Ea_103_388	6.3.4.19
S_S5_Ea_103_389	2.3.1.8
S_S5_Ea_103_390	4.2.1.19
S_S5_Ea_103_391	2.7.6.1
S_S5_Ea_103_392	2.7.6.1
S_S5_Ea_103_393	3.5.4.26
S_S5_Ea_103_394	1.1.1.193
S_S5_Ea_103_395	4.3.1.12
S_S5_Ea_103_396	4.1.1.81
S_S5_Ea_103_397	2.6.1.9
S_S5_Ea_103_398	2.4.1.18
S_S5_Ea_103_399	2.1.3.3
S_S5_Ea_103_400	2.7.3.9
S_S5_Ea_103_401	6.3.3.2
S_S5_Ea_103_402	6.1.1.14
S_S5_Ea_103_403	6.1.1.14
S_S5_Ea_103_404	5.4.99.19
S_S5_Ea_103_405	5.4.99.19
S_S5_Ea_103_406	3.6.3.21
S_S5_Ea_103_407	3.6.3.21
S_S5_Ea_103_408	3.6.3.21
S_S5_Ea_103_409	3.6.3.21
S_S5_Ea_103_410	3.6.3.21
S_S5_Ea_103_411	3.6.3.21
S_S5_Ea_103_412	3.6.3.21
S_S5_Ea_103_413	1.2.1.38
S_S5_Ea_103_414	2.3.1.35
S_S5_Ea_103_415	5.3.1.16
S_S5_Ea_103_416	2.1.1.193
S_S5_Ea_103_417	1.5.1.3
S_S5_Ea_103_418	2.7.1.50
S_S5_Ea_103_419	2.7.1.71
S_S5_Ea_103_420	2.3.1.51
S_S5_Ea_103_421	3.1.26.3
S_S5_Ea_103_422	2.1.1.198
S_S5_Ea_103_423	3.5.4.19
S_S5_Ea_103_424	1.1.1.23
S_S5_Ea_103_425	2.7.7.87
S_S5_Ea_103_426	2.4.2.29
S_S5_Ea_103_427	2.1.1.33
S_S5_Ea_103_428	6.1.1.9
S_S5_Ea_103_429	1.3.1.12
S_S5_Ea_103_430	3.5.4.12
S_S5_Ea_103_431	2.7.4.25
S_S5_Ea_103_432	4.3.1.19
S_S5_Ea_103_433	4.3.1.19
S_S5_Ea_103_434	4.3.1.19
S_S5_Ea_103_435	1.4.1.16
S_S5_Ea_103_436	6.3.5.10
S_S5_Ea_103_437	2.7.8.26
S_S5_Ea_103_438	5.3.1.13
S_S5_Ea_103_439	6.3.1.10
S_S5_Ea_103_440	2.3.1.30
S_S5_Ea_103_441	1.2.1.41
S_S5_Ea_103_442	2.7.2.11
S_S5_Ea_103_443	2.7.2.11
S_S5_Ea_103_444	2.2.1.1
S_S5_Ea_103_445	2.2.1.1
S_S5_Ea_103_446	2.2.1.1
S_S5_Ea_103_447	2.2.1.1
S_S5_Ea_103_448	2.2.1.1
S_S5_Ea_103_449	6.3.2.6
S_S5_Ea_103_450	6.3.2.6
S_S5_Ea_103_451	4.2.99.18
S_S5_Ea_103_452	6.3.4.5
S_S5_Ea_103_453	1.8.1.4
S_S5_Ea_103_454	1.8.1.4
S_S5_Ea_103_455	5.3.1.1
S_S5_Ea_103_456	5.3.1.1
S_S5_Ea_103_457	5.3.1.1
S_S5_Ea_103_458	4.1.1.15
S_S5_Ea_103_459	4.1.1.15
S_S5_Ea_103_460	4.1.1.15
S_S5_Ea_103_461	2.1.1.37
S_S5_Ea_103_462	2.1.1.37
S_S5_Ea_103_463	2.1.1.37
S_S5_Ea_103_464	2.1.1.37
S_S5_Ea_103_465	4.3.2.2
S_S5_Ea_103_466	1.1.1.25
S_S5_Ea_103_467	1.1.1.25
S_S5_Ea_103_468	1.17.4.1
S_S5_Ea_103_469	1.17.4.1
S_S5_Ea_103_470	2.7.2.4
S_S5_Ea_103_471	1.1.1.3
S_S5_Ea_103_472	2.1.1.13
S_S5_Ea_103_473	3.4.11.4
S_S5_Ea_103_474	3.4.11.4
S_S5_Ea_103_475	1.1.1.42
S_S5_Ea_103_476	2.7.7.8
S_S5_Ea_103_477	2.4.2.8
S_S5_Ea_103_478	2.4.2.8
S_S5_Ea_103_479	2.3.1.183
S_S5_Ea_103_480	2.3.1.183
S_S5_Ea_103_481	2.7.4.9
S_S5_Ea_103_482	4.2.1.59
S_S5_Ea_103_483	4.2.1.59
S_S5_Ea_103_484	1.1.1.1
S_S5_Ea_103_485	1.1.1.1
S_S5_Ea_103_486	1.1.1.1
S_S5_Ea_103_487	1.1.1.1
S_S5_Ea_103_488	1.1.1.1
S_S5_Ea_103_489	1.1.1.1
S_S5_Ea_103_490	4.2.3.5
S_S5_Ea_103_491	2.5.1.7
S_S5_Ea_103_492	2.5.1.7
S_S5_Ea_103_493	2.7.9.1
S_S5_Ea_103_494	5.3.1.9
S_S5_Ea_103_495	1.5.1.2
S_S5_Ea_103_496	5.4.99.12
S_S5_Ea_103_497	5.4.99.12
S_S5_Ea_103_498	2.7.7.18
S_S5_Ea_103_499	2.7.7.56
S_S5_Ea_103_500	6.3.2.1
S_S5_Ea_103_501	1.1.1.169
S_S5_Ea_103_502	6.3.4.3
S_S5_Ea_103_503	6.3.4.13
S_S5_Ea_103_504	4.1.99.12
S_S5_Ea_103_505	3.5.4.25
S_S5_Ea_103_506	2.5.1.78
S_S5_Ea_103_507	2.1.1.192
S_S5_Ea_103_508	3.2.2.20
S_S5_Ea_103_509	3.2.2.20
S_S5_Ea_103_510	2.3.1.57
S_S5_Ea_103_511	2.3.1.57
S_S5_Ea_103_512	2.1.1.190
S_S5_Ea_103_513	2.1.1.190
S_S5_Ea_103_514	2.5.1.9
S_S5_Ea_103_515	6.1.1.15
S_S5_Ea_103_516	2.1.1.297
S_S5_Ea_103_517	5.1.1.7
S_S5_Ea_103_518	4.3.2.1
S_S5_Ea_103_519	3.1.21.2
S_S5_Ea_103_520	6.1.1.16
S_S5_Ea_103_521	3.4.21.102
S_S5_Ea_103_522	2.6.1.17
S_S5_Ea_103_523	2.6.1.11
S_S5_Ea_103_524	2.7.7.41
S_S5_Ea_103_525	2.3.1.12
S_S5_Ea_103_526	2.3.1.12
S_S5_Ea_103_527	2.1.1.107
S_S5_Ea_103_528	2.1.1.107
S_S5_Ea_103_529	2.7.8.5
S_S5_Ea_103_530	2.7.8.5
S_S5_Ea_103_531	6.5.1.2
S_S5_Ea_103_532	4.2.1.51
S_S5_Ea_103_533	2.3.3.1
S_S5_Ea_103_534	2.1.1.207
S_S5_Ea_103_535	2.5.1.19
S_S5_Ea_103_536	2.7.4.6
S_S5_Ea_103_537	4.1.2.48
S_S5_Ea_103_538	1.1.1.86
S_S5_Ea_103_539	2.6.1.1
S_S5_Ea_103_540	2.5.1.31
S_S5_Ea_103_541	2.7.1.148
S_S5_Ea_103_542	2.7.2.8
S_S5_Ea_103_543	3.5.4.10
S_S5_Ea_103_544	2.1.2.3
S_S5_Ea_103_545	2.7.8.7
S_S5_Ea_103_546	1.15.1.1
S_S5_Ea_103_547	6.1.1.19
S_S5_Ea_103_548	6.3.5.9
S_S5_Ea_103_549	6.3.5.11
S_S5_Ea_103_550	3.6.1.13
S_S5_Ea_103_551	3.6.1.13
S_S5_Ea_103_552	5.99.1.2
S_S5_Ea_103_553	5.99.1.2
S_S5_Ea_103_554	5.99.1.2
S_S5_Ea_103_555	4.2.1.3
S_S5_Ea_103_556	1.5.1.5
S_S5_Ea_103_557	2.1.1.185
S_S5_Ea_103_558	6.1.1.4
S_S5_Ea_103_559	2.5.1.6
S_S5_Ea_103_560	3.4.21.92
S_S5_Ea_103_561	3.4.21.92
S_S5_Ea_103_562	2.3.1.234
S_S5_Ea_103_563	2.3.1.234
S_S5_Ea_103_564	2.5.1.75
S_S5_Ea_103_565	4.99.1.3
S_S5_Ea_103_566	4.99.1.3
S_S5_Ea_103_567	2.4.1.227
S_S5_Ea_103_568	6.3.2.9
S_S5_Ea_103_569	2.7.8.13
S_S5_Ea_103_570	6.3.2.10
S_S5_Ea_103_571	6.3.2.13
S_S5_Ea_103_572	6.3.2.13
S_S5_Ea_103_573	2.1.1.199
S_S5_Ea_103_574	2.8.1.13
S_S5_Ea_103_575	1.1.1.100
S_S5_Ea_103_576	1.1.1.100
S_S5_Ea_103_577	1.1.1.100
S_S5_Ea_103_578	1.1.1.100
S_S5_Ea_103_579	1.1.1.100
S_S5_Ea_103_580	1.1.1.100
S_S5_Ea_103_581	1.1.1.100
S_S5_Ea_103_582	1.1.1.100
S_S5_Ea_103_583	5.1.3.1
S_S5_Ea_103_584	5.1.3.1
S_S5_Ea_103_585	5.1.3.1
S_S5_Ea_103_586	5.1.3.1
S_S5_Ea_103_587	5.1.3.1
S_S5_Ea_103_588	3.5.4.9
S_S5_Ea_103_589	6.3.4.2
S_S5_Ea_103_590	5.4.2.2
S_S5_Ea_103_591	5.4.2.2
S_S5_Ea_103_592	6.1.1.1
S_S5_Ea_103_593	3.5.3.12
S_S5_Ea_103_594	5.4.99.18
S_S5_Ea_103_595	2.4.2.9
S_S5_Ea_103_596	2.4.2.9
S_S5_Ea_103_597	2.1.3.2
S_S5_Ea_103_598	1.3.1.10
S_S5_Ea_103_599	1.3.1.9
S_S5_Ea_103_600	1.3.1.9
S_S5_Ea_103_601	2.5.1.61
S_S5_Ea_103_602	2.5.1.61
S_S5_Ea_103_603	4.2.1.9
S_S5_Ea_103_604	2.4.2.17
S_S5_Ea_103_605	3.4.11.9
S_S5_Ea_103_606	3.4.11.9
S_S5_Ea_103_607	3.4.11.9
S_S5_Ea_103_608	3.4.11.9
S_S5_Ea_103_609	3.5.4.33
S_S5_Ea_103_610	4.2.1.75
S_S5_Ea_103_611	4.2.1.75
S_S5_Ea_103_612	3.6.3.17
S_S5_Ea_103_613	3.6.3.17
S_S5_Ea_103_614	3.6.3.17
S_S5_Ea_103_615	3.2.1.21
S_S5_Ea_103_616	3.2.1.21
S_S5_Ea_103_617	3.2.1.21
S_S5_Ea_103_618	3.2.1.21
S_S5_Ea_103_619	3.2.1.21
S_S5_Ea_103_620	3.2.1.21
S_S5_Ea_103_621	3.2.1.21
S_S5_Ea_103_622	3.2.1.86
S_S5_Ea_103_623	3.2.1.86
S_S5_Ea_103_624	3.2.1.86
S_S5_Ea_103_625	3.2.1.86
S_S5_Ea_103_626	3.2.1.86
S_S5_Ea_103_627	3.2.1.86
S_S5_Ea_103_628	3.2.1.86
S_S5_Ea_103_629	3.2.1.86
S_S5_Ea_103_630	3.2.1.86
S_S5_Ea_103_631	3.2.1.86
S_S5_Ea_103_632	3.2.1.86
S_S5_Ea_103_633	3.2.1.86
S_S5_Ea_103_634	3.2.1.86
S_S5_Ea_103_635	2.8.2.22
S_S5_Ea_103_636	3.1.4.46
S_S5_Ea_103_637	3.1.4.46
S_S5_Ea_103_638	3.1.4.46
S_S5_Ea_103_639	2.7.1.15
S_S5_Ea_103_640	2.7.1.15
S_S5_Ea_103_641	2.7.1.15
S_S5_Ea_103_642	2.7.1.15
S_S5_Ea_103_643	1.12.1.3
S_S5_Ea_103_644	2.7.1.194
S_S5_Ea_103_645	2.7.1.194
S_S5_Ea_103_646	2.7.1.194
S_S5_Ea_103_647	2.7.1.194
S_S5_Ea_103_648	2.7.1.194
S_S5_Ea_103_649	2.7.1.194
S_S5_Ea_103_650	2.7.1.194
S_S5_Ea_103_651	3.6.3.30
S_S5_Ea_103_652	3.6.3.30
S_S5_Ea_103_653	3.6.3.30
S_S5_Ea_103_654	4.4.1.5
S_S5_Ea_103_655	4.4.1.5
S_S5_Ea_103_656	4.4.1.5
S_S5_Ea_103_657	2.4.2.1
S_S5_Ea_103_658	2.4.2.1
S_S5_Ea_103_659	2.4.2.1
S_S5_Ea_103_660	4.1.2.4
S_S5_Ea_103_661	4.1.2.4
S_S5_Ea_103_662	4.1.2.4
S_S5_Ea_103_663	4.1.2.4
S_S5_Ea_103_664	4.1.2.17
S_S5_Ea_103_665	4.1.2.17
