S_S2_Ea_076_1	1.6.5.3
S_S2_Ea_076_137	2.7.1.49
S_S2_Ea_076_138	2.7.4.7
S_S2_Ea_076_139	2.7.4.7
S_S2_Ea_076_140	6.3.1.2
S_S2_Ea_076_141	2.4.2.7
S_S2_Ea_076_142	2.7.4.3
S_S2_Ea_076_143	3.4.21.89
S_S2_Ea_076_144	3.4.21.89
S_S2_Ea_076_145	3.4.21.89
S_S2_Ea_076_146	3.4.21.89
S_S2_Ea_076_147	3.4.21.89
S_S2_Ea_076_148	2.8.1.7
S_S2_Ea_076_149	2.8.1.7
S_S2_Ea_076_150	2.8.1.7
S_S2_Ea_076_151	3.6.3.27
S_S2_Ea_076_152	3.6.3.27
S_S2_Ea_076_153	2.3.1.1
S_S2_Ea_076_154	5.4.99.23
S_S2_Ea_076_155	5.4.99.23
S_S2_Ea_076_156	5.4.99.23
S_S2_Ea_076_157	5.1.3.2
S_S2_Ea_076_158	5.1.3.2
S_S2_Ea_076_159	4.2.1.11
S_S2_Ea_076_160	1.1.98.6
S_S2_Ea_076_161	3.6.3.54
S_S2_Ea_076_162	1.2.4.1
S_S2_Ea_076_163	1.2.4.1
S_S2_Ea_076_164	1.2.4.1
S_S2_Ea_076_165	1.8.4.12
S_S2_Ea_076_166	1.8.4.12
S_S2_Ea_076_167	1.8.4.12
S_S2_Ea_076_168	1.8.4.11
S_S2_Ea_076_169	1.8.4.11
S_S2_Ea_076_170	1.8.4.11
S_S2_Ea_076_171	3.5.2.3
S_S2_Ea_076_172	3.5.2.3
S_S2_Ea_076_173	3.6.1.55
S_S2_Ea_076_174	3.6.1.55
S_S2_Ea_076_175	2.7.1.2
S_S2_Ea_076_176	4.2.3.4
S_S2_Ea_076_177	4.2.1.35
S_S2_Ea_076_178	4.2.1.35
S_S2_Ea_076_179	3.5.1.88
S_S2_Ea_076_180	3.5.1.88
S_S2_Ea_076_181	1.97.1.4
S_S2_Ea_076_182	1.97.1.4
S_S2_Ea_076_183	1.97.1.4
S_S2_Ea_076_184	1.97.1.4
S_S2_Ea_076_185	1.97.1.4
S_S2_Ea_076_186	3.2.1.20
S_S2_Ea_076_187	3.2.1.20
S_S2_Ea_076_188	3.2.1.20
S_S2_Ea_076_189	5.4.99.22
S_S2_Ea_076_190	2.2.1.6
S_S2_Ea_076_191	2.2.1.6
S_S2_Ea_076_192	2.2.1.6
S_S2_Ea_076_193	4.1.1.48
S_S2_Ea_076_194	5.1.1.1
S_S2_Ea_076_195	3.1.11.6
S_S2_Ea_076_196	3.1.11.6
S_S2_Ea_076_197	1.10.3.14
S_S2_Ea_076_198	1.10.3.14
S_S2_Ea_076_199	3.2.1.1
S_S2_Ea_076_200	3.2.1.1
S_S2_Ea_076_201	2.1.1.63
S_S2_Ea_076_202	2.1.1.63
S_S2_Ea_076_203	2.2.1.9
S_S2_Ea_076_204	6.1.1.10
S_S2_Ea_076_205	4.1.1.44
S_S2_Ea_076_206	4.1.1.44
S_S2_Ea_076_207	1.1.1.133
S_S2_Ea_076_208	1.1.1.133
S_S2_Ea_076_209	1.1.1.133
S_S2_Ea_076_210	3.5.99.6
S_S2_Ea_076_211	2.1.1.227
S_S2_Ea_076_212	2.1.1.226
S_S2_Ea_076_213	3.2.2.10
S_S2_Ea_076_214	3.2.2.10
S_S2_Ea_076_215	3.2.2.10
S_S2_Ea_076_216	2.4.2.10
S_S2_Ea_076_217	3.6.1.27
S_S2_Ea_076_218	3.6.1.27
S_S2_Ea_076_219	3.6.1.27
S_S2_Ea_076_220	4.1.1.23
S_S2_Ea_076_221	6.1.1.12
S_S2_Ea_076_222	3.1.1.1
S_S2_Ea_076_223	1.8.1.9
S_S2_Ea_076_224	1.8.1.9
S_S2_Ea_076_225	1.8.1.9
S_S2_Ea_076_226	4.3.1.17
S_S2_Ea_076_227	4.3.1.17
S_S2_Ea_076_228	1.2.1.11
S_S2_Ea_076_229	2.5.1.29
S_S2_Ea_076_230	2.5.1.10
S_S2_Ea_076_231	2.5.1.1
S_S2_Ea_076_232	3.1.26.5
S_S2_Ea_076_233	4.2.1.136
S_S2_Ea_076_234	1.4.1.14
S_S2_Ea_076_235	1.4.1.14
S_S2_Ea_076_236	1.4.1.14
S_S2_Ea_076_237	1.4.1.13
S_S2_Ea_076_238	1.4.1.13
S_S2_Ea_076_239	1.4.1.13
S_S2_Ea_076_240	5.3.1.8
S_S2_Ea_076_241	5.3.1.8
S_S2_Ea_076_242	3.1.3.25
S_S2_Ea_076_243	2.1.1.177
S_S2_Ea_076_244	5.1.99.6
S_S2_Ea_076_245	2.3.1.39
S_S2_Ea_076_246	1.11.1.15
S_S2_Ea_076_247	3.4.23.36
S_S2_Ea_076_248	6.1.1.5
S_S2_Ea_076_249	2.7.1.33
S_S2_Ea_076_250	2.1.2.9
S_S2_Ea_076_251	2.7.1.6
S_S2_Ea_076_252	3.1.11.2
S_S2_Ea_076_253	3.5.1.25
S_S2_Ea_076_254	3.5.1.124
S_S2_Ea_076_255	3.5.1.124
S_S2_Ea_076_256	6.3.1.20
S_S2_Ea_076_257	3.4.11.18
S_S2_Ea_076_258	3.4.11.18
S_S2_Ea_076_259	2.7.1.23
S_S2_Ea_076_260	3.1.3.5
S_S2_Ea_076_261	3.1.3.5
S_S2_Ea_076_262	3.1.3.5
S_S2_Ea_076_263	6.3.2.17
S_S2_Ea_076_264	6.3.2.12
S_S2_Ea_076_265	1.4.1.4
S_S2_Ea_076_266	2.7.1.202
S_S2_Ea_076_267	2.7.1.202
S_S2_Ea_076_268	2.7.1.202
S_S2_Ea_076_269	2.7.1.202
S_S2_Ea_076_270	2.7.1.202
S_S2_Ea_076_271	2.7.1.202
S_S2_Ea_076_272	2.7.1.202
S_S2_Ea_076_273	2.7.1.202
S_S2_Ea_076_274	2.7.1.202
S_S2_Ea_076_275	2.7.1.202
S_S2_Ea_076_276	2.7.1.202
S_S2_Ea_076_277	2.7.1.202
S_S2_Ea_076_278	2.7.1.202
S_S2_Ea_076_279	2.7.1.202
S_S2_Ea_076_280	2.7.1.202
S_S2_Ea_076_281	2.7.1.202
S_S2_Ea_076_282	2.7.1.202
S_S2_Ea_076_283	2.3.1.54
S_S2_Ea_076_284	2.3.1.54
S_S2_Ea_076_285	2.3.1.54
S_S2_Ea_076_286	2.3.1.54
S_S2_Ea_076_287	2.3.1.54
S_S2_Ea_076_288	2.3.1.54
S_S2_Ea_076_289	2.1.1.45
S_S2_Ea_076_290	5.3.1.24
S_S2_Ea_076_291	5.3.1.24
S_S2_Ea_076_292	4.4.1.16
S_S2_Ea_076_293	2.1.3.15
S_S2_Ea_076_294	2.1.3.15
S_S2_Ea_076_295	5.1.3.3
S_S2_Ea_076_296	5.1.3.3
S_S2_Ea_076_297	2.7.4.22
S_S2_Ea_076_298	1.2.1.12
S_S2_Ea_076_299	1.2.1.12
S_S2_Ea_076_300	2.3.1.179
S_S2_Ea_076_301	6.1.1.2
S_S2_Ea_076_302	2.7.1.4
S_S2_Ea_076_303	2.7.1.4
S_S2_Ea_076_304	2.7.1.4
S_S2_Ea_076_305	2.3.1.29
S_S2_Ea_076_306	2.1.1.228
S_S2_Ea_076_307	1.20.4.1
S_S2_Ea_076_308	1.20.4.1
S_S2_Ea_076_309	2.4.1.1
S_S2_Ea_076_310	3.6.3.8
S_S2_Ea_076_311	3.6.3.8
S_S2_Ea_076_312	3.6.3.8
S_S2_Ea_076_313	3.6.3.8
S_S2_Ea_076_314	1.2.3.3
S_S2_Ea_076_315	2.4.2.18
S_S2_Ea_076_316	4.2.1.46
S_S2_Ea_076_317	2.7.7.24
S_S2_Ea_076_318	6.3.4.15
S_S2_Ea_076_319	6.1.1.21
S_S2_Ea_076_320	1.1.1.85
S_S2_Ea_076_321	2.7.2.3
S_S2_Ea_076_322	6.3.4.4
S_S2_Ea_076_323	2.1.2.2
S_S2_Ea_076_324	3.5.1.42
S_S2_Ea_076_325	2.7.1.40
S_S2_Ea_076_326	3.1.1.29
S_S2_Ea_076_327	6.1.1.7
S_S2_Ea_076_328	2.1.1.182
S_S2_Ea_076_329	6.3.3.1
S_S2_Ea_076_330	2.4.2.14
S_S2_Ea_076_331	4.1.1.36
S_S2_Ea_076_332	6.3.2.5
S_S2_Ea_076_333	6.3.2.5
S_S2_Ea_076_334	3.1.3.100
S_S2_Ea_076_335	3.1.3.100
S_S2_Ea_076_336	3.1.3.15
S_S2_Ea_076_337	2.7.4.8
S_S2_Ea_076_338	2.7.4.8
S_S2_Ea_076_339	2.3.1.180
S_S2_Ea_076_340	2.7.7.3
S_S2_Ea_076_341	2.7.7.9
S_S2_Ea_076_342	2.7.7.39
S_S2_Ea_076_343	2.5.1.74
S_S2_Ea_076_344	2.5.1.74
S_S2_Ea_076_345	2.5.1.74
S_S2_Ea_076_346	2.5.1.74
S_S2_Ea_076_347	3.6.5.4
S_S2_Ea_076_348	6.1.1.11
S_S2_Ea_076_349	4.2.1.2
S_S2_Ea_076_350	4.3.3.7
S_S2_Ea_076_351	4.3.3.7
S_S2_Ea_076_352	4.3.3.7
S_S2_Ea_076_353	1.17.1.8
S_S2_Ea_076_354	2.1.2.11
S_S2_Ea_076_355	6.1.1.3
S_S2_Ea_076_356	6.1.1.3
S_S2_Ea_076_357	2.4.1.129
S_S2_Ea_076_358	2.4.1.129
S_S2_Ea_076_359	2.4.1.129
S_S2_Ea_076_360	1.1.1.94
S_S2_Ea_076_361	6.1.1.6
S_S2_Ea_076_362	6.3.5.2
S_S2_Ea_076_363	2.6.1.42
S_S2_Ea_076_364	4.1.2.13
S_S2_Ea_076_365	4.1.2.13
S_S2_Ea_076_366	4.1.2.13
S_S2_Ea_076_367	4.1.2.13
S_S2_Ea_076_368	4.1.2.13
S_S2_Ea_076_369	4.1.2.13
S_S2_Ea_076_370	4.1.2.13
S_S2_Ea_076_371	4.1.2.13
S_S2_Ea_076_372	4.1.1.20
S_S2_Ea_076_373	2.4.99.17
S_S2_Ea_076_374	1.1.1.95
S_S2_Ea_076_375	1.1.1.95
S_S2_Ea_076_376	1.1.1.95
S_S2_Ea_076_377	1.1.1.399
S_S2_Ea_076_378	1.1.1.399
S_S2_Ea_076_379	1.1.1.399
S_S2_Ea_076_380	6.1.1.22
S_S2_Ea_076_381	1.1.1.205
S_S2_Ea_076_382	4.2.1.10
S_S2_Ea_076_383	4.2.1.10
S_S2_Ea_076_384	4.2.1.10
S_S2_Ea_076_385	1.2.7.1
S_S2_Ea_076_386	1.2.7.1
S_S2_Ea_076_387	2.5.1.54
S_S2_Ea_076_388	2.7.7.2
S_S2_Ea_076_389	2.7.1.26
S_S2_Ea_076_390	5.4.99.25
S_S2_Ea_076_391	3.1.3.7
S_S2_Ea_076_392	3.1.13.3
S_S2_Ea_076_393	6.3.4.19
S_S2_Ea_076_394	6.3.4.19
S_S2_Ea_076_395	2.3.1.8
S_S2_Ea_076_396	4.2.1.19
S_S2_Ea_076_397	2.7.6.1
S_S2_Ea_076_398	2.7.6.1
S_S2_Ea_076_399	3.5.4.26
S_S2_Ea_076_400	1.1.1.193
S_S2_Ea_076_401	4.3.1.12
S_S2_Ea_076_402	4.1.1.81
S_S2_Ea_076_403	2.6.1.9
S_S2_Ea_076_404	2.4.1.18
S_S2_Ea_076_405	2.1.3.3
S_S2_Ea_076_406	2.7.3.9
S_S2_Ea_076_407	6.3.3.2
S_S2_Ea_076_408	6.1.1.14
S_S2_Ea_076_409	6.1.1.14
S_S2_Ea_076_410	5.4.99.19
S_S2_Ea_076_411	5.4.99.19
S_S2_Ea_076_412	3.6.3.21
S_S2_Ea_076_413	3.6.3.21
S_S2_Ea_076_414	3.6.3.21
S_S2_Ea_076_415	3.6.3.21
S_S2_Ea_076_416	3.6.3.21
S_S2_Ea_076_417	3.6.3.21
S_S2_Ea_076_418	3.6.3.21
S_S2_Ea_076_419	1.2.1.38
S_S2_Ea_076_420	2.3.1.35
S_S2_Ea_076_421	5.3.1.16
S_S2_Ea_076_422	2.1.1.193
S_S2_Ea_076_423	1.5.1.3
S_S2_Ea_076_424	2.7.1.50
S_S2_Ea_076_425	2.7.1.71
S_S2_Ea_076_426	2.3.1.51
S_S2_Ea_076_427	3.1.26.3
S_S2_Ea_076_428	2.1.1.198
S_S2_Ea_076_429	3.5.4.19
S_S2_Ea_076_430	1.1.1.23
S_S2_Ea_076_431	2.7.7.87
S_S2_Ea_076_432	2.4.2.29
S_S2_Ea_076_433	2.1.1.33
S_S2_Ea_076_434	6.1.1.9
S_S2_Ea_076_435	1.3.1.12
S_S2_Ea_076_436	3.5.4.12
S_S2_Ea_076_437	2.7.4.25
S_S2_Ea_076_438	4.3.1.19
S_S2_Ea_076_439	4.3.1.19
S_S2_Ea_076_440	4.3.1.19
S_S2_Ea_076_441	1.4.1.16
S_S2_Ea_076_442	6.3.5.10
S_S2_Ea_076_443	2.7.8.26
S_S2_Ea_076_444	5.3.1.13
S_S2_Ea_076_445	6.3.1.10
S_S2_Ea_076_446	2.3.1.30
S_S2_Ea_076_447	1.2.1.41
S_S2_Ea_076_448	2.7.2.11
S_S2_Ea_076_449	2.7.2.11
S_S2_Ea_076_450	2.2.1.1
S_S2_Ea_076_451	2.2.1.1
S_S2_Ea_076_452	2.2.1.1
S_S2_Ea_076_453	2.2.1.1
S_S2_Ea_076_454	2.2.1.1
S_S2_Ea_076_455	2.2.1.1
S_S2_Ea_076_456	2.2.1.1
S_S2_Ea_076_457	6.3.2.6
S_S2_Ea_076_458	6.3.2.6
S_S2_Ea_076_459	4.2.99.18
S_S2_Ea_076_460	4.2.99.18
S_S2_Ea_076_461	6.3.4.5
S_S2_Ea_076_462	1.8.1.4
S_S2_Ea_076_463	1.8.1.4
S_S2_Ea_076_464	5.3.1.1
S_S2_Ea_076_465	5.3.1.1
S_S2_Ea_076_466	5.3.1.1
S_S2_Ea_076_467	5.3.1.1
S_S2_Ea_076_468	4.1.1.15
S_S2_Ea_076_469	4.1.1.15
S_S2_Ea_076_470	4.1.1.15
S_S2_Ea_076_471	4.3.2.2
S_S2_Ea_076_472	1.1.1.25
S_S2_Ea_076_473	1.1.1.25
S_S2_Ea_076_474	1.17.4.1
S_S2_Ea_076_475	1.17.4.1
S_S2_Ea_076_476	2.7.2.4
S_S2_Ea_076_477	1.1.1.3
S_S2_Ea_076_478	2.1.1.13
S_S2_Ea_076_479	3.4.11.4
S_S2_Ea_076_480	3.4.11.4
S_S2_Ea_076_481	1.1.1.42
S_S2_Ea_076_482	2.7.7.8
S_S2_Ea_076_483	2.4.2.8
S_S2_Ea_076_484	2.4.2.8
S_S2_Ea_076_485	2.3.1.183
S_S2_Ea_076_486	2.3.1.183
S_S2_Ea_076_487	2.7.4.9
S_S2_Ea_076_488	4.2.1.59
S_S2_Ea_076_489	4.2.1.59
S_S2_Ea_076_490	1.1.1.1
S_S2_Ea_076_491	1.1.1.1
S_S2_Ea_076_492	1.1.1.1
S_S2_Ea_076_493	1.1.1.1
S_S2_Ea_076_494	1.1.1.1
S_S2_Ea_076_495	1.1.1.1
S_S2_Ea_076_496	1.1.1.1
S_S2_Ea_076_497	4.2.3.5
S_S2_Ea_076_498	2.5.1.7
S_S2_Ea_076_499	2.5.1.7
S_S2_Ea_076_500	2.7.9.1
S_S2_Ea_076_501	5.3.1.9
S_S2_Ea_076_502	1.5.1.2
S_S2_Ea_076_503	5.4.99.12
S_S2_Ea_076_504	5.4.99.12
S_S2_Ea_076_505	2.7.7.18
S_S2_Ea_076_506	2.7.7.56
S_S2_Ea_076_507	6.3.2.1
S_S2_Ea_076_508	1.1.1.169
S_S2_Ea_076_509	6.3.4.3
S_S2_Ea_076_510	6.3.4.13
S_S2_Ea_076_511	4.1.99.12
S_S2_Ea_076_512	3.5.4.25
S_S2_Ea_076_513	2.5.1.78
S_S2_Ea_076_514	2.1.1.192
S_S2_Ea_076_515	3.2.2.20
S_S2_Ea_076_516	3.2.2.20
S_S2_Ea_076_517	2.3.1.57
S_S2_Ea_076_518	2.3.1.57
S_S2_Ea_076_519	2.1.1.190
S_S2_Ea_076_520	2.1.1.190
S_S2_Ea_076_521	2.5.1.9
S_S2_Ea_076_522	6.1.1.15
S_S2_Ea_076_523	2.1.1.297
S_S2_Ea_076_524	5.1.1.7
S_S2_Ea_076_525	4.3.2.1
S_S2_Ea_076_526	3.1.21.2
S_S2_Ea_076_527	6.1.1.16
S_S2_Ea_076_528	3.4.21.102
S_S2_Ea_076_529	2.6.1.17
S_S2_Ea_076_530	2.6.1.11
S_S2_Ea_076_531	2.7.7.41
S_S2_Ea_076_532	2.3.1.12
S_S2_Ea_076_533	2.3.1.12
S_S2_Ea_076_534	2.1.1.107
S_S2_Ea_076_535	2.1.1.107
S_S2_Ea_076_536	2.7.8.5
S_S2_Ea_076_537	2.7.8.5
S_S2_Ea_076_538	6.5.1.2
S_S2_Ea_076_539	4.2.1.51
S_S2_Ea_076_540	2.3.3.1
S_S2_Ea_076_541	2.1.1.207
S_S2_Ea_076_542	2.5.1.19
S_S2_Ea_076_543	2.7.4.6
S_S2_Ea_076_544	4.1.2.48
S_S2_Ea_076_545	1.1.1.86
S_S2_Ea_076_546	2.6.1.1
S_S2_Ea_076_547	2.5.1.31
S_S2_Ea_076_548	2.7.1.148
S_S2_Ea_076_549	2.7.2.8
S_S2_Ea_076_550	3.5.4.10
S_S2_Ea_076_551	2.1.2.3
S_S2_Ea_076_552	2.7.8.7
S_S2_Ea_076_553	1.15.1.1
S_S2_Ea_076_554	6.1.1.19
S_S2_Ea_076_555	6.3.5.9
S_S2_Ea_076_556	6.3.5.11
S_S2_Ea_076_557	3.6.1.13
S_S2_Ea_076_558	3.6.1.13
S_S2_Ea_076_559	5.99.1.2
S_S2_Ea_076_560	5.99.1.2
S_S2_Ea_076_561	4.2.1.3
S_S2_Ea_076_562	1.5.1.5
S_S2_Ea_076_563	2.1.1.185
S_S2_Ea_076_564	6.1.1.4
S_S2_Ea_076_565	2.5.1.6
S_S2_Ea_076_566	3.4.21.92
S_S2_Ea_076_567	3.4.21.92
S_S2_Ea_076_568	2.3.1.234
S_S2_Ea_076_569	2.3.1.234
S_S2_Ea_076_570	2.5.1.75
S_S2_Ea_076_571	4.99.1.3
S_S2_Ea_076_572	4.99.1.3
S_S2_Ea_076_573	2.4.1.227
S_S2_Ea_076_574	6.3.2.9
S_S2_Ea_076_575	2.7.8.13
S_S2_Ea_076_576	6.3.2.10
S_S2_Ea_076_577	6.3.2.13
S_S2_Ea_076_578	6.3.2.13
S_S2_Ea_076_579	2.1.1.199
S_S2_Ea_076_580	2.8.1.13
S_S2_Ea_076_581	1.1.1.100
S_S2_Ea_076_582	1.1.1.100
S_S2_Ea_076_583	1.1.1.100
S_S2_Ea_076_584	1.1.1.100
S_S2_Ea_076_585	1.1.1.100
S_S2_Ea_076_586	1.1.1.100
S_S2_Ea_076_587	5.1.3.1
S_S2_Ea_076_588	5.1.3.1
S_S2_Ea_076_589	5.1.3.1
S_S2_Ea_076_590	5.1.3.1
S_S2_Ea_076_591	5.1.3.1
S_S2_Ea_076_592	3.5.4.9
S_S2_Ea_076_593	6.3.4.2
S_S2_Ea_076_594	5.4.2.2
S_S2_Ea_076_595	5.4.2.2
S_S2_Ea_076_596	6.1.1.1
S_S2_Ea_076_597	3.5.3.12
S_S2_Ea_076_598	5.4.99.18
S_S2_Ea_076_599	2.4.2.9
S_S2_Ea_076_600	2.4.2.9
S_S2_Ea_076_601	2.1.3.2
S_S2_Ea_076_602	1.3.1.10
S_S2_Ea_076_603	1.3.1.9
S_S2_Ea_076_604	1.3.1.9
S_S2_Ea_076_605	2.5.1.61
S_S2_Ea_076_606	2.5.1.61
S_S2_Ea_076_607	4.2.1.9
S_S2_Ea_076_608	2.4.2.17
S_S2_Ea_076_609	3.4.11.9
S_S2_Ea_076_610	3.4.11.9
S_S2_Ea_076_611	3.4.11.9
S_S2_Ea_076_612	3.4.11.9
S_S2_Ea_076_613	3.5.4.33
S_S2_Ea_076_614	4.2.1.75
S_S2_Ea_076_615	4.2.1.75
S_S2_Ea_076_616	3.6.3.17
S_S2_Ea_076_617	3.6.3.17
S_S2_Ea_076_618	3.2.1.21
S_S2_Ea_076_619	3.2.1.21
S_S2_Ea_076_620	3.2.1.21
S_S2_Ea_076_621	3.2.1.21
S_S2_Ea_076_622	3.2.1.21
S_S2_Ea_076_623	3.2.1.21
S_S2_Ea_076_624	3.2.1.21
S_S2_Ea_076_625	3.2.1.21
S_S2_Ea_076_626	3.2.1.86
S_S2_Ea_076_627	3.2.1.86
S_S2_Ea_076_628	3.2.1.86
S_S2_Ea_076_629	3.2.1.86
S_S2_Ea_076_630	3.2.1.86
S_S2_Ea_076_631	3.2.1.86
S_S2_Ea_076_632	3.2.1.86
S_S2_Ea_076_633	3.2.1.86
S_S2_Ea_076_634	3.2.1.86
S_S2_Ea_076_635	3.2.1.86
S_S2_Ea_076_636	3.2.1.86
S_S2_Ea_076_637	3.2.1.86
S_S2_Ea_076_638	3.2.1.86
S_S2_Ea_076_639	3.2.1.86
S_S2_Ea_076_640	3.2.1.86
S_S2_Ea_076_641	3.2.1.86
S_S2_Ea_076_642	2.8.2.22
S_S2_Ea_076_643	3.1.4.46
S_S2_Ea_076_644	3.1.4.46
S_S2_Ea_076_645	2.7.1.15
S_S2_Ea_076_646	2.7.1.15
S_S2_Ea_076_647	2.7.1.15
S_S2_Ea_076_648	2.7.1.15
S_S2_Ea_076_649	1.12.1.3
S_S2_Ea_076_650	2.7.1.194
S_S2_Ea_076_651	2.7.1.194
S_S2_Ea_076_652	2.7.1.194
S_S2_Ea_076_653	2.7.1.194
S_S2_Ea_076_654	2.7.1.194
S_S2_Ea_076_655	2.7.1.194
S_S2_Ea_076_656	2.7.1.194
S_S2_Ea_076_657	2.7.1.194
S_S2_Ea_076_658	2.7.1.194
S_S2_Ea_076_659	2.7.1.194
S_S2_Ea_076_660	3.6.3.30
S_S2_Ea_076_661	3.6.3.30
S_S2_Ea_076_662	3.6.3.30
S_S2_Ea_076_663	4.4.1.5
S_S2_Ea_076_664	4.4.1.5
S_S2_Ea_076_665	4.4.1.5
