S_NS1_Pm_023_1	1.6.5.3
S_NS1_Pm_023_62	5.2.1.8
S_NS1_Pm_023_63	5.2.1.8
S_NS1_Pm_023_64	5.2.1.8
S_NS1_Pm_023_65	5.2.1.8
S_NS1_Pm_023_66	5.2.1.8
S_NS1_Pm_023_67	2.7.13.3
S_NS1_Pm_023_68	2.7.13.3
S_NS1_Pm_023_69	2.7.13.3
S_NS1_Pm_023_70	2.7.13.3
S_NS1_Pm_023_71	2.7.13.3
S_NS1_Pm_023_72	2.7.13.3
S_NS1_Pm_023_73	3.5.1.28
S_NS1_Pm_023_74	3.5.1.28
S_NS1_Pm_023_75	3.5.1.28
S_NS1_Pm_023_76	3.5.1.28
S_NS1_Pm_023_77	3.2.1.51
S_NS1_Pm_023_78	3.2.1.51
S_NS1_Pm_023_79	3.2.1.51
S_NS1_Pm_023_80	3.2.1.51
S_NS1_Pm_023_81	3.2.1.51
S_NS1_Pm_023_82	3.2.1.51
S_NS1_Pm_023_83	3.2.1.51
S_NS1_Pm_023_84	3.1.3.18
S_NS1_Pm_023_85	3.1.3.18
S_NS1_Pm_023_86	3.6.1.1
S_NS1_Pm_023_87	4.1.3.27
S_NS1_Pm_023_88	4.1.3.27
S_NS1_Pm_023_89	4.1.3.27
S_NS1_Pm_023_90	3.2.1.18
S_NS1_Pm_023_91	3.2.1.18
S_NS1_Pm_023_92	3.2.1.18
S_NS1_Pm_023_93	2.7.11.1
S_NS1_Pm_023_94	2.7.11.1
S_NS1_Pm_023_95	2.7.11.1
S_NS1_Pm_023_96	2.7.11.1
S_NS1_Pm_023_97	3.4.16.4
S_NS1_Pm_023_98	3.4.16.4
S_NS1_Pm_023_99	3.4.16.4
S_NS1_Pm_023_100	3.4.16.4
S_NS1_Pm_023_101	3.1.21.3
S_NS1_Pm_023_102	3.6.4.13
S_NS1_Pm_023_103	3.6.4.13
S_NS1_Pm_023_104	3.6.4.13
S_NS1_Pm_023_105	6.3.5.5
S_NS1_Pm_023_106	6.3.5.5
S_NS1_Pm_023_107	6.3.5.5
S_NS1_Pm_023_108	6.3.5.5
S_NS1_Pm_023_109	3.4.24.70
S_NS1_Pm_023_110	3.1.3.48
S_NS1_Pm_023_111	3.1.3.48
S_NS1_Pm_023_112	2.7.7.6
S_NS1_Pm_023_113	2.7.7.6
S_NS1_Pm_023_114	2.7.7.6
S_NS1_Pm_023_115	2.3.3.13
S_NS1_Pm_023_116	2.1.1.191
S_NS1_Pm_023_117	4.2.1.20
S_NS1_Pm_023_118	4.2.1.20
S_NS1_Pm_023_119	4.2.1.20
S_NS1_Pm_023_120	2.7.1.11
S_NS1_Pm_023_121	2.7.1.11
S_NS1_Pm_023_122	2.7.1.11
S_NS1_Pm_023_123	2.7.1.11
S_NS1_Pm_023_124	3.2.2.27
S_NS1_Pm_023_125	3.2.2.27
S_NS1_Pm_023_126	3.6.3.14
S_NS1_Pm_023_127	3.6.3.14
S_NS1_Pm_023_128	3.6.3.14
S_NS1_Pm_023_129	3.6.1.66
S_NS1_Pm_023_130	3.6.1.66
S_NS1_Pm_023_131	1.17.99.6
S_NS1_Pm_023_132	1.5.1.20
S_NS1_Pm_023_133	6.3.5.3
S_NS1_Pm_023_134	3.1.26.4
S_NS1_Pm_023_135	3.1.26.4
S_NS1_Pm_023_136	3.1.3.16
S_NS1_Pm_023_137	2.7.8.12
S_NS1_Pm_023_138	2.5.1.3
S_NS1_Pm_023_139	2.5.1.3
S_NS1_Pm_023_140	2.3.1.79
S_NS1_Pm_023_141	2.3.1.79
S_NS1_Pm_023_142	3.2.1.35
S_NS1_Pm_023_143	3.2.1.35
S_NS1_Pm_023_144	6.1.1.20
S_NS1_Pm_023_145	6.1.1.20
S_NS1_Pm_023_146	5.4.99.2
S_NS1_Pm_023_147	5.4.99.2
S_NS1_Pm_023_148	5.3.1.12
S_NS1_Pm_023_149	4.1.3.38
S_NS1_Pm_023_150	1.3.5.1
S_NS1_Pm_023_151	1.3.5.1
S_NS1_Pm_023_152	3.6.3.34
S_NS1_Pm_023_153	3.6.3.34
S_NS1_Pm_023_154	2.7.7.13
S_NS1_Pm_023_155	2.7.7.13
S_NS1_Pm_023_156	6.3.2.4
S_NS1_Pm_023_157	6.3.2.4
S_NS1_Pm_023_158	5.99.1.3
S_NS1_Pm_023_159	5.99.1.3
S_NS1_Pm_023_160	4.2.1.33
S_NS1_Pm_023_161	4.2.1.33
S_NS1_Pm_023_162	4.4.1.8
S_NS1_Pm_023_163	4.4.1.8
S_NS1_Pm_023_164	2.7.1.180
S_NS1_Pm_023_165	2.7.1.180
S_NS1_Pm_023_166	2.5.1.49
S_NS1_Pm_023_167	2.5.1.49
S_NS1_Pm_023_168	2.5.1.47
S_NS1_Pm_023_169	2.7.1.49
S_NS1_Pm_023_170	2.7.4.7
S_NS1_Pm_023_171	4.1.99.17
S_NS1_Pm_023_172	4.1.1.3
S_NS1_Pm_023_173	4.1.1.3
S_NS1_Pm_023_174	4.1.1.3
S_NS1_Pm_023_175	4.1.1.3
S_NS1_Pm_023_176	6.3.1.2
S_NS1_Pm_023_177	6.3.1.2
S_NS1_Pm_023_178	6.3.1.2
S_NS1_Pm_023_179	2.7.4.3
S_NS1_Pm_023_180	3.4.21.89
S_NS1_Pm_023_181	3.4.21.89
S_NS1_Pm_023_182	3.4.21.89
S_NS1_Pm_023_183	3.4.21.89
S_NS1_Pm_023_184	3.4.21.89
S_NS1_Pm_023_185	2.8.1.7
S_NS1_Pm_023_186	3.6.3.27
S_NS1_Pm_023_187	2.7.7.4
S_NS1_Pm_023_188	2.7.7.4
S_NS1_Pm_023_189	5.4.99.23
S_NS1_Pm_023_190	5.4.99.23
S_NS1_Pm_023_191	5.4.99.23
S_NS1_Pm_023_192	5.1.3.2
S_NS1_Pm_023_193	5.1.3.2
S_NS1_Pm_023_194	4.2.1.11
S_NS1_Pm_023_195	3.2.1.22
S_NS1_Pm_023_196	1.1.98.6
S_NS1_Pm_023_197	3.6.3.54
S_NS1_Pm_023_198	1.8.4.12
S_NS1_Pm_023_199	1.8.4.11
S_NS1_Pm_023_200	3.5.2.3
S_NS1_Pm_023_201	3.6.1.55
S_NS1_Pm_023_202	2.7.1.2
S_NS1_Pm_023_203	2.7.1.2
S_NS1_Pm_023_204	3.3.1.1
S_NS1_Pm_023_205	4.2.3.4
S_NS1_Pm_023_206	4.2.1.35
S_NS1_Pm_023_207	4.2.1.35
S_NS1_Pm_023_208	3.1.1.53
S_NS1_Pm_023_209	1.3.5.4
S_NS1_Pm_023_210	1.3.5.4
S_NS1_Pm_023_211	3.5.1.88
S_NS1_Pm_023_212	1.97.1.4
S_NS1_Pm_023_213	1.97.1.4
S_NS1_Pm_023_214	1.97.1.4
S_NS1_Pm_023_215	3.2.1.20
S_NS1_Pm_023_216	3.2.1.20
S_NS1_Pm_023_217	3.2.1.20
S_NS1_Pm_023_218	3.2.1.20
S_NS1_Pm_023_219	3.2.1.20
S_NS1_Pm_023_220	5.4.99.22
S_NS1_Pm_023_221	2.7.1.90
S_NS1_Pm_023_222	2.7.1.90
S_NS1_Pm_023_223	2.2.1.6
S_NS1_Pm_023_224	2.2.1.6
S_NS1_Pm_023_225	4.1.1.48
S_NS1_Pm_023_226	5.1.1.1
S_NS1_Pm_023_227	3.1.11.6
S_NS1_Pm_023_228	3.1.11.6
S_NS1_Pm_023_229	1.10.3.14
S_NS1_Pm_023_230	1.10.3.14
S_NS1_Pm_023_231	3.2.1.1
S_NS1_Pm_023_232	3.5.1.2
S_NS1_Pm_023_233	2.1.1.63
S_NS1_Pm_023_234	2.2.1.9
S_NS1_Pm_023_235	6.1.1.10
S_NS1_Pm_023_236	1.1.1.40
S_NS1_Pm_023_237	3.1.21.5
S_NS1_Pm_023_238	1.2.7.3
S_NS1_Pm_023_239	1.2.7.3
S_NS1_Pm_023_240	1.2.7.3
S_NS1_Pm_023_241	1.2.7.3
S_NS1_Pm_023_242	1.2.7.3
S_NS1_Pm_023_243	1.2.7.3
S_NS1_Pm_023_244	4.1.1.44
S_NS1_Pm_023_245	4.1.1.44
S_NS1_Pm_023_246	1.1.1.133
S_NS1_Pm_023_247	1.1.1.133
S_NS1_Pm_023_248	3.5.99.6
S_NS1_Pm_023_249	3.5.99.6
S_NS1_Pm_023_250	2.7.1.51
S_NS1_Pm_023_251	3.2.2.10
S_NS1_Pm_023_252	2.7.1.25
S_NS1_Pm_023_253	2.7.1.25
S_NS1_Pm_023_254	2.4.2.10
S_NS1_Pm_023_255	3.6.1.27
S_NS1_Pm_023_256	3.6.1.27
S_NS1_Pm_023_257	4.1.1.23
S_NS1_Pm_023_258	4.1.1.23
S_NS1_Pm_023_259	6.1.1.12
S_NS1_Pm_023_260	2.3.1.47
S_NS1_Pm_023_261	2.3.1.47
S_NS1_Pm_023_262	1.8.1.9
S_NS1_Pm_023_263	4.3.1.17
S_NS1_Pm_023_264	1.2.1.11
S_NS1_Pm_023_265	2.5.1.29
S_NS1_Pm_023_266	2.5.1.10
S_NS1_Pm_023_267	2.5.1.1
S_NS1_Pm_023_268	2.4.2.19
S_NS1_Pm_023_269	3.1.26.5
S_NS1_Pm_023_270	4.2.1.136
S_NS1_Pm_023_271	1.4.1.14
S_NS1_Pm_023_272	1.4.1.14
S_NS1_Pm_023_273	1.4.1.14
S_NS1_Pm_023_274	1.4.1.13
S_NS1_Pm_023_275	1.4.1.13
S_NS1_Pm_023_276	1.4.1.13
S_NS1_Pm_023_277	4.2.1.47
S_NS1_Pm_023_278	4.2.1.47
S_NS1_Pm_023_279	1.1.1.271
S_NS1_Pm_023_280	1.1.1.271
S_NS1_Pm_023_281	5.3.1.8
S_NS1_Pm_023_282	4.6.1.12
S_NS1_Pm_023_283	3.1.3.25
S_NS1_Pm_023_284	2.1.1.177
S_NS1_Pm_023_285	5.1.99.6
S_NS1_Pm_023_286	2.3.1.39
S_NS1_Pm_023_287	1.11.1.15
S_NS1_Pm_023_288	1.11.1.15
S_NS1_Pm_023_289	1.11.1.15
S_NS1_Pm_023_290	3.4.23.36
S_NS1_Pm_023_291	6.1.1.5
S_NS1_Pm_023_292	3.5.2.6
S_NS1_Pm_023_293	2.7.1.33
S_NS1_Pm_023_294	2.7.1.33
S_NS1_Pm_023_295	2.1.2.9
S_NS1_Pm_023_296	2.7.1.6
S_NS1_Pm_023_297	3.1.11.2
S_NS1_Pm_023_298	3.5.1.25
S_NS1_Pm_023_299	3.5.1.25
S_NS1_Pm_023_300	3.5.1.124
S_NS1_Pm_023_301	2.7.4.1
S_NS1_Pm_023_302	6.3.1.20
S_NS1_Pm_023_303	3.4.11.18
S_NS1_Pm_023_304	3.4.11.18
S_NS1_Pm_023_305	2.3.1.241
S_NS1_Pm_023_306	2.7.1.23
S_NS1_Pm_023_307	3.1.3.5
S_NS1_Pm_023_308	6.3.2.17
S_NS1_Pm_023_309	6.3.2.12
S_NS1_Pm_023_310	2.4.1.182
S_NS1_Pm_023_311	1.4.1.4
S_NS1_Pm_023_312	1.4.1.4
S_NS1_Pm_023_313	2.3.1.54
S_NS1_Pm_023_314	2.3.1.54
S_NS1_Pm_023_315	2.1.1.45
S_NS1_Pm_023_316	5.3.1.24
S_NS1_Pm_023_317	5.3.1.24
S_NS1_Pm_023_318	4.4.1.16
S_NS1_Pm_023_319	5.1.99.1
S_NS1_Pm_023_320	2.1.3.15
S_NS1_Pm_023_321	5.1.3.3
S_NS1_Pm_023_322	5.1.3.3
S_NS1_Pm_023_323	2.7.4.22
S_NS1_Pm_023_324	1.2.1.12
S_NS1_Pm_023_325	2.3.1.179
S_NS1_Pm_023_326	3.2.1.50
S_NS1_Pm_023_327	3.2.1.50
S_NS1_Pm_023_328	2.7.7.60
S_NS1_Pm_023_329	6.1.1.2
S_NS1_Pm_023_330	2.7.1.4
S_NS1_Pm_023_331	2.7.1.4
S_NS1_Pm_023_332	2.7.1.4
S_NS1_Pm_023_333	2.3.1.29
S_NS1_Pm_023_334	2.3.1.29
S_NS1_Pm_023_335	2.3.1.29
S_NS1_Pm_023_336	2.1.1.228
S_NS1_Pm_023_337	1.20.4.1
S_NS1_Pm_023_338	1.20.4.1
S_NS1_Pm_023_339	2.4.1.1
S_NS1_Pm_023_340	2.4.1.1
S_NS1_Pm_023_341	3.6.3.8
S_NS1_Pm_023_342	3.6.3.8
S_NS1_Pm_023_343	2.4.2.18
S_NS1_Pm_023_344	4.2.1.46
S_NS1_Pm_023_345	2.7.7.24
S_NS1_Pm_023_346	6.3.4.15
S_NS1_Pm_023_347	6.4.1.3
S_NS1_Pm_023_348	6.4.1.3
S_NS1_Pm_023_349	6.1.1.21
S_NS1_Pm_023_350	1.1.1.85
S_NS1_Pm_023_351	2.7.2.3
S_NS1_Pm_023_352	2.5.1.15
S_NS1_Pm_023_353	6.3.4.4
S_NS1_Pm_023_354	2.1.2.2
S_NS1_Pm_023_355	2.1.2.2
S_NS1_Pm_023_356	1.5.5.2
S_NS1_Pm_023_357	1.2.1.88
S_NS1_Pm_023_358	3.5.1.42
S_NS1_Pm_023_359	2.7.1.40
S_NS1_Pm_023_360	2.1.2.10
S_NS1_Pm_023_361	1.4.4.2
S_NS1_Pm_023_362	1.17.7.3
S_NS1_Pm_023_363	1.17.7.1
S_NS1_Pm_023_364	2.7.8.8
S_NS1_Pm_023_365	3.1.1.29
S_NS1_Pm_023_366	6.1.1.7
S_NS1_Pm_023_367	2.1.1.182
S_NS1_Pm_023_368	6.3.3.1
S_NS1_Pm_023_369	2.4.2.14
S_NS1_Pm_023_370	2.4.2.14
S_NS1_Pm_023_371	2.4.2.14
S_NS1_Pm_023_372	4.1.1.36
S_NS1_Pm_023_373	6.3.2.5
S_NS1_Pm_023_374	3.1.3.100
S_NS1_Pm_023_375	2.4.99.15
S_NS1_Pm_023_376	2.4.99.14
S_NS1_Pm_023_377	2.4.99.13
S_NS1_Pm_023_378	3.5.1.53
S_NS1_Pm_023_379	3.1.3.15
S_NS1_Pm_023_380	3.1.3.15
S_NS1_Pm_023_381	4.2.3.12
S_NS1_Pm_023_382	2.7.4.8
S_NS1_Pm_023_383	2.3.1.180
S_NS1_Pm_023_384	2.3.1.180
S_NS1_Pm_023_385	1.1.1.267
S_NS1_Pm_023_386	2.7.7.3
S_NS1_Pm_023_387	2.1.1.197
S_NS1_Pm_023_388	2.7.7.39
S_NS1_Pm_023_389	2.5.1.74
S_NS1_Pm_023_390	2.5.1.72
S_NS1_Pm_023_391	3.6.5.4
S_NS1_Pm_023_392	4.1.2.50
S_NS1_Pm_023_393	6.1.1.11
S_NS1_Pm_023_394	4.2.1.2
S_NS1_Pm_023_395	6.2.1.26
S_NS1_Pm_023_396	4.3.3.7
S_NS1_Pm_023_397	4.3.3.7
S_NS1_Pm_023_398	4.3.3.7
S_NS1_Pm_023_399	1.17.1.8
S_NS1_Pm_023_400	2.7.6.3
S_NS1_Pm_023_401	2.7.6.3
S_NS1_Pm_023_402	2.1.2.11
S_NS1_Pm_023_403	6.1.1.3
S_NS1_Pm_023_404	2.4.1.129
S_NS1_Pm_023_405	2.4.1.129
S_NS1_Pm_023_406	2.4.1.129
S_NS1_Pm_023_407	2.3.1.129
S_NS1_Pm_023_408	2.3.1.129
S_NS1_Pm_023_409	2.4.99.12
S_NS1_Pm_023_410	1.1.1.94
S_NS1_Pm_023_411	6.1.1.6
S_NS1_Pm_023_412	6.3.5.2
S_NS1_Pm_023_413	6.3.5.2
S_NS1_Pm_023_414	2.6.1.42
S_NS1_Pm_023_415	4.1.2.13
S_NS1_Pm_023_416	4.1.2.13
S_NS1_Pm_023_417	4.1.2.13
S_NS1_Pm_023_418	4.1.1.20
S_NS1_Pm_023_419	2.4.99.17
S_NS1_Pm_023_420	2.4.99.17
S_NS1_Pm_023_421	4.3.99.3
S_NS1_Pm_023_422	1.1.1.95
S_NS1_Pm_023_423	1.1.1.399
S_NS1_Pm_023_424	6.1.1.22
S_NS1_Pm_023_425	1.1.1.205
S_NS1_Pm_023_426	4.2.1.10
S_NS1_Pm_023_427	1.2.7.1
S_NS1_Pm_023_428	4.1.1.11
S_NS1_Pm_023_429	2.7.7.2
S_NS1_Pm_023_430	2.7.1.26
S_NS1_Pm_023_431	5.4.99.25
S_NS1_Pm_023_432	3.1.3.7
S_NS1_Pm_023_433	3.1.3.7
S_NS1_Pm_023_434	3.1.13.3
S_NS1_Pm_023_435	3.1.22.4
S_NS1_Pm_023_436	6.3.4.19
S_NS1_Pm_023_437	2.3.1.8
S_NS1_Pm_023_438	1.1.1.262
S_NS1_Pm_023_439	4.2.1.19
S_NS1_Pm_023_440	2.7.6.1
S_NS1_Pm_023_441	3.5.4.26
S_NS1_Pm_023_442	1.1.1.193
S_NS1_Pm_023_443	2.7.7.15
S_NS1_Pm_023_444	4.3.1.12
S_NS1_Pm_023_445	4.1.1.81
S_NS1_Pm_023_446	2.6.1.9
S_NS1_Pm_023_447	2.4.1.18
S_NS1_Pm_023_448	6.3.3.2
S_NS1_Pm_023_449	6.1.1.14
S_NS1_Pm_023_450	1.1.1.22
S_NS1_Pm_023_451	1.1.1.22
S_NS1_Pm_023_452	1.1.1.37
S_NS1_Pm_023_453	1.1.1.37
S_NS1_Pm_023_454	1.2.1.38
S_NS1_Pm_023_455	5.3.1.16
S_NS1_Pm_023_456	2.1.1.193
S_NS1_Pm_023_457	1.5.1.3
S_NS1_Pm_023_458	2.7.1.71
S_NS1_Pm_023_459	2.3.1.51
S_NS1_Pm_023_460	3.1.26.3
S_NS1_Pm_023_461	2.1.1.198
S_NS1_Pm_023_462	2.1.1.198
S_NS1_Pm_023_463	3.5.4.19
S_NS1_Pm_023_464	1.16.3.2
S_NS1_Pm_023_465	1.16.3.2
S_NS1_Pm_023_466	1.16.3.2
S_NS1_Pm_023_467	6.3.5.1
S_NS1_Pm_023_468	1.1.1.23
S_NS1_Pm_023_469	2.7.7.87
S_NS1_Pm_023_470	2.4.2.29
S_NS1_Pm_023_471	2.1.1.33
S_NS1_Pm_023_472	6.1.1.9
S_NS1_Pm_023_473	5.4.2.12
S_NS1_Pm_023_474	5.4.2.12
S_NS1_Pm_023_475	5.4.2.12
S_NS1_Pm_023_476	2.2.1.7
S_NS1_Pm_023_477	2.3.1.28
S_NS1_Pm_023_478	2.3.1.28
S_NS1_Pm_023_479	2.3.1.28
S_NS1_Pm_023_480	1.3.1.12
S_NS1_Pm_023_481	3.5.4.12
S_NS1_Pm_023_482	4.1.3.36
S_NS1_Pm_023_483	2.7.4.25
S_NS1_Pm_023_484	2.7.4.16
S_NS1_Pm_023_485	1.4.1.16
S_NS1_Pm_023_486	6.3.5.10
S_NS1_Pm_023_487	2.7.8.26
S_NS1_Pm_023_488	5.3.1.13
S_NS1_Pm_023_489	2.4.2.21
S_NS1_Pm_023_490	6.3.1.10
S_NS1_Pm_023_491	2.3.1.30
S_NS1_Pm_023_492	2.3.1.30
S_NS1_Pm_023_493	2.3.1.30
S_NS1_Pm_023_494	1.2.1.41
S_NS1_Pm_023_495	2.7.2.11
S_NS1_Pm_023_496	2.2.1.1
S_NS1_Pm_023_497	6.3.2.6
S_NS1_Pm_023_498	3.5.4.28
S_NS1_Pm_023_499	4.2.99.18
S_NS1_Pm_023_500	3.5.4.31
S_NS1_Pm_023_501	6.3.4.5
S_NS1_Pm_023_502	1.8.1.4
S_NS1_Pm_023_503	1.8.1.4
S_NS1_Pm_023_504	5.3.1.1
S_NS1_Pm_023_505	2.3.1.61
S_NS1_Pm_023_506	2.7.1.130
S_NS1_Pm_023_507	4.1.1.15
S_NS1_Pm_023_508	2.1.1.37
S_NS1_Pm_023_509	4.3.2.2
S_NS1_Pm_023_510	1.1.1.25
S_NS1_Pm_023_511	1.17.4.1
S_NS1_Pm_023_512	1.8.1.8
S_NS1_Pm_023_513	2.7.2.4
S_NS1_Pm_023_514	2.7.2.4
S_NS1_Pm_023_515	2.7.2.4
S_NS1_Pm_023_516	1.1.1.3
S_NS1_Pm_023_517	2.1.1.13
S_NS1_Pm_023_518	2.6.1.85
S_NS1_Pm_023_519	2.6.1.85
S_NS1_Pm_023_520	5.4.4.2
S_NS1_Pm_023_521	5.1.3.8
S_NS1_Pm_023_522	4.1.3.3
S_NS1_Pm_023_523	4.1.3.3
S_NS1_Pm_023_524	3.4.11.4
S_NS1_Pm_023_525	1.1.1.42
S_NS1_Pm_023_526	2.7.7.8
S_NS1_Pm_023_527	2.4.2.8
S_NS1_Pm_023_528	2.3.1.183
S_NS1_Pm_023_529	6.3.4.20
S_NS1_Pm_023_530	4.2.1.59
S_NS1_Pm_023_531	3.5.1.108
S_NS1_Pm_023_532	1.7.1.13
S_NS1_Pm_023_533	6.1.1.17
S_NS1_Pm_023_534	4.2.3.5
S_NS1_Pm_023_535	2.5.1.7
S_NS1_Pm_023_536	2.7.9.1
S_NS1_Pm_023_537	5.3.1.9
S_NS1_Pm_023_538	1.5.1.2
S_NS1_Pm_023_539	3.1.5.1
S_NS1_Pm_023_540	5.4.99.12
S_NS1_Pm_023_541	2.7.7.18
S_NS1_Pm_023_542	6.3.3.3
S_NS1_Pm_023_543	6.3.2.1
S_NS1_Pm_023_544	2.3.1.191
S_NS1_Pm_023_545	1.1.1.169
S_NS1_Pm_023_546	6.3.4.3
S_NS1_Pm_023_547	6.3.4.13
S_NS1_Pm_023_548	6.1.1.18
S_NS1_Pm_023_549	4.1.99.12
S_NS1_Pm_023_550	3.5.4.25
S_NS1_Pm_023_551	2.5.1.78
S_NS1_Pm_023_552	2.1.1.192
S_NS1_Pm_023_553	3.2.2.20
S_NS1_Pm_023_554	2.3.1.57
S_NS1_Pm_023_555	2.6.1.62
S_NS1_Pm_023_556	2.8.1.6
S_NS1_Pm_023_557	2.1.1.190
S_NS1_Pm_023_558	2.5.1.9
S_NS1_Pm_023_559	6.1.1.15
S_NS1_Pm_023_560	2.1.1.297
S_NS1_Pm_023_561	5.1.1.7
S_NS1_Pm_023_562	2.1.1.201
S_NS1_Pm_023_563	2.1.1.163
S_NS1_Pm_023_564	4.3.2.1
S_NS1_Pm_023_565	2.4.1.25
S_NS1_Pm_023_566	3.1.21.2
S_NS1_Pm_023_567	2.8.4.3
S_NS1_Pm_023_568	2.8.4.4
S_NS1_Pm_023_569	6.1.1.16
S_NS1_Pm_023_570	3.4.21.102
S_NS1_Pm_023_571	3.4.21.102
S_NS1_Pm_023_572	3.4.21.102
S_NS1_Pm_023_573	3.1.3.1
S_NS1_Pm_023_574	3.1.3.1
S_NS1_Pm_023_575	2.6.1.17
S_NS1_Pm_023_576	2.6.1.11
S_NS1_Pm_023_577	2.7.7.41
S_NS1_Pm_023_578	3.1.4.55
S_NS1_Pm_023_579	2.7.7.19
S_NS1_Pm_023_580	2.6.1.66
S_NS1_Pm_023_581	2.7.8.5
S_NS1_Pm_023_582	6.5.1.2
S_NS1_Pm_023_583	4.2.1.51
S_NS1_Pm_023_584	2.3.3.1
S_NS1_Pm_023_585	2.5.1.19
S_NS1_Pm_023_586	4.1.2.48
S_NS1_Pm_023_587	1.1.1.86
S_NS1_Pm_023_588	2.6.1.1
S_NS1_Pm_023_589	2.6.1.1
S_NS1_Pm_023_590	2.5.1.31
S_NS1_Pm_023_591	2.7.1.148
S_NS1_Pm_023_592	2.7.2.8
S_NS1_Pm_023_593	3.5.4.10
S_NS1_Pm_023_594	3.5.4.10
S_NS1_Pm_023_595	2.1.2.3
S_NS1_Pm_023_596	2.1.2.3
S_NS1_Pm_023_597	2.6.99.2
S_NS1_Pm_023_598	1.15.1.1
S_NS1_Pm_023_599	6.1.1.19
S_NS1_Pm_023_600	6.3.5.9
S_NS1_Pm_023_601	6.3.5.11
S_NS1_Pm_023_602	3.6.1.13
S_NS1_Pm_023_603	2.5.1.90
S_NS1_Pm_023_604	5.4.99.5
S_NS1_Pm_023_605	5.99.1.2
S_NS1_Pm_023_606	5.99.1.2
S_NS1_Pm_023_607	5.99.1.2
S_NS1_Pm_023_608	5.99.1.2
S_NS1_Pm_023_609	4.2.1.3
S_NS1_Pm_023_610	1.5.1.5
S_NS1_Pm_023_611	2.1.1.185
S_NS1_Pm_023_612	6.1.1.4
S_NS1_Pm_023_613	2.5.1.6
S_NS1_Pm_023_614	3.4.21.92
S_NS1_Pm_023_615	2.3.1.234
S_NS1_Pm_023_616	2.5.1.75
S_NS1_Pm_023_617	2.5.1.75
S_NS1_Pm_023_618	6.3.2.45
S_NS1_Pm_023_619	2.5.1.55
S_NS1_Pm_023_620	4.1.1.96
S_NS1_Pm_023_621	4.1.1.19
S_NS1_Pm_023_622	2.3.1.181
S_NS1_Pm_023_623	2.7.1.156
S_NS1_Pm_023_624	2.7.7.62
S_NS1_Pm_023_625	2.4.1.227
S_NS1_Pm_023_626	6.3.2.9
S_NS1_Pm_023_627	2.7.8.13
S_NS1_Pm_023_628	6.3.2.10
S_NS1_Pm_023_629	6.3.2.10
S_NS1_Pm_023_630	6.3.2.13
S_NS1_Pm_023_631	2.1.1.199
S_NS1_Pm_023_632	2.8.1.13
S_NS1_Pm_023_633	1.1.1.100
S_NS1_Pm_023_634	1.1.1.100
S_NS1_Pm_023_635	1.4.3.16
