pathway	plate1_1136R_RL_F_S5_week10_S58_	plate1_1136R_R_F_S5_week10_S57_L	plate1_2518R_L_M_S5_week10_S61_L	plate1_2518R_R_M_S5_week10_S62_L	plate1_3752R_0_F_S5_week10_S59_L	plate1_3752R_L_F_S5_week10_S60_L	plate1_3893R_RL_M_S5_week10_S64_	plate1_3893R_R_M_S5_week10_S63_L	plate1_T1D_S5_defined_mouse_inoc	plate2_096R_0_M_S5_week9_S74_L00	plate2_1060R_L_M_S5_week9_S75_L0	plate2_1076R_0_M_S5_week9_S76_L0	plate2_1136R_0_F_S5_week9_S69_L0	plate2_2402R_0_F_S5_week9_S70_L0	plate2_2433R_0_F_S5_week9_S71_L0	plate2_2475R_0_M_S5_week9_S77_L0	plate2_2518R_0_M_S5_week9_S78_L0	plate2_3924R_L_F_S5_week9_S72_L0	plate2_3929R_0_F_S5_week9_S73_L0	plate3_096R_0_M_S5_week5_S4_L001	plate3_2402R_R_F_S5_Pellet_week9	plate3_2475R_RL_M_S5_Pellet_week	plate3_S5_defined_inocula_S87_L0	plate4_1060R_L_M_S5_week5_S12_L0	plate4_1076R_0_M_S5_week5_S13_L0	plate4_1136R_0_F_S5_week5_S14_L0	plate4_2402R_0_F_S5_week5_S15_L0	plate4_2402R_R_F_S5_week5_S16_L0	plate4_2475R_RL_M_S5_week5_S19_L	plate4_2518R_0_M_S5_week5_S20_L0	plate4_3924R_L_F_S5_week5_S21_L0	plate4_3929R_0_F_S5_week5_S22_L0	plate4_S5_defined_inocula_S87_L0
DTDPRHAMSYN-PWY	25062.888773109244	25784.32789304814	28682.37486936593	25870.288959511083	25788.261428571433	23740.47526814362	24242.60555080214	28330.67751260504	19705.46312299465	30622.838864782283	29410.904536287242	23321.588844919796	42748.02228877006	31132.20209625669	33925.093446906045	32315.706056531708	28697.190872421696	32528.07436822002	30927.515194805193	14643.478093200914	16408.828754774637	18869.03722077922	31699.193905271193	18580.087327731097	20863.73082200153	16630.203038961037	18907.161802902978	16992.454256684494	30297.045779984725	20283.093934300996	23454.85130328495	27586.75278991597	19614.602721161194
ECASYN-PWY	170.66785714285712	155.50714285714284	142.81071428571428	167.14285714285714	415.8642857142857	135.76071428571427	210.0	124.13571428571429	2016.5785714285714	320.5071428571428	219.49285714285716	785.6678571428571	151.53214285714287	745.8642857142856	187.35000000000002	137.14285714285714	94.89642857142856	173.11071428571427	136.68214285714285	278.26071428571424	218.57142857142856	436.99285714285713	3766.2214285714285	510.3107142857143	442.65	105.31071428571428	101.63571428571429	464.5392857142857	741.1178571428571	164.2392857142857	121.07142857142857	372.70714285714286	2471.635714285714
ENTBACSYN-PWY	171.81842696629215	156.55550561797753	143.77348314606743	168.26966292134836	418.6678651685394	136.6759550561798	211.41573033707868	124.97258426966295	2030.1734831460678	322.6678651685394	220.97258426966297	790.9644943820226	152.55370786516858	750.8925842696631	188.6130337078652	138.0674157303371	95.53617977528091	174.2777528089888	137.603595505618	280.13662921348316	220.04494382022474	439.93887640449447	3791.611685393259	513.7510112359552	445.63415730337084	106.02067415730339	102.32089887640451	467.6710112359551	746.1141573033709	165.3465168539326	121.88764044943822	375.21977528089894	2488.298426966293
FAO-PWY	318.58	290.28	266.58	312.0	776.28	253.42	392.0	231.72	3764.28	598.28	409.72	1466.58	282.86	1392.28	349.72	256.0	177.14	323.14	255.14	519.42	408.0	815.72	7030.28	952.58	826.28	196.58	189.72	867.14	1383.42	306.58	226.0	695.72	4613.72
FASYN-ELONG-PWY	20588.62610387985	20887.673395721926	23570.104149732626	20620.363433155086	20441.976941176472	17813.518275457962	19155.615876664015	22729.49671498465	13532.18734873137	23705.911213903746	25378.5281886449	19079.0574489703	31246.462927864373	25075.17613687565	27112.581994766188	24806.924889179656	22843.88237364889	25441.407140630334	22764.15825588805	9214.05416657185	10803.103089202416	12162.349139037433	19096.60974729776	15746.67443315508	15730.333973262033	12838.495414040275	16539.886545454545	13359.057641711232	22808.07611229947	15983.602278074866	17908.122625668453	21787.163647058827	12223.348197860963
FASYN-INITIAL-PWY	207.7695652173913	189.31304347826085	173.85652173913041	203.47826086956522	506.2695652173913	165.27391304347825	255.65217391304347	151.12173913043478	2454.9652173913046	390.18260869565216	267.20869565217396	956.4652173913043	184.47391304347826	908.0086956521739	228.07826086956524	166.95652173913044	115.52608695652174	210.74347826086955	166.39565217391305	338.75217391304346	266.0869565217391	531.9913043478261	4584.965217391305	621.2478260869566	538.8782608695652	128.20434782608697	123.7304347826087	565.5260869565218	902.2304347826088	199.94347826086957	147.3913043478261	453.7304347826087	3008.947826086957
FERMENTATION-PWY	318.6955308401477	293.4715890094457	288.4337662808345	300.5350148367953	709.2090379867262	261.81899381611436	371.57686048882147	255.57418669445266	3605.564583776928	562.9882062201282	438.7083009037988	1306.4383976261126	269.63198813056385	1243.6309746981676	347.5598174281379	292.3040129567128	207.06602894873944	314.9340308514735	269.69379029152606	503.36839015108615	391.00953496273814	760.2136752214195	7001.096016490362	897.191707250776	757.1255731986319	213.56600629714367	239.00559177294042	836.1092377738012	1275.393575101366	316.4803379618094	271.17519106621063	755.5785403311666	4523.7387097651035
FOLSYN-PWY	4977.04875	5219.354779411764	6011.511617647057	5589.691544117645	5517.886102941176	4747.509705882352	5397.559632352941	5572.747058823528	4564.340073529412	4862.544044117647	6901.300367647057	5476.56419117647	12304.15963235294	6624.042132352941	8183.578676470587	6850.34713235294	6578.05125	7611.8113235294095	4687.197573529412	1952.0894117647053	1974.3862499999998	2194.362352941176	6646.034338235294	4566.844411764705	5509.946470588235	4361.056102941176	3048.1537499999995	3883.1150735294113	7521.478014705881	4420.219411764705	4973.393161764706	8156.205220588233	5023.162279411765
FUC-RHAMCAT-PWY	2228.6245524976875	2594.027230777602	2310.807825746858	2437.975360504979	2394.371689543995	2596.942080070595	2546.7936930873298	2764.107430125409	3906.8664114806816	2996.9145637889756	2237.316619095383	2685.7778521053624	4847.644808416406	3283.860915256279	2844.3558676025973	3208.655729565523	2442.754946977731	2970.3008982645993	3283.7315624813364	2729.3604740781493	2649.585643374473	3413.7364374625895	7956.750958989696	1950.3111869456386	2321.83676205311	1522.3513667850323	1329.218648242368	2288.4103398949774	2976.045175287044	1955.6189806551668	2535.306118721772	3159.495017140992	4186.32809814296
FUCCAT-PWY	9791.757272727273	10361.56857142857	10184.172857142856	8859.908571428572	9624.954285714284	8215.527272727271	8052.428571428572	10638.516233766233	4831.941688311688	12652.015714285715	11561.0887012987	9361.566883116884	9863.966493506494	14667.367272727275	11210.826623376624	11312.39961038961	9183.8487012987	11223.58194805195	13676.079220779224	7831.095714285714	8619.213116883117	10546.937142857141	10176.101688311686	8143.41	6857.062857142857	5104.712727272727	10102.011428571428	7576.821428571428	10584.83857142857	7981.087142857143	9085.895714285714	8152.874285714286	5124.412467532467
GALACT-GLUCUROCAT-PWY	3623.706465846547	4345.27109451648	3795.764075568254	3910.3082517998387	3900.627445970251	4187.531848970412	4149.934205754544	4486.2995585063845	7458.997435837917	4953.676428385472	4215.744874226728	4045.7810827625276	7977.958239663158	5101.431676587293	4658.820102681583	5390.939000975164	4017.863329155486	4795.388886020964	5301.603436804698	4337.835882770316	4255.149848527294	5362.8309519258455	15616.770820732345	3133.0847721078007	3510.4752289586895	2430.901247353003	2343.382945896744	3745.8881950943996	4714.79646162727	3126.687342336602	3944.843960468041	5213.416474540074	8279.958855659279
GALACTARDEG-PWY	699.4808602150538	579.7533333333332	495.2433333333333	560.1999999999999	1025.1466666666665	558.3209384164222	760.2545845552297	589.3530498533723	6072.5851612903225	1011.9930303030303	769.016989247312	2024.5231378299118	831.5481720430107	1768.3907135874879	636.6370967741937	663.6309384164223	440.12591397849457	650.1519745845552	721.5787096774193	797.6372043010753	741.589247311828	1087.9866666666667	12115.757829912021	1204.0148484848485	1232.6733333333332	394.6884946236559	382.4790909090909	1174.8645454545456	1667.2993939393941	572.4842424242424	388.04848484848486	1265.7624242424245	6788.00623655914
GALACTUROCAT-PWY	7654.7996456683395	8909.26700290048	8703.388412143415	8537.205069326808	7629.790263118523	7693.43078766644	8461.78062251758	9189.232961491003	8325.27503243938	8104.3381203257295	9906.825720961808	7905.310503739418	17518.454677930764	9944.365402085836	11001.379281419064	10712.005145265362	9200.132125193648	10663.5861636029	8432.734352362611	5705.7506534528275	5544.85653661958	6937.216711066711	15877.577688478996	6699.907801224541	7409.236709329318	6041.825034458295	4961.596705701705	6764.466251630817	9683.897392156954	6829.629655127482	8302.283008215618	12054.390204964116	9039.224441404007
GLCMANNANAUT-PWY	4355.220758046302	4523.381027667984	4704.022388481085	4750.028246753247	5063.996266233767	5378.426336815358	4880.047673630717	5177.024950592885	7890.7407396950875	6101.304082439299	3980.772984189723	4801.30793619424	10628.848397797856	5915.911225296443	6279.965676171654	6485.261098249576	5283.492348955392	6462.319313946923	6945.112845849802	4556.847720214568	4686.770892151327	5438.574654150198	15418.447236024846	3153.1966713721063	4956.678430265387	3212.6953204404294	2231.590228684359	3626.297226143422	6383.378550254093	3763.0325127046863	4722.9619141727835	5726.599851778656	8271.443551665727
GLUCARDEG-PWY	690.518431372549	579.7533333333332	495.2433333333333	560.1999999999999	1025.1466666666665	549.6564705882353	749.8656582633054	580.1984033613445	5855.166890756302	1011.1109523809524	762.144817927171	2002.191344537815	819.2521568627451	1761.0621288515408	631.3088235294118	658.3547058823528	433.56803921568627	639.3916246498599	706.2223529411765	793.7298039215686	732.4700280112046	1087.9866666666667	11662.463361344537	1202.6652380952382	1232.6733333333332	393.431568627451	378.53000000000003	1172.8385714285714	1665.7409523809526	569.5761904761905	385.8666666666667	1258.2819047619048	6606.636694677871
GLUCARGALACTSUPER-PWY	699.4808602150538	579.7533333333332	495.2433333333333	560.1999999999999	1025.1466666666665	558.3209384164222	760.2545845552297	589.3530498533723	6072.5851612903225	1011.9930303030303	769.016989247312	2024.5231378299118	831.5481720430107	1768.3907135874879	636.6370967741937	663.6309384164223	440.12591397849457	650.1519745845552	721.5787096774193	797.6372043010753	741.589247311828	1087.9866666666667	12115.757829912021	1204.0148484848485	1232.6733333333332	394.6884946236559	382.4790909090909	1174.8645454545456	1667.2993939393941	572.4842424242424	388.04848484848486	1265.7624242424245	6788.00623655914
GLUCONEO-PWY	10393.88454308729	10826.241716199129	12263.549697723158	11627.545384677996	10775.75957782313	10631.711756122286	11129.939918270396	12306.758405879027	12215.177717558281	12353.612946995716	11642.318443707827	10327.578129136466	21908.843233438332	12153.0171296571	14827.636518874328	14187.98844285111	12902.287371638067	14266.06439847028	12436.533704121033	6150.102935926532	6597.747614362833	7835.067823450358	20375.346519560433	7361.044132071995	9718.18401703712	7935.320379387087	6000.556691097608	7028.7764424342095	13792.205709919801	8638.673013288266	10452.042432246028	13361.876685596757	12162.138338795752
GLUCOSE1PMETAB-PWY	21024.359111111113	21025.061333333335	23888.497523809525	21116.6626984127	22183.67307936508	19105.579142857147	19782.619841269847	23099.407238095235	19210.995142857148	25596.561968253973	24877.800412698416	20708.540857142852	33992.78488888889	27419.079428571433	28124.210412698416	25585.919682539683	23510.473682539676	26874.799079365082	25159.487015873026	10957.82565079365	12509.780317460318	14253.91707936508	30528.498634920637	16463.553873015873	18144.43053968254	13458.390380952382	16425.88707936508	14217.825904761905	25848.43707936508	16539.185142857143	18724.37507936508	22788.195015873014	19691.302634920634
GLUCUROCAT-PWY	3622.7782604904355	4341.695300721583	3777.6812177081747	3888.7552847966194	3899.070137768336	4152.410918049382	4145.347688820423	4475.456750126594	7639.470832495035	4989.345323113518	4282.816390861488	4070.7299759613848	7908.094026076751	5091.941773955198	4628.45171538727	5406.414290718546	3997.224615034835	4748.405280960995	5255.194907764969	4318.195251736647	4229.259581207007	5330.121121677163	16037.527758494398	3167.212623846949	3537.4091655607667	2413.5856048245514	2374.6691373681756	3785.93325235367	4696.82911432103	3116.330864912107	3879.6981710723144	5298.4917565916285	8544.223338622629
GLUTORN-PWY	17247.205843721495	17812.230716192018	19161.931900273645	17012.153233336714	17179.372230667883	15217.263691767168	15498.165737306173	19099.557847032196	11717.888343299215	21360.662856660256	20054.945180906056	16195.25168203777	23401.48684267423	22773.877540961454	21668.484741056043	21075.054369446978	18201.279721631035	20938.805205905206	21923.70322691802	10912.844050538833	12291.602293841424	14689.42506097767	20307.129877031188	13190.252157021723	13202.888472348906	10596.637451775277	14801.823419479071	11985.216351812442	20023.831864126212	14079.326240329718	15984.779485828183	16704.560342555997	12187.419590216547
GLYCOCAT-PWY	18689.11439938246	19482.789340767078	21112.35962349119	18904.62705216549	18743.042815393972	16756.751405206945	17202.90079016685	20961.84978765574	11684.711415144035	22984.71038461339	22027.203719681234	17240.32994783296	27652.620026333378	24442.686528683396	24124.47063724647	23229.488336040402	20380.601456651286	23325.355682376812	23518.57543695579	11485.253510470808	12884.003764810464	15429.540885341532	19220.353054942396	14173.202559415127	14838.736041623855	12083.82761821406	15603.153762024696	12821.115945167783	22310.60971758271	15403.62015638984	17720.796560569255	19219.106941891852	12341.805129222248
GLYCOGENSYNTH-PWY	3518.1864743589736	3847.1682356532356	3727.2543467643463	4032.5407814407818	3543.1185103785106	3788.8603205128206	3827.1217643467644	4220.498766788766	6588.768632478633	4612.342686202687	3301.1409523809525	4634.64496031746	6595.862310744811	4936.297554945056	4606.881718559219	5514.619093406594	3921.4971978021977	4595.311269841271	5145.262704517704	4048.1133882783893	4073.333485958486	5392.559297924297	14017.35082112332	2800.1919841269832	3667.4076587301583	2970.651065323566	1865.8437301587303	3414.4487698412695	5707.66521978022	3583.924523809523	4079.1215048840045	4715.032512210012	7512.191654456656
GLYCOL-GLYOXDEG-PWY	182.04571428571427	165.8742857142857	152.33142857142855	178.28571428571428	443.5885714285714	144.81142857142856	224.0	132.41142857142856	2151.017142857143	341.8742857142857	234.12571428571428	838.0457142857142	161.6342857142857	795.5885714285714	199.84	146.28571428571428	101.22285714285712	184.65142857142854	145.7942857142857	296.8114285714285	233.14285714285714	466.12571428571425	4017.3028571428567	544.3314285714285	472.15999999999997	112.33142857142857	108.41142857142856	495.5085714285714	790.5257142857142	175.1885714285714	129.14285714285714	397.5542857142857	2636.4114285714286
GLYCOLYSIS	8650.224411137728	9302.209043027038	10155.574633012924	9869.488866495922	9139.209340928477	8878.626763974662	9441.76784375927	10183.8971672512	8762.862942268732	9523.40065260503	10511.236384684344	9264.201859953628	20342.29845139496	11281.765209901132	13359.167752198256	12529.808655875258	11132.452484070182	12872.76551461404	10235.868695903087	5668.975161356379	5782.5440884181735	7006.194534555952	15430.631736434776	6974.237365038705	9060.226800292185	7522.9788640982415	5069.4562789573665	6731.6190957456	12966.778885405456	7967.775149992895	9444.473599196455	12914.01808713245	9335.096200737109
GLYCOLYSIS-E-D	203.68229508196723	185.58885245901638	170.43639344262294	199.47540983606558	496.31016393442627	162.02262295081968	250.62295081967216	148.1488524590164	2406.6708196721315	382.50688524590163	261.952131147541	937.6495081967213	180.8449180327869	890.1462295081967	223.5914754098361	163.672131147541	113.25344262295081	206.5977049180328	163.12229508196722	332.0881967213115	260.8524590163935	521.5259016393443	4494.769180327869	609.0265573770492	528.2773770491804	125.68229508196723	121.29639344262296	554.4009836065574	884.4816393442624	196.01016393442623	144.49180327868854	444.80459016393445	2949.755409836066
