pathway	plate1_1136R_R_F_S5_week10_S57_L	plate1_1136R_RL_F_S5_week10_S58_	plate1_2518R_L_M_S5_week10_S61_L	plate1_2518R_R_M_S5_week10_S62_L	plate1_3752R_0_F_S5_week10_S59_L	plate1_3752R_L_F_S5_week10_S60_L	plate1_3893R_R_M_S5_week10_S63_L	plate1_3893R_RL_M_S5_week10_S64_	plate1_T1D_S5_defined_mouse_inoc	plate2_096R_0_M_S5_week9_S74_L00	plate2_1060R_L_M_S5_week9_S75_L0	plate2_1076R_0_M_S5_week9_S76_L0	plate2_1136R_0_F_S5_week9_S69_L0	plate2_2402R_0_F_S5_week9_S70_L0	plate2_2433R_0_F_S5_week9_S71_L0	plate2_2475R_0_M_S5_week9_S77_L0	plate2_2518R_0_M_S5_week9_S78_L0	plate2_3924R_L_F_S5_week9_S72_L0	plate2_3929R_0_F_S5_week9_S73_L0	plate3_096R_0_M_S5_week5_S4_L001	plate3_2402R_R_F_S5_Pellet_week9	plate3_2475R_RL_M_S5_Pellet_week	plate3_S5_defined_inocula_S87_L0	plate4_1060R_L_M_S5_week5_S12_L0	plate4_1076R_0_M_S5_week5_S13_L0	plate4_1136R_0_F_S5_week5_S14_L0	plate4_2402R_0_F_S5_week5_S15_L0	plate4_2402R_R_F_S5_week5_S16_L0	plate4_2475R_RL_M_S5_week5_S19_L	plate4_2518R_0_M_S5_week5_S20_L0	plate4_3924R_L_F_S5_week5_S21_L0	plate4_3929R_0_F_S5_week5_S22_L0	plate4_S5_defined_inocula_S87_L0
ASPASN-PWY	9827.2911098946	9187.334633600976	10774.056613954834	10234.58276968108	9603.274938404353	9052.571777833746	10598.084180314603	9781.708692745262	10942.653395926778	10321.882922519075	11386.521798009757	9733.462982406158	20076.65709940267	11812.539016563329	13732.875839326596	12789.91894973491	11403.17575834754	13095.588387128144	10275.755732020918	5488.736004611144	5666.524427485305	6814.368665854896	17798.119159065103	7524.00710498895	9175.041534722308	7530.931435757512	5601.7945195982	7101.156022939719	13036.856878431101	8203.238587205253	9485.309013994854	13224.531178637437	10967.931274967932
AST-PWY	161.26666666666668	176.98888888888888	148.1	173.33333333333337	431.2666666666666	140.7888888888889	128.73333333333332	217.7777777777778	2091.266666666667	332.37777777777774	227.62222222222223	814.7666666666667	157.14444444444445	773.4888888888889	194.2888888888889	142.22222222222223	98.4111111111111	179.5222222222222	141.74444444444444	288.56666666666666	226.66666666666666	453.17777777777775	3905.7111111111117	529.2111111111111	459.0444444444444	109.21111111111111	105.40000000000002	481.7444444444444	768.5666666666666	170.3222222222222	125.55555555555556	386.5111111111112	2563.177777777778
BIOTIN-BIOSYNTHESIS-PWY	18394.61992177111	17632.249576457452	20173.43961990531	17857.97408952291	17646.815221453915	15314.878690666652	19604.892674908213	16522.505787532053	9236.135175330677	19934.711222746915	22413.543883364186	16597.0528398869	28069.025408554262	21650.994069881453	23744.725848786195	21801.37889699644	19785.699765989964	22447.62585570234	18802.8152254273	6477.0440027107	7714.1720355569805	8656.9726899586	13641.371907819455	13979.941696898395	14059.683856795456	11672.508044813469	13744.711015988236	11929.575219551321	20675.325583774913	14233.790144495686	16165.788880929986	19833.121411056447	9690.73373809375
BRANCHED-CHAIN-AA-SYN-PWY	21285.2754204238	20514.108121093017	22783.082511103003	20442.82202355697	20461.057168265088	18513.557119993126	22859.18749723418	18685.97247936403	13532.664461581353	25348.616268380876	23427.987338374085	19210.082459074594	29145.932975044914	26983.329657744554	26072.120547968803	25446.23679013507	21873.329031248973	25325.27216971768	26448.177960049106	13457.27973062734	15048.504504959568	17932.455371569053	23754.079423435443	15512.860548210203	16068.036385240192	12894.579177111971	17049.327695496773	14356.976256323967	24033.425892741583	16944.293032845315	19427.27100721377	20321.432731046705	14063.363991463899
CALVIN-PWY	17916.80645759206	16977.70567644971	18899.735144816692	17848.205774812923	17320.377929493923	16184.753759200223	19216.82894094249	17026.730697332914	18729.606717208055	19834.641144863323	20326.359762741482	18056.9036120002	30080.691915198007	22339.719403623538	23284.52932517528	23172.422173011935	19327.75096615307	22342.28363013493	20488.726942493333	11803.071351763283	12434.20912842591	15034.980557803005	35644.53629830841	13852.511243282283	15323.256919175687	12298.766555917784	11665.661080220625	13547.406385157748	22430.163480511346	14910.135980737374	16679.97483350875	21155.80180531247	19944.909332620005
CENTFERM-PWY	919.5474444710455	992.6793006592222	851.0375852174434	982.0027788781009	2062.974901533424	810.1769099518938	753.3371394318458	1199.0383933738099	6150.896250223428	1754.4017059619505	1225.8428144166708	3271.231444223777	936.8730767372975	3328.561933928141	1104.9140526569072	833.9876692930031	583.3040688828991	1029.0997585435016	829.4648198181351	1419.4892436917457	1187.341324401303	2120.908194008629	11234.649861689293	2150.803610668547	2124.134996738504	622.0408912259151	584.3791419862906	2076.239905597299	3331.6452465686984	941.5825269508231	728.6438273011823	1986.9329605977794	6490.716261444012
COA-PWY	15311.882942844002	14960.489101187024	16657.555727773542	14589.72091302772	14932.170550635645	12859.36195091495	16377.880203471288	13311.959122405471	10587.057424664243	18376.244101870052	18135.71844594074	14055.02217216241	20359.276173147562	19622.04194960351	18957.133193727903	18294.84241009166	15849.367120084999	18098.03156884063	18495.20052401113	8698.2007965258	9978.17940897752	11736.644233446985	18209.9391286539	11586.916847216184	11200.782101317674	9119.707190439478	13117.255536238918	10302.042161459975	17375.481951429865	12099.297659126332	13364.628492947242	14470.897226635328	10823.961043374667
COBALSYN-PWY	13539.371782701304	13057.41370575867	14650.716983653105	13394.963574880878	13249.067129054705	11777.242044525356	14643.58326313659	12231.774490219219	7047.582494751893	15908.076924662244	15181.060009225746	12911.728665355511	19573.659929508376	16226.5922823617	17170.906334014522	16893.900156443935	14445.82936282529	16415.85314909826	15948.512054332457	8230.556928731234	9086.358662440174	10758.305397685488	12807.616158952538	9940.33610052004	10817.745566527612	8653.800891973664	9282.334502851409	9449.970423957866	16001.894595905978	10763.45721376258	12104.049071458541	14386.052729909998	7831.288859358772
COLANSYN-PWY	16162.691761940767	15605.620410756814	17074.903748183413	14934.857271289235	15850.334816423361	13203.11956328696	16832.870406063754	13532.40983413553	9319.20191706701	18933.607964429193	19138.383081087715	15284.65857849839	16977.813017897926	21599.440379430253	19615.101775668565	18852.187653839243	15878.627514657112	18874.02665989305	19393.914127545988	9711.697017726208	10818.424592626023	12791.920654706066	15422.923917772525	12873.593766272304	12097.943014119644	9255.984033366929	13764.712787969085	11588.965596179427	18670.420581064303	12952.294740490319	14198.319862116374	14856.758079617	10237.105829256598
COMPLETE-ARO-PWY	18886.55909730203	18125.53349323493	19870.588568707208	17808.7405580506	18116.450036108705	16026.76376401984	20025.46760717894	16246.982083911043	12340.859334517474	22545.998804824838	21098.94884408061	17592.83013398763	24058.51326240993	24656.579683920667	22648.227377297822	22414.812115823355	18822.86010155198	21989.969632591787	23437.587146359765	12314.065462254883	13707.397487246615	16526.69094426945	22083.464247961467	14277.632953508224	14040.767522196997	11169.833641856028	15701.631547408248	13254.725205657018	21531.722258844606	15106.015156858328	17038.445082813847	17719.67584777952	13115.474233608298
DAPLYSINESYN-PWY	16280.828008929648	15055.57844675705	16244.533021187981	15547.139729251607	14934.401487820063	14859.377096813165	17550.101322827246	15086.571194987018	14192.96425944072	18705.88132770825	16612.094314924478	15049.773404711512	25686.789906603834	19445.151597154316	19268.08353040554	20031.981550735403	16420.341858228818	19099.81218236177	19696.337174675285	11314.769926132361	12203.958265446496	14638.17239325821	24879.280447504938	11688.900173729211	12890.380685781594	9838.555430379673	10692.840350491708	11931.191344163817	17580.905446154917	12647.759953531144	14989.588465928364	17735.396875331382	14627.247247277895
DTDPRHAMSYN-PWY	25243.80453328472	24648.390557202933	28116.05954390017	25469.49788853414	25182.528386144117	23381.02325323374	27830.413972672253	23692.85985853081	18987.53431757183	30141.00272213847	27956.60249713972	22971.007271173654	44327.62132353446	30581.806783346936	33065.84667425895	31578.87067462723	27962.289209988183	31801.658649672285	30740.82026990296	14636.940221867962	16447.571756381127	19001.220450179753	30774.073028138584	18002.02194632356	20560.011651146004	16473.4115399753	18377.59744676018	16531.056959590387	29641.822106549094	20080.1978001893	23281.133523220837	28131.048302969295	18938.112213010547
ECASYN-PWY	368.3030869752941	412.4582317373118	378.3557080821328	423.0447129706099	853.3777349432802	341.7020387596303	342.3157921490513	478.37393989837193	3560.453243282301	712.1857310651197	545.7754050449865	1482.533218219008	384.25756453926516	1384.1552253318791	443.88093597654955	352.1964028215251	264.13736232251256	415.1042920891984	362.1453033475964	563.1096107796399	481.6064840290847	873.2897951523652	6623.060000407964	918.0747088229228	871.546552604937	253.16019698774264	287.8785119317626	867.2254817366755	1445.7384637619289	368.9357254855243	320.36750924513484	841.6807406292356	4238.95297502754
ENTBACSYN-PWY	986.2325534632619	1043.7996792403378	905.0577802892639	1019.4863961475701	2186.6981257394887	849.597353332406	807.6703192148568	1232.4938727103593	3930.5756139865457	1874.0219731277389	1372.7323803558072	3457.0784498648063	975.2874966910961	3727.754209283028	1171.5265557756777	903.2726856216572	630.506527370671	1088.2961184189683	892.5743787250916	1531.3965207886883	1275.7555087352687	2320.979838097503	7906.049673691788	2442.769297548311	2075.642268828907	630.3019590182023	668.6371674031694	2254.7050651431673	3502.9995496173847	975.0514547235547	761.2619903047237	1969.0508113926444	4655.34948981878
FAO-PWY	679.1265618988647	702.6802272644541	613.5587772905322	689.6592675114373	1443.9342578302121	590.462679643458	550.2095314303464	845.9730461098403	5790.700061470587	1236.1826765480075	919.228656527419	2258.0381353181483	725.7051362096274	2335.7931984061947	793.5283149657014	632.3270035246265	437.23540361340565	741.2303750471576	619.1836709810827	1022.3839678200846	861.6161917206405	1509.5804154320033	11028.496692695895	1584.6093277309099	1407.0387345266126	438.7299448772668	430.61440702000345	1526.4964156286553	2372.826716360831	654.0199144195509	506.13505720611863	1383.712074965233	6963.114851383326
FASYN-ELONG-PWY	21502.025134056203	20871.002086618526	24336.79954778598	21814.194485673965	20878.561346660415	18716.658432044085	23676.50477779967	20553.118921750243	17859.759410033905	24982.738288321092	25457.49157129014	19600.655950090968	35477.37749925461	26391.14351148755	27993.248636875098	25810.814168334065	24059.90770177004	26180.654801957622	25161.823209348357	11679.25123369543	13347.374403386073	15407.178652051438	26617.574586851315	15847.55230399468	16436.391268890497	13846.039803127096	16721.39164753021	14149.62597760229	23946.41486296798	16730.36240934632	18814.87321184724	23918.778536098875	16652.401485156443
FASYN-INITIAL-PWY	8927.735211167934	9010.573993915348	9811.380884087886	9421.74399239007	10404.317527956084	9399.56608957749	9810.553410494475	9429.812540505176	12072.395283711896	11958.546310496784	10359.822494051787	10632.59501953281	17443.21901657013	12060.360019220409	12918.248677357566	13251.071201086621	10517.09840192076	12256.281172281153	11623.066346597961	4384.367966868204	5263.002461640453	5832.581378947461	19552.5625459831	7570.336368696037	9149.09961248502	6601.633604086698	5243.854673991049	7599.203293743746	13592.764111125614	7890.805507765177	8190.2782704825695	11449.655715881447	12257.23535805195
FERMENTATION-PWY	9490.827948315597	8819.197371347545	8924.580323529553	8995.016811605687	9478.180309065176	9027.965690602308	9883.27136253062	9301.784450914778	12740.162678829447	11177.34901254022	10501.72010428776	11247.895749088011	15402.375579045962	12481.115926375602	11533.531866187366	12836.364003988612	9253.100169489087	11032.299041329903	11215.515095013641	8071.821706492682	8405.570887678634	10279.79431539372	21951.03760455058	8208.401179017626	8121.955805173453	5652.624431243321	5725.98972906779	8720.811698580257	11937.081307057368	7705.594781578953	8153.737393269084	11413.090134279992	13501.719021805753
FOLSYN-PWY	16405.22234092729	15867.30023176783	17879.249026085152	15981.352053158846	16020.519051738047	14332.98054840687	17709.747053527462	14686.643687656575	10780.103592896066	19250.628838000473	18369.53804688092	14946.693717756361	23566.6404240347	20505.722180837813	20508.960147889975	19469.345336689403	17233.39689624569	19778.67933506732	19555.279134707835	9451.938813977244	10569.337115103477	12477.280521844621	17551.49612872041	12108.985332737671	12706.949328430752	10049.102482734801	12607.20069082883	10904.048994538358	18621.93229177151	12863.297970555972	14850.828472577521	16335.091244787718	11138.043215394717
FUC-RHAMCAT-PWY	8731.258809984141	8037.204444850212	9142.03188981216	8620.158683395626	8178.45087110049	7801.378462141218	9232.95705565228	8291.97645769287	6612.114746446103	8954.387542946908	10072.15062510172	8892.56620820714	14708.741266494513	10796.682189400843	11674.074438349218	11242.356122596293	9528.03703332283	11075.999891991345	9273.994651071695	5660.162615403664	5742.338412798302	7054.938358030695	11931.172102412967	6947.232260281469	7545.314007140835	6161.279118415777	5204.49438899301	6911.679817059433	10790.202413999441	7280.706718769848	8263.825824959802	10814.358057030957	6984.405122414747
FUCCAT-PWY	11895.934607566147	11275.118717364208	12008.86226766124	10442.232452957576	11079.836134399662	9470.30256821686	12302.727449943888	9495.235821718275	6788.266147733896	14085.199574665334	13610.027073676669	10591.245166138673	12492.022237491858	16238.485329466823	13383.67064545565	13146.279329147299	11009.674371949792	13213.885121584795	14924.532796304433	7984.861121491022	8858.188280005852	10697.402134096443	11975.95409633352	9261.309276557571	8034.939252781348	6172.434659441666	11142.470961300385	8413.526137189696	12259.932986303542	9153.284059800975	10413.043247665628	9966.379148975951	7121.920777432439
GALACT-GLUCUROCAT-PWY	9692.295121478222	8873.787019350904	9793.896536934126	9361.558465705446	9553.462752613932	8969.528696295605	10362.950908689105	9528.445700478529	10835.545227824336	10955.328463780052	10692.578294372759	9828.439716547018	16521.91643605171	11755.253480699204	11421.150118590533	11809.812000750946	9866.847807725242	11095.66356706892	10604.554659218731	6234.001810611112	6424.91626454847	7805.487465787881	20020.775529699335	7693.263575686222	8192.663557938895	5528.153221016188	5811.0518089914	7614.959709758071	11440.950060864569	6992.508959651921	8237.318120263888	11598.435361796124	11468.72750562694
GALACTARDEG-PWY	3739.5889574229163	3495.655200199774	3485.812160255217	3575.2744820076587	3722.1073306383923	3476.23447121347	3997.397707481987	3860.8589924296857	9242.216417142925	3828.912140195032	3857.52888770861	5037.2813243999135	7053.097671339787	5333.043753788655	4407.563369914735	4587.846394360073	3675.755598401548	4466.713109862901	3642.650057316903	1934.878197900508	1870.0720339316063	2256.5782236624386	17984.929188783466	3410.577973619832	3840.7071700790425	2436.364029751499	2058.8994903352786	3571.5479648997734	5067.552317172744	2990.8257112957713	3422.0901464690014	5291.938746002573	9668.586816746605
GALACTUROCAT-PWY	12122.558190422293	10908.857475071121	12176.32109273008	11900.000461814621	11174.365941881135	11161.433093022855	12640.292348060892	11666.898573523247	10764.437132532985	12132.060289989535	13109.247203542218	11349.57310613439	23471.98357628113	14061.261044658153	15681.442083750831	15498.574128955797	12814.818588609915	15158.905933327042	12819.691705652263	8254.349849408185	8357.807270015546	9938.781869001921	19497.501951858507	9176.009175640018	10583.357450090332	8329.529836383334	6783.990985642549	9404.570177489595	14083.96132964913	9813.846942671062	11372.207250009104	15610.155764199317	11159.158903666388
GALLATE-DEGRADATION-II-PWY	0.0	97.38924965295625	0.0	0.0	0.0	76.83091406557783	81.60052799885592	95.03361696191939	670.1790368778459	0.0	60.9901389536609	247.18155345210243	120.64959527697489	69.5190305967349	62.228787048934095	46.9282054525903	67.5593835787868	96.01537571302762	138.33448472626262	49.865658834439756	84.90732874048967	0.0	1537.1541925257602	0.0	0.0	16.614200995831393	0.0	0.0	0.0	0.0	0.0	0.0	218.08010454759264
GLCMANNANAUT-PWY	9883.836529909993	9401.517560748467	10073.225062110268	10123.546737778317	9961.650601561092	10480.028538501761	10919.768781497567	9915.445930542668	11224.449376838615	12116.401076187622	8348.85551632149	10088.56586405428	19102.08488141888	12167.596636402875	12880.966485142095	13539.203022483964	10653.123315128012	12846.047306480847	13415.053086574486	8560.009884932848	8991.655215447066	10619.51116927486	21169.570079341716	6993.423359173988	9463.778485551127	6697.601345638011	5053.173887836575	7798.908932675369	12257.28477177937	8394.602764325697	9949.095199581478	11648.49470899207	11707.643198934356
GLUCARDEG-PWY	978.5868854749843	1190.743195023734	845.7096565442076	943.8063269365651	1635.32443144747	993.8540099033618	1025.6552992486954	1293.324593025827	7347.693685510157	1613.7881091944794	1282.8449717872397	3022.751375287384	1535.200777099329	2735.3746908589223	1127.8323664610523	1124.6427204692563	798.4777873683381	1173.9649365913072	1319.5526344129555	1330.0933050182593	1266.7753741613692	1776.7315802445828	14620.430523944544	1787.332119866452	1859.785003008481	669.298933026974	609.8657662141111	1782.986393555911	2580.4791142777567	934.1157458579313	679.7152619590136	1941.375330741953	8014.6524974898075
GLUCARGALACTSUPER-PWY	3739.5889574229163	3495.655200199774	3485.812160255217	3575.2744820076587	3722.1073306383923	3476.23447121347	3997.397707481987	3860.8589924296857	9242.216417142925	3828.912140195032	3857.52888770861	5037.2813243999135	7053.097671339787	5333.043753788655	4407.563369914735	4587.846394360073	3675.755598401548	4466.713109862901	3642.650057316903	1934.878197900508	1870.0720339316063	2256.5782236624386	17984.929188783466	3410.577973619832	3840.7071700790425	2436.364029751499	2058.8994903352786	3571.5479648997734	5067.552317172744	2990.8257112957713	3422.0901464690014	5291.938746002573	9668.586816746605
GLUCONEO-PWY	18727.883321957586	18124.658493603278	20358.588737386126	18299.871788970457	18285.09205174693	16384.87602595637	20216.923451230607	16906.277058531334	14419.559405847202	21972.693546320334	21273.32174243721	17434.28099392045	27278.28499109401	23348.85631099452	23585.432612391814	22696.700816668166	19786.380100965704	22644.22832635112	22244.078429234396	10921.17658287513	12203.471258332758	14438.288314591358	24643.618777155112	13932.406789594648	14585.332070833943	11640.63242486379	14174.389736362273	12722.983915117136	21679.53181560884	14856.922700508294	16867.611391257065	18969.423470767924	14831.363718772862
GLUCOSE1PMETAB-PWY	17802.961881416075	17581.775621927387	20793.046030923604	19017.756879570457	18951.023479806958	16920.565768022996	19885.960910996168	18389.346613245038	20717.833980592513	19686.06026836879	21548.1398629362	18209.656784598064	36405.637208469794	21474.96143453714	25700.92892808748	22812.688570726423	21671.287024053705	24190.69466646454	18320.816026658173	7332.385443832109	8146.934795137109	9917.27310382593	32302.79083633218	13972.933900353504	17011.457251685424	12941.307096430171	10901.160382515087	12158.617866834114	23334.565297224974	14076.126006690274	16189.376782696796	23232.13650599047	21069.64481177613
GLUCUROCAT-PWY	9137.119511780165	8380.828546405408	9160.586470536304	8790.074662410705	9347.200946976049	8608.867545105939	9758.851351148902	9116.746382162566	10997.695368991423	10830.384172261553	10196.356432419054	9965.214216009375	15416.337007989288	11548.244980428784	10631.258007448818	11276.269619017126	9215.780474151583	10336.193501752192	10227.163994832417	6833.839541598075	6904.242304781237	8576.740820384784	20607.972190989734	7560.003190894838	7908.845516199627	5011.102328385718	5472.2160025523135	7757.4589305666805	11291.071901009478	6496.431395558783	7579.606952782103	10968.256417633916	11774.430401740816
GLUTORN-PWY	17681.738257631525	17103.96162765121	18910.69867071027	16799.934893052214	17065.960502338192	15066.224593557692	18914.138702022028	15270.428022801283	11653.652357177107	21327.34952673988	19743.62606872195	16208.713456162825	22395.37023690178	22817.906658111166	21273.20819472779	20808.741239414663	17837.36261876591	20624.6977401097	21934.69748353117	11016.42047109924	12401.504456955052	14868.309895230994	20629.300764128122	13159.097203639674	13046.101487011158	10395.0520892003	14771.153555160758	11995.49689980506	19931.33058455111	13979.8835972863	15884.68680414624	16244.150844618674	12307.346632922256
GLYCOCAT-PWY	20850.16289401897	20163.368480204004	22559.234315388418	20357.924638219167	20096.34383313135	18122.498234349565	22547.75492936959	18680.73494435242	14859.16347656264	24641.36032162264	23649.348082374254	19432.822781549083	29570.32179385894	26134.19387743495	26084.93136370235	25583.205303501505	21971.679214520107	25080.73992982872	25324.62532425231	12541.329625127357	14174.026895407142	16855.296638888653	26043.29320367678	15140.72759088245	15923.343338541528	13109.958883337262	16375.096889207893	13860.247192362809	24355.63639679741	16730.4076057892	18912.371343653922	20602.620529250045	15240.843756743765
GLYCOGENSYNTH-PWY	11190.683670982884	10558.187324193523	11776.620077257905	11865.208689484352	10335.831731944274	10670.132125237995	12509.227747573706	10838.284470757235	11020.879860764819	13056.931026977574	11958.456484523876	11187.649168968273	18976.182454226444	14162.478057182987	14011.667027755368	14835.293529518329	12046.208885881877	13896.529964924315	13833.78964337445	7606.475928764113	8500.274117978044	10498.67993304894	19977.065996549765	7861.464711997436	9776.842391695505	8215.395356767593	7493.211879821038	7679.8561781203625	14624.030570848856	9593.28089852879	11164.219824706825	12381.392277619496	11507.379301369449
GLYCOL-GLYOXDEG-PWY	550.4129836716281	598.5172206582519	509.8927507531758	590.8563355934383	1349.4356639843097	480.66462622352816	445.0721025053233	730.3816460059968	4146.526357402029	1063.7873493531092	772.2328251885076	2319.4895812544446	551.9572778327201	2290.953765060147	669.4576927645226	493.9698267633887	344.6175426839683	618.6525950107201	484.0344658020151	848.2970970456819	693.2646862810458	1248.980152033046	6694.9100618405755	1573.839581507146	1424.1643506713829	376.06340273093036	357.2166036641164	1430.106268128407	2325.2377699686485	574.5064401181687	432.7841227678883	1280.3703584026816	4705.506002352409
