S_S2_Ea_077_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Ea_077_v1v9_50	RXN0-5225
S_S2_Ea_077_v1v9_50	3.4.24.32-RXN
S_S2_Ea_077_v1v9_51	RXN-14267
S_S2_Ea_077_v1v9_51	RXN0-5225
S_S2_Ea_077_v1v9_51	3.4.24.32-RXN
S_S2_Ea_077_v1v9_52	GPH-RXN
S_S2_Ea_077_v1v9_53	INORGPYROPHOSPHAT-RXN
S_S2_Ea_077_v1v9_54	ANTHRANSYN-RXN
S_S2_Ea_077_v1v9_55	ANTHRANSYN-RXN
S_S2_Ea_077_v1v9_56	ANTHRANSYN-RXN
S_S2_Ea_077_v1v9_57	PROTEIN-KINASE-RXN
S_S2_Ea_077_v1v9_58	RXN-11065
S_S2_Ea_077_v1v9_58	3.4.16.4-RXN
S_S2_Ea_077_v1v9_58	RXN-16649
S_S2_Ea_077_v1v9_58	RXN-11351
S_S2_Ea_077_v1v9_58	RXN-16659
S_S2_Ea_077_v1v9_58	RXN-11302
S_S2_Ea_077_v1v9_59	RXN-11065
S_S2_Ea_077_v1v9_59	3.4.16.4-RXN
S_S2_Ea_077_v1v9_59	RXN-16649
S_S2_Ea_077_v1v9_59	RXN-11351
S_S2_Ea_077_v1v9_59	RXN-16659
S_S2_Ea_077_v1v9_59	RXN-11302
S_S2_Ea_077_v1v9_60	RXN-11065
S_S2_Ea_077_v1v9_60	3.4.16.4-RXN
S_S2_Ea_077_v1v9_60	RXN-16649
S_S2_Ea_077_v1v9_60	RXN-11351
S_S2_Ea_077_v1v9_60	RXN-16659
S_S2_Ea_077_v1v9_60	RXN-11302
S_S2_Ea_077_v1v9_61	RXN-11065
S_S2_Ea_077_v1v9_61	3.4.16.4-RXN
S_S2_Ea_077_v1v9_61	RXN-16649
S_S2_Ea_077_v1v9_61	RXN-11351
S_S2_Ea_077_v1v9_61	RXN-16659
S_S2_Ea_077_v1v9_61	RXN-11302
S_S2_Ea_077_v1v9_62	RXN-11109
S_S2_Ea_077_v1v9_63	RXN-11109
S_S2_Ea_077_v1v9_64	RXN-13202
S_S2_Ea_077_v1v9_64	CARBPSYN-RXN
S_S2_Ea_077_v1v9_65	RXN-13202
S_S2_Ea_077_v1v9_65	CARBPSYN-RXN
S_S2_Ea_077_v1v9_66	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_077_v1v9_67	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_077_v1v9_68	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_077_v1v9_69	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_077_v1v9_70	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ea_077_v1v9_71	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_72	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_73	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_74	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_75	2-ISOPROPYLMALATESYN-RXN
S_S2_Ea_077_v1v9_76	RXN-11602
S_S2_Ea_077_v1v9_77	TRYPSYN-RXN
S_S2_Ea_077_v1v9_78	TRYPSYN-RXN
S_S2_Ea_077_v1v9_79	6.3.5.6-RXN
S_S2_Ea_077_v1v9_80	6.3.5.6-RXN
S_S2_Ea_077_v1v9_81	6.3.5.6-RXN
S_S2_Ea_077_v1v9_82	6.3.5.7-RXN
S_S2_Ea_077_v1v9_83	6.3.5.7-RXN
S_S2_Ea_077_v1v9_84	6.3.5.7-RXN
S_S2_Ea_077_v1v9_85	6PFRUCTPHOS-RXN
S_S2_Ea_077_v1v9_86	6PFRUCTPHOS-RXN
S_S2_Ea_077_v1v9_87	RXN0-2584
S_S2_Ea_077_v1v9_88	RXN0-2584
S_S2_Ea_077_v1v9_89	RXN-11591
S_S2_Ea_077_v1v9_90	ATPSYN-RXN
S_S2_Ea_077_v1v9_91	ATPSYN-RXN
S_S2_Ea_077_v1v9_92	ATPSYN-RXN
S_S2_Ea_077_v1v9_94	RXN-12104
S_S2_Ea_077_v1v9_95	1.5.1.20-RXN
S_S2_Ea_077_v1v9_96	FGAMSYN-RXN
S_S2_Ea_077_v1v9_97	FGAMSYN-RXN
S_S2_Ea_077_v1v9_98	FGAMSYN-RXN
S_S2_Ea_077_v1v9_99	3.1.26.4-RXN
S_S2_Ea_077_v1v9_100	3.1.26.4-RXN
S_S2_Ea_077_v1v9_101	3.1.26.4-RXN
S_S2_Ea_077_v1v9_102	3.1.26.4-RXN
S_S2_Ea_077_v1v9_103	3.1.3.16-RXN
S_S2_Ea_077_v1v9_104	3.1.3.16-RXN
S_S2_Ea_077_v1v9_105	2.7.8.12-RXN
S_S2_Ea_077_v1v9_105	TEICHOICSYN4-RXN
S_S2_Ea_077_v1v9_106	RXN-16024
S_S2_Ea_077_v1v9_106	RXN-16117
S_S2_Ea_077_v1v9_106	RXN-10462
S_S2_Ea_077_v1v9_106	RXN-13805
S_S2_Ea_077_v1v9_106	RXN-1381
S_S2_Ea_077_v1v9_106	RXN-15045
S_S2_Ea_077_v1v9_107	RXN-16024
S_S2_Ea_077_v1v9_107	RXN-16117
S_S2_Ea_077_v1v9_107	RXN-10462
S_S2_Ea_077_v1v9_107	RXN-13805
S_S2_Ea_077_v1v9_107	RXN-1381
S_S2_Ea_077_v1v9_107	RXN-15045
S_S2_Ea_077_v1v9_108	THI-P-SYN-RXN
S_S2_Ea_077_v1v9_108	RXN-12610
S_S2_Ea_077_v1v9_108	RXN-12611
S_S2_Ea_077_v1v9_109	MALTACETYLTRAN-RXN
S_S2_Ea_077_v1v9_110	MALTACETYLTRAN-RXN
S_S2_Ea_077_v1v9_111	MALTACETYLTRAN-RXN
S_S2_Ea_077_v1v9_112	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Ea_077_v1v9_113	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Ea_077_v1v9_114	ABC-9-RXN
S_S2_Ea_077_v1v9_114	ABC-10-RXN
S_S2_Ea_077_v1v9_114	3.6.3.34-RXN
S_S2_Ea_077_v1v9_114	ABC-11-RXN
S_S2_Ea_077_v1v9_115	ABC-9-RXN
S_S2_Ea_077_v1v9_115	ABC-10-RXN
S_S2_Ea_077_v1v9_115	3.6.3.34-RXN
S_S2_Ea_077_v1v9_115	ABC-11-RXN
S_S2_Ea_077_v1v9_116	ABC-9-RXN
S_S2_Ea_077_v1v9_116	ABC-10-RXN
S_S2_Ea_077_v1v9_116	3.6.3.34-RXN
S_S2_Ea_077_v1v9_116	ABC-11-RXN
S_S2_Ea_077_v1v9_117	DALADALALIG-RXN
S_S2_Ea_077_v1v9_118	5.99.1.3-RXN
S_S2_Ea_077_v1v9_119	5.99.1.3-RXN
S_S2_Ea_077_v1v9_120	RXN-13163
S_S2_Ea_077_v1v9_121	RXN-13163
S_S2_Ea_077_v1v9_122	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_077_v1v9_122	RXN-12729
S_S2_Ea_077_v1v9_123	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_077_v1v9_123	RXN-12729
S_S2_Ea_077_v1v9_124	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_077_v1v9_124	RXN-12729
S_S2_Ea_077_v1v9_125	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_077_v1v9_125	RXN-12729
S_S2_Ea_077_v1v9_126	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_077_v1v9_126	RXN-12729
S_S2_Ea_077_v1v9_127	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Ea_077_v1v9_127	RXN-12729
S_S2_Ea_077_v1v9_128	RXN-14461
S_S2_Ea_077_v1v9_129	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S2_Ea_077_v1v9_129	ACETYLHOMOSER-CYS-RXN
S_S2_Ea_077_v1v9_130	SULFOCYS-RXN
S_S2_Ea_077_v1v9_130	RXN-12726
S_S2_Ea_077_v1v9_130	ACSERLY-RXN
S_S2_Ea_077_v1v9_131	SULFOCYS-RXN
S_S2_Ea_077_v1v9_131	RXN-12726
S_S2_Ea_077_v1v9_131	ACSERLY-RXN
S_S2_Ea_077_v1v9_132	OHMETPYRKIN-RXN
S_S2_Ea_077_v1v9_133	OHMETPYRKIN-RXN
S_S2_Ea_077_v1v9_134	PYRIMSYN3-RXN
S_S2_Ea_077_v1v9_135	PYRIMSYN3-RXN
S_S2_Ea_077_v1v9_136	GLUTAMINESYN-RXN
S_S2_Ea_077_v1v9_137	ADENPRIBOSYLTRAN-RXN
S_S2_Ea_077_v1v9_137	RXN-14270
S_S2_Ea_077_v1v9_138	ADENYL-KIN-RXN
S_S2_Ea_077_v1v9_139	3.4.21.89-RXN
S_S2_Ea_077_v1v9_140	3.4.21.89-RXN
S_S2_Ea_077_v1v9_141	3.4.21.89-RXN
S_S2_Ea_077_v1v9_142	3.4.21.89-RXN
S_S2_Ea_077_v1v9_143	3.4.21.89-RXN
S_S2_Ea_077_v1v9_144	3.4.21.89-RXN
S_S2_Ea_077_v1v9_145	RXN-15881
S_S2_Ea_077_v1v9_145	RXN-14384
S_S2_Ea_077_v1v9_145	RXN-14385
S_S2_Ea_077_v1v9_145	RXN-14386
S_S2_Ea_077_v1v9_145	RXN-12587
S_S2_Ea_077_v1v9_145	RXN-9787
S_S2_Ea_077_v1v9_145	RXN-12588
S_S2_Ea_077_v1v9_145	RXN0-308
S_S2_Ea_077_v1v9_146	RXN-15881
S_S2_Ea_077_v1v9_146	RXN-14384
S_S2_Ea_077_v1v9_146	RXN-14385
S_S2_Ea_077_v1v9_146	RXN-14386
S_S2_Ea_077_v1v9_146	RXN-12587
S_S2_Ea_077_v1v9_146	RXN-9787
S_S2_Ea_077_v1v9_146	RXN-12588
S_S2_Ea_077_v1v9_146	RXN0-308
S_S2_Ea_077_v1v9_147	RXN-15881
S_S2_Ea_077_v1v9_147	RXN-14384
S_S2_Ea_077_v1v9_147	RXN-14385
S_S2_Ea_077_v1v9_147	RXN-14386
S_S2_Ea_077_v1v9_147	RXN-12587
S_S2_Ea_077_v1v9_147	RXN-9787
S_S2_Ea_077_v1v9_147	RXN-12588
S_S2_Ea_077_v1v9_147	RXN0-308
S_S2_Ea_077_v1v9_148	ABC-27-RXN
S_S2_Ea_077_v1v9_149	ABC-27-RXN
S_S2_Ea_077_v1v9_150	RXN0-6948
S_S2_Ea_077_v1v9_150	N-ACETYLTRANSFER-RXN
S_S2_Ea_077_v1v9_151	RXN-11837
S_S2_Ea_077_v1v9_152	RXN-11837
S_S2_Ea_077_v1v9_153	RXN-11837
S_S2_Ea_077_v1v9_154	UDPGLUCEPIM-RXN
S_S2_Ea_077_v1v9_155	UDPGLUCEPIM-RXN
S_S2_Ea_077_v1v9_156	2PGADEHYDRAT-RXN
S_S2_Ea_077_v1v9_157	ALPHAGALACTOSID-RXN
S_S2_Ea_077_v1v9_157	RXN-11501
S_S2_Ea_077_v1v9_157	RXN-12088
S_S2_Ea_077_v1v9_159	RXN-14455
S_S2_Ea_077_v1v9_160	RXN0-1134
S_S2_Ea_077_v1v9_161	RXN0-1134
S_S2_Ea_077_v1v9_162	RXN0-1134
S_S2_Ea_077_v1v9_163	1.8.4.12-RXN
S_S2_Ea_077_v1v9_164	1.8.4.12-RXN
S_S2_Ea_077_v1v9_165	1.8.4.12-RXN
S_S2_Ea_077_v1v9_166	RXN-8668
S_S2_Ea_077_v1v9_167	RXN-8668
S_S2_Ea_077_v1v9_168	RXN-8668
S_S2_Ea_077_v1v9_169	DIHYDROOROT-RXN
S_S2_Ea_077_v1v9_170	DIHYDROOROT-RXN
S_S2_Ea_077_v1v9_171	DIHYDROOROT-RXN
S_S2_Ea_077_v1v9_172	RXN-11396
S_S2_Ea_077_v1v9_173	RXN-11396
S_S2_Ea_077_v1v9_174	GLUCOKIN-RXN
S_S2_Ea_077_v1v9_174	RXN66-521
S_S2_Ea_077_v1v9_174	RXN-1685
S_S2_Ea_077_v1v9_175	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Ea_077_v1v9_176	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Ea_077_v1v9_177	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Ea_077_v1v9_178	3.5.1.88-RXN
S_S2_Ea_077_v1v9_178	3.5.1.27-RXN
S_S2_Ea_077_v1v9_179	3.5.1.88-RXN
S_S2_Ea_077_v1v9_179	3.5.1.27-RXN
S_S2_Ea_077_v1v9_180	TDCEACT-RXN
S_S2_Ea_077_v1v9_181	TDCEACT-RXN
S_S2_Ea_077_v1v9_182	TDCEACT-RXN
S_S2_Ea_077_v1v9_183	TDCEACT-RXN
S_S2_Ea_077_v1v9_184	RXN-14283
S_S2_Ea_077_v1v9_184	RXN-14282
S_S2_Ea_077_v1v9_184	RXN-14350
S_S2_Ea_077_v1v9_184	RXN-15910
S_S2_Ea_077_v1v9_184	RXN0-5183
S_S2_Ea_077_v1v9_184	RXN-14349
S_S2_Ea_077_v1v9_184	MALTODEXGLUCOSID-RXN
S_S2_Ea_077_v1v9_184	RXN-14281
S_S2_Ea_077_v1v9_184	RXN-2141
S_S2_Ea_077_v1v9_185	RXN-14283
S_S2_Ea_077_v1v9_185	RXN-14282
S_S2_Ea_077_v1v9_185	RXN-14350
S_S2_Ea_077_v1v9_185	RXN-15910
S_S2_Ea_077_v1v9_185	RXN0-5183
S_S2_Ea_077_v1v9_185	RXN-14349
S_S2_Ea_077_v1v9_185	MALTODEXGLUCOSID-RXN
S_S2_Ea_077_v1v9_185	RXN-14281
S_S2_Ea_077_v1v9_185	RXN-2141
S_S2_Ea_077_v1v9_186	RXN-11836
S_S2_Ea_077_v1v9_187	ACETOLACTSYN-RXN
S_S2_Ea_077_v1v9_187	ACETOOHBUTSYN-RXN
S_S2_Ea_077_v1v9_188	ACETOLACTSYN-RXN
S_S2_Ea_077_v1v9_188	ACETOOHBUTSYN-RXN
S_S2_Ea_077_v1v9_189	ACETOLACTSYN-RXN
S_S2_Ea_077_v1v9_189	ACETOOHBUTSYN-RXN
S_S2_Ea_077_v1v9_190	IGPSYN-RXN
S_S2_Ea_077_v1v9_191	ALARACECAT-RXN
S_S2_Ea_077_v1v9_192	3.1.11.6-RXN
S_S2_Ea_077_v1v9_193	3.1.11.6-RXN
S_S2_Ea_077_v1v9_194	RXN0-5266
S_S2_Ea_077_v1v9_195	RXN0-5266
S_S2_Ea_077_v1v9_196	RXN0-5266
S_S2_Ea_077_v1v9_197	ALPHA-AMYL-RXN
S_S2_Ea_077_v1v9_197	RXN0-5181
S_S2_Ea_077_v1v9_197	3.2.1.1-RXN
S_S2_Ea_077_v1v9_197	RXN-1823
S_S2_Ea_077_v1v9_198	ALPHA-AMYL-RXN
S_S2_Ea_077_v1v9_198	RXN0-5181
S_S2_Ea_077_v1v9_198	3.2.1.1-RXN
S_S2_Ea_077_v1v9_198	RXN-1823
S_S2_Ea_077_v1v9_199	2.1.1.63-RXN
S_S2_Ea_077_v1v9_200	2.1.1.63-RXN
S_S2_Ea_077_v1v9_201	2.5.1.64-RXN
S_S2_Ea_077_v1v9_202	METHIONINE--TRNA-LIGASE-RXN
S_S2_Ea_077_v1v9_202	RXN-16165
S_S2_Ea_077_v1v9_203	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Ea_077_v1v9_204	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ea_077_v1v9_205	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ea_077_v1v9_206	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Ea_077_v1v9_207	RXN-12462
S_S2_Ea_077_v1v9_208	RXN-12463
S_S2_Ea_077_v1v9_209	RXN-14065
S_S2_Ea_077_v1v9_210	RXN-14065
S_S2_Ea_077_v1v9_211	RXN-14065
S_S2_Ea_077_v1v9_212	OROPRIBTRANS-RXN
S_S2_Ea_077_v1v9_213	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ea_077_v1v9_214	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ea_077_v1v9_215	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ea_077_v1v9_216	OROTPDECARB-RXN
S_S2_Ea_077_v1v9_217	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Ea_077_v1v9_218	CARBOXYLESTERASE-RXN
S_S2_Ea_077_v1v9_218	RXN-12575
S_S2_Ea_077_v1v9_218	RXN-10711
S_S2_Ea_077_v1v9_218	3.1.1.64-RXN
S_S2_Ea_077_v1v9_218	RXN-10767
S_S2_Ea_077_v1v9_218	RXN-12252
S_S2_Ea_077_v1v9_218	RETINYL-PALMITATE-ESTERASE-RXN
S_S2_Ea_077_v1v9_218	RXNQT-4366
S_S2_Ea_077_v1v9_219	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ea_077_v1v9_220	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ea_077_v1v9_221	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ea_077_v1v9_222	4.3.1.17-RXN
S_S2_Ea_077_v1v9_223	4.3.1.17-RXN
S_S2_Ea_077_v1v9_224	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Ea_077_v1v9_225	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Ea_077_v1v9_226	FPPSYN-RXN
S_S2_Ea_077_v1v9_227	GPPSYN-RXN
S_S2_Ea_077_v1v9_228	RXN0-6480
S_S2_Ea_077_v1v9_228	3.1.26.5-RXN
S_S2_Ea_077_v1v9_229	RXN0-6727
S_S2_Ea_077_v1v9_229	RXN-13141
S_S2_Ea_077_v1v9_230	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ea_077_v1v9_231	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ea_077_v1v9_232	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ea_077_v1v9_233	GLUTAMATESYN-RXN
S_S2_Ea_077_v1v9_234	GLUTAMATESYN-RXN
S_S2_Ea_077_v1v9_235	GLUTAMATESYN-RXN
S_S2_Ea_077_v1v9_236	MANNPISOM-RXN
S_S2_Ea_077_v1v9_237	MANNPISOM-RXN
S_S2_Ea_077_v1v9_238	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S2_Ea_077_v1v9_238	RXN-10949
S_S2_Ea_077_v1v9_238	RXN-7253
S_S2_Ea_077_v1v9_238	RXN0-5408
S_S2_Ea_077_v1v9_238	RXN-10954
S_S2_Ea_077_v1v9_238	RXN-10953
S_S2_Ea_077_v1v9_238	RXN-10952
S_S2_Ea_077_v1v9_239	RXN-11592
S_S2_Ea_077_v1v9_240	RXN-12752
S_S2_Ea_077_v1v9_240	RXN-13142
S_S2_Ea_077_v1v9_241	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Ea_077_v1v9_242	1.11.1.15-RXN
S_S2_Ea_077_v1v9_242	RXN0-5468
S_S2_Ea_077_v1v9_243	3.4.23.36-RXN
S_S2_Ea_077_v1v9_244	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Ea_077_v1v9_245	PANTOTHENATE-KIN-RXN
S_S2_Ea_077_v1v9_246	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Ea_077_v1v9_247	GALACTOKIN-RXN
S_S2_Ea_077_v1v9_248	3.1.11.2-RXN
S_S2_Ea_077_v1v9_249	NAG6PDEACET-RXN
S_S2_Ea_077_v1v9_249	3.5.1.80-RXN
S_S2_Ea_077_v1v9_252	3.4.11.18-RXN
S_S2_Ea_077_v1v9_253	3.4.11.18-RXN
S_S2_Ea_077_v1v9_254	NAD-KIN-RXN
S_S2_Ea_077_v1v9_255	RXN-14025
S_S2_Ea_077_v1v9_255	RXN-14026
S_S2_Ea_077_v1v9_255	RXN-7607
S_S2_Ea_077_v1v9_255	RXN-7609
S_S2_Ea_077_v1v9_255	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_077_v1v9_255	5-NUCLEOTID-RXN
S_S2_Ea_077_v1v9_255	RXN-14227
S_S2_Ea_077_v1v9_255	RXN-5841
S_S2_Ea_077_v1v9_255	XMPXAN-RXN
S_S2_Ea_077_v1v9_256	RXN-14025
S_S2_Ea_077_v1v9_256	RXN-14026
S_S2_Ea_077_v1v9_256	RXN-7607
S_S2_Ea_077_v1v9_256	RXN-7609
S_S2_Ea_077_v1v9_256	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_077_v1v9_256	5-NUCLEOTID-RXN
S_S2_Ea_077_v1v9_256	RXN-14227
S_S2_Ea_077_v1v9_256	RXN-5841
S_S2_Ea_077_v1v9_256	XMPXAN-RXN
S_S2_Ea_077_v1v9_257	RXN-14025
S_S2_Ea_077_v1v9_257	RXN-14026
S_S2_Ea_077_v1v9_257	RXN-7607
S_S2_Ea_077_v1v9_257	RXN-7609
S_S2_Ea_077_v1v9_257	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_077_v1v9_257	5-NUCLEOTID-RXN
S_S2_Ea_077_v1v9_257	RXN-14227
S_S2_Ea_077_v1v9_257	RXN-5841
S_S2_Ea_077_v1v9_257	XMPXAN-RXN
S_S2_Ea_077_v1v9_258	RXN-14025
S_S2_Ea_077_v1v9_258	RXN-14026
S_S2_Ea_077_v1v9_258	RXN-7607
S_S2_Ea_077_v1v9_258	RXN-7609
S_S2_Ea_077_v1v9_258	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ea_077_v1v9_258	5-NUCLEOTID-RXN
S_S2_Ea_077_v1v9_258	RXN-14227
S_S2_Ea_077_v1v9_258	RXN-5841
S_S2_Ea_077_v1v9_258	XMPXAN-RXN
S_S2_Ea_077_v1v9_259	RXN0-2921
S_S2_Ea_077_v1v9_259	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Ea_077_v1v9_259	FORMYLTHFGLUSYNTH-RXN
S_S2_Ea_077_v1v9_260	DIHYDROFOLATESYNTH-RXN
S_S2_Ea_077_v1v9_261	GLUTDEHYD-RXN
S_S2_Ea_077_v1v9_278	PYRUVFORMLY-RXN
S_S2_Ea_077_v1v9_279	PYRUVFORMLY-RXN
S_S2_Ea_077_v1v9_280	PYRUVFORMLY-RXN
S_S2_Ea_077_v1v9_281	PYRUVFORMLY-RXN
S_S2_Ea_077_v1v9_282	THYMIDYLATESYN-RXN
S_S2_Ea_077_v1v9_283	PRAISOM-RXN
S_S2_Ea_077_v1v9_284	PRAISOM-RXN
S_S2_Ea_077_v1v9_285	SELENOCYSTEINE-LYASE-RXN
S_S2_Ea_077_v1v9_288	ALDOSE1EPIM-RXN
S_S2_Ea_077_v1v9_288	ALDOSE-1-EPIMERASE-RXN
S_S2_Ea_077_v1v9_289	RXN-12002
S_S2_Ea_077_v1v9_290	GAPOXNPHOSPHN-RXN
S_S2_Ea_077_v1v9_291	GAPOXNPHOSPHN-RXN
S_S2_Ea_077_v1v9_292	RXN1G-94
S_S2_Ea_077_v1v9_292	RXN1G-1015
S_S2_Ea_077_v1v9_292	RXN1G-202
