S_S2_Ca_088_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Ca_088_v1v9_92	RXN-9787
S_S2_Ca_088_v1v9_92	RXN-12588
S_S2_Ca_088_v1v9_92	RXN0-308
S_S2_Ca_088_v1v9_93	ABC-27-RXN
S_S2_Ca_088_v1v9_94	ABC-27-RXN
S_S2_Ca_088_v1v9_95	RXN0-6948
S_S2_Ca_088_v1v9_95	N-ACETYLTRANSFER-RXN
S_S2_Ca_088_v1v9_96	RXN-11837
S_S2_Ca_088_v1v9_97	RXN-11837
S_S2_Ca_088_v1v9_98	UDPGLUCEPIM-RXN
S_S2_Ca_088_v1v9_99	UDPGLUCEPIM-RXN
S_S2_Ca_088_v1v9_100	2PGADEHYDRAT-RXN
S_S2_Ca_088_v1v9_102	DIHYDROOROT-RXN
S_S2_Ca_088_v1v9_103	RXN-11396
S_S2_Ca_088_v1v9_104	GLUCOKIN-RXN
S_S2_Ca_088_v1v9_104	RXN66-521
S_S2_Ca_088_v1v9_104	RXN-1685
S_S2_Ca_088_v1v9_105	GLUCOKIN-RXN
S_S2_Ca_088_v1v9_105	RXN66-521
S_S2_Ca_088_v1v9_105	RXN-1685
S_S2_Ca_088_v1v9_106	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_107	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_108	3.5.1.88-RXN
S_S2_Ca_088_v1v9_108	3.5.1.27-RXN
S_S2_Ca_088_v1v9_109	3.5.1.88-RXN
S_S2_Ca_088_v1v9_109	3.5.1.27-RXN
S_S2_Ca_088_v1v9_110	3.5.1.88-RXN
S_S2_Ca_088_v1v9_110	3.5.1.27-RXN
S_S2_Ca_088_v1v9_111	TDCEACT-RXN
S_S2_Ca_088_v1v9_112	TDCEACT-RXN
S_S2_Ca_088_v1v9_113	TDCEACT-RXN
S_S2_Ca_088_v1v9_114	TDCEACT-RXN
S_S2_Ca_088_v1v9_115	RXN-14283
S_S2_Ca_088_v1v9_115	RXN-14282
S_S2_Ca_088_v1v9_115	RXN-14350
S_S2_Ca_088_v1v9_115	RXN-15910
S_S2_Ca_088_v1v9_115	RXN0-5183
S_S2_Ca_088_v1v9_115	RXN-14349
S_S2_Ca_088_v1v9_115	MALTODEXGLUCOSID-RXN
S_S2_Ca_088_v1v9_115	RXN-14281
S_S2_Ca_088_v1v9_115	RXN-2141
S_S2_Ca_088_v1v9_116	RXN-11836
S_S2_Ca_088_v1v9_117	2.7.1.90-RXN
S_S2_Ca_088_v1v9_118	ALARACECAT-RXN
S_S2_Ca_088_v1v9_119	3.1.11.6-RXN
S_S2_Ca_088_v1v9_120	3.1.11.6-RXN
S_S2_Ca_088_v1v9_121	2.1.1.63-RXN
S_S2_Ca_088_v1v9_122	3.4.23.43-RXN
S_S2_Ca_088_v1v9_123	METHIONINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_123	RXN-16165
S_S2_Ca_088_v1v9_124	METHIONINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_124	RXN-16165
S_S2_Ca_088_v1v9_125	2-OXOGLUTARATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_126	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ca_088_v1v9_127	DTDPDEHYRHAMREDUCT-RXN
S_S2_Ca_088_v1v9_128	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Ca_088_v1v9_129	RXN-12462
S_S2_Ca_088_v1v9_130	RXN-12463
S_S2_Ca_088_v1v9_131	RXN-14065
S_S2_Ca_088_v1v9_132	RXN-14065
S_S2_Ca_088_v1v9_133	OROPRIBTRANS-RXN
S_S2_Ca_088_v1v9_134	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Ca_088_v1v9_135	OROTPDECARB-RXN
S_S2_Ca_088_v1v9_136	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_137	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Ca_088_v1v9_138	4.3.1.17-RXN
S_S2_Ca_088_v1v9_139	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_140	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Ca_088_v1v9_141	FPPSYN-RXN
S_S2_Ca_088_v1v9_142	GPPSYN-RXN
S_S2_Ca_088_v1v9_143	QUINOPRIBOTRANS-RXN
S_S2_Ca_088_v1v9_144	RXN0-6480
S_S2_Ca_088_v1v9_144	3.1.26.5-RXN
S_S2_Ca_088_v1v9_145	RXN0-6727
S_S2_Ca_088_v1v9_145	RXN-13141
S_S2_Ca_088_v1v9_146	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Ca_088_v1v9_147	GLUTAMATESYN-RXN
S_S2_Ca_088_v1v9_148	MANNPISOM-RXN
S_S2_Ca_088_v1v9_149	RXN0-302
S_S2_Ca_088_v1v9_150	RXN-11592
S_S2_Ca_088_v1v9_151	RXN-12752
S_S2_Ca_088_v1v9_151	RXN-13142
S_S2_Ca_088_v1v9_152	PPPGPPHYDRO-RXN
S_S2_Ca_088_v1v9_153	3.4.23.36-RXN
S_S2_Ca_088_v1v9_154	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_155	PANTOTHENATE-KIN-RXN
S_S2_Ca_088_v1v9_156	PANTOTHENATE-KIN-RXN
S_S2_Ca_088_v1v9_157	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_158	GALACTOKIN-RXN
S_S2_Ca_088_v1v9_159	3.1.11.2-RXN
S_S2_Ca_088_v1v9_160	NAG6PDEACET-RXN
S_S2_Ca_088_v1v9_160	3.5.1.80-RXN
S_S2_Ca_088_v1v9_161	NAG6PDEACET-RXN
S_S2_Ca_088_v1v9_161	3.5.1.80-RXN
S_S2_Ca_088_v1v9_163	POLYPHOSPHATE-KINASE-RXN
S_S2_Ca_088_v1v9_164	EXOPOLYPHOSPHATASE-RXN
S_S2_Ca_088_v1v9_165	3.4.11.18-RXN
S_S2_Ca_088_v1v9_166	3.4.11.18-RXN
S_S2_Ca_088_v1v9_167	NAD-KIN-RXN
S_S2_Ca_088_v1v9_168	RXN-14025
S_S2_Ca_088_v1v9_168	RXN-14026
S_S2_Ca_088_v1v9_168	RXN-7607
S_S2_Ca_088_v1v9_168	RXN-7609
S_S2_Ca_088_v1v9_168	AMP-DEPHOSPHORYLATION-RXN
S_S2_Ca_088_v1v9_168	5-NUCLEOTID-RXN
S_S2_Ca_088_v1v9_168	RXN-14227
S_S2_Ca_088_v1v9_168	RXN-5841
S_S2_Ca_088_v1v9_168	XMPXAN-RXN
S_S2_Ca_088_v1v9_169	RXN0-2921
S_S2_Ca_088_v1v9_169	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Ca_088_v1v9_169	FORMYLTHFGLUSYNTH-RXN
S_S2_Ca_088_v1v9_170	DIHYDROFOLATESYNTH-RXN
S_S2_Ca_088_v1v9_171	GLUTDEHYD-RXN
S_S2_Ca_088_v1v9_173	PYRUVFORMLY-RXN
S_S2_Ca_088_v1v9_174	THYMIDYLATESYN-RXN
S_S2_Ca_088_v1v9_175	SELENOCYSTEINE-LYASE-RXN
S_S2_Ca_088_v1v9_176	ALDOSE1EPIM-RXN
S_S2_Ca_088_v1v9_176	ALDOSE-1-EPIMERASE-RXN
S_S2_Ca_088_v1v9_177	RXN-12002
S_S2_Ca_088_v1v9_178	GAPOXNPHOSPHN-RXN
S_S2_Ca_088_v1v9_179	2.7.7.60-RXN
S_S2_Ca_088_v1v9_180	2.7.7.60-RXN
S_S2_Ca_088_v1v9_181	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_182	FRUCTOKINASE-RXN
S_S2_Ca_088_v1v9_183	RXN-14517
S_S2_Ca_088_v1v9_183	RXN-12458
S_S2_Ca_088_v1v9_184	RXN-982
S_S2_Ca_088_v1v9_185	RXN-14285
S_S2_Ca_088_v1v9_185	RXN-14284
S_S2_Ca_088_v1v9_185	RXN-14286
S_S2_Ca_088_v1v9_185	RXN-14353
S_S2_Ca_088_v1v9_185	RXN-9025
S_S2_Ca_088_v1v9_185	RXN0-5182
S_S2_Ca_088_v1v9_185	RXN0-5184
S_S2_Ca_088_v1v9_185	GLYCOPHOSPHORYL-RXN
S_S2_Ca_088_v1v9_185	RXN-12171
S_S2_Ca_088_v1v9_185	GLYMALTOPHOSPHORYL-RXN
S_S2_Ca_088_v1v9_185	RXN-1826
S_S2_Ca_088_v1v9_185	RXN-12392
S_S2_Ca_088_v1v9_186	RXN-14285
S_S2_Ca_088_v1v9_186	RXN-14284
S_S2_Ca_088_v1v9_186	RXN-14286
S_S2_Ca_088_v1v9_186	RXN-14353
S_S2_Ca_088_v1v9_186	RXN-9025
S_S2_Ca_088_v1v9_186	RXN0-5182
S_S2_Ca_088_v1v9_186	RXN0-5184
S_S2_Ca_088_v1v9_186	GLYCOPHOSPHORYL-RXN
S_S2_Ca_088_v1v9_186	RXN-12171
S_S2_Ca_088_v1v9_186	GLYMALTOPHOSPHORYL-RXN
S_S2_Ca_088_v1v9_186	RXN-1826
S_S2_Ca_088_v1v9_186	RXN-12392
S_S2_Ca_088_v1v9_187	3.6.3.8-RXN
S_S2_Ca_088_v1v9_188	DTDPGLUCDEHYDRAT-RXN
S_S2_Ca_088_v1v9_189	DTDPGLUCDEHYDRAT-RXN
S_S2_Ca_088_v1v9_190	DTDPGLUCOSEPP-RXN
S_S2_Ca_088_v1v9_191	HISTIDINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_192	PHOSGLYPHOS-RXN
S_S2_Ca_088_v1v9_193	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_194	GART-RXN
S_S2_Ca_088_v1v9_195	NMNAMIDOHYDRO-RXN
S_S2_Ca_088_v1v9_196	RXN-14207
S_S2_Ca_088_v1v9_196	PEPDEPHOS-RXN
S_S2_Ca_088_v1v9_196	RXN-14117
S_S2_Ca_088_v1v9_196	RXN-14192
S_S2_Ca_088_v1v9_197	RXN-15878
S_S2_Ca_088_v1v9_198	RXN0-882
S_S2_Ca_088_v1v9_199	RXN-12460
S_S2_Ca_088_v1v9_199	AMINOCYL-TRNA-HYDROLASE-RXN
S_S2_Ca_088_v1v9_199	RXN-16637
S_S2_Ca_088_v1v9_200	ALANINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_201	RXN-11633
S_S2_Ca_088_v1v9_202	AIRS-RXN
S_S2_Ca_088_v1v9_203	PRPPAMIDOTRANS-RXN
S_S2_Ca_088_v1v9_204	P-PANTOCYSDECARB-RXN
S_S2_Ca_088_v1v9_205	P-PANTOCYSLIG-RXN
S_S2_Ca_088_v1v9_207	HISTIDPHOS-RXN
S_S2_Ca_088_v1v9_208	GUANYL-KIN-RXN
S_S2_Ca_088_v1v9_209	DXPREDISOM-RXN
S_S2_Ca_088_v1v9_210	PANTEPADENYLYLTRAN-RXN
S_S2_Ca_088_v1v9_211	GLUC1PURIDYLTRANS-RXN
S_S2_Ca_088_v1v9_212	QUINOLINATE-SYNTHA-RXN
S_S2_Ca_088_v1v9_213	RXN0-5462
S_S2_Ca_088_v1v9_214	SERINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_214	RXN0-2161
S_S2_Ca_088_v1v9_215	DIHYDRODIPICSYN-RXN
S_S2_Ca_088_v1v9_216	RXN-14014
S_S2_Ca_088_v1v9_217	THREONINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_218	RXN-14712
S_S2_Ca_088_v1v9_218	RXN-15521
S_S2_Ca_088_v1v9_218	2.4.1.129-RXN
S_S2_Ca_088_v1v9_218	RXN-11350
S_S2_Ca_088_v1v9_218	RXN-11291
S_S2_Ca_088_v1v9_218	RXN-16650
S_S2_Ca_088_v1v9_218	RXN-11348
S_S2_Ca_088_v1v9_219	GLYC3PDEHYDROGBIOSYN-RXN
S_S2_Ca_088_v1v9_220	LYSINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_221	GMP-SYN-GLUT-RXN
S_S2_Ca_088_v1v9_222	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Ca_088_v1v9_222	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S2_Ca_088_v1v9_222	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Ca_088_v1v9_223	F16ALDOLASE-RXN
S_S2_Ca_088_v1v9_223	RXN-8631
S_S2_Ca_088_v1v9_224	F16ALDOLASE-RXN
S_S2_Ca_088_v1v9_224	RXN-8631
S_S2_Ca_088_v1v9_225	DIAMINOPIMDECARB-RXN
S_S2_Ca_088_v1v9_226	RXN0-1342
S_S2_Ca_088_v1v9_227	PGLYCDEHYDROG-RXN
S_S2_Ca_088_v1v9_229	ASPARAGINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_230	IMP-DEHYDROG-RXN
S_S2_Ca_088_v1v9_231	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Ca_088_v1v9_232	PYRUFLAVREDUCT-RXN
S_S2_Ca_088_v1v9_232	2-OXOBUTYRATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_233	PYRUFLAVREDUCT-RXN
S_S2_Ca_088_v1v9_233	2-OXOBUTYRATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_234	DAHPSYN-RXN
S_S2_Ca_088_v1v9_235	DAHPSYN-RXN
S_S2_Ca_088_v1v9_236	FADSYN-RXN
S_S2_Ca_088_v1v9_237	RIBOFLAVINKIN-RXN
S_S2_Ca_088_v1v9_238	RXN-11839
S_S2_Ca_088_v1v9_239	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S2_Ca_088_v1v9_241	3.1.22.4-RXN
S_S2_Ca_088_v1v9_242	RXN-1961
S_S2_Ca_088_v1v9_243	PHOSACETYLTRANS-RXN
S_S2_Ca_088_v1v9_244	IMIDPHOSDEHYD-RXN
S_S2_Ca_088_v1v9_245	PRPPSYN-RXN
S_S2_Ca_088_v1v9_246	HISTAMINOTRANS-RXN
S_S2_Ca_088_v1v9_247	RXN-7669
S_S2_Ca_088_v1v9_247	GLYCOGEN-BRANCH-RXN
S_S2_Ca_088_v1v9_247	RXN-7710
S_S2_Ca_088_v1v9_247	RXN-14371
S_S2_Ca_088_v1v9_247	RXN-14372
S_S2_Ca_088_v1v9_248	RXN-13482
S_S2_Ca_088_v1v9_248	ORNCARBAMTRANSFER-RXN
S_S2_Ca_088_v1v9_249	2.7.3.9-RXN
S_S2_Ca_088_v1v9_250	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S2_Ca_088_v1v9_251	GLYCINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_252	GLYCINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_253	ABC-14-RXN
S_S2_Ca_088_v1v9_253	ABC-12-RXN
S_S2_Ca_088_v1v9_253	RXN0-3
S_S2_Ca_088_v1v9_253	ABC-4-RXN
S_S2_Ca_088_v1v9_253	TRANS-RXN-265
S_S2_Ca_088_v1v9_253	ABC-3-RXN
S_S2_Ca_088_v1v9_253	TRANS-RXN0-222
S_S2_Ca_088_v1v9_253	ABC-13-RXN
S_S2_Ca_088_v1v9_253	TRANS-RXN0-593
S_S2_Ca_088_v1v9_253	3.6.3.21-RXN
S_S2_Ca_088_v1v9_253	ABC-37-RXN
S_S2_Ca_088_v1v9_254	ABC-14-RXN
S_S2_Ca_088_v1v9_254	ABC-12-RXN
S_S2_Ca_088_v1v9_254	RXN0-3
S_S2_Ca_088_v1v9_254	ABC-4-RXN
S_S2_Ca_088_v1v9_254	TRANS-RXN-265
S_S2_Ca_088_v1v9_254	ABC-3-RXN
S_S2_Ca_088_v1v9_254	TRANS-RXN0-222
S_S2_Ca_088_v1v9_254	ABC-13-RXN
S_S2_Ca_088_v1v9_254	TRANS-RXN0-593
S_S2_Ca_088_v1v9_254	3.6.3.21-RXN
S_S2_Ca_088_v1v9_254	ABC-37-RXN
S_S2_Ca_088_v1v9_255	RXN-15006
S_S2_Ca_088_v1v9_255	N-ACETYLGLUTPREDUCT-RXN
S_S2_Ca_088_v1v9_256	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_257	PRIBFAICARPISOM-RXN
S_S2_Ca_088_v1v9_258	DIHYDROFOLATEREDUCT-RXN
S_S2_Ca_088_v1v9_259	THIAZOLSYN3-RXN
S_S2_Ca_088_v1v9_260	SHIKIMATE-KINASE-RXN
S_S2_Ca_088_v1v9_261	RXN-16076
S_S2_Ca_088_v1v9_261	RXN-16077
S_S2_Ca_088_v1v9_261	RXN-16032
S_S2_Ca_088_v1v9_261	RXN-16118
S_S2_Ca_088_v1v9_261	RXN-15043
S_S2_Ca_088_v1v9_261	RXN0-6705
S_S2_Ca_088_v1v9_261	RXN-16067
S_S2_Ca_088_v1v9_261	RXN-16066
S_S2_Ca_088_v1v9_261	RXN-16025
S_S2_Ca_088_v1v9_261	RXN0-5514
S_S2_Ca_088_v1v9_261	RXN-1623
S_S2_Ca_088_v1v9_261	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Ca_088_v1v9_262	3.1.26.3-RXN
S_S2_Ca_088_v1v9_263	RXN-11637
S_S2_Ca_088_v1v9_264	HISTCYCLOHYD-RXN
S_S2_Ca_088_v1v9_265	NAD-SYNTH-GLN-RXN
S_S2_Ca_088_v1v9_266	NAD-SYNTH-GLN-RXN
S_S2_Ca_088_v1v9_267	RXN-8001
S_S2_Ca_088_v1v9_268	RXN-14569
S_S2_Ca_088_v1v9_269	RXN0-1321
S_S2_Ca_088_v1v9_269	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_270	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_271	VALINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_272	3PGAREARR-RXN
S_S2_Ca_088_v1v9_273	3PGAREARR-RXN
S_S2_Ca_088_v1v9_274	DXS-RXN
S_S2_Ca_088_v1v9_275	PREPHENATEDEHYDROG-RXN
S_S2_Ca_088_v1v9_276	DCMP-DEAMINASE-RXN
S_S2_Ca_088_v1v9_277	RXN-7913
S_S2_Ca_088_v1v9_277	RXN-11832
S_S2_Ca_088_v1v9_278	SERINE-O-ACETTRAN-RXN
S_S2_Ca_088_v1v9_279	GLUTSEMIALDEHYDROG-RXN
S_S2_Ca_088_v1v9_280	GLUTKIN-RXN
S_S2_Ca_088_v1v9_281	2TRANSKETO-RXN
S_S2_Ca_088_v1v9_281	1TRANSKETO-RXN
S_S2_Ca_088_v1v9_282	2TRANSKETO-RXN
S_S2_Ca_088_v1v9_282	1TRANSKETO-RXN
S_S2_Ca_088_v1v9_283	SAICARSYN-RXN
S_S2_Ca_088_v1v9_284	4.2.99.18-RXN
S_S2_Ca_088_v1v9_284	RXN0-2601
S_S2_Ca_088_v1v9_285	ARGSUCCINSYN-RXN
