S_NS6_Ca_028_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Ca_028_v1v9_42	PROTEIN-KINASE-RXN
S_NS6_Ca_028_v1v9_43	RXN-11065
S_NS6_Ca_028_v1v9_43	3.4.16.4-RXN
S_NS6_Ca_028_v1v9_43	RXN-16649
S_NS6_Ca_028_v1v9_43	RXN-11351
S_NS6_Ca_028_v1v9_43	RXN-16659
S_NS6_Ca_028_v1v9_43	RXN-11302
S_NS6_Ca_028_v1v9_44	RXN-11065
S_NS6_Ca_028_v1v9_44	3.4.16.4-RXN
S_NS6_Ca_028_v1v9_44	RXN-16649
S_NS6_Ca_028_v1v9_44	RXN-11351
S_NS6_Ca_028_v1v9_44	RXN-16659
S_NS6_Ca_028_v1v9_44	RXN-11302
S_NS6_Ca_028_v1v9_45	RXN-11065
S_NS6_Ca_028_v1v9_45	3.4.16.4-RXN
S_NS6_Ca_028_v1v9_45	RXN-16649
S_NS6_Ca_028_v1v9_45	RXN-11351
S_NS6_Ca_028_v1v9_45	RXN-16659
S_NS6_Ca_028_v1v9_45	RXN-11302
S_NS6_Ca_028_v1v9_46	RXN-11065
S_NS6_Ca_028_v1v9_46	3.4.16.4-RXN
S_NS6_Ca_028_v1v9_46	RXN-16649
S_NS6_Ca_028_v1v9_46	RXN-11351
S_NS6_Ca_028_v1v9_46	RXN-16659
S_NS6_Ca_028_v1v9_46	RXN-11302
S_NS6_Ca_028_v1v9_47	RXN-11065
S_NS6_Ca_028_v1v9_47	3.4.16.4-RXN
S_NS6_Ca_028_v1v9_47	RXN-16649
S_NS6_Ca_028_v1v9_47	RXN-11351
S_NS6_Ca_028_v1v9_47	RXN-16659
S_NS6_Ca_028_v1v9_47	RXN-11302
S_NS6_Ca_028_v1v9_48	3.1.21.3-RXN
S_NS6_Ca_028_v1v9_49	3.1.21.3-RXN
S_NS6_Ca_028_v1v9_50	3.1.21.3-RXN
S_NS6_Ca_028_v1v9_51	3.1.21.3-RXN
S_NS6_Ca_028_v1v9_52	3.1.21.3-RXN
S_NS6_Ca_028_v1v9_53	RXN-11109
S_NS6_Ca_028_v1v9_54	RXN-13202
S_NS6_Ca_028_v1v9_54	CARBPSYN-RXN
S_NS6_Ca_028_v1v9_55	RXN-13202
S_NS6_Ca_028_v1v9_55	CARBPSYN-RXN
S_NS6_Ca_028_v1v9_56	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS6_Ca_028_v1v9_57	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS6_Ca_028_v1v9_58	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_59	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_60	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_61	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_62	6.3.5.6-RXN
S_NS6_Ca_028_v1v9_63	6.3.5.6-RXN
S_NS6_Ca_028_v1v9_64	6.3.5.6-RXN
S_NS6_Ca_028_v1v9_65	6.3.5.7-RXN
S_NS6_Ca_028_v1v9_66	6.3.5.7-RXN
S_NS6_Ca_028_v1v9_67	6.3.5.7-RXN
S_NS6_Ca_028_v1v9_68	6PFRUCTPHOS-RXN
S_NS6_Ca_028_v1v9_69	RXN0-2584
S_NS6_Ca_028_v1v9_70	RXN0-2584
S_NS6_Ca_028_v1v9_71	RXN-11591
S_NS6_Ca_028_v1v9_72	ATPSYN-RXN
S_NS6_Ca_028_v1v9_73	ATPSYN-RXN
S_NS6_Ca_028_v1v9_75	RXN-12104
S_NS6_Ca_028_v1v9_76	1.5.1.20-RXN
S_NS6_Ca_028_v1v9_77	FGAMSYN-RXN
S_NS6_Ca_028_v1v9_78	3.1.26.4-RXN
S_NS6_Ca_028_v1v9_79	3.1.26.4-RXN
S_NS6_Ca_028_v1v9_80	3.1.3.16-RXN
S_NS6_Ca_028_v1v9_81	3.1.3.16-RXN
S_NS6_Ca_028_v1v9_82	3.1.3.16-RXN
S_NS6_Ca_028_v1v9_83	2.7.8.12-RXN
S_NS6_Ca_028_v1v9_83	TEICHOICSYN4-RXN
S_NS6_Ca_028_v1v9_84	2.7.8.12-RXN
S_NS6_Ca_028_v1v9_84	TEICHOICSYN4-RXN
S_NS6_Ca_028_v1v9_85	RXN-16024
S_NS6_Ca_028_v1v9_85	RXN-16117
S_NS6_Ca_028_v1v9_85	RXN-10462
S_NS6_Ca_028_v1v9_85	RXN-13805
S_NS6_Ca_028_v1v9_85	RXN-1381
S_NS6_Ca_028_v1v9_85	RXN-15045
S_NS6_Ca_028_v1v9_86	RXN-16024
S_NS6_Ca_028_v1v9_86	RXN-16117
S_NS6_Ca_028_v1v9_86	RXN-10462
S_NS6_Ca_028_v1v9_86	RXN-13805
S_NS6_Ca_028_v1v9_86	RXN-1381
S_NS6_Ca_028_v1v9_86	RXN-15045
S_NS6_Ca_028_v1v9_87	HISTONE-ACETYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_88	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_89	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_90	DALADALALIG-RXN
S_NS6_Ca_028_v1v9_91	5.99.1.3-RXN
S_NS6_Ca_028_v1v9_92	5.99.1.3-RXN
S_NS6_Ca_028_v1v9_93	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS6_Ca_028_v1v9_93	ACETYLHOMOSER-CYS-RXN
S_NS6_Ca_028_v1v9_94	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS6_Ca_028_v1v9_94	ACETYLHOMOSER-CYS-RXN
S_NS6_Ca_028_v1v9_95	SULFOCYS-RXN
S_NS6_Ca_028_v1v9_95	RXN-12726
S_NS6_Ca_028_v1v9_95	ACSERLY-RXN
S_NS6_Ca_028_v1v9_96	OHMETPYRKIN-RXN
S_NS6_Ca_028_v1v9_97	PYRIMSYN3-RXN
S_NS6_Ca_028_v1v9_98	PYRIMSYN1-RXN
S_NS6_Ca_028_v1v9_99	GLUTAMINESYN-RXN
S_NS6_Ca_028_v1v9_100	GLUTAMINESYN-RXN
S_NS6_Ca_028_v1v9_101	ADENPRIBOSYLTRAN-RXN
S_NS6_Ca_028_v1v9_101	RXN-14270
S_NS6_Ca_028_v1v9_102	ADENYL-KIN-RXN
S_NS6_Ca_028_v1v9_103	3.4.21.89-RXN
S_NS6_Ca_028_v1v9_104	RXN-15881
S_NS6_Ca_028_v1v9_104	RXN-14384
S_NS6_Ca_028_v1v9_104	RXN-14385
S_NS6_Ca_028_v1v9_104	RXN-14386
S_NS6_Ca_028_v1v9_104	RXN-12587
S_NS6_Ca_028_v1v9_104	RXN-9787
S_NS6_Ca_028_v1v9_104	RXN-12588
S_NS6_Ca_028_v1v9_104	RXN0-308
S_NS6_Ca_028_v1v9_105	RXN-15881
S_NS6_Ca_028_v1v9_105	RXN-14384
S_NS6_Ca_028_v1v9_105	RXN-14385
S_NS6_Ca_028_v1v9_105	RXN-14386
S_NS6_Ca_028_v1v9_105	RXN-12587
S_NS6_Ca_028_v1v9_105	RXN-9787
S_NS6_Ca_028_v1v9_105	RXN-12588
S_NS6_Ca_028_v1v9_105	RXN0-308
S_NS6_Ca_028_v1v9_106	ABC-27-RXN
S_NS6_Ca_028_v1v9_107	ABC-27-RXN
S_NS6_Ca_028_v1v9_108	RXN0-6948
S_NS6_Ca_028_v1v9_108	N-ACETYLTRANSFER-RXN
S_NS6_Ca_028_v1v9_109	RXN-11837
S_NS6_Ca_028_v1v9_110	RXN-11837
S_NS6_Ca_028_v1v9_111	UDPGLUCEPIM-RXN
S_NS6_Ca_028_v1v9_112	UDPGLUCEPIM-RXN
S_NS6_Ca_028_v1v9_113	2PGADEHYDRAT-RXN
S_NS6_Ca_028_v1v9_115	DIHYDROOROT-RXN
S_NS6_Ca_028_v1v9_116	GLUCOKIN-RXN
S_NS6_Ca_028_v1v9_116	RXN66-521
S_NS6_Ca_028_v1v9_116	RXN-1685
S_NS6_Ca_028_v1v9_117	GLUCOKIN-RXN
S_NS6_Ca_028_v1v9_117	RXN66-521
S_NS6_Ca_028_v1v9_117	RXN-1685
S_NS6_Ca_028_v1v9_118	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_119	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_120	3.5.1.88-RXN
S_NS6_Ca_028_v1v9_120	3.5.1.27-RXN
S_NS6_Ca_028_v1v9_121	3.5.1.88-RXN
S_NS6_Ca_028_v1v9_121	3.5.1.27-RXN
S_NS6_Ca_028_v1v9_122	3.5.1.88-RXN
S_NS6_Ca_028_v1v9_122	3.5.1.27-RXN
S_NS6_Ca_028_v1v9_123	TDCEACT-RXN
S_NS6_Ca_028_v1v9_124	TDCEACT-RXN
S_NS6_Ca_028_v1v9_125	TDCEACT-RXN
S_NS6_Ca_028_v1v9_126	RXN-11836
S_NS6_Ca_028_v1v9_127	2.7.1.90-RXN
S_NS6_Ca_028_v1v9_128	ALARACECAT-RXN
S_NS6_Ca_028_v1v9_129	3.1.11.6-RXN
S_NS6_Ca_028_v1v9_130	3.1.11.6-RXN
S_NS6_Ca_028_v1v9_131	2.1.1.63-RXN
S_NS6_Ca_028_v1v9_132	2.5.1.64-RXN
S_NS6_Ca_028_v1v9_133	2.5.1.64-RXN
S_NS6_Ca_028_v1v9_134	3.4.23.43-RXN
S_NS6_Ca_028_v1v9_135	METHIONINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_135	RXN-16165
S_NS6_Ca_028_v1v9_136	METHIONINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_136	RXN-16165
S_NS6_Ca_028_v1v9_137	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_138	DTDPDEHYRHAMREDUCT-RXN
S_NS6_Ca_028_v1v9_139	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS6_Ca_028_v1v9_140	RXN-12462
S_NS6_Ca_028_v1v9_141	RXN-12463
S_NS6_Ca_028_v1v9_142	RXN-14065
S_NS6_Ca_028_v1v9_143	RXN-14065
S_NS6_Ca_028_v1v9_144	OROPRIBTRANS-RXN
S_NS6_Ca_028_v1v9_145	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS6_Ca_028_v1v9_146	OROTPDECARB-RXN
S_NS6_Ca_028_v1v9_147	ASPARTATE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_148	THIOREDOXIN-REDUCT-NADPH-RXN
S_NS6_Ca_028_v1v9_149	4.3.1.17-RXN
S_NS6_Ca_028_v1v9_150	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_151	FARNESYLTRANSTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_152	FARNESYLTRANSTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_153	FPPSYN-RXN
S_NS6_Ca_028_v1v9_154	FPPSYN-RXN
S_NS6_Ca_028_v1v9_155	GPPSYN-RXN
S_NS6_Ca_028_v1v9_156	GPPSYN-RXN
S_NS6_Ca_028_v1v9_157	QUINOPRIBOTRANS-RXN
S_NS6_Ca_028_v1v9_158	RXN0-6480
S_NS6_Ca_028_v1v9_158	3.1.26.5-RXN
S_NS6_Ca_028_v1v9_159	RXN0-6727
S_NS6_Ca_028_v1v9_159	RXN-13141
S_NS6_Ca_028_v1v9_160	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Ca_028_v1v9_161	GLUTAMATESYN-RXN
S_NS6_Ca_028_v1v9_162	MANNPISOM-RXN
S_NS6_Ca_028_v1v9_163	RXN0-302
S_NS6_Ca_028_v1v9_164	RXN-11592
S_NS6_Ca_028_v1v9_165	RXN-12752
S_NS6_Ca_028_v1v9_165	RXN-13142
S_NS6_Ca_028_v1v9_166	PPPGPPHYDRO-RXN
S_NS6_Ca_028_v1v9_167	3.4.23.36-RXN
S_NS6_Ca_028_v1v9_168	ISOLEUCINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_169	PANTOTHENATE-KIN-RXN
S_NS6_Ca_028_v1v9_170	PANTOTHENATE-KIN-RXN
S_NS6_Ca_028_v1v9_171	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_172	GALACTOKIN-RXN
S_NS6_Ca_028_v1v9_173	3.1.11.2-RXN
S_NS6_Ca_028_v1v9_174	NAG6PDEACET-RXN
S_NS6_Ca_028_v1v9_174	3.5.1.80-RXN
S_NS6_Ca_028_v1v9_176	POLYPHOSPHATE-KINASE-RXN
S_NS6_Ca_028_v1v9_177	EXOPOLYPHOSPHATASE-RXN
S_NS6_Ca_028_v1v9_178	3.4.11.18-RXN
S_NS6_Ca_028_v1v9_179	3.4.11.18-RXN
S_NS6_Ca_028_v1v9_180	NAD-KIN-RXN
S_NS6_Ca_028_v1v9_181	RXN0-2921
S_NS6_Ca_028_v1v9_181	FOLYLPOLYGLUTAMATESYNTH-RXN
S_NS6_Ca_028_v1v9_181	FORMYLTHFGLUSYNTH-RXN
S_NS6_Ca_028_v1v9_182	DIHYDROFOLATESYNTH-RXN
S_NS6_Ca_028_v1v9_183	GLUTDEHYD-RXN
S_NS6_Ca_028_v1v9_187	PYRUVFORMLY-RXN
S_NS6_Ca_028_v1v9_188	THYMIDYLATESYN-RXN
S_NS6_Ca_028_v1v9_189	SELENOCYSTEINE-LYASE-RXN
S_NS6_Ca_028_v1v9_190	ALDOSE1EPIM-RXN
S_NS6_Ca_028_v1v9_190	ALDOSE-1-EPIMERASE-RXN
S_NS6_Ca_028_v1v9_191	ALDOSE1EPIM-RXN
S_NS6_Ca_028_v1v9_191	ALDOSE-1-EPIMERASE-RXN
S_NS6_Ca_028_v1v9_192	RXN-12002
S_NS6_Ca_028_v1v9_193	GAPOXNPHOSPHN-RXN
S_NS6_Ca_028_v1v9_194	2.7.7.60-RXN
S_NS6_Ca_028_v1v9_195	TRYPTOPHAN--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_196	TRYPTOPHAN--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_197	FRUCTOKINASE-RXN
S_NS6_Ca_028_v1v9_198	RXN-14517
S_NS6_Ca_028_v1v9_198	RXN-12458
S_NS6_Ca_028_v1v9_199	RXN-982
S_NS6_Ca_028_v1v9_200	RXN-14285
S_NS6_Ca_028_v1v9_200	RXN-14284
S_NS6_Ca_028_v1v9_200	RXN-14286
S_NS6_Ca_028_v1v9_200	RXN-14353
S_NS6_Ca_028_v1v9_200	RXN-9025
S_NS6_Ca_028_v1v9_200	RXN0-5182
S_NS6_Ca_028_v1v9_200	RXN0-5184
S_NS6_Ca_028_v1v9_200	GLYCOPHOSPHORYL-RXN
S_NS6_Ca_028_v1v9_200	RXN-12171
S_NS6_Ca_028_v1v9_200	GLYMALTOPHOSPHORYL-RXN
S_NS6_Ca_028_v1v9_200	RXN-1826
S_NS6_Ca_028_v1v9_200	RXN-12392
S_NS6_Ca_028_v1v9_201	RXN-14285
S_NS6_Ca_028_v1v9_201	RXN-14284
S_NS6_Ca_028_v1v9_201	RXN-14286
S_NS6_Ca_028_v1v9_201	RXN-14353
S_NS6_Ca_028_v1v9_201	RXN-9025
S_NS6_Ca_028_v1v9_201	RXN0-5182
S_NS6_Ca_028_v1v9_201	RXN0-5184
S_NS6_Ca_028_v1v9_201	GLYCOPHOSPHORYL-RXN
S_NS6_Ca_028_v1v9_201	RXN-12171
S_NS6_Ca_028_v1v9_201	GLYMALTOPHOSPHORYL-RXN
S_NS6_Ca_028_v1v9_201	RXN-1826
S_NS6_Ca_028_v1v9_201	RXN-12392
S_NS6_Ca_028_v1v9_202	3.6.3.8-RXN
S_NS6_Ca_028_v1v9_203	DTDPGLUCDEHYDRAT-RXN
S_NS6_Ca_028_v1v9_204	DTDPGLUCDEHYDRAT-RXN
S_NS6_Ca_028_v1v9_205	DTDPGLUCOSEPP-RXN
S_NS6_Ca_028_v1v9_206	HISTIDINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_207	PHOSGLYPHOS-RXN
S_NS6_Ca_028_v1v9_208	ADENYLOSUCCINATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_209	GART-RXN
S_NS6_Ca_028_v1v9_210	NMNAMIDOHYDRO-RXN
S_NS6_Ca_028_v1v9_211	RXN-14207
S_NS6_Ca_028_v1v9_211	PEPDEPHOS-RXN
S_NS6_Ca_028_v1v9_211	RXN-14117
S_NS6_Ca_028_v1v9_211	RXN-14192
S_NS6_Ca_028_v1v9_212	RXN-15878
S_NS6_Ca_028_v1v9_213	RXN0-882
S_NS6_Ca_028_v1v9_214	RXN-12460
S_NS6_Ca_028_v1v9_214	AMINOCYL-TRNA-HYDROLASE-RXN
S_NS6_Ca_028_v1v9_214	RXN-16637
S_NS6_Ca_028_v1v9_215	ALANINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_216	RXN-11633
S_NS6_Ca_028_v1v9_217	AIRS-RXN
S_NS6_Ca_028_v1v9_218	PRPPAMIDOTRANS-RXN
S_NS6_Ca_028_v1v9_219	P-PANTOCYSDECARB-RXN
S_NS6_Ca_028_v1v9_220	P-PANTOCYSLIG-RXN
S_NS6_Ca_028_v1v9_222	HISTIDPHOS-RXN
S_NS6_Ca_028_v1v9_223	GUANYL-KIN-RXN
S_NS6_Ca_028_v1v9_224	DXPREDISOM-RXN
S_NS6_Ca_028_v1v9_225	PANTEPADENYLYLTRAN-RXN
S_NS6_Ca_028_v1v9_226	GLUC1PURIDYLTRANS-RXN
S_NS6_Ca_028_v1v9_227	QUINOLINATE-SYNTHA-RXN
S_NS6_Ca_028_v1v9_228	RXN0-5462
S_NS6_Ca_028_v1v9_229	SERINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_229	RXN0-2161
S_NS6_Ca_028_v1v9_230	DIHYDRODIPICSYN-RXN
S_NS6_Ca_028_v1v9_231	RXN-14014
S_NS6_Ca_028_v1v9_232	THREONINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_233	RXN-14712
S_NS6_Ca_028_v1v9_233	RXN-15521
S_NS6_Ca_028_v1v9_233	2.4.1.129-RXN
S_NS6_Ca_028_v1v9_233	RXN-11350
S_NS6_Ca_028_v1v9_233	RXN-11291
S_NS6_Ca_028_v1v9_233	RXN-16650
S_NS6_Ca_028_v1v9_233	RXN-11348
S_NS6_Ca_028_v1v9_234	GLYC3PDEHYDROGBIOSYN-RXN
S_NS6_Ca_028_v1v9_235	LYSINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_236	GMP-SYN-GLUT-RXN
S_NS6_Ca_028_v1v9_237	GMP-SYN-GLUT-RXN
S_NS6_Ca_028_v1v9_238	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_NS6_Ca_028_v1v9_238	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_NS6_Ca_028_v1v9_238	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_NS6_Ca_028_v1v9_239	F16ALDOLASE-RXN
S_NS6_Ca_028_v1v9_239	RXN-8631
S_NS6_Ca_028_v1v9_240	F16ALDOLASE-RXN
S_NS6_Ca_028_v1v9_240	RXN-8631
S_NS6_Ca_028_v1v9_241	DIAMINOPIMDECARB-RXN
S_NS6_Ca_028_v1v9_242	RXN0-1342
S_NS6_Ca_028_v1v9_243	PGLYCDEHYDROG-RXN
S_NS6_Ca_028_v1v9_245	ASPARAGINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_246	IMP-DEHYDROG-RXN
S_NS6_Ca_028_v1v9_247	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_NS6_Ca_028_v1v9_248	PYRUFLAVREDUCT-RXN
S_NS6_Ca_028_v1v9_248	2-OXOBUTYRATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_249	PYRUFLAVREDUCT-RXN
S_NS6_Ca_028_v1v9_249	2-OXOBUTYRATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_250	DAHPSYN-RXN
S_NS6_Ca_028_v1v9_251	DAHPSYN-RXN
S_NS6_Ca_028_v1v9_252	FADSYN-RXN
S_NS6_Ca_028_v1v9_253	RIBOFLAVINKIN-RXN
S_NS6_Ca_028_v1v9_254	RXN-11839
S_NS6_Ca_028_v1v9_255	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_NS6_Ca_028_v1v9_257	3.1.22.4-RXN
S_NS6_Ca_028_v1v9_258	RXN-1961
S_NS6_Ca_028_v1v9_259	PHOSACETYLTRANS-RXN
S_NS6_Ca_028_v1v9_260	IMIDPHOSDEHYD-RXN
S_NS6_Ca_028_v1v9_261	PRPPSYN-RXN
S_NS6_Ca_028_v1v9_262	HISTAMINOTRANS-RXN
S_NS6_Ca_028_v1v9_263	RXN-7669
S_NS6_Ca_028_v1v9_263	GLYCOGEN-BRANCH-RXN
S_NS6_Ca_028_v1v9_263	RXN-7710
S_NS6_Ca_028_v1v9_263	RXN-14371
S_NS6_Ca_028_v1v9_263	RXN-14372
S_NS6_Ca_028_v1v9_264	RXN-13482
S_NS6_Ca_028_v1v9_264	ORNCARBAMTRANSFER-RXN
S_NS6_Ca_028_v1v9_265	RXN-13482
S_NS6_Ca_028_v1v9_265	ORNCARBAMTRANSFER-RXN
S_NS6_Ca_028_v1v9_266	2.7.3.9-RXN
S_NS6_Ca_028_v1v9_267	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_NS6_Ca_028_v1v9_268	GLYCINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_269	GLYCINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_270	UGD-RXN
S_NS6_Ca_028_v1v9_271	ABC-14-RXN
S_NS6_Ca_028_v1v9_271	ABC-12-RXN
S_NS6_Ca_028_v1v9_271	RXN0-3
S_NS6_Ca_028_v1v9_271	ABC-4-RXN
S_NS6_Ca_028_v1v9_271	TRANS-RXN-265
S_NS6_Ca_028_v1v9_271	ABC-3-RXN
S_NS6_Ca_028_v1v9_271	TRANS-RXN0-222
S_NS6_Ca_028_v1v9_271	ABC-13-RXN
S_NS6_Ca_028_v1v9_271	TRANS-RXN0-593
S_NS6_Ca_028_v1v9_271	3.6.3.21-RXN
S_NS6_Ca_028_v1v9_271	ABC-37-RXN
S_NS6_Ca_028_v1v9_272	ABC-14-RXN
S_NS6_Ca_028_v1v9_272	ABC-12-RXN
S_NS6_Ca_028_v1v9_272	RXN0-3
S_NS6_Ca_028_v1v9_272	ABC-4-RXN
S_NS6_Ca_028_v1v9_272	TRANS-RXN-265
S_NS6_Ca_028_v1v9_272	ABC-3-RXN
S_NS6_Ca_028_v1v9_272	TRANS-RXN0-222
S_NS6_Ca_028_v1v9_272	ABC-13-RXN
S_NS6_Ca_028_v1v9_272	TRANS-RXN0-593
S_NS6_Ca_028_v1v9_272	3.6.3.21-RXN
S_NS6_Ca_028_v1v9_272	ABC-37-RXN
S_NS6_Ca_028_v1v9_273	RXN-15006
S_NS6_Ca_028_v1v9_273	N-ACETYLGLUTPREDUCT-RXN
S_NS6_Ca_028_v1v9_274	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_275	PRIBFAICARPISOM-RXN
S_NS6_Ca_028_v1v9_276	DIHYDROFOLATEREDUCT-RXN
S_NS6_Ca_028_v1v9_277	THIAZOLSYN3-RXN
S_NS6_Ca_028_v1v9_278	SHIKIMATE-KINASE-RXN
S_NS6_Ca_028_v1v9_279	RXN-16076
S_NS6_Ca_028_v1v9_279	RXN-16077
S_NS6_Ca_028_v1v9_279	RXN-16032
S_NS6_Ca_028_v1v9_279	RXN-16118
S_NS6_Ca_028_v1v9_279	RXN-15043
S_NS6_Ca_028_v1v9_279	RXN0-6705
S_NS6_Ca_028_v1v9_279	RXN-16067
S_NS6_Ca_028_v1v9_279	RXN-16066
S_NS6_Ca_028_v1v9_279	RXN-16025
S_NS6_Ca_028_v1v9_279	RXN0-5514
S_NS6_Ca_028_v1v9_279	RXN-1623
S_NS6_Ca_028_v1v9_279	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_NS6_Ca_028_v1v9_280	3.1.26.3-RXN
S_NS6_Ca_028_v1v9_281	RXN-11637
S_NS6_Ca_028_v1v9_282	HISTCYCLOHYD-RXN
