S_S5_He_108_v1v9_1	NADH-DEHYDROG-A-RXN
S_S5_He_108_v1v9_55	TRANS-RXN-2
S_S5_He_108_v1v9_55	3.6.3.12-RXN
S_S5_He_108_v1v9_56	TRANS-RXN-2
S_S5_He_108_v1v9_56	3.6.3.12-RXN
S_S5_He_108_v1v9_57	TRANS-RXN-2
S_S5_He_108_v1v9_57	3.6.3.12-RXN
S_S5_He_108_v1v9_58	TRANS-RXN-2
S_S5_He_108_v1v9_58	3.6.3.12-RXN
S_S5_He_108_v1v9_59	TRANS-RXN-2
S_S5_He_108_v1v9_59	3.6.3.12-RXN
S_S5_He_108_v1v9_60	TRANS-RXN-2
S_S5_He_108_v1v9_60	3.6.3.12-RXN
S_S5_He_108_v1v9_61	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_v1v9_62	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_v1v9_63	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_v1v9_64	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_v1v9_65	2.7.13.3-RXN
S_S5_He_108_v1v9_66	2.7.13.3-RXN
S_S5_He_108_v1v9_67	2.7.13.3-RXN
S_S5_He_108_v1v9_68	2.7.13.3-RXN
S_S5_He_108_v1v9_69	2.7.13.3-RXN
S_S5_He_108_v1v9_70	2.7.13.3-RXN
S_S5_He_108_v1v9_71	2.7.13.3-RXN
S_S5_He_108_v1v9_72	2.7.13.3-RXN
S_S5_He_108_v1v9_73	2.7.13.3-RXN
S_S5_He_108_v1v9_74	2.7.13.3-RXN
S_S5_He_108_v1v9_75	2.7.13.3-RXN
S_S5_He_108_v1v9_76	2.7.13.3-RXN
S_S5_He_108_v1v9_77	2.7.13.3-RXN
S_S5_He_108_v1v9_78	2.7.13.3-RXN
S_S5_He_108_v1v9_79	2.7.13.3-RXN
S_S5_He_108_v1v9_80	2.7.13.3-RXN
S_S5_He_108_v1v9_81	2.7.13.3-RXN
S_S5_He_108_v1v9_82	2.7.13.3-RXN
S_S5_He_108_v1v9_83	2.7.13.3-RXN
S_S5_He_108_v1v9_84	2.7.13.3-RXN
S_S5_He_108_v1v9_85	2.7.13.3-RXN
S_S5_He_108_v1v9_86	2.7.13.3-RXN
S_S5_He_108_v1v9_87	2.7.13.3-RXN
S_S5_He_108_v1v9_88	2.7.13.3-RXN
S_S5_He_108_v1v9_89	2.7.13.3-RXN
S_S5_He_108_v1v9_90	2.7.13.3-RXN
S_S5_He_108_v1v9_91	2.7.13.3-RXN
S_S5_He_108_v1v9_92	2.7.13.3-RXN
S_S5_He_108_v1v9_93	2.7.13.3-RXN
S_S5_He_108_v1v9_94	2.7.13.3-RXN
S_S5_He_108_v1v9_95	2.7.13.3-RXN
S_S5_He_108_v1v9_96	2.7.13.3-RXN
S_S5_He_108_v1v9_97	2.7.13.3-RXN
S_S5_He_108_v1v9_98	2.7.13.3-RXN
S_S5_He_108_v1v9_99	2.7.13.3-RXN
S_S5_He_108_v1v9_100	2.7.13.3-RXN
S_S5_He_108_v1v9_101	2.7.13.3-RXN
S_S5_He_108_v1v9_102	2.7.13.3-RXN
S_S5_He_108_v1v9_103	2.7.13.3-RXN
S_S5_He_108_v1v9_104	2.7.13.3-RXN
S_S5_He_108_v1v9_105	2.7.13.3-RXN
S_S5_He_108_v1v9_106	2.7.13.3-RXN
S_S5_He_108_v1v9_107	2.7.13.3-RXN
S_S5_He_108_v1v9_108	2.7.13.3-RXN
S_S5_He_108_v1v9_109	2.7.13.3-RXN
S_S5_He_108_v1v9_110	2.7.13.3-RXN
S_S5_He_108_v1v9_111	2.7.13.3-RXN
S_S5_He_108_v1v9_112	2.7.13.3-RXN
S_S5_He_108_v1v9_113	2.7.13.3-RXN
S_S5_He_108_v1v9_114	2.7.13.3-RXN
S_S5_He_108_v1v9_115	2.7.13.3-RXN
S_S5_He_108_v1v9_116	2.7.13.3-RXN
S_S5_He_108_v1v9_117	2.7.13.3-RXN
S_S5_He_108_v1v9_118	2.7.13.3-RXN
S_S5_He_108_v1v9_119	2.7.13.3-RXN
S_S5_He_108_v1v9_120	2.7.13.3-RXN
S_S5_He_108_v1v9_121	2.7.13.3-RXN
S_S5_He_108_v1v9_122	2.7.13.3-RXN
S_S5_He_108_v1v9_123	2.7.13.3-RXN
S_S5_He_108_v1v9_124	2.7.13.3-RXN
S_S5_He_108_v1v9_125	2.7.13.3-RXN
S_S5_He_108_v1v9_126	2.7.13.3-RXN
S_S5_He_108_v1v9_127	2.7.13.3-RXN
S_S5_He_108_v1v9_128	RXN-14267
S_S5_He_108_v1v9_128	RXN0-5225
S_S5_He_108_v1v9_128	3.4.24.32-RXN
S_S5_He_108_v1v9_129	RXN-14267
S_S5_He_108_v1v9_129	RXN0-5225
S_S5_He_108_v1v9_129	3.4.24.32-RXN
S_S5_He_108_v1v9_130	RXN-14267
S_S5_He_108_v1v9_130	RXN0-5225
S_S5_He_108_v1v9_130	3.4.24.32-RXN
S_S5_He_108_v1v9_131	RXN-14267
S_S5_He_108_v1v9_131	RXN0-5225
S_S5_He_108_v1v9_131	3.4.24.32-RXN
S_S5_He_108_v1v9_132	RXN-14267
S_S5_He_108_v1v9_132	RXN0-5225
S_S5_He_108_v1v9_132	3.4.24.32-RXN
S_S5_He_108_v1v9_133	RXN-14267
S_S5_He_108_v1v9_133	RXN0-5225
S_S5_He_108_v1v9_133	3.4.24.32-RXN
S_S5_He_108_v1v9_134	RXN-14267
S_S5_He_108_v1v9_134	RXN0-5225
S_S5_He_108_v1v9_134	3.4.24.32-RXN
S_S5_He_108_v1v9_135	ALPHA-L-FUCOSIDASE-RXN
S_S5_He_108_v1v9_136	ALPHA-L-FUCOSIDASE-RXN
S_S5_He_108_v1v9_137	GPH-RXN
S_S5_He_108_v1v9_138	GPH-RXN
S_S5_He_108_v1v9_139	INORGPYROPHOSPHAT-RXN
S_S5_He_108_v1v9_140	INORGPYROPHOSPHAT-RXN
S_S5_He_108_v1v9_141	INORGPYROPHOSPHAT-RXN
S_S5_He_108_v1v9_142	INORGPYROPHOSPHAT-RXN
S_S5_He_108_v1v9_143	INORGPYROPHOSPHAT-RXN
S_S5_He_108_v1v9_144	ANTHRANSYN-RXN
S_S5_He_108_v1v9_145	ANTHRANSYN-RXN
S_S5_He_108_v1v9_146	ANTHRANSYN-RXN
S_S5_He_108_v1v9_147	3.2.1.18-RXN
S_S5_He_108_v1v9_148	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_149	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_150	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_151	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_152	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_153	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_154	PROTEIN-KINASE-RXN
S_S5_He_108_v1v9_155	RXN-11065
S_S5_He_108_v1v9_155	3.4.16.4-RXN
S_S5_He_108_v1v9_155	RXN-16649
S_S5_He_108_v1v9_155	RXN-11351
S_S5_He_108_v1v9_155	RXN-16659
S_S5_He_108_v1v9_155	RXN-11302
S_S5_He_108_v1v9_156	RXN-11065
S_S5_He_108_v1v9_156	3.4.16.4-RXN
S_S5_He_108_v1v9_156	RXN-16649
S_S5_He_108_v1v9_156	RXN-11351
S_S5_He_108_v1v9_156	RXN-16659
S_S5_He_108_v1v9_156	RXN-11302
S_S5_He_108_v1v9_157	RXN-11065
S_S5_He_108_v1v9_157	3.4.16.4-RXN
S_S5_He_108_v1v9_157	RXN-16649
S_S5_He_108_v1v9_157	RXN-11351
S_S5_He_108_v1v9_157	RXN-16659
S_S5_He_108_v1v9_157	RXN-11302
S_S5_He_108_v1v9_158	RXN-11065
S_S5_He_108_v1v9_158	3.4.16.4-RXN
S_S5_He_108_v1v9_158	RXN-16649
S_S5_He_108_v1v9_158	RXN-11351
S_S5_He_108_v1v9_158	RXN-16659
S_S5_He_108_v1v9_158	RXN-11302
S_S5_He_108_v1v9_159	RXN-11065
S_S5_He_108_v1v9_159	3.4.16.4-RXN
S_S5_He_108_v1v9_159	RXN-16649
S_S5_He_108_v1v9_159	RXN-11351
S_S5_He_108_v1v9_159	RXN-16659
S_S5_He_108_v1v9_159	RXN-11302
S_S5_He_108_v1v9_160	RXN-11065
S_S5_He_108_v1v9_160	3.4.16.4-RXN
S_S5_He_108_v1v9_160	RXN-16649
S_S5_He_108_v1v9_160	RXN-11351
S_S5_He_108_v1v9_160	RXN-16659
S_S5_He_108_v1v9_160	RXN-11302
S_S5_He_108_v1v9_161	RXN-11065
S_S5_He_108_v1v9_161	3.4.16.4-RXN
S_S5_He_108_v1v9_161	RXN-16649
S_S5_He_108_v1v9_161	RXN-11351
S_S5_He_108_v1v9_161	RXN-16659
S_S5_He_108_v1v9_161	RXN-11302
S_S5_He_108_v1v9_162	RXN-11065
S_S5_He_108_v1v9_162	3.4.16.4-RXN
S_S5_He_108_v1v9_162	RXN-16649
S_S5_He_108_v1v9_162	RXN-11351
S_S5_He_108_v1v9_162	RXN-16659
S_S5_He_108_v1v9_162	RXN-11302
S_S5_He_108_v1v9_163	RXN-11065
S_S5_He_108_v1v9_163	3.4.16.4-RXN
S_S5_He_108_v1v9_163	RXN-16649
S_S5_He_108_v1v9_163	RXN-11351
S_S5_He_108_v1v9_163	RXN-16659
S_S5_He_108_v1v9_163	RXN-11302
S_S5_He_108_v1v9_164	RXN-11065
S_S5_He_108_v1v9_164	3.4.16.4-RXN
S_S5_He_108_v1v9_164	RXN-16649
S_S5_He_108_v1v9_164	RXN-11351
S_S5_He_108_v1v9_164	RXN-16659
S_S5_He_108_v1v9_164	RXN-11302
S_S5_He_108_v1v9_165	RXN-11065
S_S5_He_108_v1v9_165	3.4.16.4-RXN
S_S5_He_108_v1v9_165	RXN-16649
S_S5_He_108_v1v9_165	RXN-11351
S_S5_He_108_v1v9_165	RXN-16659
S_S5_He_108_v1v9_165	RXN-11302
S_S5_He_108_v1v9_166	RXN-11065
S_S5_He_108_v1v9_166	3.4.16.4-RXN
S_S5_He_108_v1v9_166	RXN-16649
S_S5_He_108_v1v9_166	RXN-11351
S_S5_He_108_v1v9_166	RXN-16659
S_S5_He_108_v1v9_166	RXN-11302
S_S5_He_108_v1v9_167	RXN-11065
S_S5_He_108_v1v9_167	3.4.16.4-RXN
S_S5_He_108_v1v9_167	RXN-16649
S_S5_He_108_v1v9_167	RXN-11351
S_S5_He_108_v1v9_167	RXN-16659
S_S5_He_108_v1v9_167	RXN-11302
S_S5_He_108_v1v9_168	RXN-11065
S_S5_He_108_v1v9_168	3.4.16.4-RXN
S_S5_He_108_v1v9_168	RXN-16649
S_S5_He_108_v1v9_168	RXN-11351
S_S5_He_108_v1v9_168	RXN-16659
S_S5_He_108_v1v9_168	RXN-11302
S_S5_He_108_v1v9_169	3.1.21.3-RXN
S_S5_He_108_v1v9_170	RXN-11109
S_S5_He_108_v1v9_171	RXN-11109
S_S5_He_108_v1v9_172	RXN-11109
S_S5_He_108_v1v9_173	RXN-13202
S_S5_He_108_v1v9_173	CARBPSYN-RXN
S_S5_He_108_v1v9_174	RXN-13202
S_S5_He_108_v1v9_174	CARBPSYN-RXN
S_S5_He_108_v1v9_175	RXN-13202
S_S5_He_108_v1v9_175	CARBPSYN-RXN
S_S5_He_108_v1v9_176	RXN-13202
S_S5_He_108_v1v9_176	CARBPSYN-RXN
S_S5_He_108_v1v9_177	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_He_108_v1v9_178	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_He_108_v1v9_179	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_He_108_v1v9_180	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_v1v9_181	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_v1v9_182	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_v1v9_183	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_He_108_v1v9_184	2-ISOPROPYLMALATESYN-RXN
S_S5_He_108_v1v9_185	RXN-11602
S_S5_He_108_v1v9_186	TRYPSYN-RXN
S_S5_He_108_v1v9_187	TRYPSYN-RXN
S_S5_He_108_v1v9_188	TRYPSYN-RXN
S_S5_He_108_v1v9_189	6.3.5.6-RXN
S_S5_He_108_v1v9_190	6.3.5.6-RXN
S_S5_He_108_v1v9_191	6.3.5.6-RXN
S_S5_He_108_v1v9_192	6.3.5.7-RXN
S_S5_He_108_v1v9_193	6.3.5.7-RXN
S_S5_He_108_v1v9_194	6.3.5.7-RXN
S_S5_He_108_v1v9_195	6PFRUCTPHOS-RXN
S_S5_He_108_v1v9_196	6PFRUCTPHOS-RXN
S_S5_He_108_v1v9_197	6PFRUCTPHOS-RXN
S_S5_He_108_v1v9_198	6PFRUCTPHOS-RXN
S_S5_He_108_v1v9_199	6PFRUCTPHOS-RXN
S_S5_He_108_v1v9_200	6PFRUCTPHOS-RXN
S_S5_He_108_v1v9_201	RXN-11591
S_S5_He_108_v1v9_202	ATPSYN-RXN
S_S5_He_108_v1v9_203	ATPSYN-RXN
S_S5_He_108_v1v9_204	ATPSYN-RXN
S_S5_He_108_v1v9_205	ATPSYN-RXN
S_S5_He_108_v1v9_206	ATPSYN-RXN
S_S5_He_108_v1v9_207	ATPSYN-RXN
S_S5_He_108_v1v9_210	RXN-12104
S_S5_He_108_v1v9_211	1.5.1.20-RXN
S_S5_He_108_v1v9_212	1.5.1.20-RXN
S_S5_He_108_v1v9_213	FGAMSYN-RXN
S_S5_He_108_v1v9_214	3.1.26.4-RXN
S_S5_He_108_v1v9_215	3.1.26.4-RXN
S_S5_He_108_v1v9_216	3.1.26.4-RXN
S_S5_He_108_v1v9_217	3.1.3.16-RXN
S_S5_He_108_v1v9_218	3.1.3.16-RXN
S_S5_He_108_v1v9_219	3.1.3.16-RXN
S_S5_He_108_v1v9_220	3.1.3.16-RXN
S_S5_He_108_v1v9_221	2.7.8.12-RXN
S_S5_He_108_v1v9_221	TEICHOICSYN4-RXN
S_S5_He_108_v1v9_222	RXN-16024
S_S5_He_108_v1v9_222	RXN-16117
S_S5_He_108_v1v9_222	RXN-10462
S_S5_He_108_v1v9_222	RXN-13805
S_S5_He_108_v1v9_222	RXN-1381
S_S5_He_108_v1v9_222	RXN-15045
S_S5_He_108_v1v9_223	RXN-16024
S_S5_He_108_v1v9_223	RXN-16117
S_S5_He_108_v1v9_223	RXN-10462
S_S5_He_108_v1v9_223	RXN-13805
S_S5_He_108_v1v9_223	RXN-1381
S_S5_He_108_v1v9_223	RXN-15045
S_S5_He_108_v1v9_224	THI-P-SYN-RXN
S_S5_He_108_v1v9_224	RXN-12610
S_S5_He_108_v1v9_224	RXN-12611
S_S5_He_108_v1v9_225	MALTACETYLTRAN-RXN
S_S5_He_108_v1v9_226	MALTACETYLTRAN-RXN
S_S5_He_108_v1v9_227	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_228	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_229	GLUCUROISOM-RXN
S_S5_He_108_v1v9_229	GALACTUROISOM-RXN
S_S5_He_108_v1v9_230	GLUCUROISOM-RXN
S_S5_He_108_v1v9_230	GALACTUROISOM-RXN
S_S5_He_108_v1v9_231	ADCLY-RXN
S_S5_He_108_v1v9_232	ABC-9-RXN
S_S5_He_108_v1v9_232	ABC-10-RXN
S_S5_He_108_v1v9_232	3.6.3.34-RXN
S_S5_He_108_v1v9_232	ABC-11-RXN
S_S5_He_108_v1v9_233	ABC-9-RXN
S_S5_He_108_v1v9_233	ABC-10-RXN
S_S5_He_108_v1v9_233	3.6.3.34-RXN
S_S5_He_108_v1v9_233	ABC-11-RXN
S_S5_He_108_v1v9_234	ABC-9-RXN
S_S5_He_108_v1v9_234	ABC-10-RXN
S_S5_He_108_v1v9_234	3.6.3.34-RXN
S_S5_He_108_v1v9_234	ABC-11-RXN
S_S5_He_108_v1v9_235	ABC-9-RXN
S_S5_He_108_v1v9_235	ABC-10-RXN
S_S5_He_108_v1v9_235	3.6.3.34-RXN
S_S5_He_108_v1v9_235	ABC-11-RXN
S_S5_He_108_v1v9_236	2.7.7.13-RXN
S_S5_He_108_v1v9_237	DALADALALIG-RXN
S_S5_He_108_v1v9_238	DALADALALIG-RXN
S_S5_He_108_v1v9_239	5.99.1.3-RXN
S_S5_He_108_v1v9_240	5.99.1.3-RXN
S_S5_He_108_v1v9_241	5.99.1.3-RXN
S_S5_He_108_v1v9_242	5.99.1.3-RXN
S_S5_He_108_v1v9_243	RXN-13163
S_S5_He_108_v1v9_244	RXN-13163
S_S5_He_108_v1v9_245	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_v1v9_245	RXN-12729
S_S5_He_108_v1v9_246	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_v1v9_246	RXN-12729
S_S5_He_108_v1v9_247	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_v1v9_247	RXN-12729
S_S5_He_108_v1v9_248	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_He_108_v1v9_248	RXN-12729
S_S5_He_108_v1v9_249	RXN-14461
S_S5_He_108_v1v9_250	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_He_108_v1v9_250	ACETYLHOMOSER-CYS-RXN
S_S5_He_108_v1v9_251	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_He_108_v1v9_251	ACETYLHOMOSER-CYS-RXN
S_S5_He_108_v1v9_252	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_He_108_v1v9_252	ACETYLHOMOSER-CYS-RXN
S_S5_He_108_v1v9_253	OHMETPYRKIN-RXN
S_S5_He_108_v1v9_254	PYRIMSYN3-RXN
S_S5_He_108_v1v9_255	OXALODECARB-RXN
S_S5_He_108_v1v9_256	OXALODECARB-RXN
S_S5_He_108_v1v9_257	OXALODECARB-RXN
S_S5_He_108_v1v9_258	GLUTAMINESYN-RXN
S_S5_He_108_v1v9_259	GLUTAMINESYN-RXN
S_S5_He_108_v1v9_260	GLUTAMINESYN-RXN
S_S5_He_108_v1v9_261	ADENPRIBOSYLTRAN-RXN
S_S5_He_108_v1v9_261	RXN-14270
S_S5_He_108_v1v9_262	ADENPRIBOSYLTRAN-RXN
S_S5_He_108_v1v9_262	RXN-14270
S_S5_He_108_v1v9_263	ADENYL-KIN-RXN
S_S5_He_108_v1v9_264	3.4.21.89-RXN
S_S5_He_108_v1v9_265	3.4.21.89-RXN
S_S5_He_108_v1v9_266	3.4.21.89-RXN
S_S5_He_108_v1v9_267	3.4.21.89-RXN
S_S5_He_108_v1v9_268	3.4.21.89-RXN
S_S5_He_108_v1v9_269	3.4.21.89-RXN
S_S5_He_108_v1v9_270	3.4.21.89-RXN
S_S5_He_108_v1v9_271	RXN-15881
S_S5_He_108_v1v9_271	RXN-14384
S_S5_He_108_v1v9_271	RXN-14385
S_S5_He_108_v1v9_271	RXN-14386
S_S5_He_108_v1v9_271	RXN-12587
S_S5_He_108_v1v9_271	RXN-9787
S_S5_He_108_v1v9_271	RXN-12588
S_S5_He_108_v1v9_271	RXN0-308
S_S5_He_108_v1v9_272	RXN-15881
S_S5_He_108_v1v9_272	RXN-14384
S_S5_He_108_v1v9_272	RXN-14385
S_S5_He_108_v1v9_272	RXN-14386
S_S5_He_108_v1v9_272	RXN-12587
S_S5_He_108_v1v9_272	RXN-9787
S_S5_He_108_v1v9_272	RXN-12588
S_S5_He_108_v1v9_272	RXN0-308
S_S5_He_108_v1v9_273	RXN-15881
S_S5_He_108_v1v9_273	RXN-14384
S_S5_He_108_v1v9_273	RXN-14385
S_S5_He_108_v1v9_273	RXN-14386
S_S5_He_108_v1v9_273	RXN-12587
S_S5_He_108_v1v9_273	RXN-9787
S_S5_He_108_v1v9_273	RXN-12588
S_S5_He_108_v1v9_273	RXN0-308
S_S5_He_108_v1v9_274	ABC-27-RXN
S_S5_He_108_v1v9_275	RXN0-6948
S_S5_He_108_v1v9_275	N-ACETYLTRANSFER-RXN
S_S5_He_108_v1v9_276	RXN0-6948
S_S5_He_108_v1v9_276	N-ACETYLTRANSFER-RXN
S_S5_He_108_v1v9_277	RXN-11837
S_S5_He_108_v1v9_278	RXN-11837
S_S5_He_108_v1v9_279	RXN-11837
S_S5_He_108_v1v9_280	UDPGLUCEPIM-RXN
S_S5_He_108_v1v9_281	UDPGLUCEPIM-RXN
S_S5_He_108_v1v9_282	UDPGLUCEPIM-RXN
S_S5_He_108_v1v9_283	UDPGLUCEPIM-RXN
S_S5_He_108_v1v9_284	2PGADEHYDRAT-RXN
S_S5_He_108_v1v9_285	2PGADEHYDRAT-RXN
S_S5_He_108_v1v9_286	ALPHAGALACTOSID-RXN
S_S5_He_108_v1v9_286	RXN-11501
S_S5_He_108_v1v9_286	RXN-12088
S_S5_He_108_v1v9_287	ALPHAGALACTOSID-RXN
S_S5_He_108_v1v9_287	RXN-11501
S_S5_He_108_v1v9_287	RXN-12088
S_S5_He_108_v1v9_288	ALPHAGALACTOSID-RXN
S_S5_He_108_v1v9_288	RXN-11501
S_S5_He_108_v1v9_288	RXN-12088
