S_NS1_Pm_023_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS1_Pm_023_v1v9_26	RXN-12400
S_NS1_Pm_023_v1v9_26	RXN-12399
S_NS1_Pm_023_v1v9_26	RXN-12398
S_NS1_Pm_023_v1v9_26	BETAGALACTOSID-RXN
S_NS1_Pm_023_v1v9_26	KETOLACTOSE-RXN
S_NS1_Pm_023_v1v9_27	3.2.1.23-RXN
S_NS1_Pm_023_v1v9_27	RXN-12400
S_NS1_Pm_023_v1v9_27	RXN-12399
S_NS1_Pm_023_v1v9_27	RXN-12398
S_NS1_Pm_023_v1v9_27	BETAGALACTOSID-RXN
S_NS1_Pm_023_v1v9_27	KETOLACTOSE-RXN
S_NS1_Pm_023_v1v9_28	3.2.1.23-RXN
S_NS1_Pm_023_v1v9_28	RXN-12400
S_NS1_Pm_023_v1v9_28	RXN-12399
S_NS1_Pm_023_v1v9_28	RXN-12398
S_NS1_Pm_023_v1v9_28	BETAGALACTOSID-RXN
S_NS1_Pm_023_v1v9_28	KETOLACTOSE-RXN
S_NS1_Pm_023_v1v9_29	3.2.1.23-RXN
S_NS1_Pm_023_v1v9_29	RXN-12400
S_NS1_Pm_023_v1v9_29	RXN-12399
S_NS1_Pm_023_v1v9_29	RXN-12398
S_NS1_Pm_023_v1v9_29	BETAGALACTOSID-RXN
S_NS1_Pm_023_v1v9_29	KETOLACTOSE-RXN
S_NS1_Pm_023_v1v9_30	RXN0-5226
S_NS1_Pm_023_v1v9_30	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_30	RXN-12625
S_NS1_Pm_023_v1v9_30	RXN-12626
S_NS1_Pm_023_v1v9_31	RXN0-5226
S_NS1_Pm_023_v1v9_31	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_31	RXN-12625
S_NS1_Pm_023_v1v9_31	RXN-12626
S_NS1_Pm_023_v1v9_32	RXN0-5226
S_NS1_Pm_023_v1v9_32	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_32	RXN-12625
S_NS1_Pm_023_v1v9_32	RXN-12626
S_NS1_Pm_023_v1v9_33	RXN0-5226
S_NS1_Pm_023_v1v9_33	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_33	RXN-12625
S_NS1_Pm_023_v1v9_33	RXN-12626
S_NS1_Pm_023_v1v9_34	RXN0-5226
S_NS1_Pm_023_v1v9_34	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_34	RXN-12625
S_NS1_Pm_023_v1v9_34	RXN-12626
S_NS1_Pm_023_v1v9_35	RXN0-5226
S_NS1_Pm_023_v1v9_35	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_35	RXN-12625
S_NS1_Pm_023_v1v9_35	RXN-12626
S_NS1_Pm_023_v1v9_36	RXN0-5226
S_NS1_Pm_023_v1v9_36	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_36	RXN-12625
S_NS1_Pm_023_v1v9_36	RXN-12626
S_NS1_Pm_023_v1v9_37	RXN0-5226
S_NS1_Pm_023_v1v9_37	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_37	RXN-12625
S_NS1_Pm_023_v1v9_37	RXN-12626
S_NS1_Pm_023_v1v9_38	RXN0-5226
S_NS1_Pm_023_v1v9_38	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_38	RXN-12625
S_NS1_Pm_023_v1v9_38	RXN-12626
S_NS1_Pm_023_v1v9_39	RXN0-5226
S_NS1_Pm_023_v1v9_39	3.2.1.52-RXN
S_NS1_Pm_023_v1v9_39	RXN-12625
S_NS1_Pm_023_v1v9_39	RXN-12626
S_NS1_Pm_023_v1v9_40	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_41	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_42	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_43	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_44	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_45	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_46	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_47	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_48	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_49	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_50	2.1.1.72-RXN
S_NS1_Pm_023_v1v9_51	2.1.1.72-RXN
S_NS1_Pm_023_v1v9_52	2.1.1.72-RXN
S_NS1_Pm_023_v1v9_53	TRANS-RXN-2
S_NS1_Pm_023_v1v9_53	3.6.3.12-RXN
S_NS1_Pm_023_v1v9_54	TRANS-RXN-2
S_NS1_Pm_023_v1v9_54	3.6.3.12-RXN
S_NS1_Pm_023_v1v9_55	TRANS-RXN-2
S_NS1_Pm_023_v1v9_55	3.6.3.12-RXN
S_NS1_Pm_023_v1v9_56	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_57	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_58	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_59	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_60	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_61	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_62	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_63	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_64	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_65	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_66	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Pm_023_v1v9_67	2.7.13.3-RXN
S_NS1_Pm_023_v1v9_68	2.7.13.3-RXN
S_NS1_Pm_023_v1v9_69	2.7.13.3-RXN
S_NS1_Pm_023_v1v9_70	2.7.13.3-RXN
S_NS1_Pm_023_v1v9_71	2.7.13.3-RXN
S_NS1_Pm_023_v1v9_72	2.7.13.3-RXN
S_NS1_Pm_023_v1v9_73	RXN-14267
S_NS1_Pm_023_v1v9_73	RXN0-5225
S_NS1_Pm_023_v1v9_73	3.4.24.32-RXN
S_NS1_Pm_023_v1v9_74	RXN-14267
S_NS1_Pm_023_v1v9_74	RXN0-5225
S_NS1_Pm_023_v1v9_74	3.4.24.32-RXN
S_NS1_Pm_023_v1v9_75	RXN-14267
S_NS1_Pm_023_v1v9_75	RXN0-5225
S_NS1_Pm_023_v1v9_75	3.4.24.32-RXN
S_NS1_Pm_023_v1v9_76	RXN-14267
S_NS1_Pm_023_v1v9_76	RXN0-5225
S_NS1_Pm_023_v1v9_76	3.4.24.32-RXN
S_NS1_Pm_023_v1v9_77	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_78	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_79	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_80	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_81	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_82	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_83	ALPHA-L-FUCOSIDASE-RXN
S_NS1_Pm_023_v1v9_84	GPH-RXN
S_NS1_Pm_023_v1v9_85	GPH-RXN
S_NS1_Pm_023_v1v9_86	INORGPYROPHOSPHAT-RXN
S_NS1_Pm_023_v1v9_87	ANTHRANSYN-RXN
S_NS1_Pm_023_v1v9_88	ANTHRANSYN-RXN
S_NS1_Pm_023_v1v9_89	ANTHRANSYN-RXN
S_NS1_Pm_023_v1v9_90	3.2.1.18-RXN
S_NS1_Pm_023_v1v9_91	3.2.1.18-RXN
S_NS1_Pm_023_v1v9_92	3.2.1.18-RXN
S_NS1_Pm_023_v1v9_93	PROTEIN-KINASE-RXN
S_NS1_Pm_023_v1v9_94	PROTEIN-KINASE-RXN
S_NS1_Pm_023_v1v9_95	PROTEIN-KINASE-RXN
S_NS1_Pm_023_v1v9_96	PROTEIN-KINASE-RXN
S_NS1_Pm_023_v1v9_97	RXN-11065
S_NS1_Pm_023_v1v9_97	3.4.16.4-RXN
S_NS1_Pm_023_v1v9_97	RXN-16649
S_NS1_Pm_023_v1v9_97	RXN-11351
S_NS1_Pm_023_v1v9_97	RXN-16659
S_NS1_Pm_023_v1v9_97	RXN-11302
S_NS1_Pm_023_v1v9_98	RXN-11065
S_NS1_Pm_023_v1v9_98	3.4.16.4-RXN
S_NS1_Pm_023_v1v9_98	RXN-16649
S_NS1_Pm_023_v1v9_98	RXN-11351
S_NS1_Pm_023_v1v9_98	RXN-16659
S_NS1_Pm_023_v1v9_98	RXN-11302
S_NS1_Pm_023_v1v9_99	RXN-11065
S_NS1_Pm_023_v1v9_99	3.4.16.4-RXN
S_NS1_Pm_023_v1v9_99	RXN-16649
S_NS1_Pm_023_v1v9_99	RXN-11351
S_NS1_Pm_023_v1v9_99	RXN-16659
S_NS1_Pm_023_v1v9_99	RXN-11302
S_NS1_Pm_023_v1v9_100	RXN-11065
S_NS1_Pm_023_v1v9_100	3.4.16.4-RXN
S_NS1_Pm_023_v1v9_100	RXN-16649
S_NS1_Pm_023_v1v9_100	RXN-11351
S_NS1_Pm_023_v1v9_100	RXN-16659
S_NS1_Pm_023_v1v9_100	RXN-11302
S_NS1_Pm_023_v1v9_101	3.1.21.3-RXN
S_NS1_Pm_023_v1v9_102	RXN-11109
S_NS1_Pm_023_v1v9_103	RXN-11109
S_NS1_Pm_023_v1v9_104	RXN-11109
S_NS1_Pm_023_v1v9_105	RXN-13202
S_NS1_Pm_023_v1v9_105	CARBPSYN-RXN
S_NS1_Pm_023_v1v9_106	RXN-13202
S_NS1_Pm_023_v1v9_106	CARBPSYN-RXN
S_NS1_Pm_023_v1v9_107	RXN-13202
S_NS1_Pm_023_v1v9_107	CARBPSYN-RXN
S_NS1_Pm_023_v1v9_108	RXN-13202
S_NS1_Pm_023_v1v9_108	CARBPSYN-RXN
S_NS1_Pm_023_v1v9_109	3.4.24.70-RXN
S_NS1_Pm_023_v1v9_110	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS1_Pm_023_v1v9_111	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS1_Pm_023_v1v9_112	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_113	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_114	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Pm_023_v1v9_115	2-ISOPROPYLMALATESYN-RXN
S_NS1_Pm_023_v1v9_116	RXN-11602
S_NS1_Pm_023_v1v9_117	TRYPSYN-RXN
S_NS1_Pm_023_v1v9_118	TRYPSYN-RXN
S_NS1_Pm_023_v1v9_119	TRYPSYN-RXN
S_NS1_Pm_023_v1v9_120	6PFRUCTPHOS-RXN
S_NS1_Pm_023_v1v9_121	6PFRUCTPHOS-RXN
S_NS1_Pm_023_v1v9_122	6PFRUCTPHOS-RXN
S_NS1_Pm_023_v1v9_123	6PFRUCTPHOS-RXN
S_NS1_Pm_023_v1v9_124	RXN0-2584
S_NS1_Pm_023_v1v9_125	RXN0-2584
S_NS1_Pm_023_v1v9_126	ATPSYN-RXN
S_NS1_Pm_023_v1v9_127	ATPSYN-RXN
S_NS1_Pm_023_v1v9_128	ATPSYN-RXN
S_NS1_Pm_023_v1v9_131	RXN-12104
S_NS1_Pm_023_v1v9_132	1.5.1.20-RXN
S_NS1_Pm_023_v1v9_133	FGAMSYN-RXN
S_NS1_Pm_023_v1v9_134	3.1.26.4-RXN
S_NS1_Pm_023_v1v9_135	3.1.26.4-RXN
S_NS1_Pm_023_v1v9_136	3.1.3.16-RXN
S_NS1_Pm_023_v1v9_137	2.7.8.12-RXN
S_NS1_Pm_023_v1v9_137	TEICHOICSYN4-RXN
S_NS1_Pm_023_v1v9_138	THI-P-SYN-RXN
S_NS1_Pm_023_v1v9_138	RXN-12610
S_NS1_Pm_023_v1v9_138	RXN-12611
S_NS1_Pm_023_v1v9_139	THI-P-SYN-RXN
S_NS1_Pm_023_v1v9_139	RXN-12610
S_NS1_Pm_023_v1v9_139	RXN-12611
S_NS1_Pm_023_v1v9_140	MALTACETYLTRAN-RXN
S_NS1_Pm_023_v1v9_141	MALTACETYLTRAN-RXN
S_NS1_Pm_023_v1v9_142	RXN-11618
S_NS1_Pm_023_v1v9_142	RXN-11620
S_NS1_Pm_023_v1v9_142	3.2.1.35-RXN
S_NS1_Pm_023_v1v9_143	RXN-11618
S_NS1_Pm_023_v1v9_143	RXN-11620
S_NS1_Pm_023_v1v9_143	3.2.1.35-RXN
S_NS1_Pm_023_v1v9_144	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_v1v9_145	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_v1v9_146	METHYLMALONYL-COA-MUT-RXN
S_NS1_Pm_023_v1v9_147	METHYLMALONYL-COA-MUT-RXN
S_NS1_Pm_023_v1v9_148	GLUCUROISOM-RXN
S_NS1_Pm_023_v1v9_148	GALACTUROISOM-RXN
S_NS1_Pm_023_v1v9_149	ADCLY-RXN
S_NS1_Pm_023_v1v9_150	RXN-14971
S_NS1_Pm_023_v1v9_150	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS1_Pm_023_v1v9_150	RXN-15378
S_NS1_Pm_023_v1v9_151	RXN-14971
S_NS1_Pm_023_v1v9_151	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS1_Pm_023_v1v9_151	RXN-15378
S_NS1_Pm_023_v1v9_152	ABC-9-RXN
S_NS1_Pm_023_v1v9_152	ABC-10-RXN
S_NS1_Pm_023_v1v9_152	3.6.3.34-RXN
S_NS1_Pm_023_v1v9_152	ABC-11-RXN
S_NS1_Pm_023_v1v9_153	ABC-9-RXN
S_NS1_Pm_023_v1v9_153	ABC-10-RXN
S_NS1_Pm_023_v1v9_153	3.6.3.34-RXN
S_NS1_Pm_023_v1v9_153	ABC-11-RXN
S_NS1_Pm_023_v1v9_154	2.7.7.13-RXN
S_NS1_Pm_023_v1v9_155	2.7.7.13-RXN
S_NS1_Pm_023_v1v9_156	DALADALALIG-RXN
S_NS1_Pm_023_v1v9_157	DALADALALIG-RXN
S_NS1_Pm_023_v1v9_158	5.99.1.3-RXN
S_NS1_Pm_023_v1v9_159	5.99.1.3-RXN
S_NS1_Pm_023_v1v9_160	RXN-13163
S_NS1_Pm_023_v1v9_161	RXN-13163
S_NS1_Pm_023_v1v9_162	CYSTATHIONINE-BETA-LYASE-RXN
S_NS1_Pm_023_v1v9_162	RXN-12729
S_NS1_Pm_023_v1v9_163	CYSTATHIONINE-BETA-LYASE-RXN
S_NS1_Pm_023_v1v9_163	RXN-12729
S_NS1_Pm_023_v1v9_164	RXN-14461
S_NS1_Pm_023_v1v9_165	RXN-14461
S_NS1_Pm_023_v1v9_166	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS1_Pm_023_v1v9_166	ACETYLHOMOSER-CYS-RXN
S_NS1_Pm_023_v1v9_167	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS1_Pm_023_v1v9_167	ACETYLHOMOSER-CYS-RXN
S_NS1_Pm_023_v1v9_168	SULFOCYS-RXN
S_NS1_Pm_023_v1v9_168	RXN-12726
S_NS1_Pm_023_v1v9_168	ACSERLY-RXN
S_NS1_Pm_023_v1v9_169	OHMETPYRKIN-RXN
S_NS1_Pm_023_v1v9_170	PYRIMSYN3-RXN
S_NS1_Pm_023_v1v9_171	PYRIMSYN1-RXN
S_NS1_Pm_023_v1v9_172	OXALODECARB-RXN
S_NS1_Pm_023_v1v9_173	OXALODECARB-RXN
S_NS1_Pm_023_v1v9_174	OXALODECARB-RXN
S_NS1_Pm_023_v1v9_175	OXALODECARB-RXN
S_NS1_Pm_023_v1v9_176	GLUTAMINESYN-RXN
S_NS1_Pm_023_v1v9_177	GLUTAMINESYN-RXN
S_NS1_Pm_023_v1v9_178	GLUTAMINESYN-RXN
S_NS1_Pm_023_v1v9_179	ADENYL-KIN-RXN
S_NS1_Pm_023_v1v9_180	3.4.21.89-RXN
S_NS1_Pm_023_v1v9_181	3.4.21.89-RXN
S_NS1_Pm_023_v1v9_182	3.4.21.89-RXN
S_NS1_Pm_023_v1v9_183	3.4.21.89-RXN
S_NS1_Pm_023_v1v9_184	3.4.21.89-RXN
S_NS1_Pm_023_v1v9_185	RXN-15881
S_NS1_Pm_023_v1v9_185	RXN-14384
S_NS1_Pm_023_v1v9_185	RXN-14385
S_NS1_Pm_023_v1v9_185	RXN-14386
S_NS1_Pm_023_v1v9_185	RXN-12587
S_NS1_Pm_023_v1v9_185	RXN-9787
S_NS1_Pm_023_v1v9_185	RXN-12588
S_NS1_Pm_023_v1v9_185	RXN0-308
S_NS1_Pm_023_v1v9_186	ABC-27-RXN
S_NS1_Pm_023_v1v9_187	RXN-12720
S_NS1_Pm_023_v1v9_187	SULFATE-ADENYLYLTRANS-RXN
S_NS1_Pm_023_v1v9_188	RXN-12720
S_NS1_Pm_023_v1v9_188	SULFATE-ADENYLYLTRANS-RXN
S_NS1_Pm_023_v1v9_189	RXN-11837
S_NS1_Pm_023_v1v9_190	RXN-11837
S_NS1_Pm_023_v1v9_191	RXN-11837
S_NS1_Pm_023_v1v9_192	UDPGLUCEPIM-RXN
S_NS1_Pm_023_v1v9_193	UDPGLUCEPIM-RXN
S_NS1_Pm_023_v1v9_194	2PGADEHYDRAT-RXN
S_NS1_Pm_023_v1v9_195	ALPHAGALACTOSID-RXN
S_NS1_Pm_023_v1v9_195	RXN-11501
S_NS1_Pm_023_v1v9_195	RXN-12088
S_NS1_Pm_023_v1v9_197	RXN-14455
S_NS1_Pm_023_v1v9_198	1.8.4.12-RXN
S_NS1_Pm_023_v1v9_199	RXN-8668
S_NS1_Pm_023_v1v9_200	DIHYDROOROT-RXN
S_NS1_Pm_023_v1v9_201	RXN-11396
S_NS1_Pm_023_v1v9_202	GLUCOKIN-RXN
S_NS1_Pm_023_v1v9_202	RXN66-521
S_NS1_Pm_023_v1v9_202	RXN-1685
S_NS1_Pm_023_v1v9_203	GLUCOKIN-RXN
S_NS1_Pm_023_v1v9_203	RXN66-521
S_NS1_Pm_023_v1v9_203	RXN-1685
S_NS1_Pm_023_v1v9_204	ADENOSYLHOMOCYSTEINASE-RXN
S_NS1_Pm_023_v1v9_205	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS1_Pm_023_v1v9_206	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS1_Pm_023_v1v9_207	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS1_Pm_023_v1v9_208	RXN-13182
S_NS1_Pm_023_v1v9_208	SIALATE-O-ACETYLESTERASE-RXN
S_NS1_Pm_023_v1v9_208	RXN-13181
S_NS1_Pm_023_v1v9_209	RXN-14970
S_NS1_Pm_023_v1v9_209	RXN-14963
S_NS1_Pm_023_v1v9_209	R601-RXN
S_NS1_Pm_023_v1v9_210	RXN-14970
S_NS1_Pm_023_v1v9_210	RXN-14963
S_NS1_Pm_023_v1v9_210	R601-RXN
S_NS1_Pm_023_v1v9_211	3.5.1.88-RXN
S_NS1_Pm_023_v1v9_211	3.5.1.27-RXN
S_NS1_Pm_023_v1v9_212	TDCEACT-RXN
S_NS1_Pm_023_v1v9_213	TDCEACT-RXN
S_NS1_Pm_023_v1v9_214	TDCEACT-RXN
S_NS1_Pm_023_v1v9_215	RXN-14283
S_NS1_Pm_023_v1v9_215	RXN-14282
S_NS1_Pm_023_v1v9_215	RXN-14350
S_NS1_Pm_023_v1v9_215	RXN-15910
S_NS1_Pm_023_v1v9_215	RXN0-5183
S_NS1_Pm_023_v1v9_215	RXN-14349
S_NS1_Pm_023_v1v9_215	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_v1v9_215	RXN-14281
S_NS1_Pm_023_v1v9_215	RXN-2141
S_NS1_Pm_023_v1v9_216	RXN-14283
S_NS1_Pm_023_v1v9_216	RXN-14282
S_NS1_Pm_023_v1v9_216	RXN-14350
S_NS1_Pm_023_v1v9_216	RXN-15910
S_NS1_Pm_023_v1v9_216	RXN0-5183
S_NS1_Pm_023_v1v9_216	RXN-14349
S_NS1_Pm_023_v1v9_216	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_v1v9_216	RXN-14281
S_NS1_Pm_023_v1v9_216	RXN-2141
S_NS1_Pm_023_v1v9_217	RXN-14283
S_NS1_Pm_023_v1v9_217	RXN-14282
S_NS1_Pm_023_v1v9_217	RXN-14350
S_NS1_Pm_023_v1v9_217	RXN-15910
S_NS1_Pm_023_v1v9_217	RXN0-5183
S_NS1_Pm_023_v1v9_217	RXN-14349
S_NS1_Pm_023_v1v9_217	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_v1v9_217	RXN-14281
S_NS1_Pm_023_v1v9_217	RXN-2141
S_NS1_Pm_023_v1v9_218	RXN-14283
S_NS1_Pm_023_v1v9_218	RXN-14282
S_NS1_Pm_023_v1v9_218	RXN-14350
S_NS1_Pm_023_v1v9_218	RXN-15910
S_NS1_Pm_023_v1v9_218	RXN0-5183
S_NS1_Pm_023_v1v9_218	RXN-14349
S_NS1_Pm_023_v1v9_218	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_v1v9_218	RXN-14281
S_NS1_Pm_023_v1v9_218	RXN-2141
S_NS1_Pm_023_v1v9_219	RXN-14283
S_NS1_Pm_023_v1v9_219	RXN-14282
S_NS1_Pm_023_v1v9_219	RXN-14350
S_NS1_Pm_023_v1v9_219	RXN-15910
S_NS1_Pm_023_v1v9_219	RXN0-5183
S_NS1_Pm_023_v1v9_219	RXN-14349
S_NS1_Pm_023_v1v9_219	MALTODEXGLUCOSID-RXN
S_NS1_Pm_023_v1v9_219	RXN-14281
S_NS1_Pm_023_v1v9_219	RXN-2141
S_NS1_Pm_023_v1v9_220	RXN-11836
S_NS1_Pm_023_v1v9_221	2.7.1.90-RXN
S_NS1_Pm_023_v1v9_222	2.7.1.90-RXN
S_NS1_Pm_023_v1v9_223	ACETOLACTSYN-RXN
S_NS1_Pm_023_v1v9_223	ACETOOHBUTSYN-RXN
S_NS1_Pm_023_v1v9_224	ACETOLACTSYN-RXN
S_NS1_Pm_023_v1v9_224	ACETOOHBUTSYN-RXN
S_NS1_Pm_023_v1v9_225	IGPSYN-RXN
S_NS1_Pm_023_v1v9_226	ALARACECAT-RXN
S_NS1_Pm_023_v1v9_227	3.1.11.6-RXN
S_NS1_Pm_023_v1v9_228	3.1.11.6-RXN
S_NS1_Pm_023_v1v9_229	RXN0-5266
S_NS1_Pm_023_v1v9_230	RXN0-5266
S_NS1_Pm_023_v1v9_231	ALPHA-AMYL-RXN
S_NS1_Pm_023_v1v9_231	RXN0-5181
S_NS1_Pm_023_v1v9_231	3.2.1.1-RXN
S_NS1_Pm_023_v1v9_231	RXN-1823
S_NS1_Pm_023_v1v9_232	GLUTAMIN-RXN
S_NS1_Pm_023_v1v9_233	2.1.1.63-RXN
S_NS1_Pm_023_v1v9_234	2.5.1.64-RXN
S_NS1_Pm_023_v1v9_235	METHIONINE--TRNA-LIGASE-RXN
S_NS1_Pm_023_v1v9_235	RXN-16165
S_NS1_Pm_023_v1v9_236	MALIC-NADP-RXN
S_NS1_Pm_023_v1v9_237	3.1.21.5-RXN
S_NS1_Pm_023_v1v9_238	2-OXOGLUTARATE-SYNTHASE-RXN
