"","asv_id","kingdom_final","phylum_final","class_final","order_final","family_final","genus_final","species_final","curated_species_femmicro","expected_communities"
"41","p2_ASV_161","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"42","p5_ASV_98","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"43","p2_ASV_144","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"44","p2_ASV_153","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"45","p4_ASV_236","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"46","p4_ASV_263","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"47","p5_ASV_92","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"48","p5_ASV_94","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"49","p2_ASV_147","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"50","p5_ASV_99","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"","NS1/NS6"
"51","p1_ASV_96","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"52","p2_ASV_103","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"53","p2_ASV_15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"54","p3_ASV_104","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"55","p2_ASV_34","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"56","p4_ASV_29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"57","p4_ASV_51","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"58","p2_ASV_99","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris","stercoris","NS1/NS6"
"59","p1_ASV_145","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","NS1"
"60","p2_ASV_84","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","NS1"
"61","p2_ASV_146","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","NS1"
"62","p4_ASV_5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","NS1"
"63","p2_ASV_83","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","NS1"
"64","p1_ASV_78","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"65","p1_ASV_67","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"66","p2_ASV_45","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"67","p2_ASV_60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"68","p1_ASV_111","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"69","p4_ASV_2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"70","p3_ASV_97","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"71","p4_ASV_4","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"72","p2_ASV_46","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"73","p2_ASV_61","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"74","p4_ASV_167","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","uniformis","NS1/NS6"
"75","p1_ASV_73","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens","xylanisolvens","NS6"
"76","p2_ASV_81","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens","xylanisolvens","NS6"
"77","p1_ASV_79","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens","xylanisolvens","NS6"
"78","p2_ASV_12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens","xylanisolvens","NS6"
"79","p3_ASV_90","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens","xylanisolvens","NS6"
"80","p2_ASV_80","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens","xylanisolvens","NS6"
"81","p3_ASV_118","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","adolescentis","adolescentis","NS6"
"82","p2_ASV_157","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","adolescentis","adolescentis","NS6"
"83","p1_ASV_133","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","dentium","dentium","S2"
"84","p1_ASV_144","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum","longum","NS1/NS6/S2/S5"
"85","p3_ASV_30","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum","longum","NS1/NS6/S2/S5"
"86","p4_ASV_272","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium",NA,"","NS1/NS6/S2/S5"
"87","p5_ASV_101","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium",NA,"longum","NS1/NS6/S2/S5"
"88","p1_ASV_168","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium",NA,"","NS1/NS6/S2/S5"
"89","p1_ASV_108","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","pseudocatenulatum","pseudocatenulatum","NS1/S5"
"90","p2_ASV_136","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","sp005502805/sp902506165/sp900185715/sp004341515/sp025846845/sp900112185/sp008253865/sp004123845/sp001556125/vestrisii/sp001748145/vaviloviae/sp900470095/sp000735605","",""
"91","p2_ASV_55","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","sp005502805/sp902506165/sp900185715/sp004341515/sp025846845/sp900112185/sp008253865/sp004123845/sp001556125/vestrisii/sp001748145/vaviloviae/sp900470095/sp000735605","",""
"92","p3_ASV_74","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","rifense/centrolobii/sp023101685/sp900113735/sp015291645/sp030403585/guangzhouense/sp028128765/cytisi/manausense/diazoefficiens_F/manausense_D/sp015291665/sp029909975/diazoefficiens_C/sp000473045/sp029892425/diazoefficiens_D/manausense_A/sp000938255/sp024199945/zhengyangense/campsiandrae/sp900115265/guangdongense","",""
"93","p4_ASV_145","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","rifense/centrolobii/sp023101685/sp900113735/sp015291645/sp030403585/guangzhouense/sp028128765/cytisi/manausense/diazoefficiens_F/manausense_D/sp015291665/sp029909975/diazoefficiens_C/sp000473045/sp029892425/diazoefficiens_D/manausense_A/sp000938255/sp024199945/zhengyangense/campsiandrae/sp900115265/guangdongense","",""
"94","p3_ASV_48","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CHH4-2","sp018378255","sp018378255","S5"
"95","p1_ASV_160","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CHH4-2","sp018378255","sp018378255","S5"
"96","p4_ASV_104","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium","normanense/caeni_B","",""
"97","p4_ASV_264","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA,"sp902362275","NS1/NS6/S2/S5"
"98","p3_ASV_158","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315","","NS1/NS6/S2/S5"
"99","p2_ASV_143","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315","sp902472315","NS1/NS6/S2/S5"
"100","p4_ASV_49","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315","sp902362275/sp902472315","NS1/NS6/S2/S5"
"101","p4_ASV_209","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315","","NS1/NS6/S2/S5"
"102","p3_ASV_154","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","modestum","",""
"103","p4_ASV_241","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"104","p4_ASV_191","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"105","p4_ASV_222","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"106","p4_ASV_240","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"107","p4_ASV_193","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"108","p4_ASV_186","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"109","p4_ASV_196","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"110","p4_ASV_194","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"111","p4_ASV_116","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"112","p4_ASV_127","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"113","p4_ASV_114","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"114","p4_ASV_113","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"115","p4_ASV_99","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"116","p4_ASV_226","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"117","p4_ASV_218","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"118","p4_ASV_131","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"119","p4_ASV_96","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"120","p4_ASV_82","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"121","p4_ASV_120","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"122","p4_ASV_129","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"123","p4_ASV_250","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"124","p4_ASV_126","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"125","p4_ASV_83","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"126","p4_ASV_162","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"127","p4_ASV_154","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"128","p4_ASV_259","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"129","p4_ASV_260","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"130","p4_ASV_243","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"131","p4_ASV_230","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"132","p4_ASV_262","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"133","p4_ASV_231","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"134","p4_ASV_219","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"135","p4_ASV_212","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"136","p4_ASV_233","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"137","p3_ASV_152","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"138","p4_ASV_211","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"139","p4_ASV_227","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"140","p4_ASV_217","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"141","p4_ASV_251","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"142","p4_ASV_254","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"143","p4_ASV_235","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"144","p3_ASV_80","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"145","p4_ASV_214","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"146","p4_ASV_229","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"147","p4_ASV_208","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"148","p4_ASV_279","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"149","p4_ASV_276","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"150","p4_ASV_205","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"151","p4_ASV_277","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"152","p4_ASV_269","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"153","p4_ASV_274","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"154","p4_ASV_267","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"155","p4_ASV_278","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"156","p4_ASV_275","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"157","p4_ASV_213","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"158","p4_ASV_175","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"159","p4_ASV_165","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"160","p4_ASV_183","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"161","p4_ASV_177","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"162","p4_ASV_210","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"163","p4_ASV_200","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"164","p4_ASV_174","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"165","p4_ASV_237","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"166","p4_ASV_261","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"167","p4_ASV_232","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"168","p4_ASV_221","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"169","p4_ASV_159","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"170","p4_ASV_146","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"171","p4_ASV_247","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"172","p4_ASV_234","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"173","p4_ASV_248","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"174","p4_ASV_244","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"175","p4_ASV_202","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"176","p4_ASV_188","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"177","p4_ASV_135","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"178","p4_ASV_125","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"179","p4_ASV_137","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
