pathway	1002R_0_M_NS6_week10	1002R_L_M_NS6_week10	1075R_0_M_NS6_week9	184R_0_F_NS6_week10	184R_L_F_NS6_week10	2403R_L_F_NS6_week10	2506R_0_F_NS6_week10	3894R_0_M_NS6_week10	NS6_inocula	016R_0_F_NS6_week9	1075R_L_M_NS6_week9	1184R_0_M_NS6_week9	1186R_0_M_NS6_week9	1186R_RR_M_NS6_week9	184R_0_M_NS6_week9	2403R_0_F_NS6_week9	2476R_R_F_NS6_week9	2562R_0_F_NS6_week9	2562R_RL_F_NS6_week9	016R_0_F_NS6_week5	016R_R_F_NS6_Pellet_week9	1075R_RL_M_NS6_Pellet_week9	NS6_defined_inocula	016R_R_F_NS6_week5	1075R_0_M_NS6_week5	1075R_RL_M_NS6_week5	1184R_0_M_NS6_week5	1186R_0_M_NS6_week5	1186R_RR_M_NS6_week5	184R_0_M_NS6_week5	2403R_0_F_NS6_week5	2476R_R_F_NS6_week5	2562R_0_F_NS6_week5	2562R_RL_F_NS6_week5	NS6_defined_inocula.1
ARO-PWY	18542.339507510744	16600.112419712572	14588.672393648285	16280.389976419014	16624.088434169706	17216.098174854134	15457.044696588231	16498.71163752067	16349.43813877337	17966.79269321327	15457.370411165624	17216.883768889296	17966.790193453715	18559.200060515668	19884.967306025344	18132.376356987326	16378.405783793814	16830.69066271328	15700.507816090052	13218.095476301613	12648.392747854676	13167.457893649065	21992.19304027064	9643.010521232603	8772.468204718434	11334.135298113257	9378.819471249813	9159.230224725103	9708.70191856015	9174.837710710202	10444.639923218721	9178.84501280076	10117.781319862373	8643.457435897591	14039.347721071847
ASPASN-PWY	19280.729643139195	17521.347184529906	17781.628287971253	14840.497728783032	20301.235722706093	19932.05644517383	14082.813492272	18310.951292091904	13920.648220169183	19585.45119851393	20643.84494504454	23568.84372543131	21440.842683406252	22192.421530765347	23865.51464479358	19923.312145060627	21256.875430290005	18368.281428468912	17808.826111656446	12494.595423439225	15075.02230933688	15951.938693778027	20092.631080096045	11517.439761961532	9465.203799682922	12845.981090687212	9381.733090503409	9980.350597059676	11793.176476990018	8862.554052285688	10833.214426975394	11021.658167119094	10922.005338305215	10206.878100914735	12864.421182423188
AST-PWY	215.2198427005622	97.71596165831308	92.62432990497814	75.52486355161855	100.90770111923419	68.80712362382913	560.1624625908507	112.05904070116459	741.832298562237	92.48789457966254	65.31887901284877	29.32266196686641	80.87580031147259	70.16940028049794	71.37705266740406	104.74107919930373	131.6561254674921	76.46960124781216	73.38161104451875	474.9811403761828	52.09738306821416	51.427110395981316	633.5650658404337	225.44103884290462	66.27894655994825	154.81598239082106	304.92946226652145	230.51512251778152	150.43241774210017	30.500851708148005	141.24233899544197	128.80584253084723	270.21979999578497	62.62257132152224	431.09091633856656
BIOTIN-BIOSYNTHESIS-PWY	24172.568358651715	19385.8892667295	18402.4208874145	17297.7049211141	20171.204916237202	21652.050599411672	15484.796052446056	20079.822046067424	14275.948292469044	19901.619384461737	20118.417089936498	22395.19362910297	22381.23646156838	22919.94916037245	24662.465234282885	20069.874788783727	20772.062172438928	21382.139737883677	21212.728116271937	16308.61986405706	16026.661576603712	14256.165163055573	19297.3488386483	12620.787782293508	10060.195824684266	14225.419953477967	10619.060434655474	10475.469993130324	12313.680453257726	10490.925017034497	13757.98575681187	12315.40404958205	11658.434265032975	10664.77863343953	12359.324470425501
BRANCHED-CHAIN-AA-SYN-PWY	24540.60609715941	22024.455210503605	19854.952247622517	20805.36157728132	22548.779507733263	23712.003168108822	18448.133008815574	21588.57235842133	19244.237948071026	23983.30625359026	21891.4231179341	24313.398782961503	24044.70127967414	24847.8314516871	26567.744449461752	23086.38426371258	22759.395944331456	22519.69431977114	21553.559715286723	16913.0226712475	17488.416652336367	17531.541888278494	24127.588108803517	13169.052225601139	11374.645273022325	15076.61283247483	12031.588997204015	11888.613469450425	13036.964957414553	11767.511354105465	13619.792162186764	12574.927137474835	13085.820177203072	11718.275294447209	15202.264295752833
CALVIN-PWY	25102.720447829783	22305.812818445593	23903.097774423837	20316.98105954107	26533.258051301815	24799.44942179922	18476.129165411607	26265.19036198041	24391.26512927375	27009.164528328376	24804.36717251591	28570.36739279303	28452.648442108068	28783.27849162019	33953.81116893958	24257.683500772484	23711.049918864115	23065.736820575185	22739.919443063325	17460.329427691107	18470.01658786415	20455.430810405775	32355.84574610348	14232.72125379959	13997.918301979926	17179.360780698662	14176.807122837565	12597.989964714656	14475.519549911063	12321.9568875468	14532.729382031808	14823.586055459422	15659.641769787515	14677.80926646257	20614.245199008743
CENTFERM-PWY	1173.5494211869277	557.9773031203932	538.9892921710236	426.1947114530117	572.3220439000424	392.4805790757742	2656.9072945181333	651.9709650535696	3554.879486174573	540.2120491547986	378.2593396398721	167.63093337111093	474.264415115096	413.45177118144306	413.0409076975722	607.291191601822	750.0165659600516	447.87084254518544	417.62764818521595	2105.3199404459233	301.45620036793895	306.1484881693338	3237.958105748916	1116.8640948219656	389.4445401988843	849.5133555783987	1500.3553955598265	1192.4291738768432	835.1924667171138	176.7284410053729	749.1498334078069	708.1517989818675	1423.2513419150343	360.0668124883894	2184.0086783532806
COA-PWY	19229.280065617142	17266.33095020944	15210.027267259255	16752.145898019236	17907.2772513378	18767.10270079405	15118.87773673853	16361.217844610801	16420.59849245636	18347.92336611742	17684.205303039886	19601.909624545668	18225.904158723723	18783.81231144511	20516.776655736736	19291.53849369947	18525.797999260783	17635.33849102454	17266.861944362823	13192.102138688317	14063.83679278264	13812.585598869739	23413.258515315276	10580.711155111352	8644.838926178789	11848.088335120514	9092.62938840585	9342.887406855996	10434.45029699324	9298.666961775076	10817.9498743705	9528.086353447015	9807.032814283557	8729.895065130151	14880.473486594503
COBALSYN-PWY	18585.74201306596	16674.454504776415	14891.671790595698	16097.30533263594	17251.443544443606	18072.134791031887	14574.248486657354	15808.931885695425	11567.291625518166	17652.836983068755	17258.58808769311	18931.086136614642	17692.556966209675	18172.33619869672	19769.862087825455	18676.322850262826	17783.346675823337	17164.890347568806	16785.33738786614	12823.231713788395	13621.701753094761	13456.612657162792	14356.102829759835	10347.2364679341	8355.649194714024	11474.215209770406	8827.44452684516	9170.343611031036	10228.999691593563	8995.522454499805	10543.726565010933	9220.02577706928	9515.819806436917	8507.987611564364	9268.280837921016
COLANSYN-PWY	14855.87435238692	13062.077005432237	9725.878571645679	14351.799798883292	10082.507543005044	12476.344864468418	14381.355285353733	9645.270555363442	13295.468371636927	11441.484130080238	9035.387991798825	8163.713444932651	8853.743679002939	8652.34116487289	9310.226969929741	16485.50824392094	12397.031076908193	13938.521209262513	12345.120243883655	11339.240823188515	9458.213080726397	7595.330974299837	17819.636360803586	7730.493536171833	6488.233773758639	8383.829406482715	7565.630211383076	7797.590726747746	7349.001753480152	8090.776848146559	8215.107549100168	5668.21379506917	8158.336932188639	4914.942039850311	11717.073006734972
COMPLETE-ARO-PWY	20307.7870292412	18180.682860673085	15964.181741106271	17835.18906774738	18202.51965976317	18875.48487245619	16877.171367604842	18013.975989573773	17440.548200081976	19647.52516403272	16969.155288351467	18880.700161587167	19638.56660406858	20280.718351665542	21736.686539890616	19849.57904756327	17962.831186202202	18435.995086072297	17229.034044191976	14467.448613954171	13876.359668534236	14403.482972179634	23346.32766315553	10579.363850245063	9578.492233782961	12406.023618775655	10243.765938199429	10022.1926128282	10632.96084954163	10040.846083473245	11440.710252956462	10047.09890042795	11045.147670324981	9450.28458412332	14916.357164361372
DAPLYSINESYN-PWY	18784.36787998958	17004.791934526686	17083.64468548016	15227.794137523719	18924.992976950718	17940.939039277036	14383.618294894011	19972.761907057607	18314.249511060385	20749.073308743406	17396.97495398811	20405.662907929327	21904.98003777599	22570.67711260348	24680.658413121706	17413.320287290615	16547.85882290159	16540.77208331281	15449.328601026158	13278.292932373943	12897.291331544297	15347.984884038458	25221.160159062263	9597.761355701567	10458.62814715045	12646.847799628287	10788.770927194548	9188.30569491998	10278.003348032049	9313.391906203773	11039.308153052278	10847.019218273383	11706.825103869029	10523.836414776299	15979.506091382353
DTDPRHAMSYN-PWY	26766.565083966998	23064.153554688288	20869.358761641623	21288.16537509923	25621.5158251681	25808.203923662844	17881.939604552936	24403.75493905093	23131.00631987466	28052.15358017371	25188.096065881684	28365.65356676558	28978.344241236537	29692.378975313935	31086.98791390631	23542.217870720277	25087.736850602912	24832.552117207353	24530.974098940253	17634.735540826634	18786.417501084896	17626.43074815267	29755.636161615603	14968.398229115062	13581.615242577987	17302.92155829465	13502.909160772208	13291.870313570626	15565.775033351822	11612.212611894813	14779.109817590454	14626.58458429961	15086.710766233786	14081.881674585826	18708.804602677686
ECASYN-PWY	454.5829621765691	207.48733517013628	197.2535698201692	158.7833763131636	212.20385930710492	144.28859476252663	1116.8559207558517	240.6911973515699	1447.8405550713117	198.61672635098355	139.35703775490825	60.51522074322916	172.40269069447277	150.2704005201671	150.077639823818	223.0310835387305	280.63306276112695	164.0984121093002	155.51128412647213	947.5104622770957	111.22926961818405	111.69634225313534	1256.9520476743503	466.30178898596097	142.917748018337	329.1539551563692	617.0309595550196	472.3252417695705	321.74406498746225	64.34823946750664	298.8558566275196	271.55660641081937	558.8319571212849	131.36869489350852	851.1662091655157
ENTBACSYN-PWY	1069.1002065309679	514.0770247320252	482.3900682054928	393.9395667836389	590.369784369515	362.17998135336643	2399.8127018749888	579.8343168588639	2702.316086868774	482.56512768334665	339.9301736083516	156.04248962939613	484.1311146363742	380.4302755729719	440.18401314781886	552.9644029244186	660.7472731022668	451.7295310789651	436.87690004900884	1980.9837338683535	271.94900306687856	276.7623737829641	2659.392303379323	971.8505836021417	353.27543558398463	761.9989672157565	1293.3660700428463	1057.5944433829154	703.3783165519569	164.97759611878283	680.0947418359306	620.1408950175506	1198.7991361971767	348.34995243936015	1792.4513504844995
FAO-PWY	728.0049042094408	356.07448885433746	390.69090998595755	256.62527560880983	402.3597189367532	291.29608198855027	1588.9390899638881	426.63723905842505	2837.0909271464325	320.26170679145315	272.52847565254035	133.7255847120041	247.71330047950266	223.665948345787	210.9250337294314	431.4400618992683	479.40626862046634	321.15862280703357	299.08912015095325	1270.0728904078585	226.6060214773494	232.39695960022775	2485.441230753712	693.3155264776095	244.39484840946406	510.5804866553795	838.141775733307	711.3655151666833	563.8971297579649	128.5349042358556	424.1890433477947	372.8653359331381	783.9540920114601	237.90503592496103	1681.9138472829643
FASYN-ELONG-PWY	28662.957169541118	22893.304213397816	22505.465641225434	21335.62143859481	23621.97359285453	25299.981437331895	18938.28950087654	24402.726191290232	21171.312892603313	24136.87234488984	23714.623852297205	26295.888400411608	26303.726678123112	26590.851128836584	30224.134092887878	24465.38312130521	24870.80357759252	24837.038219588878	24346.88224334314	19124.479844785852	18955.242764611754	17680.84859883451	30386.353666107778	14440.982820892346	11750.563862484572	16372.339128919566	12446.210884642764	12429.183050844238	14118.616592503595	12135.125579185467	16182.741803162546	15237.035445141273	13890.19606545231	12808.978052129083	18931.825688641333
FASYN-INITIAL-PWY	22411.643237959834	15920.021621491162	17096.13877723675	13398.382876389436	17598.997036035886	18281.274594263832	12613.576757713916	19312.59346210451	15773.566159786176	16225.841615660356	16362.02580413638	18735.9550746156	20392.688842604857	20391.743910147085	24506.943090634246	15937.604606038238	17120.496240168453	19217.83079113664	19359.907434524255	14659.604393448333	13356.206882171042	10875.418313549104	22610.08536679759	10933.138562282245	8850.179783131935	12784.91627856028	9712.579172729755	8578.35129690816	10244.6050640233	9197.011577791636	12767.684508758877	11599.737189613945	10604.776919787511	9986.655497565987	13989.986886681396
FERMENTATION-PWY	11268.41236820603	9877.853487187298	10387.851646307707	9236.501006315422	12207.373696588598	10673.09655971409	10727.981511232345	13257.314262545322	14510.668782154315	13374.25980543114	10331.81679199221	12433.43438872852	14259.714611019695	14715.659617363257	16911.286253340848	11855.647599796508	10029.250707618523	9542.170101863247	8931.844157514237	8411.128969115687	7463.610961967495	10066.785641919596	20150.757238557562	5757.493989246691	6782.538875409934	7894.95560896988	7122.636860671686	6022.3932195992265	6597.415115313997	5507.882275435247	6876.92641940601	6331.949332077802	7614.37347463793	6519.826163028035	12896.106184636308
FOLSYN-PWY	20856.147150200206	18770.758383797816	16910.74622118579	17463.185490609656	19242.2589596902	20638.991204627535	16064.157881330215	17637.705305639432	16167.899898902402	20448.483601612894	19200.05217902657	21288.546991640113	20544.847641949673	21174.13934630128	22453.83076349334	20707.0035350434	20539.344604909133	19532.570282590565	18498.514176684555	14223.69235345233	15270.741066477043	14822.489652502236	22705.757176303956	11468.256486383232	9453.787190034953	12767.279829457482	9822.514321527176	10364.418113493957	11447.566382725823	9866.482048663043	11379.768912007065	10659.81080860892	11035.470266146536	9694.927035764762	14448.485763109835
FUC-RHAMCAT-PWY	11580.636006087821	10113.767325317365	10593.47464924363	8055.3832004605665	10541.825533472234	10764.014218408112	8031.73748321304	11568.62281370065	7586.623820131862	10412.021124850708	9391.923716727933	10777.873871421432	12827.091664994825	13248.71029047719	14163.878652091038	9764.203596880337	9467.49534348606	9695.755796808224	8916.606790396598	8246.020877806915	7351.582101396228	8845.542588168688	9443.115422196124	5493.721508451902	5431.39241361866	7136.8124004456895	6149.432856177129	5185.776022047765	5468.05952417392	5356.377465678925	6704.585808176454	6519.682306169102	6467.86336987915	5964.443003886831	5942.3516597874095
FUCCAT-PWY	12009.339567387073	10506.876543905397	9946.502913759205	10589.535354762716	10263.918427872892	10791.702988843032	9613.269547808764	11653.438356268529	9327.059937983986	12960.019235038302	8538.891554196327	10197.533939611374	14168.820435263015	14232.196442434435	15743.946696121859	9676.057022673354	8563.848168972105	10705.621898796122	9427.289607005112	9079.554613306851	6990.367730229305	8347.23828068267	10734.338186993711	5524.905147404237	5766.170089185498	6983.777652288254	6536.495557138848	5555.390678811199	5263.060236072026	6235.585296782292	6906.628913761935	6105.880123702923	6866.6422087513265	5881.414504561397	6733.489931899572
GALACT-GLUCUROCAT-PWY	20711.16750953018	17224.08290436811	17067.416303437745	15871.350538321725	19495.30238545678	18801.807129973735	13754.718543454934	19680.606535755767	14388.67906872242	19987.02120814335	19114.223896273747	21709.123139641666	21378.24346221614	22071.737938258655	24317.36345303544	18016.394543001068	18718.920795018086	18348.365543979777	18072.81345518548	13811.328836679522	14355.82807009238	14846.815582141518	18181.91900170255	11157.281634274788	9547.10367243676	12857.871890030081	9842.055015041335	9383.93139719248	11096.727597708243	9215.932722209527	12013.09092220542	10958.006828439244	10789.840019858953	10074.036662346683	11449.873087878394
GALACTARDEG-PWY	7358.419593164657	6538.0789526585895	7989.068609756503	5119.991882681366	7617.259745370172	6891.879873340426	6156.403294972541	8689.846734613675	8036.173550899155	9121.904707890184	6313.465950326846	7888.693217868625	10046.120403604682	10237.116896150876	11198.060905805669	7293.065958347746	6907.363919748697	7256.730400690482	5659.815523663844	5099.5367133123555	4764.414379940871	6332.756846630988	10599.114078008553	3479.335482567126	4763.511515274016	5002.840844425528	4644.127930642754	4141.008959949842	4253.30800771641	3713.2602969202726	4103.770542829205	4893.139409783462	5730.8779906279005	4899.955549201399	6784.710373187888
GALACTUROCAT-PWY	21181.181073028944	19384.817761689475	17992.720489986834	16295.625271660763	19968.915301782054	21086.922966516475	15324.764116512528	19165.533220232588	15278.741204384532	21801.07970933266	19642.452461565517	21998.407720774187	23233.63454507079	24162.99976242783	24469.954433852283	20134.876466430276	20860.642586386613	19274.22934218706	18537.23938338794	14376.549777351314	15324.176823729269	16300.490433022374	21564.999105698316	11487.978581054136	9400.049783334929	12945.596345716569	9843.98462678338	10520.360050003284	11912.466968516559	9606.5837097518	11966.11792194943	11121.426689731423	10861.482450751892	10083.442006419758	13517.561799603649
GLCMANNANAUT-PWY	8379.095672362997	7342.331924897343	9062.686348458525	6295.335361627247	8558.835732725905	8563.336701996774	7783.651518936924	10287.275923465455	11455.120092979629	11317.249657666702	7130.294592423134	8771.334147146843	11578.645301542976	11753.658593171771	14298.002419325412	9087.769931327899	7068.9124156054495	7504.488007744343	6222.926445580101	6168.740144247936	5232.874481474128	6824.629748050301	16704.13722618722	4167.604876721241	5685.758453191277	6058.088360111727	5882.029384548458	4616.725156353774	4662.661454061665	4288.209143074295	4553.474757866683	5352.977841418108	6537.655687744613	5735.570670858745	10969.217200382069
GLUCARDEG-PWY	5954.621562765206	4215.799320330199	5376.4997387109415	3126.7432064204586	4354.403955097679	5021.5975182524435	3750.1738839755144	5426.858780646759	4187.736576270981	4705.854100357484	3864.8668525444714	4482.653397163116	5730.088878158383	5749.357036586306	7414.679926076429	4241.811437297279	4368.386163126372	4985.673758737693	4297.591963940263	4265.53015183042	3337.112364401573	3025.694156085547	4086.4957928761974	2693.064165135462	1753.6085727067698	3175.3073891926133	2686.9320644203326	2311.8946726696913	2322.0539047497487	2400.2588899688776	3143.218780734691	3266.369550730413	2722.950374486765	2606.417037355158	2716.5188103865544
GLUCARGALACTSUPER-PWY	7358.419593164657	6538.0789526585895	7989.068609756503	5119.991882681366	7617.259745370172	6891.879873340426	6156.403294972541	8689.846734613675	8036.173550899155	9121.904707890184	6313.465950326846	7888.693217868625	10046.120403604682	10237.116896150876	11198.060905805669	7293.065958347746	6907.363919748697	7256.730400690482	5659.815523663844	5099.5367133123555	4764.414379940871	6332.756846630988	10599.114078008553	3479.335482567126	4763.511515274016	5002.840844425528	4644.127930642754	4141.008959949842	4253.30800771641	3713.2602969202726	4103.770542829205	4893.139409783462	5730.8779906279005	4899.955549201399	6784.710373187888
GLUCONEO-PWY	23363.170931506214	20792.17713764142	19979.164111677484	19578.38925749598	22896.869818385858	23075.289731388006	17577.525760543496	21819.62685317631	20070.422388015984	23885.098016534037	22474.358039730007	25369.42857621498	24298.500099352706	25036.579854258805	27601.215906136065	22442.943546538707	22533.107591419808	21534.46372561184	21145.644156877806	16176.37508516792	17316.694289698313	17698.562762474492	27594.798320405924	13131.524169502374	11489.16346589038	15105.81471372608	11922.914974193474	11498.405202437123	13140.845740078517	11081.18718495434	13189.602073710219	12778.272385073178	13141.948903626062	11903.72606400258	17455.93543757009
GLUCOSE1PMETAB-PWY	31606.860082419993	28310.702586905754	33107.43057616011	25250.12995735635	34013.28680758152	32818.92979975415	22574.398951838026	32223.432898469044	24069.224768680644	29730.598695824072	34430.85913704909	39433.66386905831	32197.951580846675	33696.84682493366	40966.27103238247	31079.960959452957	33758.1276129322	28737.71697647206	30094.692566506303	21645.30219778162	25605.97316060392	27832.661072403826	34160.35220180019	19974.63341220171	16431.11085121386	22486.45666388349	17140.172316044238	15419.465542670467	18004.617312589846	15967.959795435168	18524.128888061765	20160.717494168206	19271.10885051698	18620.85127969581	21164.795263963406
GLUCUROCAT-PWY	20995.479062762017	16997.10102515579	17608.955005243424	16581.667638406616	20253.105769663332	18348.979072914757	13917.45939165186	20921.124136166396	14958.639765989634	19957.535648217727	19529.149734389823	22272.769175238216	21303.90896489926	21885.433021114346	25918.607838060394	17951.096623819496	18341.82288329748	18349.486139843088	19005.097433802795	14132.162444068483	14445.795651424518	14902.312724698844	18660.891578698305	11589.474325373412	10250.632093034948	13500.897806315395	10635.168531684045	9303.075760487507	11166.3751499572	9775.403097221768	12701.751736197886	11417.65535299886	11266.986030464883	10866.620128981649	11732.085706169495
GLUTORN-PWY	18021.386118485596	16084.159597335449	14580.185333241223	16022.722150964242	17057.045318605764	17330.042392470958	14352.694116065799	15510.630002518496	14606.898754408181	17441.953366480127	16879.0222496864	19024.8172255915	17790.846240951774	18230.106159577655	20053.846430689286	16053.000164334859	16792.667266900204	15948.26199782722	15543.057062976255	13287.113783547888	12894.521043622792	13118.579288781833	18788.46452927063	9705.686044370852	7935.101708966345	10939.510149486558	9053.480071852819	8636.9901271565	9407.265415184926	8706.218740133309	10048.838511259015	9265.118750963107	9364.581984616641	8528.288466205135	11685.147001022662
GLYCOCAT-PWY	24130.844353658405	21510.550192145824	20386.024718150242	20654.04846522937	23248.50914164493	23421.134638963587	18867.671666539063	22249.06308656972	20197.623657422504	24048.452500847157	22274.283998733175	25101.359017668918	24306.5492291292	24945.538290861972	28034.200676235254	23904.12523634508	22859.13456160818	22478.600018328365	21747.01284970907	16479.465349052407	17702.661701352055	17899.19791383778	26812.59069064415	13104.424180730795	12020.154231173636	15412.304993704163	12229.184603414842	11891.71924169602	13285.960705943915	11959.588556970572	13561.702923201286	12807.321694072769	13622.165631333737	12035.135975185724	16965.781635713116
GLYCOGENSYNTH-PWY	13284.372613442616	12307.695992835228	14307.542426509548	10141.63371170288	14356.492385311327	12907.488013666121	11324.830053579915	16062.899046750797	14327.646157876265	16446.941700756255	12098.750940527865	14847.25661338522	17846.2690969627	18185.960063833194	20590.05255482447	13744.497913669209	12857.248186872528	13427.74458586974	10476.542150506077	9153.92156395852	9175.013933527682	11787.426730378094	18517.571053552543	6551.823894372618	8804.834761740396	9365.452440244568	8467.39690301532	7420.3560892024925	7819.703829394859	7108.161542711144	7113.668322638519	8715.764192736047	10072.652306526954	8900.559920316959	11689.997744928109
