Pathway	Reactions
P441-PWY	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PYRUVFORMLY-RXN // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // NAG6PDEACET-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN // RXN0-7390 // RXN0-7389 // NANK-RXN // NANE-RXN
P184-PWY	RXN-2464 // OXALODECARB-RXN // 1.2.1.45-RXN // RXN-9983 // RXN-2462 // RXN-2463 // R107-RXN // PROTOCATECHUATE-45-DIOXYGENASE-RXN
PWY-6797	RXN-12358 // RXN-12357 // RXN-12356 // RXN-10063 // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY-5005	RXN-25310 // RXN-17473 // RXN-14930 // DETHIOBIOTIN-SYN-RXN // 7KAPSYN-RXN // 6-CARBOXYHEXANOATE--COA-LIGASE-RXN
PWY0-1415	RXN-21483 // RXN0-1461 // RXN0-6259 // HEMN-RXN // UROGENDECARBOX-RXN // PROTOHEMEFERROCHELAT-RXN
PWY-822	RXN-1803 // RXN-1804 // RXN-1802 // RXN-1801 // RXN-1781
ANAEROFRUCAT-PWY	3PGAREARR-RXN // GLUCOKIN-RXN // PGLUCISOM-RXN // RXN-15513 // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN // L-LACTATE-DEHYDROGENASE-RXN
PWY-1541	PHOSACETYLTRANS-RXN // RXN-2364 // RXN-2301 // RXN0-299 // TAURINE-DEHYDROGENASE-RXN // TAURINE-AMINOTRANSFERASE-RXN
PWY-7446	RXN-20061 // RXN-15296 // RXN-15297 // RXN-15299 // RXN-15298
PWY-5178	RXN-8527 // RXN-8529 // 4.1.1.77-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZYL-ALC-DEHYDROGENASE-RXN // TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN
PWY-5179	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // TOLUENE-DIOL-DEHYDROGENASE-RXN // TOLUENE-DIOXYGENASE-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN
PWY-6977	RXN-12926 // RXN-12925 // RXN-12924 // RXN-12923 // ERYTHRONOLIDE-SYNTHASE-RXN // RXN-12808 // RXN-12933 // RXN-12918 // RXN-12404 // RXN-12942 // RXN-12941 // RXN-12940 // RXN-12935 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12769 // RXN-12768 // RXN-12767 // 2.6.1.33-RXN
PWY-6975	RXN-12926 // RXN-12925 // RXN-12924 // RXN-12923 // ERYTHRONOLIDE-SYNTHASE-RXN // RXN-12808 // RXN-12933 // RXN-12918
FASYN-INITIAL-PWY	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
HEMESYN2-PWY	RXN0-6259 // HEMN-RXN // UROGENDECARBOX-RXN // PROTOHEMEFERROCHELAT-RXN
PWY-3781	CYTOCHROME-C-OXIDASE-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // NADH-DEHYDROG-A-RXN // 1.10.2.2-RXN
GLCMANNANAUT-PWY	RXN0-7390 // RXN0-7389 // NANK-RXN // NANE-RXN // NAG6PDEACET-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN
PWY-6151	S-ADENMETSYN-RXN // HOMOCYSMET-RXN // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
PWY-7527	RXN-13072 // RXN-15650 // R147-RXN // R83-RXN // R82-RXN // R145-RXN // 5.3.1.23-RXN // 5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN // SAMDECARB-RXN // SPERMIDINESYN-RXN // S-ADENMETSYN-RXN
PWY-7524	IPPISOM-RXN // RXN-10068 // RXN-15649 // RXN-15648 // RXN-15647 // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
GALACTARDEG-PWY	GKI-RXN // GALACTARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN
ARO-PWY	3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-7286	RXN-14517 // RXN-14516 // RXN-14518 // RXN-14519
PWY-7208	URACIL-PRIBOSYLTRANS-RXN // CTPSYN-RXN // UDPKIN-RXN // RXN-12002
PWY-7209	URPHOS-RXN // CYTIDEAM2-RXN // BETA-UREIDOPROPIONASE-RXN // DIHYDROPYRIMIDINASE-RXN // 1.3.1.2-RXN
PWY-7200	THYMIDYLATESYN-RXN // DEOXYCYTIDINE-KINASE-RXN // THYKI-RXN // DURIDKI-RXN // CYTIDEAM-RXN // DCDPKIN-RXN // DTDPKIN-RXN // RXN-7913 // DTMPKI-RXN
UDPNAGSYN-PWY	PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN
BENZCOA-PWY	1.2.1.58-RXN // 3.1.2.25-RXN // 1.17.5.1-RXN // RXN-10819 // RXN-904 // RXN-905 // RXN-863 // RXN-864 // RXN-865 // RXN-902 // BENZOATE--COA-LIGASE-RXN // RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN // RXN-10814 // PHENDEHYD-RXN // PHENYLPYRUVATE-DECARBOXYLASE-RXN // AMBENCOATHAUERA-RXN // AMINOBENZCOALIG-RXN // OHBENZCOARED-RXN // 4-HYDROXYBENZOATE--COA-LIGASE-RXN // PHENYLPCARB-RXN // PHENOLPHOS-RXN
P23-PWY	PYRUVATE-CARBOXYLASE-RXN // R601-RXN // MALATE-DEH-RXN // ISOCITDEH-RXN // PYRUFLAVREDUCT-RXN // ATP-CITRATE-PRO-S--LYASE-RXN // ACONITATEDEHYDR-RXN // ACONITATEHYDR-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
ARGSYN-PWY	ACETYLORNDEACET-RXN // ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-6630	TYROSINE-AMINOTRANSFERASE-RXN // CHORISMATEMUT-RXN // PREPHENATEDEHYDROG-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-6632	RXN-11521 // RXN-11520 // RXN-11519 // RXN-13106 // RXN-11513 // RXN-11516 // RXN-11517 // RXN-11518 // RXN0-901 // XANTHINE-OXIDASE-RXN
PWY-5308	SULFITE-DEHYDROGENASE-RXN // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANS-RXN // RXN-8202 // R164-RXN
1CMET2-PWY	THYMIDYLATESYN-RXN // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // RXN-22438 // 5-FORMYL-THF-CYCLO-LIGASE-RXN // DIHYDROFOLATEREDUCT-RXN
PWY-5304	RXN-17802 // RXN-16433 // RXN-16432 // 1.8.5.2-RXN // SULFITE-DEHYDROGENASE-RXN // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANSFERASE-ADP-RXN // 1.13.11.55-RXN
PWY-5306	RXN-17804 // RXN-17803 // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANS-RXN // RXN-8202
DTDPRHAMSYN-PWY	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN
PWY-6895	RXN0-308 // RXN-12621 // RXN-9789 // DXS-RXN // THIAZOLSYN2-RXN // RXN-12614 // RXN-12609 // RXN-12610 // THI-P-KIN-RXN // PYRIMSYN1-RXN // PYRIMSYN3-RXN
PWY-6891	RXN0-308 // RXN-12621 // RXN-9789 // DXS-RXN // THIAZOLSYN2-RXN // RXN-12614 // RXN-12609
PWY-6892	RXN-9787 // RXN-11319 // RXN-9789 // RXN-9788 // DXS-RXN // THIAZOLSYN2-RXN
P181-PWY	RXN-16528 // RXN-16527 // RXN-16526 // RXN-13072 // RXN-13071 // RXN-13070 // RXN-13069 // RXN-13068 // GABATRANSAM-RXN // RXN-13067 // SUCCSEMIALDDEHYDROG-RXN // RXN-13065 // 1.14.13.10-RXN // R181-RXN // R162-RXN // R161-RXN // NICOTINE-DEHYDROGENASE-RXN
PWY0-1586	RXN-17393 // RXN-16665 // RXN0-7489 // RXN-16664 // RXN-16659 // RXN-16649 // RXN-16650
PWY-6942	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12769 // RXN-12768 // RXN-12767 // 2.6.1.33-RXN
PWY-6946	RXN-17650 // RXN-17648 // RXN-17645 // RXN-17647 // RXN-17646 // RXN-12848 // RXN-12849 // RXN-12850 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702 // RXN-12694 // RXN-12693
PWY-6947	RXN-17650 // RXN-17648 // RXN-17645 // RXN-17647 // RXN-17646 // RXN-12848 // RXN-12849 // RXN-12850 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702 // RXN-12694 // RXN-12693 // RXN-19805 // RXN-19804 // RXN-19803 // RXN-19802 // RXN-19801 // RXN-19800 // RXN-19799 // RXN-19798 // RXN-19797 // RXN-19796 // RXN-12751 // RXN-12750 // RXN-12749 // RXN-12748 // RXN-12747 // RXN-12746 // RXN-12736 // RXN-12734 // RXN-12735 // RXN-12718 // 1.13.11.25-RXN // RXN-12717 // RXN-12715 // RXN-12714 // RXN-12691
PWY-6944	RXN-19805 // RXN-19804 // RXN-19803 // RXN-19802 // RXN-19801 // RXN-19800 // RXN-19799 // RXN-19798 // RXN-19797 // RXN-19796 // RXN-12751 // RXN-12750 // RXN-12749 // RXN-12748 // RXN-12747 // RXN-12746 // RXN-12736 // RXN-12734 // RXN-12735 // RXN-12718 // 1.13.11.25-RXN // RXN-12717 // RXN-12715 // RXN-12714 // RXN-12691
PWY-6945	RXN-12849 // RXN-12850 // RXN-12848 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12778 // RXN-12694 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702
PWY-6948	RXN-12745 // RXN-12744 // RXN-12743 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12786 // RXN-12780 // RXN-12781 // RXN-12782 // RXN-12785 // RXN-12784 // RXN-12787 // RXN-12788 // RXN-12790 // RXN-12789
PHOTOALL-PWY	RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
ASPASN-PWY	ASPARTASE-RXN // ASPARAGHYD-RXN // ASNSYNA-RXN // ASPAMINOTRANS-RXN
GLUTORN-PWY	ACETYLORNDEACET-RXN // ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN
PWY-2504	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // 1.14.12.1-RXN // RXN-8665 // ARYLFORMAMIDASE-RXN // KYNURENINASE-RXN // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN // HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN // 4-HYDROXYMANDELATE-OXY-RXN // HYDROXY-MANDELATE-RACEMASE-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // 1.1.99.25-RXN // DHSHIKIMATE-DEHYDRO-RXN // SHIKIMATE-PQQ-RXN // 4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN // 5.5.1.2-RXN // PROTOCATECHUATE-34-DIOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN // BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZOYLFORMATE-DECARBOXYLASE-RXN // MANDELATE-DEHYDROGENASE-RXN // MANDELATE-RACEMASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN
PWY-5973	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555
PWY-5971	RXN-16393 // RXN-9623 // RXN-9655 // 3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657
PWY-7328	UGD-RXN // PHOSPHOGLUCMUT-RXN // GLUC1PURIDYLTRANS-RXN // GALPMUT-RXN // UDP-GLUCURONATE-4-EPIMERASE-RXN // UDPGLUCEPIM-RXN
PWY-7323	GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN // GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN // RXN-8953 // RXN-15217 // RXN-15218 // RXN-8955 // RXN-8954 // FCLREDUCT-RXN // FCLEPIM-RXN // GDPMANDEHYDRA-RXN // PGLUCISOM-RXN // 2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN
HOMOSER-METSYN-PWY	CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN
PWY-6317	PHOSPHOGLUCMUT-RXN // ALDOSE1EPIM-RXN // UDPGLUCEPIM-RXN // GALACTURIDYLYLTRANS-RXN // GALACTOKIN-RXN
