Pathways	Taxonomic-Range	Species	Common-Name	Common-Name2
PWY-7170	TAX-3041 // TAX-33090	ORG-5993	Arabidopsis thaliana	Chlorophyta // Viridiplantae
THREONINE-DEG2-PWY	TAX-4751 // TAX-33208 // TAX-2 // TAX-2157	TAX-1511 // TAX-8782 // TAX-511145 // TAX-40674 // TAX-77915 // TAX-2261 // TAX-53953 // TAX-339 // ORG-5866 // ORG-5894	Acetoanaerobium sticklandii // Aves // Escherichia coli // Mammalia // Pseudomonas sp. cruciviae // Pyrococcus furiosus // Pyrococcus horikoshii // Xanthomonas campestris // Arthrobacter sp. // Corynebacterium sp.	Fungi // Metazoa // Bacteria <bacteria> // Archaea
PWY-5436	TAX-2 // TAX-4751	TAX-511145 // TAX-4932 // TAX-268808 // TAX-1501 // TAX-5417 // TAX-1423 // TAX-1667 // TAX-650 // ORG-5959 // ORG-5958 // ORG-5995	Escherichia coli // Saccharomyces cerevisiae // Pseudomonas sp. NCIMB 10558 // Clostridium pasteurianum // Vanrija humicola // Bacillus subtilis // Arthrobacter sp. // Aeromonas jandaei // Pseudomonas putida // Achromobacter xylosoxidans 	Bacteria <bacteria> // Fungi
PWY-6289	TAX-2	TAX-66692 // TAX-1392 // TAX-260799 // TAX-269801 // TAX-281309 // TAX-2743 // TAX-351348 // TAX-440085 // TAX-419610 // TAX-441620 // TAX-383629 // TAX-314292 // TAX-121723 // TAX-1076	Shouchella clausii // Bacillus anthracis // Bacillus cereus // Bacillus thuringiensis // Marinobacter nauticus // Methylorubrum extorquens // Methylorubrum populi // Phaeobacter inhibens // Photobacterium angustum // Photobacterium sp. SKA34 // Rhodopseudomonas palustris	Bacteria <bacteria>
PWY-5794	TAX-2	TAX-471 // TAX-573 // TAX-294 // TAX-303	Acinetobacter calcoaceticus // Klebsiella pneumoniae // Pseudomonas fluorescens // Pseudomonas putida	Bacteria <bacteria>
PWY-7788	TAX-2	TAX-1772	Mycolicibacterium smegmatis	Bacteria <bacteria>
PWY-6596	TAX-3193	TAX-4442 // TAX-4058 // TAX-3847 // TAX-3873 // TAX-4113 // ORG-5993	Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
PWY-7050	TAX-33634 // TAX-2	TAX-240292 // TAX-167879 // TAX-298386 // TAX-313595 // TAX-357804 // TAX-368446 // TAX-25 // TAX-314092 // TAX-238814	Trichormus variabilis // Colwellia psychrerythraea // Photobacterium profundum // Psychroflexus torquis // Psychromonas ingrahamii // Schizochytrium sp. ATCC 20888 // Shewanella hanedai // Shewanella pneumatophori // Shewanella sp. GA-22	Stramenopiles // Bacteria <bacteria>
PWY-8394	TAX-1239	TAX-1582	Lacticaseibacillus casei	Bacillota
ARG-PRO-PWY	TAX-33090 // TAX-1117 // TAX-4751	TAX-4932 // TAX-1148	Saccharomyces cerevisiae // Synechocystis sp. PCC 6803	Viridiplantae // Cyanobacteriota // Fungi
PWY-8415	TAX-2157	TAX-2190 // TAX-667126 // TAX-155863 // TAX-647113	Methanocaldococcus jannaschii // Methanocaldococcus villosus // Methanothermococcus okinawensis	Archaea
PWY-8322	TAX-4890	TAX-4932	Saccharomyces cerevisiae	Ascomycota
PWY-2582	TAX-3193	ORG-5993	Arabidopsis thaliana	Embryophyta
RIBOSYN2-PWY	TAX-33090 // TAX-2	TAX-1423 // TAX-511145 // ORG-5993	Bacillus subtilis // Escherichia coli // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
PWY-5995	TAX-33090	TAX-3707 // TAX-4222 // TAX-3847 // TAX-4006 // TAX-4530 // TAX-4182 // TAX-3562 // TAX-32198 // ORG-5993	Brassica juncea // Carthamus tinctorius // Glycine max // Linum usitatissimum // Oryza sativa // Sesamum indicum // Spinacia oleracea // Thunbergia alata // Arabidopsis thaliana	Viridiplantae
PWY-7212	TAX-33090	TAX-65409 // TAX-512023	Scutellaria baicalensis // Scutellaria viscidula	Viridiplantae
PWY-8324	TAX-2	TAX-1402 // TAX-571 // TAX-573 // TAX-28901	Bacillus licheniformis // Klebsiella oxytoca // Klebsiella pneumoniae // Salmonella enterica	Bacteria <bacteria>
PWY-5439	TAX-4751 // TAX-3524	TAX-41956	Amanita muscaria	Fungi // Caryophyllales
PWY-7543	TAX-1131492 // TAX-4751	TAX-36630	Aspergillus fischeri	Aspergillaceae // Fungi
PWY-5951	TAX-4751 // TAX-2	TAX-4932 // TAX-554 // TAX-1406 // TAX-442	Saccharomyces cerevisiae // Pectobacterium carotovorum // Paenibacillus polymyxa // Gluconobacter oxydans	Fungi // Bacteria <bacteria>
PWY-5037	TAX-3629 // TAX-24966 // TAX-27065	TAX-4442 // TAX-261999 // TAX-182317 // TAX-13443 // TAX-49390	Camellia sinensis // Camellia taliensis // Coffea arabica // Coffea canephora	Malvaceae // Rubiaceae // Theaceae
ARGDEGRAD-PWY	TAX-2157 // TAX-2759 // TAX-2	TAX-648 // TAX-1119 // TAX-1511 // TAX-5741 // TAX-2242 // TAX-28002 // TAX-1588 // TAX-2098 // TAX-272634 // TAX-287 // TAX-2133 // TAX-1341 // TAX-158 // TAX-5722 // TAX-56690 // ORG-5993	Aeromonas caviae // Aphanocapsa // Acetoanaerobium sticklandii // Giardia duodenalis // Halobacterium salinarum // Hexamita inflata // Lentilactobacillus hilgardii // Metamycoplasma hominis // Mycoplasmoides pneumoniae // Pseudomonas aeruginosa // Spiroplasma citri // Streptococcus ratti // Treponema denticola // Trichomonas vaginalis // Tritrichomonas suis // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
PWY-7198	TAX-2157	TAX-2190	Methanocaldococcus jannaschii	Archaea
PRPP-PWY	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-1781	TAX-1224	TAX-294	Pseudomonas fluorescens	Pseudomonadota
PWY-7227	TAX-2759 // TAX-2157 // TAX-2	TAX-511145 // TAX-9606 // TAX-90371 // ORG-5993	Escherichia coli // Homo sapiens // Salmonella enterica // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
PWY-7151	TAX-91827	TAX-36749	Chrysosplenium americanum	Gunneridae
PWY-6058	TAX-2	TAX-121291 // TAX-121292 // TAX-121290	Arthrobacter methylotrophus // Pseudarthrobacter sulfonivorans // Hyphomicrobium sulfonivorans	Bacteria <bacteria>
PWY-6069	TAX-33090 // TAX-2	TAX-96455 // TAX-110517 // TAX-222567	Persicaria tinctoria // Pseudomonas sp. NCIB9816-4 // Strobilanthes cusia	Viridiplantae // Bacteria <bacteria>
PWY-6944	TAX-2	TAX-285 // TAX-1773 // TAX-83332 // TAX-43767 // TAX-685727 // TAX-101510 // TAX-1829 // TAX-441625 // ORG-6191	Comamonas testosteroni // Mycobacterium tuberculosis // Prescottella equi // Rhodococcus jostii // Rhodococcus rhodochrous // Rhodococcus sp. SQ1	Bacteria <bacteria>
PWY-6890	TAX-33090 // TAX-33630 // TAX-2157 // TAX-2	TAX-224308 // TAX-511145 // TAX-181486 // TAX-90371 // ORG-5993	Bacillus subtilis // Escherichia coli // Pyrobaculum calidifontis // Salmonella enterica // Arabidopsis thaliana	Viridiplantae // Alveolata // Archaea // Bacteria <bacteria>
PWY-8269	TAX-2	TAX-1501233	Bacillus sp. MD1	Bacteria <bacteria>
PWY-7174	TAX-2	TAX-1085	Rhodospirillum rubrum	Bacteria <bacteria>
PWY-6107	TAX-2	TAX-395599 // TAX-395598	Pseudomonas moorei // Pseudomonas reinekei	Bacteria <bacteria>
FORMASS-PWY	TAX-1224	TAX-303	Pseudomonas putida	Pseudomonadota
COA-PWY	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
FASYN-ELONG-PWY	TAX-33090 // TAX-2	TAX-224308 // TAX-3708 // TAX-511145 // TAX-3562 // TAX-1313 // TAX-666 // ORG-5993	Bacillus subtilis // Brassica napus // Escherichia coli // Spinacia oleracea // Streptococcus pneumoniae // Vibrio cholerae // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
PWY-6052	TAX-2	TAX-246200 // TAX-81569 // TAX-335992 // TAX-2298 // TAX-2297 // TAX-449288 // ORG-6056	Ruegeria pomeroyi // Ruegeria atlantica // Candidatus Pelagibacter // Desulfocicer vacuolatum // Desulfocicer niacini // Desulfobacterium sp. PM4 // ruegeria frisia	Bacteria <bacteria>
PWY-8302	TAX-1783272	TAX-1290 // ORG-6356	Staphylococcus hominis // Corynebacterium sp. Ax20	Bacillati
MANNIDEG-PWY	TAX-2 // TAX-2763 // TAX-4751	TAX-511145	Escherichia coli	Bacteria <bacteria> // Rhodophyta // Fungi
PWY0-1321	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-4861	TAX-2 // TAX-3193	TAX-1162729 // TAX-1313 // TAX-45888 // ORG-5993	Escherichia coli O113 // Streptococcus pneumoniae // Vibrio cholerae O139 // Arabidopsis thaliana	Bacteria <bacteria> // Embryophyta
URDEGR-PWY	TAX-33090	TAX-3055 // TAX-3827 // TAX-3847 // TAX-3885 // TAX-35938 // ORG-5993	Chlamydomonas reinhardtii // Cicer arietinum // Glycine max // Phaseolus vulgaris // Robinia pseudoacacia // Arabidopsis thaliana	Viridiplantae
PWY-6607	TAX-3193	TAX-4442 // TAX-4058 // TAX-3847 // TAX-3873 // TAX-4113 // ORG-5993	Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
PWY0-1221	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
GLYCOGENSYNTH-PWY	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-5344	TAX-4751 // TAX-2	TAX-196627 // TAX-176299 // TAX-1718 // TAX-29508 // TAX-4932 // TAX-92706	Corynebacterium glutamicum // Agrobacterium fabrum // Leptospira meyeri // Saccharomyces cerevisiae // [Brevibacterium] flavum	Fungi // Bacteria <bacteria>
PWYQT-4476	TAX-3699	TAX-3711 // ORG-5993	Brassica rapa // Arabidopsis thaliana	Brassicales
PWY-7165	TAX-2	TAX-442 // TAX-549 // TAX-294 // ORG-6226	Gluconobacter oxydans // Pantoea agglomerans // Pseudomonas fluorescens // Corynebacterium sp. SHS 0007	Bacteria <bacteria>
PWY-8023	TAX-91347	TAX-199310 // TAX-28901	Escherichia coli // Salmonella enterica	Enterobacterales
PWY-6637	TAX-2	TAX-89187	Roseovarius nubinhibens	Bacteria <bacteria>
CYANCAT-PWY	TAX-33090 // TAX-2	TAX-511145 // TAX-294 // ORG-5993	Escherichia coli // Pseudomonas fluorescens // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
PWY66-395	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PWY-6720	TAX-1883	TAX-1927	Streptomyces rimosus	Streptomyces
PWY-5928	TAX-4136	TAX-34256 // TAX-29719	Mentha x piperita // Mentha spicata	Lamiaceae
PWY-5035	TAX-58023 // TAX-3195	TAX-3661 // TAX-4530 // TAX-39947 // TAX-3888 // TAX-4565 // ORG-5993	Cucurbita maxima // Oryza sativa // Pisum sativum // Triticum aestivum // Arabidopsis thaliana	Tracheophyta // Marchantiophyta
PWY-3042	TAX-3803	TAX-3885	Phaseolus vulgaris	Fabaceae
PWY-5705	TAX-33090 // TAX-2	TAX-1458 // TAX-511145 // TAX-3847 // TAX-3885	Metabacillus fastidiosus // Escherichia coli // Glycine max // Phaseolus vulgaris	Viridiplantae // Bacteria <bacteria>
PWY0-42	TAX-4751 // TAX-2	TAX-511145 // TAX-90371 // TAX-4952	Escherichia coli // Salmonella enterica // Yarrowia lipolytica	Fungi // Bacteria <bacteria>
PWY-6943	TAX-2	TAX-285 // TAX-43767 // TAX-685727 // ORG-6191	Comamonas testosteroni // Prescottella equi	Bacteria <bacteria>
PWY-8140	TAX-2759 // TAX-2157 // TAX-2	TAX-1353 // TAX-511145 // TAX-9606 // TAX-4513 // TAX-4530 // TAX-160488 // ORG-5993	Enterococcus gallinarum // Escherichia coli // Homo sapiens // Hordeum vulgare // Oryza sativa // Pseudomonas putida // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
PWY-7656	TAX-7088	TAX-7109	Spodoptera littoralis	Lepidoptera
PWY-6244	TAX-33090	TAX-38787 // TAX-3504 // TAX-62890	Betula pubescens // Betula // Solanum habrochaites	Viridiplantae
PWY-7916	TAX-6447	TAX-6625	Watasenia scintillans	Mollusca
PWY-6765	TAX-2157	TAX-2261	Pyrococcus furiosus	Archaea
PWY-6071	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
ANAPHENOXI-PWY	TAX-4751 // TAX-1224	TAX-551760 // TAX-59406 // TAX-4932 // TAX-59405	Aromatoleum aromaticum // Aromatoleum evansii // Saccharomyces cerevisiae // Thauera aromatica	Fungi // Pseudomonadota
PWY-2701	TAX-3803	TAX-3827	Cicer arietinum	Fabaceae
PWY-7438	TAX-201174	TAX-47868 // TAX-1836 // TAX-405948 // TAX-60894 // TAX-1890 // TAX-41951	Micromonospora megalomicea // Saccharopolyspora erythraea // Saccharopolyspora spinosa // Streptomyces antibioticus // Streptomyces argillaceus	Actinomycetota
PWY-7917	TAX-2759	TAX-9606 // TAX-10090	Homo sapiens // Mus musculus	Eukaryota
PWY-7282	TAX-4751	TAX-4932 // TAX-559292	Saccharomyces cerevisiae	Fungi
PWY-8031	TAX-41768	TAX-261450 // TAX-3442	Coptis chinensis // Coptis japonica	Ranunculales
P662-PWY	TAX-1224 // TAX-201174	TAX-392499	Rhizorhabdus wittichii	Pseudomonadota // Actinomycetota
P3-PWY	TAX-1239	ORG-5904	Eubacterium oxidoreducens	Bacillota
PWY-5451	TAX-40674	TAX-9606 // TAX-40674 // TAX-10090 // TAX-10116	Homo sapiens // Mammalia // Mus musculus // Rattus norvegicus	Mammalia
PWY-5768	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-6433	TAX-33090	TAX-63442 // TAX-439687 // ORG-6270	Physaria fendleri // Physaria lindheimeri // Physaria kathryn	Viridiplantae
PWY-6121	TAX-2 // TAX-2759	TAX-1423 // TAX-511145 // TAX-9606 // TAX-4932 // TAX-90371 // ORG-5993	Bacillus subtilis // Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Salmonella enterica // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
PWY-5137	TAX-2 // TAX-2157 // TAX-2759	TAX-3659 // TAX-511145 // TAX-9606 // TAX-4932 // ORG-5993	Cucumis sativus // Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	Bacteria <bacteria> // Archaea // Eukaryota
PWY-922	TAX-2281 // TAX-2157 // TAX-33208 // TAX-4751 // TAX-2 // TAX-33090	TAX-4058 // TAX-9606 // TAX-4097 // TAX-2286 // TAX-2287 // TAX-4932 // ORG-5993	Catharanthus roseus // Homo sapiens // Nicotiana tabacum // Saccharolobus shibatae // Saccharolobus solfataricus // Saccharomyces cerevisiae // Arabidopsis thaliana	Sulfolobales // Archaea // Metazoa // Fungi // Bacteria <bacteria> // Viridiplantae
PWY-6952	TAX-2157 // TAX-2759 // TAX-2	TAX-1299 // TAX-511145 // TAX-160488 // TAX-4932 // TAX-1142	Deinococcus radiodurans // Escherichia coli // Pseudomonas putida // Saccharomyces cerevisiae // Synechocystis	Archaea // Eukaryota // Bacteria <bacteria>
PWY-7683	TAX-1117 // TAX-33090	TAX-39947 // TAX-1148	Oryza sativa // Synechocystis sp. PCC 6803	Cyanobacteriota // Viridiplantae
PWY-7987	TAX-2	TAX-105260	Vibrio anguillarum	Bacteria <bacteria>
PWY-7630	TAX-3398	TAX-35933 // TAX-93608	Podophyllum peltatum // Sinopodophyllum hexandrum	Magnoliopsida
PWY-6524	TAX-3568	TAX-271558 // TAX-13274	Cerastium arvense // Stellaria media	Caryophyllaceae
PWY-6759	TAX-2 // TAX-2157	TAX-119072 // TAX-2208 // TAX-2261	Caldanaerobacter subterraneus // Methanosarcina barkeri // Pyrococcus furiosus	Bacteria <bacteria> // Archaea
PWY-2301	TAX-2759 // TAX-2 // TAX-2157	TAX-2234 // TAX-818 // TAX-9606 // TAX-2190 // TAX-1773 // TAX-83332 // TAX-1772 // TAX-48935 // TAX-549 // TAX-317 // TAX-2287 // TAX-2336 // TAX-2337 // ORG-5993	Archaeoglobus fulgidus // Bacteroides thetaiotaomicron // Homo sapiens // Methanocaldococcus jannaschii // Mycobacterium tuberculosis // Mycolicibacterium smegmatis // Novosphingobium aromaticivorans // Pantoea agglomerans // Pseudomonas syringae // Saccharolobus solfataricus // Thermotoga maritima // Thermotoga neapolitana // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
PWY-6786	TAX-3193	ORG-5993	Arabidopsis thaliana	Embryophyta
PWY-6268	TAX-2157 // TAX-2	TAX-511145 // TAX-192952 // TAX-90371 // TAX-99287	Escherichia coli // Methanosarcina mazei // Salmonella enterica	Archaea // Bacteria <bacteria>
PWY-5331	TAX-2 // TAX-40674	TAX-9913 // TAX-9606 // TAX-40674 // TAX-10090 // TAX-313594 // TAX-10116 // TAX-91464	Bos taurus // Homo sapiens // Mammalia // Mus musculus // Polaribacter irgensii // Rattus norvegicus // Synechococcus sp. PCC 7335	Bacteria <bacteria> // Mammalia
PWY-6823	TAX-2157 // TAX-2 // TAX-2759	TAX-511145 // TAX-9606 // TAX-158879 // TAX-300852 // ORG-5993	Escherichia coli // Homo sapiens // Staphylococcus aureus // Thermus thermophilus // Arabidopsis thaliana	Archaea // Bacteria <bacteria> // Eukaryota
PWY-7518	TAX-5204	TAX-71150 // TAX-5382 // TAX-80604	Paxillus involutus // Suillus grevillei // Tapinella panuoides	Basidiomycota
PWY-82	TAX-3193	TAX-3888 // TAX-3916 // ORG-5993	Pisum sativum // Vigna radiata // Arabidopsis thaliana	Embryophyta
PWY-7671	TAX-2	TAX-1914	Streptomyces lavendulae	Bacteria <bacteria>
RIBOKIN-PWY	TAX-2 // TAX-2157	TAX-511145	Escherichia coli	Bacteria <bacteria> // Archaea
PWY490-3	TAX-1117	TAX-1140	Synechococcus elongatus	Cyanobacteriota
PWY-7527	TAX-2157 // TAX-2 // TAX-33208	TAX-1423 // TAX-224308 // TAX-9606 // TAX-571 // TAX-10090 // TAX-10116 // TAX-1085	Bacillus subtilis // Homo sapiens // Klebsiella oxytoca // Mus musculus // Rattus norvegicus // Rhodospirillum rubrum	Archaea // Bacteria <bacteria> // Metazoa
PWY-7290	TAX-1236	ORG-6228 // ORG-6340	Escherichia coli	Gammaproteobacteria
HCAMHPDEG-PWY	TAX-1224	TAX-511145	Escherichia coli	Pseudomonadota
PWY-6670	TAX-2	TAX-205922 // TAX-220664 // TAX-300 // TAX-287 // TAX-208964 // TAX-53408	Pseudomonas fluorescens // Pseudomonas protegens // Ectopseudomonas mendocina // Pseudomonas aeruginosa // Pseudomonas citronellolis	Bacteria <bacteria>
PWY-6947	TAX-2	TAX-1773 // TAX-83332 // TAX-74576	Mycobacterium tuberculosis // Streptomyces sp. SA-COO	Bacteria <bacteria>
PWY-8374	TAX-1883	TAX-1888 // TAX-1889 // TAX-68180 // TAX-53450 // TAX-1298930 // TAX-861065	Streptomyces albus // Streptomyces ambofaciens // Streptomyces blastmyceticus // Streptomyces odorifer // Streptomyces sp. NRRL 2288 // Streptomyces sp. S4(2010)	Streptomyces
PWY-8393	TAX-1239	TAX-1639	Listeria monocytogenes	Bacillota
POLYISOPRENSYN-PWY	TAX-2759 // TAX-2 // TAX-2157	TAX-511145	Escherichia coli	Eukaryota // Bacteria <bacteria> // Archaea
PWY-7097	TAX-2	TAX-502559	Sphingomonas sp. SYK6	Bacteria <bacteria>
PWY-6959	TAX-2 // TAX-33090	TAX-470 // TAX-381666 // TAX-287	Acinetobacter baumannii // Cupriavidus necator // Pseudomonas aeruginosa	Bacteria <bacteria> // Viridiplantae
PWY-2841	TAX-33090	TAX-4577 // ORG-5993	Zea mays // Arabidopsis thaliana	Viridiplantae
PWY-7781	TAX-1762	TAX-1771 // TAX-83332	Mycolicibacterium phlei // Mycobacterium tuberculosis	Mycobacteriaceae
PWY1R65-1	TAX-590	TAX-99287	Salmonella enterica	Salmonella
PWY-5686	TAX-2759 // TAX-2	TAX-511145 // TAX-9606 // ORG-5993	Escherichia coli // Homo sapiens // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
PWY4FS-4	TAX-33090	TAX-4039 // TAX-4146	Daucus carota // Olea europaea	Viridiplantae
PWY18C3-3	TAX-4070	TAX-4081	Solanum lycopersicum	Solanaceae
PWY-8139	TAX-91347	TAX-34054	Yersinia enterocolitica (type O:8)	Enterobacterales
PWY-8388	TAX-4751	TAX-162425	Aspergillus nidulans	Fungi
PWY-6103	TAX-2	TAX-393999	Cupriavidus sp. PS12	Bacteria <bacteria>
PWY0-1296	TAX-2157 // TAX-33154 // TAX-2	TAX-511145 // TAX-9606 // TAX-272634	Escherichia coli // Homo sapiens // Mycoplasmoides pneumoniae	Archaea // Opisthokonta // Bacteria <bacteria>
PWY-5677	TAX-1239	TAX-1534	Clostridium kluyveri	Bacillota
PWY-6739	TAX-33090	TAX-60916	Trifolium incarnatum	Viridiplantae
PWY1YI0-1	TAX-35493 // TAX-3041 // TAX-2	TAX-3055 // TAX-1118153 // TAX-287 // TAX-13821 // TAX-84588	Chlamydomonas reinhardtii // Halomonas sp. GFAJ-1 // Pseudomonas aeruginosa // Pteris vittata // Parasynechococcus marenigrum	Streptophyta // Chlorophyta // Bacteria <bacteria>
PWY-7984	TAX-2	TAX-470 // TAX-645	Acinetobacter baumannii // Aeromonas salmonicida	Bacteria <bacteria>
2PHENDEG-PWY	TAX-33208 // TAX-2	TAX-511145	Escherichia coli	Metazoa // Bacteria <bacteria>
PWY-7552	TAX-2 // TAX-2157	TAX-876 // TAX-2208	Desulfovibrio desulfuricans // Methanosarcina barkeri	Bacteria <bacteria> // Archaea
PWY-8039	TAX-201174	TAX-53502 // TAX-1914 // TAX-29309	Streptomyces caespitosus // Streptomyces lavendulae // Streptomyces verticillus	Actinomycetota
PWY-8245	TAX-171549	TAX-1125722	Porphyromonas gingivalis	Bacteroidales
PWY4FS-11	TAX-33090	TAX-4530 // TAX-4113 // ORG-5993	Oryza sativa // Solanum tuberosum // Arabidopsis thaliana	Viridiplantae
PWY-6821	TAX-2	TAX-583355 // TAX-227 // TAX-437706 // TAX-702975 // TAX-265606 // TAX-63186	Coraliomargarita akajimensis // Pseudoalteromonas carrageenovora // Pseudoalteromonas sp. AJ5 // Pseudoalteromonas sp. LL1 // Rhodopirellula baltica // Zobellia galactanivorans	Bacteria <bacteria>
P201-PWY	TAX-1224	TAX-358 // ORG-5934 // ORG-5946	Agrobacterium tumefaciens // Pseudomonas fluorescens I-C // Pseudomonas putida	Pseudomonadota
PWY0-1312	TAX-3041 // TAX-2157 // TAX-2	TAX-28446 // TAX-3055 // TAX-1488 // TAX-1534 // TAX-511145 // TAX-2210 // TAX-2104 // TAX-272634 // TAX-29542 // TAX-2336	Anaerotignum propionicum // Chlamydomonas reinhardtii // Clostridium acetobutylicum // Clostridium kluyveri // Escherichia coli // Methanosarcina thermophila // Mycoplasmoides pneumoniae // Syntrophotalea acetylenica // Thermotoga maritima	Chlorophyta // Archaea // Bacteria <bacteria>
PWY-7848	TAX-2	TAX-83332	Mycobacterium tuberculosis	Bacteria <bacteria>
PWY-6855	TAX-2157	TAX-69014	Thermococcus kodakarensis	Archaea
PWY-6217	TAX-2	TAX-285	Comamonas testosteroni	Bacteria <bacteria>
PWY-6538	TAX-2	TAX-615 // ORG-6148 // ORG-6147 // ORG-6144 // ORG-6152 // ORG-6146 // ORG-6151	Serratia marcescens // Pseudomonas putida	Bacteria <bacteria>
PWY-7056	TAX-58024	TAX-4097 // TAX-329675	Nicotiana tabacum // Daphne odora	Spermatophyta
PWY-5835	TAX-33090	TAX-79835 // TAX-79837 // TAX-128735	Cymbopogon flexuosus // Cymbopogon martini // Rosa hybrid cultivar	Viridiplantae
