Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
096R_0_M_S5_week9_S74_L001_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 7.0)	(18.0, 22.0)	(19.0, 46.0)	(20.0, 61.0)	(21.0, 146.0)	(22.0, 247.0)	(23.0, 354.0)	(24.0, 485.0)	(25.0, 576.0)	(26.0, 763.0)	(27.0, 936.0)	(28.0, 1137.0)	(29.0, 1331.0)	(30.0, 1638.0)	(31.0, 1953.0)	(32.0, 2514.0)	(33.0, 3171.0)	(34.0, 4774.0)	(35.0, 7450.0)	(36.0, 16205.0)	(37.0, 70185.0)				
096R_0_M_S5_week9_S74_L001_R2_001	(11.0, 1.0)	(12.0, 25.0)	(13.0, 132.0)	(14.0, 358.0)	(15.0, 450.0)	(16.0, 338.0)	(17.0, 368.0)	(18.0, 368.0)	(19.0, 351.0)	(20.0, 419.0)	(21.0, 496.0)	(22.0, 606.0)	(23.0, 680.0)	(24.0, 885.0)	(25.0, 1058.0)	(26.0, 1416.0)	(27.0, 1850.0)	(28.0, 2717.0)	(29.0, 3851.0)	(30.0, 5658.0)	(31.0, 7974.0)	(32.0, 11047.0)	(33.0, 16119.0)	(34.0, 21337.0)	(35.0, 22167.0)	(36.0, 12512.0)	(37.0, 819.0)
1030R_L_M_NS1_week5_S22_L001_R1_001	(16.0, 2.0)	(17.0, 13.0)	(18.0, 31.0)	(19.0, 48.0)	(20.0, 92.0)	(21.0, 201.0)	(22.0, 318.0)	(23.0, 437.0)	(24.0, 599.0)	(25.0, 770.0)	(26.0, 965.0)	(27.0, 1172.0)	(28.0, 1418.0)	(29.0, 1636.0)	(30.0, 2050.0)	(31.0, 2478.0)	(32.0, 2913.0)	(33.0, 3818.0)	(34.0, 5411.0)	(35.0, 8532.0)	(36.0, 18442.0)	(37.0, 88978.0)					
1030R_L_M_NS1_week5_S22_L001_R2_001	(12.0, 8.0)	(13.0, 66.0)	(14.0, 201.0)	(15.0, 370.0)	(16.0, 339.0)	(17.0, 293.0)	(18.0, 221.0)	(19.0, 281.0)	(20.0, 293.0)	(21.0, 373.0)	(22.0, 456.0)	(23.0, 522.0)	(24.0, 645.0)	(25.0, 865.0)	(26.0, 1047.0)	(27.0, 1417.0)	(28.0, 1900.0)	(29.0, 2870.0)	(30.0, 4312.0)	(31.0, 6164.0)	(32.0, 9219.0)	(33.0, 13902.0)	(34.0, 21301.0)	(35.0, 32414.0)	(36.0, 35642.0)	(37.0, 5203.0)	
1030R_L_M_NS1_week6_S23_L001_R1_001	(16.0, 3.0)	(17.0, 13.0)	(18.0, 53.0)	(19.0, 59.0)	(20.0, 98.0)	(21.0, 192.0)	(22.0, 303.0)	(23.0, 390.0)	(24.0, 619.0)	(25.0, 727.0)	(26.0, 819.0)	(27.0, 1093.0)	(28.0, 1239.0)	(29.0, 1485.0)	(30.0, 1779.0)	(31.0, 2061.0)	(32.0, 2710.0)	(33.0, 3474.0)	(34.0, 4896.0)	(35.0, 7879.0)	(36.0, 17524.0)	(37.0, 80298.0)					
1030R_L_M_NS1_week6_S23_L001_R2_001	(12.0, 4.0)	(13.0, 48.0)	(14.0, 180.0)	(15.0, 331.0)	(16.0, 349.0)	(17.0, 257.0)	(18.0, 249.0)	(19.0, 283.0)	(20.0, 298.0)	(21.0, 374.0)	(22.0, 436.0)	(23.0, 530.0)	(24.0, 625.0)	(25.0, 794.0)	(26.0, 1009.0)	(27.0, 1365.0)	(28.0, 1850.0)	(29.0, 2563.0)	(30.0, 3950.0)	(31.0, 5742.0)	(32.0, 8335.0)	(33.0, 12740.0)	(34.0, 19732.0)	(35.0, 29495.0)	(36.0, 31549.0)	(37.0, 4626.0)	
1030R_L_M_NS1_week7_S24_L001_R1_001	(17.0, 2.0)	(18.0, 11.0)	(19.0, 31.0)	(20.0, 62.0)	(21.0, 170.0)	(22.0, 274.0)	(23.0, 407.0)	(24.0, 503.0)	(25.0, 612.0)	(26.0, 764.0)	(27.0, 939.0)	(28.0, 1160.0)	(29.0, 1295.0)	(30.0, 1561.0)	(31.0, 1847.0)	(32.0, 2356.0)	(33.0, 3011.0)	(34.0, 4145.0)	(35.0, 6743.0)	(36.0, 15061.0)	(37.0, 66913.0)						
1030R_L_M_NS1_week7_S24_L001_R2_001	(12.0, 7.0)	(13.0, 63.0)	(14.0, 178.0)	(15.0, 271.0)	(16.0, 266.0)	(17.0, 252.0)	(18.0, 216.0)	(19.0, 234.0)	(20.0, 297.0)	(21.0, 343.0)	(22.0, 374.0)	(23.0, 498.0)	(24.0, 600.0)	(25.0, 843.0)	(26.0, 1042.0)	(27.0, 1460.0)	(28.0, 2102.0)	(29.0, 2950.0)	(30.0, 4435.0)	(31.0, 6505.0)	(32.0, 9413.0)	(33.0, 13844.0)	(34.0, 19615.0)	(35.0, 23242.0)	(36.0, 16995.0)	(37.0, 1822.0)	
1030R_L_M_NS1_week9_S25_L001_R1_001	(16.0, 2.0)	(17.0, 13.0)	(18.0, 34.0)	(19.0, 51.0)	(20.0, 78.0)	(21.0, 151.0)	(22.0, 302.0)	(23.0, 394.0)	(24.0, 483.0)	(25.0, 650.0)	(26.0, 791.0)	(27.0, 955.0)	(28.0, 1165.0)	(29.0, 1445.0)	(30.0, 1647.0)	(31.0, 1929.0)	(32.0, 2327.0)	(33.0, 3132.0)	(34.0, 4325.0)	(35.0, 7040.0)	(36.0, 14767.0)	(37.0, 65878.0)					
1030R_L_M_NS1_week9_S25_L001_R2_001	(12.0, 2.0)	(13.0, 30.0)	(14.0, 133.0)	(15.0, 318.0)	(16.0, 371.0)	(17.0, 343.0)	(18.0, 306.0)	(19.0, 347.0)	(20.0, 347.0)	(21.0, 398.0)	(22.0, 457.0)	(23.0, 529.0)	(24.0, 695.0)	(25.0, 879.0)	(26.0, 1127.0)	(27.0, 1562.0)	(28.0, 2224.0)	(29.0, 3185.0)	(30.0, 4377.0)	(31.0, 6187.0)	(32.0, 8941.0)	(33.0, 12923.0)	(34.0, 18441.0)	(35.0, 23103.0)	(36.0, 18490.0)	(37.0, 1844.0)	
1060R_L_M_S5_week9_S75_L001_R1_001	(17.0, 1.0)	(18.0, 15.0)	(19.0, 28.0)	(20.0, 39.0)	(21.0, 128.0)	(22.0, 182.0)	(23.0, 278.0)	(24.0, 373.0)	(25.0, 448.0)	(26.0, 629.0)	(27.0, 703.0)	(28.0, 870.0)	(29.0, 1112.0)	(30.0, 1349.0)	(31.0, 1685.0)	(32.0, 2173.0)	(33.0, 2902.0)	(34.0, 4122.0)	(35.0, 6626.0)	(36.0, 14707.0)	(37.0, 74745.0)						
1060R_L_M_S5_week9_S75_L001_R2_001	(12.0, 20.0)	(13.0, 115.0)	(14.0, 353.0)	(15.0, 494.0)	(16.0, 399.0)	(17.0, 329.0)	(18.0, 297.0)	(19.0, 326.0)	(20.0, 363.0)	(21.0, 378.0)	(22.0, 465.0)	(23.0, 536.0)	(24.0, 649.0)	(25.0, 839.0)	(26.0, 1037.0)	(27.0, 1423.0)	(28.0, 2173.0)	(29.0, 3010.0)	(30.0, 4408.0)	(31.0, 6488.0)	(32.0, 9249.0)	(33.0, 13772.0)	(34.0, 19560.0)	(35.0, 24593.0)	(36.0, 19686.0)	(37.0, 2153.0)	
1067R_R_M_S2_week5_S56_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 16.0)	(19.0, 26.0)	(20.0, 80.0)	(21.0, 239.0)	(22.0, 349.0)	(23.0, 506.0)	(24.0, 617.0)	(25.0, 785.0)	(26.0, 1029.0)	(27.0, 1195.0)	(28.0, 1372.0)	(29.0, 1610.0)	(30.0, 1909.0)	(31.0, 2375.0)	(32.0, 2830.0)	(33.0, 3633.0)	(34.0, 5145.0)	(35.0, 8275.0)	(36.0, 17344.0)	(37.0, 82476.0)					
1067R_R_M_S2_week5_S56_L001_R2_001	(12.0, 5.0)	(13.0, 46.0)	(14.0, 182.0)	(15.0, 346.0)	(16.0, 388.0)	(17.0, 369.0)	(18.0, 311.0)	(19.0, 346.0)	(20.0, 378.0)	(21.0, 442.0)	(22.0, 512.0)	(23.0, 619.0)	(24.0, 784.0)	(25.0, 1010.0)	(26.0, 1242.0)	(27.0, 1791.0)	(28.0, 2452.0)	(29.0, 3569.0)	(30.0, 5233.0)	(31.0, 7434.0)	(32.0, 10526.0)	(33.0, 15602.0)	(34.0, 22307.0)	(35.0, 29491.0)	(36.0, 24137.0)	(37.0, 2293.0)	
1067R_R_M_S2_week6_S57_L001_R1_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 31.0)	(18.0, 50.0)	(19.0, 62.0)	(20.0, 89.0)	(21.0, 193.0)	(22.0, 352.0)	(23.0, 493.0)	(24.0, 678.0)	(25.0, 911.0)	(26.0, 1014.0)	(27.0, 1182.0)	(28.0, 1428.0)	(29.0, 1715.0)	(30.0, 2033.0)	(31.0, 2411.0)	(32.0, 3008.0)	(33.0, 3765.0)	(34.0, 5220.0)	(35.0, 8298.0)	(36.0, 17411.0)	(37.0, 79712.0)				
1067R_R_M_S2_week6_S57_L001_R2_001	(12.0, 2.0)	(13.0, 28.0)	(14.0, 179.0)	(15.0, 384.0)	(16.0, 427.0)	(17.0, 393.0)	(18.0, 354.0)	(19.0, 400.0)	(20.0, 467.0)	(21.0, 478.0)	(22.0, 582.0)	(23.0, 659.0)	(24.0, 891.0)	(25.0, 1099.0)	(26.0, 1393.0)	(27.0, 1968.0)	(28.0, 2689.0)	(29.0, 3695.0)	(30.0, 5298.0)	(31.0, 7598.0)	(32.0, 10883.0)	(33.0, 15512.0)	(34.0, 21852.0)	(35.0, 28456.0)	(36.0, 22445.0)	(37.0, 1928.0)	
1067R_R_M_S2_week7_S58_L001_R1_001	(17.0, 4.0)	(18.0, 27.0)	(19.0, 48.0)	(20.0, 79.0)	(21.0, 161.0)	(22.0, 297.0)	(23.0, 442.0)	(24.0, 576.0)	(25.0, 724.0)	(26.0, 896.0)	(27.0, 1113.0)	(28.0, 1353.0)	(29.0, 1545.0)	(30.0, 1904.0)	(31.0, 2293.0)	(32.0, 3018.0)	(33.0, 3855.0)	(34.0, 5419.0)	(35.0, 8414.0)	(36.0, 18344.0)	(37.0, 82473.0)						
1067R_R_M_S2_week7_S58_L001_R2_001	(12.0, 8.0)	(13.0, 50.0)	(14.0, 214.0)	(15.0, 387.0)	(16.0, 401.0)	(17.0, 321.0)	(18.0, 340.0)	(19.0, 362.0)	(20.0, 400.0)	(21.0, 487.0)	(22.0, 576.0)	(23.0, 743.0)	(24.0, 827.0)	(25.0, 1110.0)	(26.0, 1548.0)	(27.0, 2059.0)	(28.0, 3087.0)	(29.0, 4410.0)	(30.0, 6321.0)	(31.0, 9173.0)	(32.0, 13177.0)	(33.0, 18719.0)	(34.0, 25761.0)	(35.0, 26700.0)	(36.0, 14848.0)	(37.0, 956.0)	
1067R_R_M_S2_week9_S59_L001_R1_001	(18.0, 8.0)	(19.0, 20.0)	(20.0, 40.0)	(21.0, 116.0)	(22.0, 189.0)	(23.0, 285.0)	(24.0, 351.0)	(25.0, 481.0)	(26.0, 644.0)	(27.0, 834.0)	(28.0, 984.0)	(29.0, 1158.0)	(30.0, 1472.0)	(31.0, 1768.0)	(32.0, 2315.0)	(33.0, 3026.0)	(34.0, 4318.0)	(35.0, 6936.0)	(36.0, 14731.0)	(37.0, 70845.0)							
1067R_R_M_S2_week9_S59_L001_R2_001	(12.0, 1.0)	(13.0, 24.0)	(14.0, 130.0)	(15.0, 298.0)	(16.0, 369.0)	(17.0, 318.0)	(18.0, 266.0)	(19.0, 229.0)	(20.0, 257.0)	(21.0, 297.0)	(22.0, 377.0)	(23.0, 457.0)	(24.0, 522.0)	(25.0, 706.0)	(26.0, 891.0)	(27.0, 1258.0)	(28.0, 1871.0)	(29.0, 2686.0)	(30.0, 3926.0)	(31.0, 5865.0)	(32.0, 8512.0)	(33.0, 12718.0)	(34.0, 19451.0)	(35.0, 25615.0)	(36.0, 21276.0)	(37.0, 2201.0)	
1075R_L_M_NS6_week9_S84_L001_R1_001	(16.0, 3.0)	(17.0, 5.0)	(18.0, 14.0)	(19.0, 26.0)	(20.0, 41.0)	(21.0, 111.0)	(22.0, 155.0)	(23.0, 235.0)	(24.0, 307.0)	(25.0, 454.0)	(26.0, 588.0)	(27.0, 703.0)	(28.0, 934.0)	(29.0, 1127.0)	(30.0, 1379.0)	(31.0, 1745.0)	(32.0, 2198.0)	(33.0, 2893.0)	(34.0, 4126.0)	(35.0, 6927.0)	(36.0, 14975.0)	(37.0, 71409.0)					
1075R_L_M_NS6_week9_S84_L001_R2_001	(13.0, 4.0)	(14.0, 48.0)	(15.0, 219.0)	(16.0, 321.0)	(17.0, 351.0)	(18.0, 255.0)	(19.0, 223.0)	(20.0, 233.0)	(21.0, 253.0)	(22.0, 299.0)	(23.0, 341.0)	(24.0, 427.0)	(25.0, 555.0)	(26.0, 708.0)	(27.0, 901.0)	(28.0, 1293.0)	(29.0, 1784.0)	(30.0, 2843.0)	(31.0, 4405.0)	(32.0, 6790.0)	(33.0, 10752.0)	(34.0, 17113.0)	(35.0, 27552.0)	(36.0, 29384.0)	(37.0, 3301.0)		
1076R_0_M_S5_week9_S76_L001_R1_001	(16.0, 1.0)	(17.0, 9.0)	(18.0, 18.0)	(19.0, 25.0)	(20.0, 62.0)	(21.0, 117.0)	(22.0, 190.0)	(23.0, 296.0)	(24.0, 365.0)	(25.0, 485.0)	(26.0, 607.0)	(27.0, 762.0)	(28.0, 943.0)	(29.0, 1103.0)	(30.0, 1374.0)	(31.0, 1747.0)	(32.0, 2134.0)	(33.0, 2668.0)	(34.0, 3933.0)	(35.0, 6316.0)	(36.0, 13354.0)	(37.0, 58198.0)					
1076R_0_M_S5_week9_S76_L001_R2_001	(11.0, 1.0)	(12.0, 19.0)	(13.0, 103.0)	(14.0, 284.0)	(15.0, 355.0)	(16.0, 275.0)	(17.0, 256.0)	(18.0, 286.0)	(19.0, 302.0)	(20.0, 334.0)	(21.0, 335.0)	(22.0, 395.0)	(23.0, 474.0)	(24.0, 600.0)	(25.0, 760.0)	(26.0, 936.0)	(27.0, 1267.0)	(28.0, 1824.0)	(29.0, 2577.0)	(30.0, 3907.0)	(31.0, 5824.0)	(32.0, 8239.0)	(33.0, 11819.0)	(34.0, 16528.0)	(35.0, 20673.0)	(36.0, 14848.0)	(37.0, 1486.0)
1121R_0_M_NS1_week5_S26_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 20.0)	(19.0, 21.0)	(20.0, 53.0)	(21.0, 127.0)	(22.0, 231.0)	(23.0, 298.0)	(24.0, 364.0)	(25.0, 529.0)	(26.0, 665.0)	(27.0, 790.0)	(28.0, 1018.0)	(29.0, 1182.0)	(30.0, 1479.0)	(31.0, 1709.0)	(32.0, 2115.0)	(33.0, 2887.0)	(34.0, 3913.0)	(35.0, 6392.0)	(36.0, 13877.0)	(37.0, 62233.0)					
1121R_0_M_NS1_week5_S26_L001_R2_001	(12.0, 2.0)	(13.0, 26.0)	(14.0, 142.0)	(15.0, 286.0)	(16.0, 302.0)	(17.0, 268.0)	(18.0, 249.0)	(19.0, 223.0)	(20.0, 267.0)	(21.0, 376.0)	(22.0, 374.0)	(23.0, 521.0)	(24.0, 598.0)	(25.0, 763.0)	(26.0, 1010.0)	(27.0, 1304.0)	(28.0, 1998.0)	(29.0, 2837.0)	(30.0, 4294.0)	(31.0, 6104.0)	(32.0, 8953.0)	(33.0, 12957.0)	(34.0, 18385.0)	(35.0, 21241.0)	(36.0, 15125.0)	(37.0, 1302.0)	
1121R_0_M_NS1_week6_S27_L001_R1_001	(17.0, 3.0)	(18.0, 7.0)	(19.0, 24.0)	(20.0, 48.0)	(21.0, 103.0)	(22.0, 181.0)	(23.0, 247.0)	(24.0, 326.0)	(25.0, 428.0)	(26.0, 595.0)	(27.0, 723.0)	(28.0, 902.0)	(29.0, 1094.0)	(30.0, 1341.0)	(31.0, 1656.0)	(32.0, 2069.0)	(33.0, 2829.0)	(34.0, 3805.0)	(35.0, 6328.0)	(36.0, 14225.0)	(37.0, 64042.0)						
1121R_0_M_NS1_week6_S27_L001_R2_001	(12.0, 2.0)	(13.0, 21.0)	(14.0, 125.0)	(15.0, 274.0)	(16.0, 353.0)	(17.0, 275.0)	(18.0, 235.0)	(19.0, 236.0)	(20.0, 253.0)	(21.0, 298.0)	(22.0, 351.0)	(23.0, 393.0)	(24.0, 494.0)	(25.0, 602.0)	(26.0, 858.0)	(27.0, 1151.0)	(28.0, 1777.0)	(29.0, 2557.0)	(30.0, 3833.0)	(31.0, 5767.0)	(32.0, 8630.0)	(33.0, 12770.0)	(34.0, 18481.0)	(35.0, 22460.0)	(36.0, 17165.0)	(37.0, 1615.0)	
