Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1136R_RL_F_S5_week10_S58_L001_R1_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 11.0)	(19.0, 26.0)	(20.0, 60.0)	(21.0, 132.0)	(22.0, 204.0)	(23.0, 297.0)	(24.0, 408.0)	(25.0, 502.0)	(26.0, 647.0)	(27.0, 808.0)	(28.0, 972.0)	(29.0, 1226.0)	(30.0, 1538.0)	(31.0, 1882.0)	(32.0, 2434.0)	(33.0, 3178.0)	(34.0, 4825.0)	(35.0, 8236.0)	(36.0, 19851.0)	(37.0, 53824.0)				
1136R_RL_F_S5_week10_S58_L001_R2_001	(12.0, 9.0)	(13.0, 61.0)	(14.0, 141.0)	(15.0, 210.0)	(16.0, 160.0)	(17.0, 169.0)	(18.0, 203.0)	(19.0, 271.0)	(20.0, 303.0)	(21.0, 387.0)	(22.0, 502.0)	(23.0, 627.0)	(24.0, 776.0)	(25.0, 1025.0)	(26.0, 1403.0)	(27.0, 2092.0)	(28.0, 3100.0)	(29.0, 4627.0)	(30.0, 6562.0)	(31.0, 9586.0)	(32.0, 13819.0)	(33.0, 18094.0)	(34.0, 19499.0)	(35.0, 14568.0)	(36.0, 2862.0)	(37.0, 9.0)	
1136R_R_F_S5_week10_S57_L001_R1_001	(15.0, 4.0)	(16.0, 32.0)	(17.0, 64.0)	(18.0, 73.0)	(19.0, 66.0)	(20.0, 95.0)	(21.0, 204.0)	(22.0, 278.0)	(23.0, 433.0)	(24.0, 558.0)	(25.0, 722.0)	(26.0, 960.0)	(27.0, 1050.0)	(28.0, 1238.0)	(29.0, 1446.0)	(30.0, 1755.0)	(31.0, 2069.0)	(32.0, 2734.0)	(33.0, 3578.0)	(34.0, 5299.0)	(35.0, 8862.0)	(36.0, 20539.0)	(37.0, 55996.0)				
1136R_R_F_S5_week10_S57_L001_R2_001	(11.0, 1.0)	(12.0, 6.0)	(13.0, 48.0)	(14.0, 155.0)	(15.0, 212.0)	(16.0, 210.0)	(17.0, 236.0)	(18.0, 350.0)	(19.0, 380.0)	(20.0, 444.0)	(21.0, 516.0)	(22.0, 612.0)	(23.0, 718.0)	(24.0, 906.0)	(25.0, 1169.0)	(26.0, 1681.0)	(27.0, 2355.0)	(28.0, 3356.0)	(29.0, 4759.0)	(30.0, 6944.0)	(31.0, 9873.0)	(32.0, 14072.0)	(33.0, 18653.0)	(34.0, 20582.0)	(35.0, 16222.0)	(36.0, 3585.0)	(37.0, 10.0)
1174R_0_M_S2_week9_S56_L001_R1_001	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 6.0)	(19.0, 23.0)	(20.0, 51.0)	(21.0, 118.0)	(22.0, 215.0)	(23.0, 334.0)	(24.0, 392.0)	(25.0, 542.0)	(26.0, 662.0)	(27.0, 836.0)	(28.0, 937.0)	(29.0, 1217.0)	(30.0, 1432.0)	(31.0, 1720.0)	(32.0, 2316.0)	(33.0, 3143.0)	(34.0, 4594.0)	(35.0, 7985.0)	(36.0, 18840.0)	(37.0, 56109.0)		
1174R_0_M_S2_week9_S56_L001_R2_001	(12.0, 8.0)	(13.0, 45.0)	(14.0, 110.0)	(15.0, 153.0)	(16.0, 167.0)	(17.0, 158.0)	(18.0, 187.0)	(19.0, 231.0)	(20.0, 284.0)	(21.0, 343.0)	(22.0, 397.0)	(23.0, 473.0)	(24.0, 690.0)	(25.0, 860.0)	(26.0, 1211.0)	(27.0, 1707.0)	(28.0, 2672.0)	(29.0, 3725.0)	(30.0, 5631.0)	(31.0, 8280.0)	(32.0, 12355.0)	(33.0, 17506.0)	(34.0, 21327.0)	(35.0, 18642.0)	(36.0, 4306.0)	(37.0, 8.0)	
160R_0_F_S2_week10_S49_L001_R1_001	(15.0, 2.0)	(16.0, 34.0)	(17.0, 46.0)	(18.0, 72.0)	(19.0, 61.0)	(20.0, 86.0)	(21.0, 198.0)	(22.0, 285.0)	(23.0, 355.0)	(24.0, 476.0)	(25.0, 652.0)	(26.0, 843.0)	(27.0, 967.0)	(28.0, 1221.0)	(29.0, 1387.0)	(30.0, 1696.0)	(31.0, 2067.0)	(32.0, 2676.0)	(33.0, 3547.0)	(34.0, 5128.0)	(35.0, 8753.0)	(36.0, 20881.0)	(37.0, 61700.0)				
160R_0_F_S2_week10_S49_L001_R2_001	(11.0, 1.0)	(12.0, 8.0)	(13.0, 53.0)	(14.0, 135.0)	(15.0, 193.0)	(16.0, 190.0)	(17.0, 230.0)	(18.0, 317.0)	(19.0, 368.0)	(20.0, 391.0)	(21.0, 489.0)	(22.0, 556.0)	(23.0, 653.0)	(24.0, 807.0)	(25.0, 1089.0)	(26.0, 1495.0)	(27.0, 2245.0)	(28.0, 3178.0)	(29.0, 4798.0)	(30.0, 6640.0)	(31.0, 9868.0)	(32.0, 14408.0)	(33.0, 19596.0)	(34.0, 22317.0)	(35.0, 18707.0)	(36.0, 4380.0)	(37.0, 21.0)
160R_L_F_S2_week10_S50_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 15.0)	(19.0, 38.0)	(20.0, 50.0)	(21.0, 152.0)	(22.0, 223.0)	(23.0, 305.0)	(24.0, 421.0)	(25.0, 566.0)	(26.0, 719.0)	(27.0, 868.0)	(28.0, 1118.0)	(29.0, 1257.0)	(30.0, 1596.0)	(31.0, 1984.0)	(32.0, 2592.0)	(33.0, 3545.0)	(34.0, 5147.0)	(35.0, 8867.0)	(36.0, 21479.0)	(37.0, 56542.0)					
160R_L_F_S2_week10_S50_L001_R2_001	(12.0, 9.0)	(13.0, 67.0)	(14.0, 109.0)	(15.0, 187.0)	(16.0, 157.0)	(17.0, 166.0)	(18.0, 205.0)	(19.0, 260.0)	(20.0, 337.0)	(21.0, 431.0)	(22.0, 520.0)	(23.0, 558.0)	(24.0, 840.0)	(25.0, 997.0)	(26.0, 1487.0)	(27.0, 2166.0)	(28.0, 3449.0)	(29.0, 4993.0)	(30.0, 7407.0)	(31.0, 10790.0)	(32.0, 15929.0)	(33.0, 20372.0)	(34.0, 20386.0)	(35.0, 13111.0)	(36.0, 2550.0)	(37.0, 4.0)	
184R_0_F_NS6_week10_S65_L001_R1_001	(15.0, 6.0)	(16.0, 21.0)	(17.0, 49.0)	(18.0, 54.0)	(19.0, 65.0)	(20.0, 93.0)	(21.0, 146.0)	(22.0, 260.0)	(23.0, 332.0)	(24.0, 514.0)	(25.0, 636.0)	(26.0, 799.0)	(27.0, 992.0)	(28.0, 1144.0)	(29.0, 1377.0)	(30.0, 1692.0)	(31.0, 1982.0)	(32.0, 2575.0)	(33.0, 3509.0)	(34.0, 5172.0)	(35.0, 8852.0)	(36.0, 19870.0)	(37.0, 55527.0)				
184R_0_F_NS6_week10_S65_L001_R2_001	(12.0, 2.0)	(13.0, 20.0)	(14.0, 77.0)	(15.0, 151.0)	(16.0, 188.0)	(17.0, 201.0)	(18.0, 238.0)	(19.0, 302.0)	(20.0, 320.0)	(21.0, 396.0)	(22.0, 505.0)	(23.0, 517.0)	(24.0, 625.0)	(25.0, 891.0)	(26.0, 1170.0)	(27.0, 1661.0)	(28.0, 2299.0)	(29.0, 3404.0)	(30.0, 5216.0)	(31.0, 7614.0)	(32.0, 11459.0)	(33.0, 17091.0)	(34.0, 22620.0)	(35.0, 22693.0)	(36.0, 5983.0)	(37.0, 24.0)	
184R_L_F_NS6_week10_S66_L001_R1_001	(16.0, 1.0)	(17.0, 5.0)	(18.0, 8.0)	(19.0, 21.0)	(20.0, 38.0)	(21.0, 131.0)	(22.0, 185.0)	(23.0, 274.0)	(24.0, 377.0)	(25.0, 527.0)	(26.0, 699.0)	(27.0, 822.0)	(28.0, 1059.0)	(29.0, 1281.0)	(30.0, 1546.0)	(31.0, 2002.0)	(32.0, 2611.0)	(33.0, 3641.0)	(34.0, 5377.0)	(35.0, 9234.0)	(36.0, 21089.0)	(37.0, 64621.0)					
184R_L_F_NS6_week10_S66_L001_R2_001	(12.0, 7.0)	(13.0, 23.0)	(14.0, 93.0)	(15.0, 181.0)	(16.0, 196.0)	(17.0, 201.0)	(18.0, 215.0)	(19.0, 201.0)	(20.0, 316.0)	(21.0, 336.0)	(22.0, 378.0)	(23.0, 474.0)	(24.0, 575.0)	(25.0, 755.0)	(26.0, 989.0)	(27.0, 1471.0)	(28.0, 2009.0)	(29.0, 3053.0)	(30.0, 4626.0)	(31.0, 7279.0)	(32.0, 11123.0)	(33.0, 17661.0)	(34.0, 26119.0)	(35.0, 29206.0)	(36.0, 8030.0)	(37.0, 32.0)	
2403R_L_F_NS6_week10_S67_L001_R1_001	(15.0, 1.0)	(16.0, 9.0)	(17.0, 25.0)	(18.0, 42.0)	(19.0, 63.0)	(20.0, 75.0)	(21.0, 116.0)	(22.0, 187.0)	(23.0, 255.0)	(24.0, 378.0)	(25.0, 499.0)	(26.0, 655.0)	(27.0, 830.0)	(28.0, 969.0)	(29.0, 1238.0)	(30.0, 1495.0)	(31.0, 1885.0)	(32.0, 2493.0)	(33.0, 3434.0)	(34.0, 5293.0)	(35.0, 9240.0)	(36.0, 21605.0)	(37.0, 69221.0)				
2403R_L_F_NS6_week10_S67_L001_R2_001	(12.0, 3.0)	(13.0, 25.0)	(14.0, 85.0)	(15.0, 213.0)	(16.0, 204.0)	(17.0, 203.0)	(18.0, 212.0)	(19.0, 228.0)	(20.0, 283.0)	(21.0, 375.0)	(22.0, 427.0)	(23.0, 452.0)	(24.0, 596.0)	(25.0, 735.0)	(26.0, 947.0)	(27.0, 1428.0)	(28.0, 1967.0)	(29.0, 2981.0)	(30.0, 4621.0)	(31.0, 7428.0)	(32.0, 11676.0)	(33.0, 17922.0)	(34.0, 26719.0)	(35.0, 30927.0)	(36.0, 9317.0)	(37.0, 34.0)	
2446R_0_F_S2_week9_S55_L001_R1_001	(15.0, 4.0)	(16.0, 26.0)	(17.0, 51.0)	(18.0, 65.0)	(19.0, 57.0)	(20.0, 98.0)	(21.0, 177.0)	(22.0, 279.0)	(23.0, 396.0)	(24.0, 523.0)	(25.0, 650.0)	(26.0, 739.0)	(27.0, 960.0)	(28.0, 1150.0)	(29.0, 1472.0)	(30.0, 1680.0)	(31.0, 2053.0)	(32.0, 2688.0)	(33.0, 3627.0)	(34.0, 5162.0)	(35.0, 9118.0)	(36.0, 21398.0)	(37.0, 61761.0)				
2446R_0_F_S2_week9_S55_L001_R2_001	(12.0, 14.0)	(13.0, 43.0)	(14.0, 144.0)	(15.0, 166.0)	(16.0, 192.0)	(17.0, 193.0)	(18.0, 266.0)	(19.0, 310.0)	(20.0, 370.0)	(21.0, 438.0)	(22.0, 469.0)	(23.0, 593.0)	(24.0, 739.0)	(25.0, 1032.0)	(26.0, 1323.0)	(27.0, 1860.0)	(28.0, 2819.0)	(29.0, 4135.0)	(30.0, 6315.0)	(31.0, 9075.0)	(32.0, 13785.0)	(33.0, 19958.0)	(34.0, 23666.0)	(35.0, 21029.0)	(36.0, 5177.0)	(37.0, 23.0)	
2472R_0_F_NS1_week10_S73_L001_R1_001	(15.0, 1.0)	(16.0, 25.0)	(17.0, 57.0)	(18.0, 70.0)	(19.0, 74.0)	(20.0, 115.0)	(21.0, 214.0)	(22.0, 338.0)	(23.0, 481.0)	(24.0, 656.0)	(25.0, 813.0)	(26.0, 970.0)	(27.0, 1069.0)	(28.0, 1397.0)	(29.0, 1545.0)	(30.0, 1877.0)	(31.0, 2343.0)	(32.0, 3063.0)	(33.0, 4062.0)	(34.0, 5863.0)	(35.0, 9932.0)	(36.0, 23294.0)	(37.0, 64200.0)				
2472R_0_F_NS1_week10_S73_L001_R2_001	(11.0, 2.0)	(12.0, 28.0)	(13.0, 143.0)	(14.0, 240.0)	(15.0, 202.0)	(16.0, 217.0)	(17.0, 268.0)	(18.0, 358.0)	(19.0, 450.0)	(20.0, 491.0)	(21.0, 563.0)	(22.0, 647.0)	(23.0, 801.0)	(24.0, 1001.0)	(25.0, 1403.0)	(26.0, 1863.0)	(27.0, 2665.0)	(28.0, 3849.0)	(29.0, 5441.0)	(30.0, 7608.0)	(31.0, 10977.0)	(32.0, 15799.0)	(33.0, 20591.0)	(34.0, 23092.0)	(35.0, 19650.0)	(36.0, 4093.0)	(37.0, 17.0)
2472R_R_F_NS1_week10_S74_L001_R1_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 7.0)	(18.0, 10.0)	(19.0, 30.0)	(20.0, 58.0)	(21.0, 113.0)	(22.0, 174.0)	(23.0, 292.0)	(24.0, 403.0)	(25.0, 538.0)	(26.0, 707.0)	(27.0, 863.0)	(28.0, 1065.0)	(29.0, 1204.0)	(30.0, 1500.0)	(31.0, 1938.0)	(32.0, 2513.0)	(33.0, 3530.0)	(34.0, 5213.0)	(35.0, 8984.0)	(36.0, 21064.0)	(37.0, 58889.0)			
2472R_R_F_NS1_week10_S74_L001_R2_001	(11.0, 2.0)	(12.0, 23.0)	(13.0, 142.0)	(14.0, 209.0)	(15.0, 191.0)	(16.0, 167.0)	(17.0, 193.0)	(18.0, 231.0)	(19.0, 308.0)	(20.0, 369.0)	(21.0, 418.0)	(22.0, 476.0)	(23.0, 662.0)	(24.0, 799.0)	(25.0, 1083.0)	(26.0, 1518.0)	(27.0, 2190.0)	(28.0, 3203.0)	(29.0, 4631.0)	(30.0, 7015.0)	(31.0, 10205.0)	(32.0, 14303.0)	(33.0, 18935.0)	(34.0, 21251.0)	(35.0, 17209.0)	(36.0, 3356.0)	(37.0, 8.0)
2506R_0_F_NS6_week10_S68_L001_R1_001	(16.0, 4.0)	(17.0, 9.0)	(18.0, 11.0)	(19.0, 28.0)	(20.0, 61.0)	(21.0, 151.0)	(22.0, 225.0)	(23.0, 317.0)	(24.0, 491.0)	(25.0, 604.0)	(26.0, 748.0)	(27.0, 972.0)	(28.0, 1102.0)	(29.0, 1344.0)	(30.0, 1680.0)	(31.0, 2042.0)	(32.0, 2594.0)	(33.0, 3527.0)	(34.0, 5226.0)	(35.0, 8768.0)	(36.0, 19802.0)	(37.0, 52272.0)					
2506R_0_F_NS6_week10_S68_L001_R2_001	(12.0, 4.0)	(13.0, 28.0)	(14.0, 84.0)	(15.0, 159.0)	(16.0, 172.0)	(17.0, 178.0)	(18.0, 174.0)	(19.0, 219.0)	(20.0, 284.0)	(21.0, 302.0)	(22.0, 412.0)	(23.0, 445.0)	(24.0, 523.0)	(25.0, 773.0)	(26.0, 977.0)	(27.0, 1427.0)	(28.0, 2108.0)	(29.0, 3097.0)	(30.0, 4805.0)	(31.0, 7349.0)	(32.0, 11097.0)	(33.0, 16329.0)	(34.0, 22459.0)	(35.0, 22538.0)	(36.0, 6015.0)	(37.0, 20.0)	
2518R_L_M_S5_week10_S61_L001_R1_001	(15.0, 3.0)	(16.0, 32.0)	(17.0, 64.0)	(18.0, 62.0)	(19.0, 83.0)	(20.0, 108.0)	(21.0, 163.0)	(22.0, 299.0)	(23.0, 422.0)	(24.0, 521.0)	(25.0, 681.0)	(26.0, 865.0)	(27.0, 1048.0)	(28.0, 1170.0)	(29.0, 1419.0)	(30.0, 1792.0)	(31.0, 2139.0)	(32.0, 2811.0)	(33.0, 3627.0)	(34.0, 5356.0)	(35.0, 9055.0)	(36.0, 21368.0)	(37.0, 61155.0)				
2518R_L_M_S5_week10_S61_L001_R2_001	(12.0, 4.0)	(13.0, 48.0)	(14.0, 179.0)	(15.0, 222.0)	(16.0, 230.0)	(17.0, 252.0)	(18.0, 293.0)	(19.0, 377.0)	(20.0, 456.0)	(21.0, 488.0)	(22.0, 593.0)	(23.0, 687.0)	(24.0, 912.0)	(25.0, 1118.0)	(26.0, 1609.0)	(27.0, 2286.0)	(28.0, 3259.0)	(29.0, 4724.0)	(30.0, 6757.0)	(31.0, 9872.0)	(32.0, 14376.0)	(33.0, 19334.0)	(34.0, 22634.0)	(35.0, 18686.0)	(36.0, 4818.0)	(37.0, 29.0)	
2518R_R_M_S5_week10_S62_L001_R1_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 16.0)	(18.0, 23.0)	(19.0, 34.0)	(20.0, 67.0)	(21.0, 142.0)	(22.0, 256.0)	(23.0, 354.0)	(24.0, 521.0)	(25.0, 641.0)	(26.0, 770.0)	(27.0, 902.0)	(28.0, 1147.0)	(29.0, 1264.0)	(30.0, 1673.0)	(31.0, 1947.0)	(32.0, 2465.0)	(33.0, 3422.0)	(34.0, 4964.0)	(35.0, 8195.0)	(36.0, 18769.0)	(37.0, 55953.0)				
2518R_R_M_S5_week10_S62_L001_R2_001	(11.0, 1.0)	(12.0, 7.0)	(13.0, 33.0)	(14.0, 131.0)	(15.0, 209.0)	(16.0, 201.0)	(17.0, 203.0)	(18.0, 264.0)	(19.0, 282.0)	(20.0, 386.0)	(21.0, 457.0)	(22.0, 531.0)	(23.0, 599.0)	(24.0, 794.0)	(25.0, 1024.0)	(26.0, 1455.0)	(27.0, 2062.0)	(28.0, 2993.0)	(29.0, 4316.0)	(30.0, 6183.0)	(31.0, 8885.0)	(32.0, 13095.0)	(33.0, 17715.0)	(34.0, 20717.0)	(35.0, 16861.0)	(36.0, 4111.0)	(37.0, 16.0)
3752R_0_F_S5_week10_S59_L001_R1_001	(14.0, 1.0)	(15.0, 3.0)	(16.0, 11.0)	(17.0, 29.0)	(18.0, 57.0)	(19.0, 50.0)	(20.0, 81.0)	(21.0, 141.0)	(22.0, 210.0)	(23.0, 293.0)	(24.0, 425.0)	(25.0, 587.0)	(26.0, 633.0)	(27.0, 845.0)	(28.0, 985.0)	(29.0, 1184.0)	(30.0, 1492.0)	(31.0, 1784.0)	(32.0, 2420.0)	(33.0, 3336.0)	(34.0, 4928.0)	(35.0, 8372.0)	(36.0, 20284.0)	(37.0, 55332.0)			
3752R_0_F_S5_week10_S59_L001_R2_001	(12.0, 7.0)	(13.0, 41.0)	(14.0, 145.0)	(15.0, 221.0)	(16.0, 191.0)	(17.0, 197.0)	(18.0, 230.0)	(19.0, 314.0)	(20.0, 367.0)	(21.0, 445.0)	(22.0, 509.0)	(23.0, 602.0)	(24.0, 730.0)	(25.0, 1027.0)	(26.0, 1397.0)	(27.0, 2000.0)	(28.0, 2983.0)	(29.0, 4459.0)	(30.0, 6433.0)	(31.0, 9502.0)	(32.0, 13553.0)	(33.0, 18517.0)	(34.0, 20767.0)	(35.0, 15631.0)	(36.0, 3206.0)	(37.0, 9.0)	
3752R_L_F_S5_week10_S60_L001_R1_001	(16.0, 2.0)	(17.0, 7.0)	(18.0, 14.0)	(19.0, 20.0)	(20.0, 52.0)	(21.0, 98.0)	(22.0, 187.0)	(23.0, 248.0)	(24.0, 402.0)	(25.0, 508.0)	(26.0, 643.0)	(27.0, 801.0)	(28.0, 976.0)	(29.0, 1189.0)	(30.0, 1446.0)	(31.0, 1845.0)	(32.0, 2317.0)	(33.0, 3059.0)	(34.0, 4589.0)	(35.0, 7721.0)	(36.0, 18047.0)	(37.0, 48071.0)					
3752R_L_F_S5_week10_S60_L001_R2_001	(12.0, 11.0)	(13.0, 33.0)	(14.0, 114.0)	(15.0, 178.0)	(16.0, 194.0)	(17.0, 181.0)	(18.0, 194.0)	(19.0, 222.0)	(20.0, 285.0)	(21.0, 329.0)	(22.0, 463.0)	(23.0, 505.0)	(24.0, 687.0)	(25.0, 873.0)	(26.0, 1225.0)	(27.0, 1862.0)	(28.0, 2651.0)	(29.0, 3814.0)	(30.0, 5584.0)	(31.0, 8285.0)	(32.0, 11846.0)	(33.0, 16288.0)	(34.0, 18665.0)	(35.0, 14469.0)	(36.0, 3272.0)	(37.0, 12.0)	
3795R_R_F_S2_week10_S51_L001_R1_001	(15.0, 4.0)	(16.0, 5.0)	(17.0, 28.0)	(18.0, 39.0)	(19.0, 66.0)	(20.0, 83.0)	(21.0, 148.0)	(22.0, 231.0)	(23.0, 305.0)	(24.0, 422.0)	(25.0, 546.0)	(26.0, 700.0)	(27.0, 886.0)	(28.0, 1057.0)	(29.0, 1292.0)	(30.0, 1600.0)	(31.0, 2019.0)	(32.0, 2690.0)	(33.0, 3760.0)	(34.0, 5735.0)	(35.0, 9588.0)	(36.0, 22869.0)	(37.0, 77397.0)				
3795R_R_F_S2_week10_S51_L001_R2_001	(11.0, 1.0)	(12.0, 10.0)	(13.0, 43.0)	(14.0, 131.0)	(15.0, 245.0)	(16.0, 193.0)	(17.0, 205.0)	(18.0, 237.0)	(19.0, 336.0)	(20.0, 369.0)	(21.0, 458.0)	(22.0, 524.0)	(23.0, 625.0)	(24.0, 747.0)	(25.0, 989.0)	(26.0, 1306.0)	(27.0, 1938.0)	(28.0, 2773.0)	(29.0, 4113.0)	(30.0, 6141.0)	(31.0, 9510.0)	(32.0, 14400.0)	(33.0, 21382.0)	(34.0, 28936.0)	(35.0, 28424.0)	(36.0, 7406.0)	(37.0, 28.0)
3874R_0_F_NS1_week10_S75_L001_R1_001	(15.0, 1.0)	(16.0, 7.0)	(17.0, 24.0)	(18.0, 48.0)	(19.0, 48.0)	(20.0, 80.0)	(21.0, 133.0)	(22.0, 195.0)	(23.0, 325.0)	(24.0, 399.0)	(25.0, 514.0)	(26.0, 663.0)	(27.0, 829.0)	(28.0, 1030.0)	(29.0, 1192.0)	(30.0, 1438.0)	(31.0, 1868.0)	(32.0, 2402.0)	(33.0, 3135.0)	(34.0, 4811.0)	(35.0, 8404.0)	(36.0, 20251.0)	(37.0, 59586.0)				
