Pathways	Object ID	Ontology - pathway type	Key-Reactions	Reaction-List	EC-Number
PWY-7170	PWY-7170	Tetrapyrrole-Biosynthesis	1.3.7.4-RXN	RXN-17523 // RXN-13968 // 1.3.7.4-RXN	EC-1.14.15.20 // EC-5.2.1 // EC-1.3.7.4
THREONINE-DEG2-PWY	THREONINE-DEG2-PWY	Amino-Acid-Degradation		AKBLIG-RXN // THREODEHYD-RXN	EC-2.3.1.29 // EC-1.1.1.103
PWY-5436	PWY-5436	Amino-Acid-Degradation		ACETALD-DEHYDROG-RXN // THREONINE-ALDOLASE-RXN	EC-1.2.1.10 // EC-4.1.2.48 // EC-4.1.2.5
PWY-6289	PWY-6289	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-10681 // RXN-10682 // RXN-10680 // DHSHIKIMATE-DEHYDRO-RXN // RXN-10675 // RXN-10676 // RXN-10677 // RXN-10678 // RXN-10679	EC-6.3.2 // EC-4.2.1.118 // EC-2.3.2
PWY-5794	PWY-5794	CARBOXYLATES-DEG		RXN-9730 // RXN-9729 // RXN-9728	EC-4.1.1.87 // EC-2.3.1.187 // EC-2.3.1
PWY-7788	PWY-7788	Alcohol-Degradation // Carbohydrates-Degradation		RXN-17763 // RXN-17762 // RXN-17761	EC-1.1.1.M28 // EC-5.3.1.34 // EC-2.7.1.210
PWY-6596	PWY-6596	NUCLEO-DEG		RXN-7682 // RXN0-901 // RXN0-363 // INOSINE-NUCLEOSIDASE-RXN // RXN-7607 // XMPXAN-RXN // IMP-DEHYDROG-RXN // AMP-DEAMINASE-RXN	EC-1.17.1.4 // EC-3.2.2.1 // EC-3.2.2.2 // EC-3.1.3.99 // EC-3.1.3.5 // EC-1.1.1.205 // EC-3.5.4.17 // EC-3.5.4.6
PWY-7050	PWY-7050	Lipid-Biosynthesis		RXN-13431	EC-2.3.1
PWY-8394	PWY-8394	Alcohol-Degradation // Carbohydrates-Degradation		RXN-23383 // RXN-23384	EC-2.7.1 // EC-1.1.1.137
ARG-PRO-PWY	ARG-PRO-PWY	Amino-Acid-Degradation	ARGINASE-RXN // PYRROLINECARBREDUCT-RXN	SPONTPRO-RXN // ARGINASE-RXN // ORNITHINE-GLU-AMINOTRANSFERASE-RXN // PYRROLINECARBREDUCT-RXN	EC-3.5.3.1 // EC-2.6.1.13 // EC-1.5.1.2
PWY-8415	PWY-8415	Lipid-Biosynthesis		RXN-23585	EC-1.21.98.5
PWY-8322	PWY-8322	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis		RXN-22686 // RXN-22685 // 2.4.1.232-RXN	EC-2.4.1 // EC-2.4.1.232
PWY-2582	PWY-2582	HORMONE-SYN // Lipid-Biosynthesis		RXN-720 // RXN-779 // RXN-778 // RXN-777 // RXN-11101 // RXN-776 // RXN-775 // RXN-11534 // RXN-11532 // RXN-11531 // RXN-11530 // RXN-774 // RXN-773 // RXN-712 // RXN-711 // RXN-710 // RXN-709 // RXN-4229 // RXN-4226 // RXN-4225	EC-1.14.14.180 // EC-1.14.14.M54 // EC-1.14.14.147 // EC-1.1.99.M2 // EC-1.14.19.79 // EC-1.3.1.22 // EC-1.14.14.178 // EC-1.1 // EC-1.1.1.357 // EC-5.3.3.1
RIBOSYN2-PWY	RIBOSYN2-PWY	Cofactor-Biosynthesis	RIBOFLAVIN-SYN-RXN	GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // DIOHBUTANONEPSYN-RXN // RIBOPHOSPHAT-RXN // LUMAZINESYN-RXN // RIBOFLAVIN-SYN-RXN // FADSYN-RXN // RIBOFLAVINKIN-RXN	EC-3.5.4.25 // EC-3.5.4.26 // EC-1.1.1.193 // EC-4.1.99.12 // EC-3.1.3.104 // EC-2.5.1.78 // EC-2.5.1.9 // EC-2.7.7.2 // EC-2.7.1.26
PWY-5995	PWY-5995	Lipid-Biosynthesis		RXN-16045 // RXN-16036 // RXN-9669 // RXN-9670	EC-2.3.1.23 // EC-1.14.19.23 // EC-1.14.19.22
PWY-7212	PWY-7212	AROMATIC-COMPOUNDS-BIOSYN		RXN-14238 // RXN-11760 // RXN-11755 // RXN-14237	EC-2.4.1 // EC-3.2.1.167 // EC-2.4.1.253 // EC-1.14.13
PWY-8324	PWY-8324	Carbohydrates-Degradation		RXN-22448 // TRANS-RXN-416 // TAGAALDOL-RXN	EC-2.7.1.234 // EC-2.7.1 // EC-4.1.2.40
PWY-5439	PWY-5439	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8625 // RXN-8624 // RXN-8623	EC-1.10.3
PWY-7543	PWY-7543	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15765 // RXN-15763 // RXN-15762	EC-2.3.1 // EC-2.5.1 // EC-6.3.2
PWY-5951	PWY-5951	Other-biosynthesis		RR-BUTANEDIOL-DEHYDROGENASE-RXN	EC-1.1.1.4
PWY-5037	PWY-5037	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7599 // RXN-7598 // RXN-7597 // RXN-7596	EC-2.1.1.160 // EC-2.1.1.159 // EC-3.2.2.25 // EC-2.1.1.158
ARGDEGRAD-PWY	ARGDEGRAD-PWY	Amino-Acid-Degradation // Super-Pathways		ARGININE-DEIMINASE-RXN // CITRULLINE-DEG-PWY	EC-3.5.3.6
PWY-7198	PWY-7198	Metabolic-Clusters // Nucleotide-Biosynthesis	THYMIDYLATESYN-RXN	RXN2OBG-12 // 3.5.4.30-RXN // RXN-12195 // CDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DCDPKIN-RXN	EC-2.1.1 // EC-3.5.4.30 // EC-3.6.1.15 // EC-1.17.4.1 // EC-2.7.4.6 // EC-2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9
PRPP-PWY	PRPP-PWY	Super-Pathways		PWY0-662 // PWY0-162 // DENOVOPURINE2-PWY // HISTSYN-PWY	
PWY-1781	PWY-1781	Amino-Acid-Degradation	2.6.1.18-RXN	RXN-2902 // 2.6.1.18-RXN	EC-1.2.1.18 // EC-2.6.1.18
PWY-7227	PWY-7227	Nucleotide-Biosynthesis		DADPKIN-RXN // ADPREDUCT-RXN	EC-2.7.4.6 // EC-1.17.4.1
PWY-7151	PWY-7151	AROMATIC-COMPOUNDS-BIOSYN		RXN-13878 // RXN-13877 // RXN-13875 // RXN-13874 // RXN-13855 // RXN-13851 // RXN-13850 // RXN-13849 // RXN-13848 // RXN-13847 // RXN-13843 // RXN-13842 // RXN-9817 // RXN-9815 // 2.1.1.84-RXN // RXN-13839	EC-2.4.1 // EC-2.1.1 // EC-1.14.13 // EC-2.1.1.84 // EC-1.14.11
PWY-6058	PWY-6058	Noncarbon-Nutrients		RXN-9762	EC-1.8.1.17
PWY-6069	PWY-6069	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-9820 // RXN-9819 // RXN-9818	EC-1.13.11
PWY-6944	PWY-6944	Fatty-Acid-and-Lipid-Degradation		RXN-19805 // RXN-19804 // RXN-19803 // RXN-19802 // RXN-19801 // RXN-19800 // RXN-19799 // RXN-19798 // RXN-19797 // RXN-19796 // RXN-12751 // RXN-12750 // RXN-12749 // RXN-12748 // RXN-12747 // RXN-12746 // RXN-12736 // RXN-12734 // RXN-12735 // RXN-12718 // 1.13.11.25-RXN // RXN-12717 // RXN-12715 // RXN-12714 // RXN-12691	EC-2.3.1 // EC-2.3.1.16 // EC-1.1.1.35 // EC-4.2.1.119 // EC-1.3.8 // EC-4.1.99 // EC-1.1.1 // EC-1.3.1 // EC-4.2.1 // EC-1.3.99 // EC-1.1.1.145 // EC-6.2.1.41 // EC-1.2.1.87 // EC-4.2.1.132 // EC-4.1.3.43 // EC-3.7.1.17 // EC-1.13.11.25 // EC-1.14.14.12 // EC-1.3.99.4 // EC-1.14.15.30
PWY-6890	PWY-6890	Cofactor-Biosynthesis		PYRIMSYN1-RXN // PYRIMSYN3-RXN	EC-4.1.99.17 // EC-2.7.4.7
PWY-8269	PWY-8269	Arsenic-Detoxification		RXN-22372	EC-1.13.11.M19
PWY-7174	PWY-7174	NUCLEO-DEG // Amino-Acid-Biosynthesis	RXN-21333	RXN-21334 // RXN-21333 // O-ACETYLHOMOSERINE-THIOL-LYASE-RXN // RXN-14006 // 5.3.1.23-RXN	EC-2.8.4.6 // EC-2.5.1.49 // EC-5.3.3.23 // EC-5.3.1.23
PWY-6107	PWY-6107	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	RXN-9912	RXN-9914 // RXN-9869 // MALEYLACETATE-REDUCTASE-RXN // RXN-9892 // RXN-9870 // RXN-9912 // RXN-9913	EC-1.14.13.1 // EC-1.3.1.32 // EC-5.5.1.7 // EC-1.13.11.M6
FORMASS-PWY	FORMASS-PWY	C1-COMPOUNDS		FORMALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.46
COA-PWY	COA-PWY	Cofactor-Biosynthesis	DEPHOSPHOCOAKIN-RXN	P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN	EC-6.3.2.5 // EC-4.1.1.36 // EC-2.7.1.24 // EC-2.7.7.3
FASYN-ELONG-PWY	FASYN-ELONG-PWY	Lipid-Biosynthesis		3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.179 // EC-2.3.1.41 // EC-1.1.1.100 // EC-1.3.1.9 // EC-1.3.1.10 // EC-1.3.1.104 // EC-1.3.1.39 // EC-4.2.1.59
PWY-6052	PWY-6052	Noncarbon-Nutrients		RXN-9736	EC-2.1.1.269
PWY-8302	PWY-8302	SECONDARY-METABOLITE-DEGRADATION		RXN-19544 // RXN-19543 // RXN-22550	EC-4.4.1.13 // EC-3.4.13.23
MANNIDEG-PWY	MANNIDEG-PWY	Alcohol-Degradation // Carbohydrates-Degradation		MANNPDEHYDROG-RXN	EC-1.1.1.17
PWY0-1321	PWY0-1321	Noncarbon-Nutrients // Energy-Metabolism	RXN0-3501 // FORMATEDEHYDROG-RXN	RXN0-3501 // FORMATEDEHYDROG-RXN	EC-1.7.5.1 // EC-1.17.5.3
PWY-4861	PWY-4861	Carbohydrates-Biosynthesis		UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
URDEGR-PWY	URDEGR-PWY	AMINE-DEG // Super-Pathways		PWY-5704 // PWY-5692 // PWY-5694	
PWY-6607	PWY-6607	NUCLEO-DEG		RXN0-901 // GUANOSINE-DEAMINASE-RXN // RXN-7609 // RXN0-363	EC-1.17.1.4 // EC-3.5.4.15 // EC-3.1.3.5 // EC-3.2.2.1
PWY0-1221	PWY0-1221	AMINE-DEG	RXN0-3901	RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942	EC-6.3.1.11 // EC-1.4.3.M3 // EC-1.2.1.99 // EC-3.5.1.94
GLYCOGENSYNTH-PWY	GLYCOGENSYNTH-PWY	Glycan-Pathways // Carbohydrates-Biosynthesis	GLYCOGENSYN-RXN	PHOSPHOGLUCMUT-RXN // GLUC1PADENYLTRANS-RXN // GLYCOGEN-BRANCH-RXN // GLYCOGENSYN-RXN	EC-5.4.2.2 // EC-2.7.7.27 // EC-2.4.1.18 // EC-2.4.1.21
PWY-5344	PWY-5344	Amino-Acid-Biosynthesis		HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN	EC-2.3.1.31 // EC-2.5.1.49
PWYQT-4476	PWYQT-4476	SECONDARY-METABOLITE-DEGRADATION // Activation		RXN-18230 // RXN-1404 // RXN-12206 // RXN-12205 // RXNQT-4350 // RXNQT-4358 // RXNQT-4357 // RXNQT-4356 // RXNQT-4355 // RXNQT-4353 // RXNQT-4352 // RXNQT-4351 // RXN-1444	EC-3.5.5.1 // EC-1.1 // EC-4.8.1.5 // EC-3.2.1.147
PWY-7165	PWY-7165	Cofactor-Biosynthesis // Carboxylate-Biosynthesis		RXN0-6373 // RXN-12108 // RXN0-7020 // 1.1.1.274-RXN // DEHYDROGLUCONATE-DEHYDROGENASE-RXN // GLUCONATE-2-DEHYDROGENASE-RXN // GLUCONOLACT-RXN	EC-1.1.5.2 // EC-1.1.1.346 // EC-1.1.1.274 // EC-1.1.99.4 // EC-1.1.99.3 // EC-3.1.1.17
PWY-8023	PWY-8023	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-20006 // RXN-20005 // RXN-20004	EC-2.4.1.369
PWY-6637	PWY-6637	Noncarbon-Nutrients		RXN-11738 // PHOSACETYLTRANS-RXN // RXN-2364 // R231-RXN	EC-1.1.1 // EC-2.3.1.8 // EC-2.3.3.15 // EC-4.1.1.79
CYANCAT-PWY	CYANCAT-PWY	Noncarbon-Nutrients	R524-RXN	R524-RXN // RXN0-5224 // RXN0-5222	EC-4.2.1.1
PWY66-395	PWY66-395	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-16138 // RXN66-503 // RXN66-504 // RXN66-505 // RXN66-506 // RXN66-498 // RXN66-499 // RXN66-500 // RXN66-501 // RXN66-502	EC-3.1.1.4 // EC-1.13.11.34 // EC-3.3.2 // EC-1.14.99
PWY-6720	PWY-6720	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-12150 // RXN-12151 // RXN-12152 // RXN-12153 // RXN-12154	EC-2.4.2 // EC-1.7.1 // EC-6.3.4 // EC-4.3.2 // EC-3.1.3
PWY-5928	PWY-5928	SECONDARY-METABOLITE-BIOSYNTHESIS		4.2.3.16-RXN // CARVEOL-DEHYDROGENASE-RXN // --LIMONENE-6-MONOOXYGENASE-RXN	EC-4.2.3.16 // EC-1.1.1.243 // EC-1.14.14.51
PWY-5035	PWY-5035	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-6524 // RXN1F-170 // RXN1F-101 // RXN1F-169 // RXN1F-168 // RXN1F-143 // RXN1F-167	EC-1.14.20 // EC-1.14.11.15 // EC-1.14.11 // EC-1.14.11.12 // EC-1.14.14
PWY-3042	PWY-3042	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-5112 // RXN-5111	
PWY-5705	PWY-5705	AMINE-DEG // Super-Pathways		PWY-5698 // UREIDOGLYCOLATE-LYASE-RXN	EC-4.3.2.3
PWY0-42	PWY0-42	CARBOXYLATES-DEG	2-METHYLCITRATE-DEHYDRATASE-RXN	4.2.1.99-RXN // METHYLISOCITRATE-LYASE-RXN // 2-METHYLCITRATE-DEHYDRATASE-RXN // 2-METHYLCITRATE-SYNTHASE-RXN // PROPIONATE--COA-LIGASE-RXN	EC-4.2.1.99 // EC-4.1.3.30 // EC-4.2.1.79 // EC-2.3.3.5 // EC-6.2.1.17
PWY-6943	PWY-6943	Fatty-Acid-and-Lipid-Degradation		1.1.1.209-RXN // RXN-12124 // 1.1.1.51-RXN	EC-1.1.1.357 // EC-1.1.1.213 // EC-1.1.1.209 // EC-1.1.1.50 // EC-1.3.99.5 // EC-1.1.1.51
PWY-8140	PWY-8140	Amino-Acid-Biosynthesis		5.1.1.18-RXN	EC-5.1.1.10 // EC-5.1.1.18
PWY-7656	PWY-7656	Metabolic-Clusters // HORMONE-SYN		RXN-16563 // RXN-16562 // RXN-16561 // RXN-16559 // RXN-16558 // RXN-16557 // RXN-16556 // RXN-16555 // RXN-16554 // RXN-16553 // RXN-16552 // RXN-16551 // RXN-16540 // RXN-15112 // 1.14.99.32-RXN // RXN-16550 // RXN-16549 // RXN-16547 // 1.14.99.31-RXN // 2.3.1.155-RXN // RXN-14271 // RXN-14272	EC-2.3.1 // EC-1.2.1.84 // EC-2.3.1.155 // EC-1.1.1.211 // EC-4.2.1.17 // EC-1.3.8.9 // EC-1.14.19.5 // EC-1.14.19 // EC-1.14.19.24
PWY-6244	PWY-6244	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-10483 // RXN-10482 // RXN-10481	EC-4.2.3.53 // EC-4.2.3.54 // EC-2.5.1.92
PWY-7916	PWY-7916	Bioluminescence		RXN-18900 // RXN-18873 // RXN-18872 // RXN-18871	
PWY-6765	PWY-6765	Energy-Metabolism		1.12.1.3-RXN	EC-1.12.1.3
PWY-6071	PWY-6071	AMINE-DEG // AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways		PWY0-321 // 2PHENDEG-PWY	
ANAPHENOXI-PWY	ANAPHENOXI-PWY	Amino-Acid-Degradation		RXN-10814 // PHENDEHYD-RXN // PHENYLPYRUVATE-DECARBOXYLASE-RXN	EC-2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.27 // EC-1.2.1.39 // EC-4.1.1.43
PWY-2701	PWY-2701	Interconversion // AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-4322 // RXN-4321 // RXN-4320 // RXN-4319	EC-2.3.1.115 // EC-2.4.1.170
PWY-7438	PWY-7438	Super-Pathways // Carbohydrates-Biosynthesis		PWY-6973 // PWY-6976 // PWY-7104 // PWY-6974 // PWY-6808	
PWY-7917	PWY-7917	SECONDARY-METABOLITE-BIOSYNTHESIS		MONOPHENOL-MONOOXYGENASE-RXN // RXN-18897 // RXN-18894 // RXN-18899 // RXN-14185 // RXN-18895 // RXN-18896 // RXN-18898	EC-1.14.18.1
PWY-7282	PWY-7282	Cofactor-Biosynthesis		RXN3O-9919 // RXN3O-9962 // PYRIDOXKIN-RXN // PYRIDOXINE-4-DEHYDROGENASE-RXN // PYRIMSYN3-RXN // RXN3O-3797 // PNPOXI-RXN // PNKIN-RXN	EC-2.7.1.35 // EC-1.1.1.65 // EC-2.7.4.7 // EC-1.4.3.5
PWY-8031	PWY-8031	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-20168 // RXN-20167 // RXN-19238 // RETICULINE-OXIDASE-RXN	EC-1.3.3.8 // EC-1.14.19 // EC-2.1.1 // EC-1.21.3.3
P662-PWY	P662-PWY	AROMATIC-COMPOUNDS-DEGRADATION		R608-RXN // R607-RXN // R606-RXN	EC-3.7.1.8 // EC-1.13.11 // EC-1.14.12
P3-PWY	P3-PWY	AROMATIC-COMPOUNDS-DEGRADATION		RXN-16834 // RXN-11667 // R11-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // R7-RXN // R8-RXN // R6-RXN // R5-RXN // 1.97.1.2-RXN // GALLATE-DECARBOXYLASE-RXN	EC-1.3.1.109 // EC-4.2.1.150 // EC-2.8.3.1 // EC-2.8.3.8 // EC-2.7.2.15 // EC-2.7.2.1 // EC-2.3.1.8 // EC-2.3.1 // EC-3.7.1 // EC-1.3.1.57 // EC-5.4.4.9 // EC-4.1.1.59
PWY-5451	PWY-5451	Other-Degradation		RXN-17626 // RXN-17625 // RXN-8630	EC-1.14.14.1
PWY-5768	PWY-5768	Energy-Metabolism		RXN0-3962 // RXN-6161	EC-1.2.1.4 // EC-4.1.1.1
PWY-6433	PWY-6433	Lipid-Biosynthesis		RXN-16158 // RXN-16157 // RXN-16156 // RXN-16155 // RXN-16154 // RXN-16153 // RXN-16152 // RXN-16151 // RXN-16150 // RXN-16149 // RXN-16148 // RXN-9670 // RXN-14491 // RXN-14495 // RXN-14494 // RXN-14493 // RXN-14492 // RXN-14488 // RXN-14486 // RXN-14485 // RXN-14484 // RXN-13322	EC-2.3.1.23 // EC-1.3.1.93 // EC-4.2.1.134 // EC-1.1.1.330 // EC-2.3.1.199 // EC-1.14.19.25 // EC-1.14.18.4
PWY-6121	PWY-6121	Nucleotide-Biosynthesis		AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN	EC-6.3.3.1 // EC-6.3.5.3 // EC-2.1.2.2 // EC-6.3.4.13 // EC-2.4.2.14
PWY-5137	PWY-5137	Fatty-Acid-and-Lipid-Degradation		ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
PWY-922	PWY-922	SECONDARY-METABOLITE-BIOSYNTHESIS	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // 1.1.1.34-RXN	IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN	EC-5.3.3.2 // EC-4.1.1.33 // EC-2.7.4.2 // EC-2.7.1.36 // EC-1.1.1.34 // EC-2.3.3.10 // EC-2.3.1.16 // EC-2.3.1.9
PWY-6952	PWY-6952	Alcohol-Degradation // Carbohydrates-Degradation		RXN-15745 // GLYCPDIESTER-RXN	EC-1.1.5.3 // EC-3.1.4.46
PWY-7683	PWY-7683	Noncarbon-Nutrients		RXN-16805 // RXN-16809 // RXN-16818	EC-1.7.2
PWY-7987	PWY-7987	SECONDARY-METABOLITE-BIOSYNTHESIS		DHBAMPLIG-RXN // RXN-19446 // RXN-19498 // RXN-19499 // RXN-19501 // ENTF-RXN // RXN-16905 // RXN-19502	EC-2.3.1
PWY-7630	PWY-7630	AROMATIC-COMPOUNDS-BIOSYN		RXN-16362 // RXN-16360	EC-1.14.19 // EC-1.14.19.72
PWY-6524	PWY-6524	Glycan-Pathways // Carbohydrates-Biosynthesis		2.4.1.123-RXN // 2.4.1.82-RXN // RXN-15224 // RXN-11490	EC-2.4.1.123 // EC-2.4.1.82 // EC-2.4.1.166
PWY-6759	PWY-6759	Energy-Metabolism		HYDROG-RXN	EC-1.12.7.2
PWY-2301	PWY-2301	Cyclitols-Biosynthesis	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-3.1.3.25 // EC-5.5.1.4
PWY-6786	PWY-6786	Metabolic-Clusters		ALLYL-ALCOHOL-DEHYDROGENASE-RXN // RXN-12281 // RXN0-4281 // RXN-12300 // RXN-12299 // RXN-12297 // RXN-12296 // RXN-12295 // RXN-12293 // RXN-12292	EC-1.1.1.54 // EC-1.3.1 // EC-1.1.1.21 // EC-1.1.1 // EC-1.1.1.2
PWY-6268	PWY-6268	Cofactor-Biosynthesis		RXN-19366 // RXN-19341 // RXN-19340 // RXN-19334 // COBALADENOSYLTRANS-RXN	
PWY-5331	PWY-5331	SECONDARY-METABOLITE-BIOSYNTHESIS		HYPOTAURINE-DEHYDROGENASE-RXN // SULFINOALANINE-DECARBOXYLASE-RXN // CYSTEINE-DIOXYGENASE-RXN	EC-1.14.13.8 // EC-4.1.1.29 // EC-1.13.11.20
PWY-6823	PWY-6823	Cofactor-Biosynthesis		RXN-22698 // RXN-17809 // RXN-12473 // RXN-11361 // RXN-8342 // RXN-8340	EC-2.8.1.7 // EC-4.6.1.17 // EC-2.8.1.11 // EC-2.7.7.80 // EC-2.8.1.12 // EC-4.1.99.22
PWY-7518	PWY-7518	AROMATIC-COMPOUNDS-BIOSYN		RXN-25072 // RXN-25071 // TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.5 // EC-2.6.1.27
PWY-82	PWY-82	Carbohydrates-Biosynthesis		L-ARABINOKINASE-RXN // RXN-7401	EC-2.7.1.46 // EC-2.7.7.37
PWY-7671	PWY-7671	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-16726 // RXN-16724 // RXN-16723 // RXN-15305 // RXN-15302 // RXN-16722 // RXN-16716 // RXN-16714 // RXN-16713 // RXN-16715	EC-6.2.1.66 // EC-6.2.1 // EC-2.1.1.304 // EC-1.11.2.5 // EC-2.1.1.M6 // EC-2.3.1
RIBOKIN-PWY	RIBOKIN-PWY	Carbohydrates-Degradation	RXN0-5304	RXN0-5304 // RIBOKIN-RXN	EC-5.4.99.62 // EC-2.7.1.15
PWY490-3	PWY490-3	Noncarbon-Nutrients		FERREDOXIN--NITRITE-REDUCTASE-RXN // 1.7.7.2-RXN	EC-1.7.7.1 // EC-1.7.7.2
