	Pathways	Common-Name	Common-Name2	Classification	Object ID_x	Ontology - pathway type_x	Key-Reactions	Reaction-List	EC-Number	Object ID_y	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type_y	Ontology -  all instances of class
10	PWY-7170	Arabidopsis thaliana	"Chlorophyta,Viridiplantae"	Non-Bacteria	PWY-7170	Tetrapyrrole-Biosynthesis	1.3.7.4-RXN	RXN-17523;RXN-13968;1.3.7.4-RXN	EC-1.14.15.20;EC-5.2.1;EC-1.3.7.4	PWY-7170	phytochromobilin biosynthesis	AT3G09150-MONOMER // AT2G26670-MONOMER // AT1G58300-MONOMER // AT1G69720-MONOMER	RXN-17523 // RXN-13968 // 1.3.7.4-RXN	Tetrapyrrole-Biosynthesis	
11	THREONINE-DEG2-PWY	"Acetoanaerobium sticklandii,Aves,Escherichia coli,Mammalia,Pseudomonas sp. cruciviae,Pyrococcus furiosus,Pyrococcus horikoshii,Xanthomonas campestris,Arthrobacter sp.,Corynebacterium sp."	"Fungi,Metazoa,Bacteria <bacteria>,Archaea"	Bacteria	THREONINE-DEG2-PWY	Amino-Acid-Degradation		AKBLIG-RXN;THREODEHYD-RXN	EC-2.3.1.29;EC-1.1.1.103	THREONINE-DEG2-PWY	L-threonine degradation II // threonine dehydrogenase pathway // TDG pathway	THREODEHYD-CPLX // EG12293-MONOMER // AKBLIG-CPLX	AKBLIG-RXN // THREODEHYD-RXN	Amino-Acid-Degradation	
12	PWY-5436	"Escherichia coli,Saccharomyces cerevisiae,Pseudomonas sp. NCIMB 10558,Clostridium pasteurianum,Vanrija humicola,Bacillus subtilis,Arthrobacter sp.,Aeromonas jandaei,Pseudomonas putida,Achromobacter xylosoxidans"	"Bacteria <bacteria>,Fungi"	Bacteria	PWY-5436	Amino-Acid-Degradation		ACETALD-DEHYDROG-RXN;THREONINE-ALDOLASE-RXN	EC-1.2.1.10;EC-4.1.2.48;EC-4.1.2.5	PWY-5436	L-threonine degradation IV	CPLX-7266 // LTAA-CPLX // ADHE-CPLX // MHPF-MONOMER // G7285-MONOMER	ACETALD-DEHYDROG-RXN // THREONINE-ALDOLASE-RXN	Amino-Acid-Degradation	
13	PWY-6289	"Shouchella clausii,Bacillus anthracis,Bacillus cereus,Bacillus thuringiensis,Marinobacter nauticus,Methylorubrum extorquens,Methylorubrum populi,Phaeobacter inhibens,Photobacterium angustum,Photobacterium sp. SKA34,Rhodopseudomonas palustris"	Bacteria <bacteria>	Bacteria	PWY-6289	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-10681;RXN-10682;RXN-10680;DHSHIKIMATE-DEHYDRO-RXN;RXN-10675;RXN-10676;RXN-10677;RXN-10678;RXN-10679	EC-6.3.2;EC-4.2.1.118;EC-2.3.2	PWY-6289	petrobactin biosynthesis	MONOMER-14943 // CPLX-7874 // MONOMER-14942 // MONOMER-14944 // MONOMER-14941	RXN-10681 // RXN-10682 // RXN-10680 // DHSHIKIMATE-DEHYDRO-RXN // RXN-10675 // RXN-10676 // RXN-10677 // RXN-10678 // RXN-10679	SECONDARY-METABOLITE-BIOSYNTHESIS	
14	PWY-5794	"Acinetobacter calcoaceticus,Klebsiella pneumoniae,Pseudomonas fluorescens,Pseudomonas putida"	Bacteria <bacteria>	Bacteria	PWY-5794	CARBOXYLATES-DEG		RXN-9730;RXN-9729;RXN-9728	EC-4.1.1.87;EC-2.3.1.187;EC-2.3.1	PWY-5794	malonate degradation I (biotin-independent)	KP1_RS12020-MONOMER // KP1_RS12055-MONOMER // CPLX-7661	RXN-9730 // RXN-9729 // RXN-9728	CARBOXYLATES-DEG	
15	PWY-7788	Mycolicibacterium smegmatis	Bacteria <bacteria>	Bacteria	PWY-7788	Alcohol-Degradation;Carbohydrates-Degradation		RXN-17763;RXN-17762;RXN-17761	EC-1.1.1.M28;EC-5.3.1.34;EC-2.7.1.210	PWY-7788	erythritol degradation II	MONOMER-19890 // MONOMER-19891 // MONOMER-19889	RXN-17763 // RXN-17762 // RXN-17761	Alcohol-Degradation // Carbohydrates-Degradation	
16	PWY-6596	"Camellia sinensis,Catharanthus roseus,Glycine max,Lupinus luteus,Solanum tuberosum,Arabidopsis thaliana"	Embryophyta	Non-Bacteria	PWY-6596	NUCLEO-DEG		RXN-7682;RXN0-901;RXN0-363;INOSINE-NUCLEOSIDASE-RXN;RXN-7607;XMPXAN-RXN;IMP-DEHYDROG-RXN;AMP-DEAMINASE-RXN	EC-1.17.1.4;EC-3.2.2.1;EC-3.2.2.2;EC-3.1.3.99;EC-3.1.3.5;EC-1.1.1.205;EC-3.5.4.17;EC-3.5.4.6	PWY-6596	adenosine nucleotides degradation I // purine nucleotide catabolism	MONOMER-11790 // CPLX-1102 // CPLX-6982 // MONOMER-11776 // AT2G36310-MONOMER // CPLX-1105 // CPLX-6985	RXN-7682 // RXN0-901 // RXN0-363 // INOSINE-NUCLEOSIDASE-RXN // RXN-7607 // XMPXAN-RXN // IMP-DEHYDROG-RXN // AMP-DEAMINASE-RXN	NUCLEO-DEG	
17	PWY-7050	"Trichormus variabilis,Colwellia psychrerythraea,Photobacterium profundum,Psychroflexus torquis,Psychromonas ingrahamii,Schizochytrium sp. ATCC 20888,Shewanella hanedai,Shewanella pneumatophori,Shewanella sp. GA-22"	"Stramenopiles,Bacteria <bacteria>"	Bacteria	PWY-7050	Lipid-Biosynthesis		RXN-13431	EC-2.3.1	PWY-7050	icosapentaenoate biosynthesis IV (bacteria) // eicosapentaenoate biosynthesis IV (bacteria)	CPLX-8479 // CPLX-8945	RXN-13431	Lipid-Biosynthesis	
18	PWY-8394	Lacticaseibacillus casei	Bacillota	Bacteria	PWY-8394	Alcohol-Degradation;Carbohydrates-Degradation		RXN-23383;RXN-23384	EC-2.7.1;EC-1.1.1.137	PWY-8394	ribitol degradation II	MONOMER-124217 // CPLX-85405	RXN-23383 // RXN-23384	Alcohol-Degradation // Carbohydrates-Degradation	
19	ARG-PRO-PWY	"Saccharomyces cerevisiae,Synechocystis sp. PCC 6803"	"Viridiplantae,Cyanobacteriota,Fungi"	Bacteria	ARG-PRO-PWY	Amino-Acid-Degradation	ARGINASE-RXN // PYRROLINECARBREDUCT-RXN	SPONTPRO-RXN;ARGINASE-RXN;ORNITHINE-GLU-AMINOTRANSFERASE-RXN;PYRROLINECARBREDUCT-RXN	EC-3.5.3.1;EC-2.6.1.13;EC-1.5.1.2	ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	CPLX-6891 // YLR438W-MONOMER // CPLX-6892	SPONTPRO-RXN // ARGINASE-RXN // ORNITHINE-GLU-AMINOTRANSFERASE-RXN // PYRROLINECARBREDUCT-RXN	Amino-Acid-Degradation	
20	PWY-8415	"Methanocaldococcus jannaschii,Methanocaldococcus villosus,Methanothermococcus okinawensis"	Archaea	Non-Bacteria	PWY-8415	Lipid-Biosynthesis		RXN-23585	EC-1.21.98.5	PWY-8415	macrocyclic archaeol phospholipid biosynthesis	MJ_RS03275-MONOMER	RXN-23585	Lipid-Biosynthesis	
21	PWY-8322	Saccharomyces cerevisiae	Ascomycota	Non-Bacteria	PWY-8322	Protein-Modification;Glycan-Pathways;Carbohydrates-Biosynthesis		RXN-22686;RXN-22685;2.4.1.232-RXN	EC-2.4.1;EC-2.4.1.232	PWY-8322	"protein <i>N</i>-glycosylation processing of proteins targeted for retention in cellular organelles (<i>cis-Golgi</i>, yeast)"	G3O-30552-MONOMER // YER001W-MONOMER	RXN-22686 // RXN-22685 // 2.4.1.232-RXN	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	
22	PWY-2582	Arabidopsis thaliana	Embryophyta	Non-Bacteria	PWY-2582	HORMONE-SYN;Lipid-Biosynthesis		RXN-720;RXN-779;RXN-778;RXN-777;RXN-11101;RXN-776;RXN-775;RXN-11534;RXN-11532;RXN-11531;RXN-11530;RXN-774;RXN-773;RXN-712;RXN-711;RXN-710;RXN-709;RXN-4229;RXN-4226;RXN-4225	EC-1.14.14.180;EC-1.14.14.M54;EC-1.14.14.147;EC-1.1.99.M2;EC-1.14.19.79;EC-1.3.1.22;EC-1.14.14.178;EC-1.1;EC-1.1.1.357;EC-5.3.3.1	PWY-2582	brassinolide biosynthesis II // brassinosteroid biosynthesis - C-22 oxidation branch	MONOMER-7321 // MONOMER-7322 // AT3G50660-MONOMER // AT2G38050-MONOMER // AT5G05690-MONOMER // AT4G36380-MONOMER // AT3G13730-MONOMER // AT5G38970-MONOMER // AT3G30180-MONOMER	RXN-720 // RXN-779 // RXN-778 // RXN-777 // RXN-11101 // RXN-776 // RXN-775 // RXN-11534 // RXN-11532 // RXN-11531 // RXN-11530 // RXN-774 // RXN-773 // RXN-712 // RXN-711 // RXN-710 // RXN-709 // RXN-4229 // RXN-4226 // RXN-4225	HORMONE-SYN // Lipid-Biosynthesis	
23	RIBOSYN2-PWY	"Bacillus subtilis,Escherichia coli,Arabidopsis thaliana"	"Viridiplantae,Bacteria <bacteria>"	Bacteria	RIBOSYN2-PWY	Cofactor-Biosynthesis	RIBOFLAVIN-SYN-RXN	GTP-CYCLOHYDRO-II-RXN;RIBOFLAVINSYNDEAM-RXN;RIBOFLAVINSYNREDUC-RXN;DIOHBUTANONEPSYN-RXN;RIBOPHOSPHAT-RXN;LUMAZINESYN-RXN;RIBOFLAVIN-SYN-RXN;FADSYN-RXN;RIBOFLAVINKIN-RXN	EC-3.5.4.25;EC-3.5.4.26;EC-1.1.1.193;EC-4.1.99.12;EC-3.1.3.104;EC-2.5.1.78;EC-2.5.1.9;EC-2.7.7.2;EC-2.7.1.26	RIBOSYN2-PWY	"flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis"	BSU16670-MONOMER // AT4G21470-MONOMER // RIBF-MONOMER // CPLX8J2-122 // CPLXQT-28 // CPLX0-3952 // CPLX8J2-123 // CPLXQT-27 // LUMAZINESYN-CPLX // G6442-MONOMER // EG11202-MONOMER // DIOHBUTANONEPSYN-CPLX // MONOMER-17844 // AT4G20960-MONOMER // CPLX0-7659 // AT5G64300-MONOMER // GTP-CYCLOHYDRO-II-CPLX	GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // DIOHBUTANONEPSYN-RXN // RIBOPHOSPHAT-RXN // LUMAZINESYN-RXN // RIBOFLAVIN-SYN-RXN // FADSYN-RXN // RIBOFLAVINKIN-RXN	Cofactor-Biosynthesis	
24	PWY-5995	"Brassica juncea,Carthamus tinctorius,Glycine max,Linum usitatissimum,Oryza sativa,Sesamum indicum,Spinacia oleracea,Thunbergia alata,Arabidopsis thaliana"	Viridiplantae	Non-Bacteria	PWY-5995	Lipid-Biosynthesis		RXN-16045;RXN-16036;RXN-9669;RXN-9670	EC-2.3.1.23;EC-1.14.19.23;EC-1.14.19.22	PWY-5995	linoleate biosynthesis I (plants)	CPLX-1902 // CPLX-1904 // MONOMER-14124 // MONOMER-19024	RXN-16045 // RXN-16036 // RXN-9669 // RXN-9670	Lipid-Biosynthesis	
25	PWY-7212	"Scutellaria baicalensis,Scutellaria viscidula"	Viridiplantae	Non-Bacteria	PWY-7212	AROMATIC-COMPOUNDS-BIOSYN		RXN-14238;RXN-11760;RXN-11755;RXN-14237	EC-2.4.1;EC-3.2.1.167;EC-2.4.1.253;EC-1.14.13	PWY-7212	baicalein metabolism	CPLX-8164 // CPLX-8165 // MONOMER-17918 // MONOMER-17919	RXN-14238 // RXN-11760 // RXN-11755 // RXN-14237	AROMATIC-COMPOUNDS-BIOSYN	
26	PWY-8324	"Bacillus licheniformis,Klebsiella oxytoca,Klebsiella pneumoniae,Salmonella enterica"	Bacteria <bacteria>	Bacteria	PWY-8324	Carbohydrates-Degradation		RXN-22448;TRANS-RXN-416;TAGAALDOL-RXN	EC-2.7.1.234;EC-2.7.1;EC-4.1.2.40	PWY-8324	D-tagatose degradation	MONOMER-21831 // CPLX-9682 // MONOMER-21830	RXN-22448 // TRANS-RXN-416 // TAGAALDOL-RXN	Carbohydrates-Degradation	
27	PWY-5439	Amanita muscaria	"Fungi,Caryophyllales"	Non-Bacteria	PWY-5439	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8625;RXN-8624;RXN-8623	EC-1.10.3	PWY-5439	betacyanin biosynthesis (via dopamine)	CPLX-7248	RXN-8625 // RXN-8624 // RXN-8623	SECONDARY-METABOLITE-BIOSYNTHESIS	
28	PWY-7543	Aspergillus fischeri	"Aspergillaceae,Fungi"	Non-Bacteria	PWY-7543	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15765;RXN-15763;RXN-15762	EC-2.3.1;EC-2.5.1;EC-6.3.2	PWY-7543	5-<i>N</i>-acetylardeemin biosynthesis	MONOMER-18821 // MONOMER-18823	RXN-15765 // RXN-15763 // RXN-15762	SECONDARY-METABOLITE-BIOSYNTHESIS	
29	PWY-5951	"Saccharomyces cerevisiae,Pectobacterium carotovorum,Paenibacillus polymyxa,Gluconobacter oxydans"	"Fungi,Bacteria <bacteria>"	Bacteria	PWY-5951	Other-biosynthesis		RR-BUTANEDIOL-DEHYDROGENASE-RXN	EC-1.1.1.4	PWY-5951	"(<i>R,R</i>)-butanediol biosynthesis // (<i>R,R</i>)-butylene glycol fermentation // (<i>R,R</i>)-butanediol fermentation // (R,R)-2,3-butanediol biosynthesis"	CPLX3O-79 // CPLX-7956	RR-BUTANEDIOL-DEHYDROGENASE-RXN	Other-biosynthesis	
30	PWY-5037	"Camellia sinensis,Camellia taliensis,Coffea arabica,Coffea canephora"	"Malvaceae,Rubiaceae,Theaceae"	Non-Bacteria	PWY-5037	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7599;RXN-7598;RXN-7597;RXN-7596	EC-2.1.1.160;EC-2.1.1.159;EC-3.2.2.25;EC-2.1.1.158	PWY-5037	caffeine biosynthesis I	MONOMER-11670 // MONOMER-11671 // MONOMER-11672 // MONOMER-11673 // MONOMER-11674 // MONOMER-11675 // MONOMER-11676 // MONOMER-11679 // MONOMER-11680	RXN-7599 // RXN-7598 // RXN-7597 // RXN-7596	SECONDARY-METABOLITE-BIOSYNTHESIS	
31	ARGDEGRAD-PWY	"Aeromonas caviae,Aphanocapsa,Acetoanaerobium sticklandii,Giardia duodenalis,Halobacterium salinarum,Hexamita inflata,Lentilactobacillus hilgardii,Metamycoplasma hominis,Mycoplasmoides pneumoniae,Pseudomonas aeruginosa,Spiroplasma citri,Streptococcus ratti,Treponema denticola,Trichomonas vaginalis,Tritrichomonas suis,Arabidopsis thaliana"	"Archaea,Eukaryota,Bacteria <bacteria>"	Bacteria	ARGDEGRAD-PWY	Amino-Acid-Degradation;Super-Pathways		ARGININE-DEIMINASE-RXN;CITRULLINE-DEG-PWY	EC-3.5.3.6	ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway) // L-arginine dihydrolase pathway // L-arginine deiminase degradation	ORNCARBAMTRANSFERST-MONOMER // MONOMER-533 // CPLX-2042 // AT1G75330-MONOMER // MONOMER-17457 // CPLX-6561 // MONOMER-534 // MONOMER-663 // ARGDEIMST-MONOMER // MONOMER-507 // CPLX-2041 // CPLX-6562	ARGININE-DEIMINASE-RXN // RXN-19659 // RXN-14196 // ORNCARBAMTRANSFER-RXN	Amino-Acid-Degradation // Super-Pathways	
32	PWY-7198	Methanocaldococcus jannaschii	Archaea	Non-Bacteria	PWY-7198	Metabolic-Clusters;Nucleotide-Biosynthesis	THYMIDYLATESYN-RXN	RXN2OBG-12;3.5.4.30-RXN;RXN-12195;CDPREDUCT-RXN;DTDPKIN-RXN;DTMPKI-RXN;DCDPKIN-RXN	EC-2.1.1;EC-3.5.4.30;EC-3.6.1.15;EC-1.17.4.1;EC-2.7.4.6;EC-2.7.4.12;EC-2.7.4.13;EC-2.7.4.9	PWY-7198	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV	CPLX-8625 // MONOMER-14571	RXN2OBG-12 // 3.5.4.30-RXN // RXN-12195 // CDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DCDPKIN-RXN	Metabolic-Clusters // Nucleotide-Biosynthesis	
