Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
1127R_S2_0_Female_week9_S76_L001_R1_001	(17.0, 7.0)	(18.0, 16.0)	(19.0, 42.0)	(20.0, 79.0)	(21.0, 218.0)	(22.0, 438.0)	(23.0, 786.0)	(24.0, 1027.0)	(25.0, 1183.0)	(26.0, 1523.0)	(27.0, 1814.0)	(28.0, 2183.0)	(29.0, 2626.0)	(30.0, 2966.0)	(31.0, 3463.0)	(32.0, 4358.0)	(33.0, 5580.0)	(34.0, 7348.0)	(35.0, 11167.0)	(36.0, 21262.0)	(37.0, 74734.0)							
1127R_S2_0_Female_week9_S76_L001_R2_001	(11.0, 5.0)	(12.0, 13.0)	(13.0, 41.0)	(14.0, 114.0)	(15.0, 221.0)	(16.0, 260.0)	(17.0, 322.0)	(18.0, 449.0)	(19.0, 496.0)	(20.0, 583.0)	(21.0, 694.0)	(22.0, 875.0)	(23.0, 981.0)	(24.0, 1223.0)	(25.0, 1513.0)	(26.0, 1858.0)	(27.0, 2651.0)	(28.0, 3759.0)	(29.0, 5332.0)	(30.0, 7382.0)	(31.0, 10393.0)	(32.0, 14494.0)	(33.0, 19379.0)	(34.0, 24515.0)	(35.0, 26606.0)	(36.0, 17333.0)	(37.0, 1328.0)	
1127R_S2_R_Female_week5_S63_L001_R1_001	(18.0, 12.0)	(19.0, 36.0)	(20.0, 89.0)	(21.0, 255.0)	(22.0, 454.0)	(23.0, 705.0)	(24.0, 943.0)	(25.0, 1151.0)	(26.0, 1464.0)	(27.0, 1729.0)	(28.0, 2021.0)	(29.0, 2537.0)	(30.0, 2945.0)	(31.0, 3642.0)	(32.0, 4377.0)	(33.0, 5526.0)	(34.0, 7604.0)	(35.0, 11454.0)	(36.0, 21253.0)	(37.0, 69790.0)								
1127R_S2_R_Female_week5_S63_L001_R2_001	(11.0, 2.0)	(12.0, 15.0)	(13.0, 40.0)	(14.0, 107.0)	(15.0, 224.0)	(16.0, 299.0)	(17.0, 352.0)	(18.0, 393.0)	(19.0, 469.0)	(20.0, 540.0)	(21.0, 665.0)	(22.0, 736.0)	(23.0, 955.0)	(24.0, 1142.0)	(25.0, 1396.0)	(26.0, 1933.0)	(27.0, 2812.0)	(28.0, 4243.0)	(29.0, 5814.0)	(30.0, 8093.0)	(31.0, 11300.0)	(32.0, 15241.0)	(33.0, 19203.0)	(34.0, 23455.0)	(35.0, 23389.0)	(36.0, 14257.0)	(37.0, 912.0)	
1127R_S2_R_Female_week9_S77_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 6.0)	(18.0, 38.0)	(19.0, 80.0)	(20.0, 210.0)	(21.0, 592.0)	(22.0, 1003.0)	(23.0, 1427.0)	(24.0, 1978.0)	(25.0, 2485.0)	(26.0, 3092.0)	(27.0, 3569.0)	(28.0, 4245.0)	(29.0, 5067.0)	(30.0, 5935.0)	(31.0, 7123.0)	(32.0, 8307.0)	(33.0, 10787.0)	(34.0, 14250.0)	(35.0, 21435.0)	(36.0, 41387.0)	(37.0, 137713.0)					
1127R_S2_R_Female_week9_S77_L001_R2_001	(11.0, 2.0)	(12.0, 28.0)	(13.0, 78.0)	(14.0, 233.0)	(15.0, 358.0)	(16.0, 404.0)	(17.0, 595.0)	(18.0, 749.0)	(19.0, 936.0)	(20.0, 1107.0)	(21.0, 1339.0)	(22.0, 1585.0)	(23.0, 1934.0)	(24.0, 2192.0)	(25.0, 2947.0)	(26.0, 3815.0)	(27.0, 5400.0)	(28.0, 7707.0)	(29.0, 11105.0)	(30.0, 15717.0)	(31.0, 21919.0)	(32.0, 30162.0)	(33.0, 40028.0)	(34.0, 48109.0)	(35.0, 47104.0)	(36.0, 24336.0)	(37.0, 843.0)	
2514R_S2_L_Male_week5_S71_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 17.0)	(19.0, 32.0)	(20.0, 107.0)	(21.0, 325.0)	(22.0, 513.0)	(23.0, 629.0)	(24.0, 821.0)	(25.0, 1004.0)	(26.0, 1150.0)	(27.0, 1280.0)	(28.0, 1554.0)	(29.0, 1774.0)	(30.0, 2057.0)	(31.0, 2535.0)	(32.0, 3034.0)	(33.0, 4154.0)	(34.0, 5773.0)	(35.0, 9221.0)	(36.0, 17499.0)	(37.0, 32863.0)						
2514R_S2_L_Male_week5_S71_L001_R2_001	(11.0, 1.0)	(12.0, 6.0)	(13.0, 34.0)	(14.0, 68.0)	(15.0, 137.0)	(16.0, 148.0)	(17.0, 160.0)	(18.0, 194.0)	(19.0, 236.0)	(20.0, 280.0)	(21.0, 324.0)	(22.0, 381.0)	(23.0, 475.0)	(24.0, 586.0)	(25.0, 763.0)	(26.0, 980.0)	(27.0, 1428.0)	(28.0, 2082.0)	(29.0, 2990.0)	(30.0, 4492.0)	(31.0, 6694.0)	(32.0, 9614.0)	(33.0, 12839.0)	(34.0, 15766.0)	(35.0, 15827.0)	(36.0, 9290.0)	(37.0, 550.0)	
2514R_S2_L_Male_week9_S85_L001_R1_001	(17.0, 5.0)	(18.0, 20.0)	(19.0, 63.0)	(20.0, 163.0)	(21.0, 486.0)	(22.0, 759.0)	(23.0, 1204.0)	(24.0, 1608.0)	(25.0, 2077.0)	(26.0, 2540.0)	(27.0, 2935.0)	(28.0, 3372.0)	(29.0, 4132.0)	(30.0, 4625.0)	(31.0, 5604.0)	(32.0, 6722.0)	(33.0, 8697.0)	(34.0, 11698.0)	(35.0, 17119.0)	(36.0, 32587.0)	(37.0, 104101.0)							
2514R_S2_L_Male_week9_S85_L001_R2_001	(11.0, 2.0)	(12.0, 16.0)	(13.0, 70.0)	(14.0, 196.0)	(15.0, 357.0)	(16.0, 485.0)	(17.0, 597.0)	(18.0, 708.0)	(19.0, 831.0)	(20.0, 987.0)	(21.0, 1122.0)	(22.0, 1292.0)	(23.0, 1614.0)	(24.0, 1981.0)	(25.0, 2446.0)	(26.0, 3183.0)	(27.0, 4684.0)	(28.0, 6512.0)	(29.0, 9473.0)	(30.0, 12738.0)	(31.0, 17618.0)	(32.0, 23220.0)	(33.0, 29422.0)	(34.0, 34554.0)	(35.0, 34373.0)	(36.0, 20600.0)	(37.0, 1436.0)	
2514R_S2_R_Male_week5_S72_L001_R1_001	(16.0, 1.0)	(17.0, 6.0)	(18.0, 28.0)	(19.0, 35.0)	(20.0, 135.0)	(21.0, 348.0)	(22.0, 639.0)	(23.0, 889.0)	(24.0, 1090.0)	(25.0, 1274.0)	(26.0, 1504.0)	(27.0, 1709.0)	(28.0, 2019.0)	(29.0, 2341.0)	(30.0, 2816.0)	(31.0, 3318.0)	(32.0, 3999.0)	(33.0, 5214.0)	(34.0, 6883.0)	(35.0, 10914.0)	(36.0, 21670.0)	(37.0, 56387.0)						
2514R_S2_R_Male_week5_S72_L001_R2_001	(10.0, 1.0)	(11.0, 2.0)	(12.0, 10.0)	(13.0, 35.0)	(14.0, 95.0)	(15.0, 169.0)	(16.0, 184.0)	(17.0, 198.0)	(18.0, 306.0)	(19.0, 378.0)	(20.0, 491.0)	(21.0, 526.0)	(22.0, 650.0)	(23.0, 735.0)	(24.0, 912.0)	(25.0, 1262.0)	(26.0, 1558.0)	(27.0, 2232.0)	(28.0, 3198.0)	(29.0, 4622.0)	(30.0, 6672.0)	(31.0, 9436.0)	(32.0, 13453.0)	(33.0, 17702.0)	(34.0, 21634.0)	(35.0, 22023.0)	(36.0, 13805.0)	(37.0, 930.0)
2514R_S2_R_Male_week9_S86_L001_R1_001	(17.0, 1.0)	(18.0, 14.0)	(19.0, 49.0)	(20.0, 100.0)	(21.0, 255.0)	(22.0, 527.0)	(23.0, 794.0)	(24.0, 1150.0)	(25.0, 1640.0)	(26.0, 2063.0)	(27.0, 2535.0)	(28.0, 3107.0)	(29.0, 3801.0)	(30.0, 4732.0)	(31.0, 5590.0)	(32.0, 7002.0)	(33.0, 8664.0)	(34.0, 11824.0)	(35.0, 17986.0)	(36.0, 34455.0)	(37.0, 116412.0)							
2514R_S2_R_Male_week9_S86_L001_R2_001	(11.0, 5.0)	(12.0, 18.0)	(13.0, 71.0)	(14.0, 158.0)	(15.0, 302.0)	(16.0, 396.0)	(17.0, 479.0)	(18.0, 571.0)	(19.0, 719.0)	(20.0, 838.0)	(21.0, 917.0)	(22.0, 1154.0)	(23.0, 1413.0)	(24.0, 1686.0)	(25.0, 2088.0)	(26.0, 2461.0)	(27.0, 3364.0)	(28.0, 4819.0)	(29.0, 6972.0)	(30.0, 10204.0)	(31.0, 14829.0)	(32.0, 20986.0)	(33.0, 29679.0)	(34.0, 39231.0)	(35.0, 45900.0)	(36.0, 31209.0)	(37.0, 2232.0)	
2808_NS1_0_Female_week5_S37_L001_R1_001	(17.0, 2.0)	(18.0, 28.0)	(19.0, 69.0)	(20.0, 217.0)	(21.0, 568.0)	(22.0, 1014.0)	(23.0, 1472.0)	(24.0, 1966.0)	(25.0, 2559.0)	(26.0, 2906.0)	(27.0, 3592.0)	(28.0, 4177.0)	(29.0, 4953.0)	(30.0, 5792.0)	(31.0, 6910.0)	(32.0, 8570.0)	(33.0, 10907.0)	(34.0, 14967.0)	(35.0, 22297.0)	(36.0, 43274.0)	(37.0, 145256.0)							
2808_NS1_0_Female_week5_S37_L001_R2_001	(10.0, 1.0)	(11.0, 7.0)	(12.0, 35.0)	(13.0, 144.0)	(14.0, 308.0)	(15.0, 482.0)	(16.0, 512.0)	(17.0, 605.0)	(18.0, 742.0)	(19.0, 933.0)	(20.0, 1106.0)	(21.0, 1336.0)	(22.0, 1498.0)	(23.0, 1822.0)	(24.0, 2301.0)	(25.0, 2883.0)	(26.0, 3735.0)	(27.0, 5207.0)	(28.0, 7510.0)	(29.0, 10759.0)	(30.0, 14719.0)	(31.0, 20465.0)	(32.0, 28299.0)	(33.0, 37979.0)	(34.0, 47819.0)	(35.0, 52268.0)	(36.0, 35333.0)	(37.0, 2688.0)
2808_NS1_0_Female_week9_S49_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 10.0)	(19.0, 24.0)	(20.0, 71.0)	(21.0, 237.0)	(22.0, 461.0)	(23.0, 640.0)	(24.0, 921.0)	(25.0, 1182.0)	(26.0, 1429.0)	(27.0, 1708.0)	(28.0, 2032.0)	(29.0, 2341.0)	(30.0, 2830.0)	(31.0, 3438.0)	(32.0, 4137.0)	(33.0, 5303.0)	(34.0, 7075.0)	(35.0, 10987.0)	(36.0, 20830.0)	(37.0, 70702.0)						
2808_NS1_0_Female_week9_S49_L001_R2_001	(11.0, 1.0)	(12.0, 10.0)	(13.0, 36.0)	(14.0, 89.0)	(15.0, 172.0)	(16.0, 251.0)	(17.0, 303.0)	(18.0, 397.0)	(19.0, 445.0)	(20.0, 496.0)	(21.0, 590.0)	(22.0, 749.0)	(23.0, 844.0)	(24.0, 1078.0)	(25.0, 1224.0)	(26.0, 1676.0)	(27.0, 2220.0)	(28.0, 3282.0)	(29.0, 4507.0)	(30.0, 6381.0)	(31.0, 9190.0)	(32.0, 13034.0)	(33.0, 18037.0)	(34.0, 23937.0)	(35.0, 27234.0)	(36.0, 18865.0)	(37.0, 1312.0)	
2808_NS1_L_Female_week5_S38_L001_R1_001	(17.0, 3.0)	(18.0, 20.0)	(19.0, 50.0)	(20.0, 131.0)	(21.0, 328.0)	(22.0, 563.0)	(23.0, 758.0)	(24.0, 1043.0)	(25.0, 1432.0)	(26.0, 1670.0)	(27.0, 2001.0)	(28.0, 2502.0)	(29.0, 2898.0)	(30.0, 3344.0)	(31.0, 4077.0)	(32.0, 5103.0)	(33.0, 6490.0)	(34.0, 8776.0)	(35.0, 13668.0)	(36.0, 25564.0)	(37.0, 70519.0)							
2808_NS1_L_Female_week5_S38_L001_R2_001	(11.0, 5.0)	(12.0, 24.0)	(13.0, 77.0)	(14.0, 177.0)	(15.0, 227.0)	(16.0, 325.0)	(17.0, 381.0)	(18.0, 456.0)	(19.0, 547.0)	(20.0, 640.0)	(21.0, 793.0)	(22.0, 914.0)	(23.0, 1102.0)	(24.0, 1403.0)	(25.0, 1687.0)	(26.0, 2338.0)	(27.0, 3392.0)	(28.0, 4979.0)	(29.0, 7020.0)	(30.0, 9964.0)	(31.0, 13829.0)	(32.0, 18234.0)	(33.0, 22842.0)	(34.0, 26020.0)	(35.0, 22866.0)	(36.0, 10469.0)	(37.0, 229.0)	
2808_NS1_L_Female_week9_S50_L001_R1_001	(17.0, 2.0)	(18.0, 8.0)	(19.0, 38.0)	(20.0, 69.0)	(21.0, 176.0)	(22.0, 360.0)	(23.0, 587.0)	(24.0, 852.0)	(25.0, 1081.0)	(26.0, 1146.0)	(27.0, 1446.0)	(28.0, 1659.0)	(29.0, 2030.0)	(30.0, 2200.0)	(31.0, 2697.0)	(32.0, 3403.0)	(33.0, 4302.0)	(34.0, 5759.0)	(35.0, 8620.0)	(36.0, 16946.0)	(37.0, 58141.0)							
2808_NS1_L_Female_week9_S50_L001_R2_001	(11.0, 3.0)	(12.0, 13.0)	(13.0, 23.0)	(14.0, 85.0)	(15.0, 158.0)	(16.0, 182.0)	(17.0, 243.0)	(18.0, 281.0)	(19.0, 402.0)	(20.0, 421.0)	(21.0, 534.0)	(22.0, 602.0)	(23.0, 732.0)	(24.0, 889.0)	(25.0, 1078.0)	(26.0, 1434.0)	(27.0, 1875.0)	(28.0, 2585.0)	(29.0, 3686.0)	(30.0, 5314.0)	(31.0, 7505.0)	(32.0, 10574.0)	(33.0, 14523.0)	(34.0, 19513.0)	(35.0, 22230.0)	(36.0, 15431.0)	(37.0, 1206.0)	
2808_NS1_RR_Female_week5_S40_L001_R1_001	(17.0, 4.0)	(18.0, 7.0)	(19.0, 34.0)	(20.0, 78.0)	(21.0, 301.0)	(22.0, 418.0)	(23.0, 551.0)	(24.0, 665.0)	(25.0, 702.0)	(26.0, 870.0)	(27.0, 932.0)	(28.0, 1063.0)	(29.0, 1194.0)	(30.0, 1394.0)	(31.0, 1826.0)	(32.0, 2110.0)	(33.0, 2973.0)	(34.0, 4178.0)	(35.0, 6560.0)	(36.0, 12486.0)	(37.0, 20229.0)							
2808_NS1_RR_Female_week5_S40_L001_R2_001	(11.0, 2.0)	(12.0, 5.0)	(13.0, 11.0)	(14.0, 49.0)	(15.0, 100.0)	(16.0, 122.0)	(17.0, 127.0)	(18.0, 139.0)	(19.0, 147.0)	(20.0, 171.0)	(21.0, 202.0)	(22.0, 257.0)	(23.0, 336.0)	(24.0, 372.0)	(25.0, 453.0)	(26.0, 664.0)	(27.0, 971.0)	(28.0, 1365.0)	(29.0, 2054.0)	(30.0, 3228.0)	(31.0, 4743.0)	(32.0, 6843.0)	(33.0, 9221.0)	(34.0, 11395.0)	(35.0, 10913.0)	(36.0, 4625.0)	(37.0, 60.0)	
2808_NS1_RR_Female_week9_S52_L001_R1_001	(17.0, 1.0)	(18.0, 15.0)	(19.0, 38.0)	(20.0, 83.0)	(21.0, 276.0)	(22.0, 462.0)	(23.0, 784.0)	(24.0, 964.0)	(25.0, 1296.0)	(26.0, 1581.0)	(27.0, 1914.0)	(28.0, 2157.0)	(29.0, 2567.0)	(30.0, 3048.0)	(31.0, 3783.0)	(32.0, 4466.0)	(33.0, 5613.0)	(34.0, 7715.0)	(35.0, 11368.0)	(36.0, 21870.0)	(37.0, 65399.0)							
2808_NS1_RR_Female_week9_S52_L001_R2_001	(11.0, 2.0)	(12.0, 26.0)	(13.0, 72.0)	(14.0, 157.0)	(15.0, 244.0)	(16.0, 263.0)	(17.0, 345.0)	(18.0, 418.0)	(19.0, 450.0)	(20.0, 582.0)	(21.0, 614.0)	(22.0, 756.0)	(23.0, 912.0)	(24.0, 1068.0)	(25.0, 1489.0)	(26.0, 1923.0)	(27.0, 2689.0)	(28.0, 3917.0)	(29.0, 5668.0)	(30.0, 8009.0)	(31.0, 11107.0)	(32.0, 15006.0)	(33.0, 19746.0)	(34.0, 23377.0)	(35.0, 22907.0)	(36.0, 13085.0)	(37.0, 568.0)	
2808_NS1_R_Female_week5_S39_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 15.0)	(19.0, 30.0)	(20.0, 106.0)	(21.0, 267.0)	(22.0, 501.0)	(23.0, 719.0)	(24.0, 960.0)	(25.0, 1286.0)	(26.0, 1562.0)	(27.0, 1960.0)	(28.0, 2293.0)	(29.0, 2699.0)	(30.0, 3255.0)	(31.0, 3971.0)	(32.0, 4814.0)	(33.0, 6119.0)	(34.0, 8392.0)	(35.0, 12415.0)	(36.0, 23658.0)	(37.0, 82927.0)						
