.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
2808_NS1_0_Female_week5_S37_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_0_Female_week5_S37_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_0_Female_week9_S49_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_0_Female_week9_S49_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_L_Female_week5_S38_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_L_Female_week5_S38_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_L_Female_week9_S50_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_L_Female_week9_S50_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_RR_Female_week5_S40_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_RR_Female_week5_S40_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_RR_Female_week9_S52_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_RR_Female_week9_S52_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_R_Female_week5_S39_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_R_Female_week5_S39_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_R_Female_week9_S51_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2808_NS1_R_Female_week9_S51_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_0_Male_week5_S43_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_0_Male_week5_S43_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_0_Male_week9_S55_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_0_Male_week9_S55_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_L_Male_week5_S44_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_L_Male_week5_S44_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_L_Male_week9_S56_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_L_Male_week9_S56_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_R_Male_week5_S45_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_R_Male_week5_S45_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_R_Male_week9_S57_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2824_NS1_R_Male_week9_S57_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2864_NS1_R_Male_week5_S46_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2864_NS1_R_Male_week5_S46_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2864_NS1_R_Male_week9_S58_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2864_NS1_R_Male_week9_S58_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_0_Male_week5_S47_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_0_Male_week5_S47_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_0_Male_week9_S59_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_0_Male_week9_S59_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_R_Male_week5_S48_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_R_Male_week5_S48_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_R_Male_week9_S60_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2893_NS1_R_Male_week9_S60_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_0_Female_week5_S41_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_0_Female_week5_S41_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_0_Female_week9_S53_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_0_Female_week9_S53_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_R_Female_week5_S42_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_R_Female_week5_S42_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_R_Female_week9_S54_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
2999_NS1_R_Female_week9_S54_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_0_Female_week5_S64_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_0_Female_week5_S64_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_0_Female_week9_S78_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_0_Female_week9_S78_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_L_Female_week5_S65_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_L_Female_week5_S65_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_L_Female_week9_S79_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_L_Female_week9_S79_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_RR_Female_week5_S67_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_RR_Female_week5_S67_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_RR_Female_week9_S81_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_RR_Female_week9_S81_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_R_Female_week5_S66_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_R_Female_week5_S66_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_R_Female_week9_S80_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3995R_S2_R_Female_week9_S80_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_L_Male_week5_S73_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_L_Male_week5_S73_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_L_Male_week9_S87_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_L_Male_week9_S87_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_R_Male_week5_S74_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_R_Male_week5_S74_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_R_Male_week9_S88_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
3997R_S2_R_Male_week9_S88_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
NS1_mouse_inoculum_S35_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
NS1_mouse_inoculum_S35_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
Positive_Control_S89_L001_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
Positive_Control_S89_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
S2_mouse_inoculum_S36_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
S2_mouse_inoculum_S36_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
negative_ctrl_S90_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
negative_ctrl_S90_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
