STATA_FemMicro364,STATA_FemMicro (all small),"STATA_FemMicro (no plate, all small)",Short ID,Id,Danska_ASV,Danska_species,Control,Inoculum,Plate,Sex,Community Sero Status,Consortium,Timepoint,Merged Weeks,Week and Consortium,Sex and Consortium,Sex and Timepoint,poor_quality_sample_exclude,SRA_sample_name,sequencing_plate_number,samples_364_by_seq_asv_table_name
plate1_184R_0_F_NS6_week10_S65_L,plate1_184r_0_f_ns6_week10_s65_l,184r_0_f_ns6_week10_s65_l,184R_0_F_NS6_week10,Plate1_184R_0_F_NS6_week10_S65_L001,184R_0_F_NS6_week10,184R_0_F_NS6_week10,,,plate1,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,184R_0_F_NS6_week10,plate1,Plate1_184R_0_F_NS6_week10_S65_L001
plate1_184R_L_F_NS6_week10_S66_L,plate1_184r_l_f_ns6_week10_s66_l,184r_l_f_ns6_week10_s66_l,184R_L_F_NS6_week10,Plate1_184R_L_F_NS6_week10_S66_L001,184R_L_F_NS6_week10,184R_L_F_NS6_week10,,,plate1,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,184R_L_F_NS6_week10,plate1,Plate1_184R_L_F_NS6_week10_S66_L001
plate1_2403R_L_F_NS6_week10_S67_,plate1_2403r_l_f_ns6_week10_s67_,2403r_l_f_ns6_week10_s67_,2403R_L_F_NS6_week10,Plate1_2403R_L_F_NS6_week10_S67_L001,2403R_L_F_NS6_week10,2403R_L_F_NS6_week10,,,plate1,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,2403R_L_F_NS6_week10,plate1,Plate1_2403R_L_F_NS6_week10_S67_L001
plate1_2446R_0_F_S2_week9_S55_L0,plate1_2446r_0_f_s2_week9_s55_l0,2446r_0_f_s2_week9_s55_l0,2446R_0_F_S2_week9,Plate1_2446R_0_F_S2_week9_S55_L001,2446R_0_F_S2_week9,2446R_0_F_S2_week9,,,plate1,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2446R_0_F_S2_week9,plate1,Plate1_2446R_0_F_S2_week9_S55_L001
plate1_2472R_0_F_NS1_week10_S73_,plate1_2472r_0_f_ns1_week10_s73_,2472r_0_f_ns1_week10_s73_,2472R_0_F_NS1_week10,Plate1_2472R_0_F_NS1_week10_S73_L001,2472R_0_F_NS1_week10,2472R_0_F_NS1_week10,,,plate1,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,2472R_0_F_NS1_week10,plate1,Plate1_2472R_0_F_NS1_week10_S73_L001
plate1_2472R_R_F_NS1_week10_S74_,plate1_2472r_r_f_ns1_week10_s74_,2472r_r_f_ns1_week10_s74_,2472R_R_F_NS1_week10,Plate1_2472R_R_F_NS1_week10_S74_L001,2472R_R_F_NS1_week10,2472R_R_F_NS1_week10,,,plate1,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,2472R_R_F_NS1_week10,plate1,Plate1_2472R_R_F_NS1_week10_S74_L001
plate1_2506R_0_F_NS6_week10_S68_,plate1_2506r_0_f_ns6_week10_s68_,2506r_0_f_ns6_week10_s68_,2506R_0_F_NS6_week10,Plate1_2506R_0_F_NS6_week10_S68_L001,2506R_0_F_NS6_week10,2506R_0_F_NS6_week10,,,plate1,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,2506R_0_F_NS6_week10,plate1,Plate1_2506R_0_F_NS6_week10_S68_L001
plate1_2518R_L_M_S5_week10_S61_L,plate1_2518r_l_m_s5_week10_s61_l,2518r_l_m_s5_week10_s61_l,2518R_L_M_S5_week10,Plate1_2518R_L_M_S5_week10_S61_L001,2518R_L_M_S5_week10,2518R_L_M_S5_week10,,,plate1,Male,IAB+,S5,week_10,w9w10,S5_w9w10,Male_S5,Male_w9w10,,2518R_L_M_S5_week10,plate1,Plate1_2518R_L_M_S5_week10_S61_L001
plate1_2518R_R_M_S5_week10_S62_L,plate1_2518r_r_m_s5_week10_s62_l,2518r_r_m_s5_week10_s62_l,2518R_R_M_S5_week10,Plate1_2518R_R_M_S5_week10_S62_L001,2518R_R_M_S5_week10,2518R_R_M_S5_week10,,,plate1,Male,IAB+,S5,week_10,w9w10,S5_w9w10,Male_S5,Male_w9w10,,2518R_R_M_S5_week10,plate1,Plate1_2518R_R_M_S5_week10_S62_L001
plate1_3752R_0_F_S5_week10_S59_L,plate1_3752r_0_f_s5_week10_s59_l,3752r_0_f_s5_week10_s59_l,3752R_0_F_S5_week10,Plate1_3752R_0_F_S5_week10_S59_L001,3752R_0_F_S5_week10,3752R_0_F_S5_week10,,,plate1,Female,IAB+,S5,week_10,w9w10,S5_w9w10,Female_S5,Female_w9w10,,3752R_0_F_S5_week10,plate1,Plate1_3752R_0_F_S5_week10_S59_L001
plate1_3752R_L_F_S5_week10_S60_L,plate1_3752r_l_f_s5_week10_s60_l,3752r_l_f_s5_week10_s60_l,3752R_L_F_S5_week10,Plate1_3752R_L_F_S5_week10_S60_L001,3752R_L_F_S5_week10,3752R_L_F_S5_week10,,,plate1,Female,IAB+,S5,week_10,w9w10,S5_w9w10,Female_S5,Female_w9w10,,3752R_L_F_S5_week10,plate1,Plate1_3752R_L_F_S5_week10_S60_L001
plate1_3795R_R_F_S2_week10_S51_L,plate1_3795r_r_f_s2_week10_s51_l,3795r_r_f_s2_week10_s51_l,3795R_R_F_S2_week10,Plate1_3795R_R_F_S2_week10_S51_L001,3795R_R_F_S2_week10,3795R_R_F_S2_week10,,,plate1,Female,IAB+,S2,week_10,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3795R_R_F_S2_week10,plate1,Plate1_3795R_R_F_S2_week10_S51_L001
plate1_3874R_0_F_NS1_week10_S75_,plate1_3874r_0_f_ns1_week10_s75_,3874r_0_f_ns1_week10_s75_,3874R_0_F_NS1_week10,Plate1_3874R_0_F_NS1_week10_S75_L001,3874R_0_F_NS1_week10,3874R_0_F_NS1_week10,,,plate1,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,3874R_0_F_NS1_week10,plate1,Plate1_3874R_0_F_NS1_week10_S75_L001
plate1_3874R_L_F_NS1_week10_S76_,plate1_3874r_l_f_ns1_week10_s76_,3874r_l_f_ns1_week10_s76_,3874R_L_F_NS1_week10,Plate1_3874R_L_F_NS1_week10_S76_L001,3874R_L_F_NS1_week10,3874R_L_F_NS1_week10,,,plate1,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,3874R_L_F_NS1_week10,plate1,Plate1_3874R_L_F_NS1_week10_S76_L001
plate1_3893R_R_M_S5_week10_S63_L,plate1_3893r_r_m_s5_week10_s63_l,3893r_r_m_s5_week10_s63_l,3893R_R_M_S5_week10,Plate1_3893R_R_M_S5_week10_S63_L001,3893R_R_M_S5_week10,3893R_R_M_S5_week10,,,plate1,Male,IAB+,S5,week_10,w9w10,S5_w9w10,Male_S5,Male_w9w10,,3893R_R_M_S5_week10,plate1,Plate1_3893R_R_M_S5_week10_S63_L001
plate1_3893R_RL_M_S5_week10_S64_,plate1_3893r_rl_m_s5_week10_s64_,3893r_rl_m_s5_week10_s64_,3893R_RL_M_S5_week10,Plate1_3893R_RL_M_S5_week10_S64_L001,3893R_RL_M_S5_week10,3893R_RL_M_S5_week10,,,plate1,Male,IAB+,S5,week_10,w9w10,S5_w9w10,Male_S5,Male_w9w10,,3893R_RL_M_S5_week10,plate1,Plate1_3893R_RL_M_S5_week10_S64_L001
plate1_3894R_0_M_NS6_week10_S71_,plate1_3894r_0_m_ns6_week10_s71_,3894r_0_m_ns6_week10_s71_,3894R_0_M_NS6_week10,Plate1_3894R_0_M_NS6_week10_S71_L001,3894R_0_M_NS6_week10,3894R_0_M_NS6_week10,,,plate1,Male,IAB-,NS6,week_10,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,3894R_0_M_NS6_week10,plate1,Plate1_3894R_0_M_NS6_week10_S71_L001
plate1_3896R_0_M_S2_week10_S52_L,plate1_3896r_0_m_s2_week10_s52_l,3896r_0_m_s2_week10_s52_l,3896R_0_M_S2_week10,Plate1_3896R_0_M_S2_week10_S52_L001,3896R_0_M_S2_week10,3896R_0_M_S2_week10,,,plate1,Male,IAB+,S2,week_10,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3896R_0_M_S2_week10,plate1,Plate1_3896R_0_M_S2_week10_S52_L001
plate1_3896R_L_M_S2_week10_S53_L,plate1_3896r_l_m_s2_week10_s53_l,3896r_l_m_s2_week10_s53_l,3896R_L_M_S2_week10,Plate1_3896R_L_M_S2_week10_S53_L001,3896R_L_M_S2_week10,3896R_L_M_S2_week10,,,plate1,Male,IAB+,S2,week_10,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3896R_L_M_S2_week10,plate1,Plate1_3896R_L_M_S2_week10_S53_L001
plate1_3909R_R_M_S2_week10_S54_L,plate1_3909r_r_m_s2_week10_s54_l,3909r_r_m_s2_week10_s54_l,3909R_R_M_S2_week10,Plate1_3909R_R_M_S2_week10_S54_L001,3909R_R_M_S2_week10,3909R_R_M_S2_week10,,,plate1,Male,IAB+,S2,week_10,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3909R_R_M_S2_week10,plate1,Plate1_3909R_R_M_S2_week10_S54_L001
plate1_3974R_0_M_NS1_week10_S79_,plate1_3974r_0_m_ns1_week10_s79_,3974r_0_m_ns1_week10_s79_,3974R_0_M_NS1_week10,Plate1_3974R_0_M_NS1_week10_S79_L001,3974R_0_M_NS1_week10,3974R_0_M_NS1_week10,,,plate1,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,3974R_0_M_NS1_week10,plate1,Plate1_3974R_0_M_NS1_week10_S79_L001
plate1_3974R_L_M_NS1_week10_S80_,plate1_3974r_l_m_ns1_week10_s80_,3974r_l_m_ns1_week10_s80_,3974R_L_M_NS1_week10,Plate1_3974R_L_M_NS1_week10_S80_L001,3974R_L_M_NS1_week10,3974R_L_M_NS1_week10,,,plate1,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,3974R_L_M_NS1_week10,plate1,Plate1_3974R_L_M_NS1_week10_S80_L001
plate1_negative_control_S90_L001,plate1_negative_control_s90_l001,negative_control_s90_l001,negative_cntrl_p1,Plate1_Negative_Control_S90_L001,,,NEGATIVE,,plate1,,,,,,,,,,Plate1_negative_control,plate1,Plate1_negative_control_S90_L001
plate1_Positive_control_S89_L001,plate1_positive_control_s89_l001,positive_control_s89_l001,positive_cntrl_p1,Plate1_Positive_Control_S89_L001,,,POSITIVE,,plate1,,,,,,,,,,Plate1_Positive_control,plate1,Plate1_Positive_control_S89_L001
plate1_T1D_NS1_defined_mouse_ino,plate1_t1d_ns1_defined_mouse_ino,t1d_ns1_defined_mouse_ino,NS1_inoculum_p1,Plate1_NS1_Inoculum_S81_L001,Plate1_T1D_NS1_defined_mouse_inocula,Plate1_T1D_NS1_defined_mouse_inocula,,1,plate1,,,NS1,,,,,,,NS1_inocula,plate1,Plate1_T1D_NS1_defined_mouse_inocula_S81_L001
plate1_T1D_NS6_defined_mouse_ino,plate1_t1d_ns6_defined_mouse_ino,t1d_ns6_defined_mouse_ino,NS6_inoculum_p1,Plate1_NS6_Inoculum_S82_L001,Plate1_T1D_NS6_defined_mouse_inocula,Plate1_T1D_NS6_defined_mouse_inocula,,1,plate1,,,NS6,,,,,,,NS6_inocula,plate1,Plate1_T1D_NS6_defined_mouse_inocula_S82_L001
plate1_T1D_S2_defined_mouse_inoc,plate1_t1d_s2_defined_mouse_inoc,t1d_s2_defined_mouse_inoc,S2_inoculum_p1,Plate1_S2_Inoculum_S83_L001,Plate1_T1D_S2_defined_mouse_inocula,Plate1_T1D_S2_defined_mouse_inocula,,1,plate1,,,S2,,,,,,,S2_inocula,plate1,Plate1_T1D_S2_defined_mouse_inocula_S83_L001
plate1_T1D_S5_defined_mouse_inoc,plate1_t1d_s5_defined_mouse_inoc,t1d_s5_defined_mouse_inoc,S5_inoculum_p1,Plate1_S5_Inoculum_S84_L001,Plate1_T1D_S5_defined_mouse_inocula,Plate1_T1D_S5_defined_mouse_inocula,,1,plate1,,,S5,,,,,,,S5_inocula,plate1,Plate1_T1D_S5_defined_mouse_inocula_S84_L001
plate2_016R_0_F_NS6_week9_S79_L0,plate2_016r_0_f_ns6_week9_s79_l0,016r_0_f_ns6_week9_s79_l0,016R_0_F_NS6_week9,Plate2_016R_0_F_NS6_week9_S79_L001,016R_0_F_NS6_week9,016R_0_F_NS6_week9,,,plate2,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,016R_0_F_NS6_week9,plate2,Plate2_016R_0_F_NS6_week9_S79_L001
plate2_036R_R_M_NS1_week5_S18_L0,plate2_036r_r_m_ns1_week5_s18_l0,036r_r_m_ns1_week5_s18_l0,036R_R_M_NS1_week5,Plate2_036R_R_M_NS1_week5_S18_L001,036R_R_M_NS1_week5,036R_R_M_NS1_week5,,,plate2,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,036R_R_M_NS1_week5,plate2,Plate2_036R_R_M_NS1_week5_S18_L001
plate2_036R_R_M_NS1_week6_S19_L0,plate2_036r_r_m_ns1_week6_s19_l0,036r_r_m_ns1_week6_s19_l0,036R_R_M_NS1_week6,Plate2_036R_R_M_NS1_week6_S19_L001,036R_R_M_NS1_week6,036R_R_M_NS1_week6,,,plate2,Male,IAB-,NS1,week_6,w6,NS1_w6,Male_NS1,Male_w6,,036R_R_M_NS1_week6,plate2,Plate2_036R_R_M_NS1_week6_S19_L001
plate2_036R_R_M_NS1_week7_S20_L0,plate2_036r_r_m_ns1_week7_s20_l0,036r_r_m_ns1_week7_s20_l0,036R_R_M_NS1_week7,Plate2_036R_R_M_NS1_week7_S20_L001,036R_R_M_NS1_week7,036R_R_M_NS1_week7,,,plate2,Male,IAB-,NS1,week_7,w7,NS1_w7,Male_NS1,Male_w7,,036R_R_M_NS1_week7,plate2,Plate2_036R_R_M_NS1_week7_S20_L001
plate2_036R_R_M_NS1_week9_S21_L0,plate2_036r_r_m_ns1_week9_s21_l0,036r_r_m_ns1_week9_s21_l0,036R_R_M_NS1_week9,Plate2_036R_R_M_NS1_week9_S21_L001,036R_R_M_NS1_week9,036R_R_M_NS1_week9,,,plate2,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,036R_R_M_NS1_week9,plate2,Plate2_036R_R_M_NS1_week9_S21_L001
plate2_073R_0_M_S2_week5_S52_L00,plate2_073r_0_m_s2_week5_s52_l00,073r_0_m_s2_week5_s52_l00,073R_0_M_S2_week5,Plate2_073R_0_M_S2_week5_S52_L001,073R_0_M_S2_week5,073R_0_M_S2_week5,,,plate2,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,073R_0_M_S2_week5,plate2,Plate2_073R_0_M_S2_week5_S52_L001
plate2_073R_0_M_S2_week6_S53_L00,plate2_073r_0_m_s2_week6_s53_l00,073r_0_m_s2_week6_s53_l00,073R_0_M_S2_week6,Plate2_073R_0_M_S2_week6_S53_L001,073R_0_M_S2_week6,073R_0_M_S2_week6,,,plate2,Male,IAB+,S2,week_6,w6,S2_w6,Male_S2,Male_w6,,073R_0_M_S2_week6,plate2,Plate2_073R_0_M_S2_week6_S53_L001
plate2_073R_0_M_S2_week7_S54_L00,plate2_073r_0_m_s2_week7_s54_l00,073r_0_m_s2_week7_s54_l00,073R_0_M_S2_week7,Plate2_073R_0_M_S2_week7_S54_L001,073R_0_M_S2_week7,073R_0_M_S2_week7,,,plate2,Male,IAB+,S2,week_7,w7,S2_w7,Male_S2,Male_w7,,073R_0_M_S2_week7,plate2,Plate2_073R_0_M_S2_week7_S54_L001
plate2_073R_0_M_S2_week9_S55_L00,plate2_073r_0_m_s2_week9_s55_l00,073r_0_m_s2_week9_s55_l00,073R_0_M_S2_week9,Plate2_073R_0_M_S2_week9_S55_L001,073R_0_M_S2_week9,073R_0_M_S2_week9,,,plate2,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,073R_0_M_S2_week9,plate2,Plate2_073R_0_M_S2_week9_S55_L001
plate2_096R_0_M_S5_week9_S74_L00,plate2_096r_0_m_s5_week9_s74_l00,096r_0_m_s5_week9_s74_l00,096R_0_M_S5_week9,Plate2_096R_0_M_S5_week9_S74_L001,096R_0_M_S5_week9,096R_0_M_S5_week9,,,plate2,Male,IAB+,S5,week_9,w9w10,S5_w9w10,Male_S5,Male_w9w10,,096R_0_M_S5_week9,plate2,Plate2_096R_0_M_S5_week9_S74_L001
plate2_1030R_L_M_NS1_week5_S22_L,plate2_1030r_l_m_ns1_week5_s22_l,1030r_l_m_ns1_week5_s22_l,1030R_L_M_NS1_week5,Plate2_1030R_L_M_NS1_week5_S22_L001,1030R_L_M_NS1_week5,1030R_L_M_NS1_week5,,,plate2,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1030R_L_M_NS1_week5,plate2,Plate2_1030R_L_M_NS1_week5_S22_L001
plate2_1030R_L_M_NS1_week6_S23_L,plate2_1030r_l_m_ns1_week6_s23_l,1030r_l_m_ns1_week6_s23_l,1030R_L_M_NS1_week6,Plate2_1030R_L_M_NS1_week6_S23_L001,1030R_L_M_NS1_week6,1030R_L_M_NS1_week6,,,plate2,Male,IAB-,NS1,week_6,w6,NS1_w6,Male_NS1,Male_w6,,1030R_L_M_NS1_week6,plate2,Plate2_1030R_L_M_NS1_week6_S23_L001
plate2_1030R_L_M_NS1_week7_S24_L,plate2_1030r_l_m_ns1_week7_s24_l,1030r_l_m_ns1_week7_s24_l,1030R_L_M_NS1_week7,Plate2_1030R_L_M_NS1_week7_S24_L001,1030R_L_M_NS1_week7,1030R_L_M_NS1_week7,,,plate2,Male,IAB-,NS1,week_7,w7,NS1_w7,Male_NS1,Male_w7,,1030R_L_M_NS1_week7,plate2,Plate2_1030R_L_M_NS1_week7_S24_L001
plate2_1030R_L_M_NS1_week9_S25_L,plate2_1030r_l_m_ns1_week9_s25_l,1030r_l_m_ns1_week9_s25_l,1030R_L_M_NS1_week9,Plate2_1030R_L_M_NS1_week9_S25_L001,1030R_L_M_NS1_week9,1030R_L_M_NS1_week9,,,plate2,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1030R_L_M_NS1_week9,plate2,Plate2_1030R_L_M_NS1_week9_S25_L001
plate2_1060R_L_M_S5_week9_S75_L0,plate2_1060r_l_m_s5_week9_s75_l0,1060r_l_m_s5_week9_s75_l0,1060R_L_M_S5_week9,Plate2_1060R_L_M_S5_week9_S75_L001,1060R_L_M_S5_week9,1060R_L_M_S5_week9,,,plate2,Male,IAB+,S5,week_9,w9w10,S5_w9w10,Male_S5,Male_w9w10,,1060R_L_M_S5_week9,plate2,Plate2_1060R_L_M_S5_week9_S75_L001
plate2_1067R_R_M_S2_week5_S56_L0,plate2_1067r_r_m_s2_week5_s56_l0,1067r_r_m_s2_week5_s56_l0,1067R_R_M_S2_week5,Plate2_1067R_R_M_S2_week5_S56_L001,1067R_R_M_S2_week5,1067R_R_M_S2_week5,,,plate2,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1067R_R_M_S2_week5,plate2,Plate2_1067R_R_M_S2_week5_S56_L001
plate2_1067R_R_M_S2_week6_S57_L0,plate2_1067r_r_m_s2_week6_s57_l0,1067r_r_m_s2_week6_s57_l0,1067R_R_M_S2_week6,Plate2_1067R_R_M_S2_week6_S57_L001,1067R_R_M_S2_week6,1067R_R_M_S2_week6,,,plate2,Male,IAB+,S2,week_6,w6,S2_w6,Male_S2,Male_w6,,1067R_R_M_S2_week6,plate2,Plate2_1067R_R_M_S2_week6_S57_L001
plate2_1067R_R_M_S2_week7_S58_L0,plate2_1067r_r_m_s2_week7_s58_l0,1067r_r_m_s2_week7_s58_l0,1067R_R_M_S2_week7,Plate2_1067R_R_M_S2_week7_S58_L001,1067R_R_M_S2_week7,1067R_R_M_S2_week7,,,plate2,Male,IAB+,S2,week_7,w7,S2_w7,Male_S2,Male_w7,,1067R_R_M_S2_week7,plate2,Plate2_1067R_R_M_S2_week7_S58_L001
plate2_1067R_R_M_S2_week9_S59_L0,plate2_1067r_r_m_s2_week9_s59_l0,1067r_r_m_s2_week9_s59_l0,1067R_R_M_S2_week9,Plate2_1067R_R_M_S2_week9_S59_L001,1067R_R_M_S2_week9,1067R_R_M_S2_week9,,,plate2,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1067R_R_M_S2_week9,plate2,Plate2_1067R_R_M_S2_week9_S59_L001
plate2_1075R_L_M_NS6_week9_S84_L,plate2_1075r_l_m_ns6_week9_s84_l,1075r_l_m_ns6_week9_s84_l,1075R_L_M_NS6_week9,Plate2_1075R_L_M_NS6_week9_S84_L001,1075R_L_M_NS6_week9,1075R_L_M_NS6_week9,,,plate2,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1075R_L_M_NS6_week9,plate2,Plate2_1075R_L_M_NS6_week9_S84_L001
plate2_1076R_0_M_S5_week9_S76_L0,plate2_1076r_0_m_s5_week9_s76_l0,1076r_0_m_s5_week9_s76_l0,1076R_0_M_S5_week9,Plate2_1076R_0_M_S5_week9_S76_L001,1076R_0_M_S5_week9,1076R_0_M_S5_week9,,,plate2,Male,IAB+,S5,week_9,w9w10,S5_w9w10,Male_S5,Male_w9w10,,1076R_0_M_S5_week9,plate2,Plate2_1076R_0_M_S5_week9_S76_L001
plate2_1121R_0_M_NS1_week5_S26_L,plate2_1121r_0_m_ns1_week5_s26_l,1121r_0_m_ns1_week5_s26_l,1121R_0_M_NS1_week5,Plate2_1121R_0_M_NS1_week5_S26_L001,1121R_0_M_NS1_week5,1121R_0_M_NS1_week5,,,plate2,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1121R_0_M_NS1_week5,plate2,Plate2_1121R_0_M_NS1_week5_S26_L001
plate2_1121R_0_M_NS1_week6_S27_L,plate2_1121r_0_m_ns1_week6_s27_l,1121r_0_m_ns1_week6_s27_l,1121R_0_M_NS1_week6,Plate2_1121R_0_M_NS1_week6_S27_L001,1121R_0_M_NS1_week6,1121R_0_M_NS1_week6,,,plate2,Male,IAB-,NS1,week_6,w6,NS1_w6,Male_NS1,Male_w6,,1121R_0_M_NS1_week6,plate2,Plate2_1121R_0_M_NS1_week6_S27_L001
