pathway	1136R_R_F_S5_week10	1136R_RL_F_S5_week10	2518R_L_M_S5_week10	2518R_R_M_S5_week10	3752R_0_F_S5_week10	3752R_L_F_S5_week10	3893R_R_M_S5_week10	3893R_RL_M_S5_week10	S5_inocula	096R_0_M_S5_week9	1060R_L_M_S5_week9	1076R_0_M_S5_week9	1136R_0_F_S5_week9	2402R_0_F_S5_week9	2433R_0_F_S5_week9	2475R_0_M_S5_week9	2518R_0_M_S5_week9	3924R_L_F_S5_week9	3929R_0_F_S5_week9	096R_0_M_S5_week5	2402R_R_F_S5_Pellet_week9	2475R_RL_M_S5_Pellet_week9	S5_defined_inocula	1060R_L_M_S5_week5	1076R_0_M_S5_week5	1136R_0_F_S5_week5	2402R_0_F_S5_week5	2402R_R_F_S5_week5	2475R_RL_M_S5_week5	2518R_0_M_S5_week5	3924R_L_F_S5_week5	3929R_0_F_S5_week5	S5_defined_inocula.1
DTDPRHAMSYN-PWY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FASYN-ELONG-PWY	0.00012206612370091359	0.0033449840186754415	0.8009244655404278	0.8009837356181618	0.004220683964303036	0.00011691009127360798	0.8009518124367392	0.8945901481520878	1.0	0.002073581140534485	0.8008959331305261	9.438499533186045e-09	1.0	3.0803999999928834e-12	0.8008766324531861	4e-16	0.8762699269348273	2.5845343309270083e-06	1.941239999971737e-11	0.0	0.0	0.0	2.0198347969402005e-09	4.927371857907542e-08	1.2399999999999884e-14	0.33787621523245326	0.014954674103320974	0.0	0.0	0.0	0.0	1.0	0.9999999990569193
FASYN-INITIAL-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19441876794821494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2623967280105843e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11979671880689557
GALACTARDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033973336019080293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALACTUROCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7157499999982338e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUCARGALACTSUPER-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033973336019080293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUCONEO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5254399999436994e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUCOSE1PMETAB-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999998179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.4042264825e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.1988769464624608	1.0
GLUTORN-PWY	1.0	1.0	0.999995508004837	0.9999984507787633	1.0	1.0	1.0	0.9277822499127214	0.6082679569008554	1.0	0.9995531120983537	0.9999999999999545	0.6084939829144771	0.9999999999998497	0.9999999999973046	1.0	0.9294923136898473	0.9999999999999986	1.0	0.9999999999787077	1.0	1.0	0.6263255186433861	0.9999873926539781	0.9999942528601056	0.9991680470247268	0.999999866368025	0.9999957228879761	0.9999999999998023	0.9999999986014242	0.9999999999989996	0.6832039194339719	0.6267092104291966
GLYCOCAT-PWY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999853	1.0	1.0	1.0	1.0	0.9999999999988187	1.0	1.0	1.0	0.9999999999999964	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999756217	1.0	1.0	1.0	0.9999999998351443	1.0	1.0	1.0	0.9999999484597681	1.0
GLYCOGENSYNTH-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3467087607952279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02094769628599646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06036379005223631
GLYCOLYSIS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009045321720127163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.443072086577784e-08
HISTSYN-PWY	1.0	1.0	0.9999933074590528	0.9999977323014828	1.0	1.0	1.0	0.9087901925470778	0.6198301987790573	1.0	0.9993304068360781	0.9999999999996445	0.5727382126829802	0.9999999999996962	0.9999999999958593	1.0	0.9068507336454114	0.999999999999998	1.0	0.9999999999462258	1.0	1.0	0.6376722736981311	0.9999824372744307	0.9999915736199196	0.9988352709082476	0.9999997895260357	0.9999922746664925	0.9999999999995024	0.9999999977142114	0.9999999999980478	0.6191166242630041	0.6380510473552617
ILEUSYN-PWY	1.0	1.0	0.9999977155603885	0.9999992594965806	1.0	1.0	1.0	0.9449279190479549	0.8746435263185953	1.0	0.9998457663908308	0.9999999999999911	0.6887716400269538	0.9999999999999432	0.9999999999984908	1.0	0.9502230674672625	0.9999999999999993	1.0	0.9999999999910303	1.0	1.0	0.9826231378441787	0.999995241323895	0.9999972316598856	0.9994827625312849	0.9999999684480639	0.9999990264792854	0.9999999999999387	0.999999999195591	0.9999999999997142	0.8468835471587147	0.9570731119206402
NAGLIPASYN-PWY	2.0396666666634965e-12	1.3883041884437892e-06	0.0	0.0	1.8097123578657266e-05	6.969999999987913e-13	4.11666666666602e-14	0.0	0.0	1.3492112958876011e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.999999999999886e-16	0.0	0.0	0.0	0.0	1.0566666666660373e-13	0.0	0.0	0.002266868344135743	0.0	0.0	0.0	0.0	0.0	0.0
NONOXIPENT-PWY	0.0	0.0	0.0	0.0	0.0	0.0008438451104034858	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999989	0.0	0.0	4.4266666666665686e-14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.6781679996413704e-10	0.0	0.0	0.0	0.0	0.0	0.0	1.2471608747832194e-06	1.0
P108-PWY	1.0	1.0	0.9999999999993437	0.9999999999880149	1.0	1.0	1.0	0.9999880983912515	0.0	1.0	1.0	0.9881190301809432	0.9999999999958313	0.9999999999968386	1.0	1.0	0.9999998376721972	1.0	1.0	0.7514869865757725	0.9999999720474222	0.8253257966674085	0.0	0.9999926185276962	0.9768221201728444	0.9997433491697618	1.0	0.9999999286966931	0.9999999997253054	0.9999999982952201	1.0	0.9994796965264419	0.0
P161-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.199999999999987e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4848373003114946e-07
P42-PWY	0.9999999999983282	1.0	0.0011891855261525412	0.0025081731879105203	1.0	0.9999999999997053	0.9474772266681027	0.05528281347042808	0.0	1.0	0.9999999999998929	1.0	1.0	1.0	0.9999999999999994	0.9815912101603986	0.9855829784757529	0.9999999999994874	1.0	0.779148196018132	0.9999999760406475	0.8464475907498399	2.4483032412478713e-08	1.0	1.0	0.999999999631837	1.0	1.0	0.9999962201402455	0.9999670233267081	0.7788925036796175	1.0	0.9733254162482319
PANTO-PWY	2.087266621056753e-06	0.04760579301246417	1.0277999999960322e-12	3.9999999999999984e-16	0.07031072044576624	4.1105106880335794e-06	3.1734629023585157e-06	0.0	0.0	0.13751758001566158	1.1999999999999927e-14	0.00048750798835080553	0.0	9.242380090918538e-07	1.2680597991960123e-09	1.7147219998529866e-10	0.0	3.5395707937357193e-09	1.2397934684731357e-05	0.0	7.357999999997292e-13	0.0	0.0	1.9995875800824557e-07	5.9999999999999815e-15	1.0459999999994519e-12	0.016743803650039416	2e-16	4.928248111955349e-06	2.4279325512571173e-07	3.8158399999271966e-11	0.0	0.0
PANTOSYN-PWY	9.305729874672377e-09	0.0028323000544920526	1.3492123687276926e-15	0.0	0.0044516932441489784	5.60928839890152e-09	4.824933264334107e-08	0.0	0.0	0.02022337947785567	0.0	2.215237074459666e-09	0.0	1.4413133400667134e-09	6.749984030759257e-15	0.0	0.0	2.4306079566424864e-12	7.244625296416987e-07	0.0	0.0	0.0	0.0	5.669992854332971e-13	0.0	0.0	0.007299287378484001	0.0	2.484083849363923e-10	1.7221445709654962e-12	9.215098664747053e-14	0.0	0.0
PEPTIDOGLYCANSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9962398086758251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9989192318559769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9834312406802456
PHOSLIPSYN-PWY	7.564154995422685e-10	0.0006342559098140478	0.0	0.0	0.0005827560093075903	7.371084995653368e-10	4.6135299982972274e-10	0.0	0.0	0.003597223212235917	4.999999999999998e-16	4.908499999980725e-12	0.0	2.3299999999995655e-13	0.0	0.0	0.0	0.0	1.6051999999793867e-11	0.5731856200768753	0.6961253114368036	0.9877673377548937	0.0	1.7612699997518333e-10	0.0	0.0	0.0423495686034039	0.0	0.0	0.0	0.0	0.0	0.0
POLYISOPRENSYN-PWY	4.895199999982028e-12	3.3319254964835575e-06	0.0	0.0	4.3432011471198943e-05	1.672799999997901e-12	9.87999999999927e-14	0.0	0.0	3.238045997866093e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1999999999999988e-15	0.0	0.0	0.0	0.0	2.5359999999995173e-13	0.0	0.0	0.005423281179650438	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1269	8.569199999963284e-12	4.299572132619868e-06	0.0	0.0	5.155224140615037e-05	3.891999999992426e-12	1.643999999999865e-13	0.0	0.0	3.544942004977189e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7999999999999985e-15	0.0	0.0	0.0	0.0	3.0279999999995414e-13	0.0	0.0	0.003618841273713614	0.0	0.0	0.0	0.0	0.0	0.0
PWY-2942	1.0	1.0	0.9999984462642442	0.9999991345591469	1.0	1.0	1.0	0.9627040049080408	0.955230147058063	1.0	0.9998429496516997	0.9999999999999746	0.7209242693729695	0.9999999999999633	0.9999999999993223	1.0	0.9607998029252873	0.9999999999999994	1.0	0.9999999999977923	1.0	1.0	0.997318522892985	0.9999978234350988	0.9999983903583165	0.9997295632562009	0.9999999649389473	0.9999992739429209	0.9999999999999849	0.9999999997953312	0.9999999999998886	0.8602395753935117	0.9881875601488211
PWY-3001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8035184838555771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.831657120251194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8279564505337539
PWY-5097	1.0	1.0	0.9999986682261993	0.9999992581934628	1.0	1.0	1.0	0.9678607663927671	0.9999999721449075	1.0	0.9998653823954938	0.9999999999999781	0.9131800303151597	0.9999999999999686	0.9999999999994191	1.0	0.9662106095409564	0.9999999999999994	1.0	0.9999999999981076	1.0	1.0	0.9977007102664467	0.9999981343723617	0.9999986203068112	0.9999012851107901	0.9999999699476689	0.9999993776652961	0.999999999999987	0.9999999998245696	0.9999999999999046	0.9950421094390334	0.9898579369118187
PWY-5100	0.0	0.0	0.0	0.0	0.0	0.8362441259468323	0.0	0.0	0.9999999999999991	0.0	0.0	0.0	1.0	0.0	0.0	1.1599999999999934e-14	0.0	0.0	0.0	0.7060349800737982	0.00046033951874780343	0.007713708780748057	1.0	0.0	0.0028415382156006617	1.7458962595922992e-07	0.0	0.0	0.0	0.0	4.39999999999999e-15	0.0012686406085333063	1.0
PWY-5101	1.0	1.0	0.999997005332074	0.9999989671853088	1.0	1.0	1.0	0.950667266946214	0.6996228535011405	1.0	0.9997020303458913	0.9999999999999695	0.7153189036507765	0.9999999999998999	0.999999999998203	1.0	0.9518635457886936	0.9999999999999993	1.0	0.9999999999858051	1.0	1.0	0.7154393248635583	0.9999915950673308	0.9999961685660638	0.9994452108304441	0.9999999109120127	0.9999971485879188	0.9999999999998682	0.9999999990676158	0.9999999999993328	0.7638673094168807	0.7157730379223753
PWY-5103	1.0	1.0	0.9999960915604499	0.9999986709844214	1.0	1.0	1.0	0.9300548044406197	0.672643913857847	1.0	0.9996403679549128	0.9999999999999659	0.6334237930950295	0.9999999999998771	0.9999999999975995	1.0	0.9332497422596198	0.9999999999999989	1.0	0.9999999999822172	1.0	1.0	0.7118368774302463	0.999989691623451	0.9999950612366642	0.9992384811647478	0.9999998982912403	0.9999967591816262	0.9999999999998437	0.9999999987458527	0.9999999999992187	0.7238782135236286	0.7066978962046525
PWY-5104	1.0	1.0	0.999997005332074	0.9999989671853088	1.0	1.0	1.0	0.950667266946214	0.6996228535011404	1.0	0.9997020303458913	0.9999999999999695	0.7153189036507765	0.9999999999998999	0.999999999998203	1.0	0.9518635457886936	0.9999999999999993	1.0	0.9999999999858051	1.0	1.0	0.7154393248635583	0.9999915950673308	0.9999961685660638	0.9994452108304441	0.9999999109120127	0.9999971485879188	0.9999999999998682	0.9999999990676158	0.9999999999993328	0.7638673094168807	0.7157730379223753
PWY-5484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004543350457431299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2215360583023908e-08
PWY-5659	1.0	1.0	0.9999824326989383	0.9999976282188433	1.0	1.0	1.0	0.9994309865572596	1.0	1.0	0.9999999667886061	1.0	1.0	1.0	0.9999999999999822	1.0	0.9945389450679315	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999993915756	1.0	0.999999999999964	0.999999997914955	0.9999999213174116	1.0	1.0
PWY-5667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999993903	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999026594	1.0	0.9999999990268846	1.0	0.999999999313121	1.0	1.0	1.0	0.9969996002791071	1.0
PWY-5686	1.0	1.0	0.9999975044421495	0.9999991393209425	1.0	1.0	1.0	0.9585485704033467	0.7364938398385912	1.0	0.99975167962292	0.9999999999999747	0.7509490711293664	0.9999999999999165	0.9999999999985025	1.0	0.9595618634054826	0.9999999999999992	1.0	0.9999999999881709	1.0	1.0	0.7510596657911026	0.9999929958796308	0.9999968071363476	0.9995376329393305	0.9999999257600094	0.9999976238221364	0.9999999999998902	0.9999999992230134	0.9999999999994441	0.7951612364520165	0.7513661230144486
PWY-5695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PWY-5913	0.050547780971142396	0.08723756565256212	0.0	0.0	0.19537817185364093	5.349748063009401e-07	1.0418027071273287e-05	0.0	0.0	0.004590978502716561	0.22760731442664517	0.9907577558945957	0.0	0.9497991181861418	1.3999999999999904e-14	2.8822959995846186e-10	0.0	2.4761624749059036e-06	0.007957644741793302	0.1401893244470928	0.6683524901311835	0.6682061037745639	0.0	0.9474620515214133	7.977412168180448e-09	0.0	0.7797408711263168	0.9680778737283283	0.9999933852641816	0.6681875529082978	0.00018925060062338153	0.0	9.869319999512983e-11
PWY-5973	1.0	1.0	0.9999924248064497	0.9999973674203263	1.0	1.0	1.0	0.9359640497847153	0.19441876794821494	1.0	0.9993192883857022	0.9999999999996849	0.6600699817785807	0.9999999999997818	0.9999999999959407	1.0	0.93658307843229	0.9999999999999979	1.0	0.9999999999721844	1.0	1.0	0.036501186169302355	0.9999819872472706	0.9999934596303894	0.9992613908107323	0.9999997013706163	0.9999902722759307	0.9999999999996525	0.9999999986537876	0.9999999999980929	0.6051662980144079	0.11979671881772308
PWY-5989	9.155238663692328e-05	0.002510837691994884	0.7510836711228795	0.7511531696819366	1.9667069997421375e-10	8.768513127438113e-05	0.7511157370656836	0.8642242320636849	1.0	0.0	0.7510502156757783	9.299999999999942e-15	1.0	0.0	0.7510275851606087	3e-16	0.8415611206204355	1.9384020006618855e-06	0.0	0.0	0.0	0.0	1.5148760984701003e-09	0.0	9.299999999999942e-15	0.2767871064089932	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999987425591
PWY-6121	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994510000586819	1.0	0.9999999999953655	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999992938330902	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999604431503265
PWY-6122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9931469066032055	1.0	0.9999999999942069	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999991172915186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999505544268859
PWY-6123	1.0	1.0	0.9999975044421495	0.9999991393209425	1.0	1.0	1.0	0.9585485704033467	0.736493799569635	1.0	0.99975167962292	0.9999999999999746	0.7509490711293664	0.9999999999999165	0.9999999999985025	1.0	0.9595618634054826	0.9999999999999994	1.0	0.9999999999881709	1.0	1.0	0.7037051059901764	0.9999929958796308	0.9999968071363476	0.9995376329393305	0.9999999257600094	0.9999976238221364	0.9999999999998902	0.9999999992230132	0.999999999999444	0.7951612364520165	0.7513644894883582
PWY-6125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0639999999999353e-13	0.0	0.0	3.266666666666661e-15	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5959999999998182e-13	0.0	0.0	4.899999999999983e-15	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6163	1.0	1.0	0.9999970051012116	0.9999989671844178	1.0	1.0	1.0	0.9506398167712493	0.6993196890892108	1.0	0.9997020084710765	0.9999999999999695	0.7126497587143268	0.9999999999998999	0.999999999998203	1.0	0.9515570737036682	0.9999999999999993	1.0	0.9999999999858051	1.0	1.0	0.7154392671069141	0.9999915950673215	0.9999961685646257	0.9994451197351403	0.9999999093834673	0.9999971485879188	0.9999999999998682	0.9999999990676158	0.9999999999993328	0.763851519966911	0.7157403632403918
PWY-621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9996498010469042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9958587797547239	1.2998623747783542e-06	0.8075288455145024	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PWY-6277	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9931469066032055	1.0	0.9999999999942069	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999991172915186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999505544268859
PWY-6282	9.155238663692326e-05	0.002510837691994884	0.7510836711228795	0.7511531696819365	1.9667069997421375e-10	8.768513127438113e-05	0.7511157370656836	0.8642242320636849	1.0	0.0	0.7510502156757783	9.299999999999942e-15	1.0	0.0	0.7510275851606086	3e-16	0.8415611206204355	1.9384020006618855e-06	0.0	0.0	0.0	0.0	1.5148760984701003e-09	0.0	9.299999999999942e-15	0.2767871064089932	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999987425591
PWY-6385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9962451938217811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9989192322251083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9834338851619785
PWY-6386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05542676840968092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.476526397997809e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05242761740724899
PWY-6387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9958854577365414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9986506282818647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9794953811501844
PWY-6467	1.2238e-12	8.329834557000001e-07	0.0	0.0	1.0858356568e-05	4.181999999999999e-13	2.47e-14	0.0	0.0	8.0953115921e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-16	0.0	0.0	0.0	0.0	6.34e-14	0.0	0.0	0.0013613575640991997	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6519	0.00011189508494244412	0.0030670902977883163	0.7866871773330807	0.7867495576215834	2.40375299957978e-10	0.00010716862775864506	0.7867159591819877	0.8860727514412794	0.0	0.0	0.786657147914015	1.1366666666666572e-14	1.0	0.0	0.7866368346752852	3.666666666666667e-16	0.866523111639398	2.369156980280387e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.1366666666666572e-14	0.31869309880001995	0.0	0.0	0.0	0.0	0.0	1.0	0.0
