pathway	096R_0_M_S5_week5	096R_0_M_S5_week9	1060R_L_M_S5_week5	1060R_L_M_S5_week9	1076R_0_M_S5_week5	1076R_0_M_S5_week9	1136R_0_F_S5_week5	1136R_0_F_S5_week9	1136R_RL_F_S5_week10	1136R_R_F_S5_week10	2402R_0_F_S5_week5	2402R_0_F_S5_week9	2402R_R_F_S5_Pellet_week9	2402R_R_F_S5_week5	2433R_0_F_S5_week9	2475R_0_M_S5_week9	2475R_RL_M_S5_Pellet_week9	2475R_RL_M_S5_week5	2518R_0_M_S5_week5	2518R_0_M_S5_week9	2518R_L_M_S5_week10	2518R_R_M_S5_week10	3752R_0_F_S5_week10	3752R_L_F_S5_week10	3893R_RL_M_S5_week10	3893R_R_M_S5_week10	3924R_L_F_S5_week5	3924R_L_F_S5_week9	3929R_0_F_S5_week5	3929R_0_F_S5_week9	S5_defined_inocula	S5_defined_inocula.1	S5_inocula
ASPASN-PWY	4957.8106959706965	10788.833736263738	6855.289267399268	11105.731098901097	8733.975238095236	9264.049340659341	7250.595164835165	19977.080549450548	9447.200183150182	9871.344322344321	5553.823626373625	10916.033882783884	5370.854542124542	6348.4117582417575	13561.378498168498	12693.89941391941	6269.698205128206	12342.543479853479	7805.016520146519	11713.884945054944	11196.282564102563	10509.686190476192	9713.24553113553	9385.720293040293	10061.16695970696	11049.772637362636	9283.807399267396	12918.76824175824	12412.815384615385	10657.365421245422	17678.778534798537	10762.543736263737	10749.81666666667
AST-PWY	288.56666666666666	332.3777777777778	529.2111111111111	227.62222222222223	459.0444444444444	814.7666666666667	109.21111111111112	157.14444444444445	176.98888888888888	161.26666666666665	105.4	773.4888888888889	226.66666666666669	481.74444444444447	194.28888888888892	142.22222222222223	453.1777777777778	768.5666666666667	170.32222222222222	98.41111111111111	148.1	173.33333333333334	431.26666666666665	140.7888888888889	217.7777777777778	128.73333333333335	125.55555555555556	179.5222222222222	386.5111111111111	141.74444444444444	3905.711111111111	2563.177777777778	2091.266666666667
BIOTIN-BIOSYNTHESIS-PWY	1104.683328488372	4351.248226744186	6222.714811046511	9879.748517441858	5888.377412790698	6672.7631249999995	5353.200043604651	13844.964549418604	5945.916497093022	6674.1241569767435	4231.576308139534	7832.392587209302	888.6858139534884	4968.863415697674	9691.654447674418	7753.121860465117	1223.7841569767443	8211.68890988372	5332.4601017441855	7782.849985465116	7328.070566860464	6696.172325581395	5888.774215116278	4652.3561773255815	6407.1244186046515	6714.9667151162785	5853.3190116279075	8660.096904069767	10920.016482558138	3490.0458575581392	4906.917994186046	4273.805843023256	3932.358052325581
BRANCHED-CHAIN-AA-SYN-PWY	12553.036728052917	23891.03895122443	14686.763468052075	22328.875253915776	15053.642232813927	18040.34680729922	12092.16140991024	27356.104533125337	19336.605616406534	20041.221105332534	16337.138993552026	25466.212934605806	14058.171430956276	13493.140642220586	24558.632285317803	23917.66019366315	16732.09874794611	22590.99311745343	15924.897555913103	20589.082233551766	21492.270038878385	19203.422935660245	19294.23736943952	17348.323918267022	17538.580343601367	21491.147140933695	18193.66341767901	23807.65073129752	19070.105589375697	24832.389292865362	22325.956056783823	13264.363902384832	12757.40572717643
CALVIN-PWY	8177.09514446835	12171.044632934856	9109.678407146372	13218.771168008028	11108.081171522648	12267.346175446894	9051.277518253823	24051.38698011137	10902.705839885137	11792.233819679719	6411.926245227702	13983.162103862469	8286.440429045704	9431.332079887025	16060.404702884105	16218.503753000157	10041.10989567044	15604.548734295679	10175.973757938986	13237.608972136215	12204.24818467876	12094.538141886236	11146.882509185034	11071.143647475736	11868.114279577365	12635.365799574882	11379.787080050914	15346.136246668708	16389.56650285469	12806.480412932075	27989.50488714783	15407.297121093397	14341.986653092901
COA-PWY	8397.654285714287	18095.680000000004	11443.810000000001	18101.878571428573	10911.555714285712	13811.369999999999	8896.41	19221.38285714285	14700.45142857143	15026.429999999997	13041.810000000001	19295.888571428568	9671.105714285715	10121.014285714286	18619.22857142857	17961.09428571429	11342.364285714288	17055.99857142857	11817.86	15583.145714285714	16365.53142857143	14257.86857142857	14688.982857142857	12534.852857142856	13047.86	16068.318571428574	12983.23	17735.547142857144	14200.621428571429	18098.27857142858	17214.694285714286	10301.828571428572	10074.15142857143
COBALSYN-PWY	4498.403122877123	7441.677159840159	5505.860536463536	8272.029174825177	7165.716477522477	7237.57606093906	5972.69038861139	16075.566151848148	6867.565898101897	7432.489374625374	3995.1529999999993	8884.03387812188	4595.058541458541	5328.501305694306	10482.952538461539	9821.87323976024	5560.961254745255	10112.2785974026	6351.231940059939	8712.047919080918	8029.262116883117	7820.605954045953	7162.090003996004	6996.076637362637	7455.88805994006	8039.266954045954	7508.029460539461	10115.61431068931	10214.878197802196	8055.490131868132	12398.897524475524	7504.541612387612	6910.589984015984
COLANSYN-PWY	5889.2411764705885	11018.962745098039	7376.26339869281	10496.200653594773	5469.380392156863	7987.50522875817	4062.301960784314	5622.321568627451	8491.477777777778	8757.041830065358	9821.6	13331.21045751634	6779.2555555555555	6307.11568627451	9428.306535947713	9076.510457516339	8323.168627450981	9163.03202614379	6842.196732026144	7504.944444444445	8868.667320261438	7285.751633986929	8429.96862745098	6315.73725490196	6248.366013071895	8790.383660130718	7379.974509803922	9263.782352941178	5882.580392156863	11548.593464052288	4627.314379084967	3060.619607843137	2353.91568627451
COMPLETE-ARO-PWY	9896.159893438005	15772.478318926445	10139.963682701997	14214.454968802138	8840.332423509011	12190.327417885683	6961.322072405039	12234.869757036407	12214.31623359175	12861.01253558318	12164.772084264712	18271.575781869426	10911.846042988082	9623.147869984772	14263.374572195456	14721.268171992342	13584.616349919179	14439.564074027085	10478.635052163589	11595.520624354274	12836.737397375975	11392.780643061807	12035.051751662088	10237.325236666315	10106.507580760242	13214.495953462303	11585.182110110172	14089.028098369652	10369.823365225178	17027.001605153546	15495.667785643525	8546.142966881662	7282.843599816363
DAPLYSINESYN-PWY	4073.688540360559	6995.890256932401	3180.9393905978577	4399.081307365226	3824.869339029955	4993.823537440427	2499.354107418831	7915.076512137347	4864.347346366747	5036.165330545517	2749.1775663169246	5260.945031729749	4385.362476391392	3604.935566808822	5455.719006527284	6262.824451342492	5312.945061341412	5041.831366033924	3431.7653681293905	5066.376121103324	5306.305068879945	5105.8576508131755	5000.740881369925	5276.225608274103	5176.821857448078	5808.926564742558	4233.693874879798	5383.261709930438	4841.712071833032	6531.692495547249	19005.777002704832	10442.250755607882	10354.893960114525
DTDPRHAMSYN-PWY	14643.478093200914	30622.838864782283	18580.087327731097	29410.904536287242	20863.73082200153	23321.588844919796	16630.203038961037	42748.02228877006	25062.888773109244	25784.32789304814	18907.161802902978	31132.20209625669	16408.828754774637	16992.454256684494	33925.093446906045	32315.706056531708	18869.03722077922	30297.045779984725	20283.093934300996	28697.190872421696	28682.37486936593	25870.288959511083	25788.261428571433	23740.47526814362	24242.60555080214	28330.67751260504	23454.85130328495	32528.07436822002	27586.75278991597	30927.515194805193	31699.193905271193	19614.602721161194	19705.46312299465
ECASYN-PWY	278.26071428571424	320.5071428571428	510.3107142857143	219.49285714285716	442.65	785.6678571428571	105.31071428571428	151.53214285714287	170.66785714285712	155.50714285714284	101.63571428571429	745.8642857142856	218.57142857142856	464.5392857142857	187.35000000000002	137.14285714285714	436.99285714285713	741.1178571428571	164.2392857142857	94.89642857142856	142.81071428571428	167.14285714285714	415.8642857142857	135.76071428571427	210.0	124.13571428571429	121.07142857142857	173.11071428571427	372.70714285714286	136.68214285714285	3766.2214285714285	2471.635714285714	2016.5785714285714
ENTBACSYN-PWY	280.13662921348316	322.6678651685394	513.7510112359552	220.97258426966297	445.63415730337084	790.9644943820226	106.02067415730339	152.55370786516858	171.81842696629215	156.55550561797753	102.32089887640451	750.8925842696631	220.04494382022474	467.6710112359551	188.6130337078652	138.0674157303371	439.93887640449447	746.1141573033709	165.3465168539326	95.53617977528091	143.77348314606743	168.26966292134836	418.6678651685394	136.6759550561798	211.41573033707868	124.97258426966295	121.88764044943822	174.2777528089888	375.21977528089894	137.603595505618	3791.611685393259	2488.298426966293	2030.1734831460678
FAO-PWY	519.42	598.28	952.58	409.72	826.28	1466.58	196.58	282.86	318.58	290.28	189.72	1392.28	408.0	867.14	349.72	256.0	815.72	1383.42	306.58	177.14	266.58	312.0	776.28	253.42	392.0	231.72	226.0	323.14	695.72	255.14	7030.28	4613.72	3764.28
FASYN-ELONG-PWY	9214.05416657185	23705.911213903746	15746.67443315508	25378.5281886449	15730.333973262033	19079.0574489703	12838.495414040275	31246.462927864373	20588.62610387985	20887.673395721926	16539.886545454545	25075.17613687565	10803.103089202416	13359.057641711232	27112.581994766188	24806.924889179656	12162.349139037433	22808.07611229947	15983.602278074866	22843.88237364889	23570.104149732626	20620.363433155086	20441.976941176472	17813.518275457962	19155.615876664015	22729.49671498465	17908.122625668453	25441.407140630334	21787.163647058827	22764.15825588805	19096.60974729776	12223.348197860963	13532.18734873137
FASYN-INITIAL-PWY	338.75217391304346	390.18260869565216	621.2478260869566	267.20869565217396	538.8782608695652	956.4652173913043	128.20434782608697	184.47391304347826	207.7695652173913	189.31304347826085	123.7304347826087	908.0086956521739	266.0869565217391	565.5260869565218	228.07826086956524	166.95652173913044	531.9913043478261	902.2304347826088	199.94347826086957	115.52608695652174	173.85652173913041	203.47826086956522	506.2695652173913	165.27391304347825	255.65217391304347	151.12173913043478	147.3913043478261	210.74347826086955	453.7304347826087	166.39565217391305	4584.965217391305	3008.947826086957	2454.9652173913046
FERMENTATION-PWY	503.36839015108615	562.9882062201282	897.191707250776	438.7083009037988	757.1255731986319	1306.4383976261126	213.56600629714367	269.63198813056385	318.6955308401477	293.4715890094457	239.00559177294042	1243.6309746981676	391.00953496273814	836.1092377738012	347.5598174281379	292.3040129567128	760.2136752214195	1275.393575101366	316.4803379618094	207.06602894873944	288.4337662808345	300.5350148367953	709.2090379867262	261.81899381611436	371.57686048882147	255.57418669445266	271.17519106621063	314.9340308514735	755.5785403311666	269.69379029152606	7001.096016490362	4523.7387097651035	3605.564583776928
FOLSYN-PWY	1952.0894117647053	4862.544044117647	4566.844411764705	6901.300367647057	5509.946470588235	5476.56419117647	4361.056102941176	12304.15963235294	4977.04875	5219.354779411764	3048.1537499999995	6624.042132352941	1974.3862499999998	3883.1150735294113	8183.578676470587	6850.34713235294	2194.362352941176	7521.478014705881	4420.219411764705	6578.05125	6011.511617647057	5589.691544117645	5517.886102941176	4747.509705882352	5397.559632352941	5572.747058823528	4973.393161764706	7611.8113235294095	8156.205220588233	4687.197573529412	6646.034338235294	5023.162279411765	4564.340073529412
FUC-RHAMCAT-PWY	2729.3604740781493	2996.9145637889756	1950.3111869456386	2237.316619095383	2321.83676205311	2685.7778521053624	1522.3513667850323	4847.644808416406	2228.6245524976875	2594.027230777602	1329.218648242368	3283.860915256279	2649.585643374473	2288.4103398949774	2844.3558676025973	3208.655729565523	3413.7364374625895	2976.045175287044	1955.6189806551668	2442.754946977731	2310.807825746858	2437.975360504979	2394.371689543995	2596.942080070595	2546.7936930873298	2764.107430125409	2535.306118721772	2970.3008982645993	3159.495017140992	3283.7315624813364	7956.750958989696	4186.32809814296	3906.8664114806816
FUCCAT-PWY	7831.095714285714	12652.015714285715	8143.41	11561.0887012987	6857.062857142857	9361.566883116884	5104.712727272727	9863.966493506494	9791.757272727273	10361.56857142857	10102.011428571428	14667.367272727275	8619.213116883117	7576.821428571428	11210.826623376624	11312.39961038961	10546.937142857141	10584.83857142857	7981.087142857143	9183.8487012987	10184.172857142856	8859.908571428572	9624.954285714284	8215.527272727271	8052.428571428572	10638.516233766233	9085.895714285714	11223.58194805195	8152.874285714286	13676.079220779224	10176.101688311686	5124.412467532467	4831.941688311688
GALACT-GLUCUROCAT-PWY	4337.835882770316	4953.676428385472	3133.0847721078007	4215.744874226728	3510.4752289586895	4045.7810827625276	2430.901247353003	7977.958239663158	3623.706465846547	4345.27109451648	2343.382945896744	5101.431676587293	4255.149848527294	3745.8881950943996	4658.820102681583	5390.939000975164	5362.8309519258455	4714.79646162727	3126.687342336602	4017.863329155486	3795.764075568254	3910.3082517998387	3900.627445970251	4187.531848970412	4149.934205754544	4486.2995585063845	3944.843960468041	4795.388886020964	5213.416474540074	5301.603436804698	15616.770820732345	8279.958855659279	7458.997435837917
GALACTARDEG-PWY	797.6372043010753	1011.9930303030303	1204.0148484848485	769.016989247312	1232.6733333333332	2024.5231378299118	394.6884946236559	831.5481720430107	699.4808602150538	579.7533333333332	382.4790909090909	1768.3907135874879	741.589247311828	1174.8645454545456	636.6370967741937	663.6309384164223	1087.9866666666667	1667.2993939393941	572.4842424242424	440.12591397849457	495.2433333333333	560.1999999999999	1025.1466666666665	558.3209384164222	760.2545845552297	589.3530498533723	388.04848484848486	650.1519745845552	1265.7624242424245	721.5787096774193	12115.757829912021	6788.00623655914	6072.5851612903225
GALACTUROCAT-PWY	5705.7506534528275	8104.3381203257295	6699.907801224541	9906.825720961808	7409.236709329318	7905.310503739418	6041.825034458295	17518.454677930764	7654.7996456683395	8909.26700290048	4961.596705701705	9944.365402085836	5544.85653661958	6764.466251630817	11001.379281419064	10712.005145265362	6937.216711066711	9683.897392156954	6829.629655127482	9200.132125193648	8703.388412143415	8537.205069326808	7629.790263118523	7693.43078766644	8461.78062251758	9189.232961491003	8302.283008215618	10663.5861636029	12054.390204964116	8432.734352362611	15877.577688478996	9039.224441404007	8325.27503243938
GLCMANNANAUT-PWY	4556.847720214568	6101.304082439299	3153.1966713721063	3980.772984189723	4956.678430265387	4801.30793619424	3212.6953204404294	10628.848397797856	4355.220758046302	4523.381027667984	2231.590228684359	5915.911225296443	4686.770892151327	3626.297226143422	6279.965676171654	6485.261098249576	5438.574654150198	6383.378550254093	3763.0325127046863	5283.492348955392	4704.022388481085	4750.028246753247	5063.996266233767	5378.426336815358	4880.047673630717	5177.024950592885	4722.9619141727835	6462.319313946923	5726.599851778656	6945.112845849802	15418.447236024846	8271.443551665727	7890.7407396950875
GLUCARDEG-PWY	793.7298039215686	1011.1109523809524	1202.6652380952382	762.144817927171	1232.6733333333332	2002.191344537815	393.431568627451	819.2521568627451	690.518431372549	579.7533333333332	378.53000000000003	1761.0621288515408	732.4700280112046	1172.8385714285714	631.3088235294118	658.3547058823528	1087.9866666666667	1665.7409523809526	569.5761904761905	433.56803921568627	495.2433333333333	560.1999999999999	1025.1466666666665	549.6564705882353	749.8656582633054	580.1984033613445	385.8666666666667	639.3916246498599	1258.2819047619048	706.2223529411765	11662.463361344537	6606.636694677871	5855.166890756302
GLUCARGALACTSUPER-PWY	797.6372043010753	1011.9930303030303	1204.0148484848485	769.016989247312	1232.6733333333332	2024.5231378299118	394.6884946236559	831.5481720430107	699.4808602150538	579.7533333333332	382.4790909090909	1768.3907135874879	741.589247311828	1174.8645454545456	636.6370967741937	663.6309384164223	1087.9866666666667	1667.2993939393941	572.4842424242424	440.12591397849457	495.2433333333333	560.1999999999999	1025.1466666666665	558.3209384164222	760.2545845552297	589.3530498533723	388.04848484848486	650.1519745845552	1265.7624242424245	721.5787096774193	12115.757829912021	6788.00623655914	6072.5851612903225
GLUCONEO-PWY	6150.102935926532	12353.612946995716	7361.044132071995	11642.318443707827	9718.18401703712	10327.578129136466	7935.320379387087	21908.843233438332	10393.88454308729	10826.241716199129	6000.556691097608	12153.0171296571	6597.747614362833	7028.7764424342095	14827.636518874328	14187.98844285111	7835.067823450358	13792.205709919801	8638.673013288266	12902.287371638067	12263.549697723158	11627.545384677996	10775.75957782313	10631.711756122286	11129.939918270396	12306.758405879027	10452.042432246028	14266.06439847028	13361.876685596757	12436.533704121033	20375.346519560433	12162.138338795752	12215.177717558281
GLUCOSE1PMETAB-PWY	10957.82565079365	25596.561968253973	16463.553873015873	24877.800412698416	18144.43053968254	20708.540857142852	13458.390380952382	33992.78488888889	21024.359111111113	21025.061333333335	16425.88707936508	27419.079428571433	12509.780317460318	14217.825904761905	28124.210412698416	25585.919682539683	14253.91707936508	25848.43707936508	16539.185142857143	23510.473682539676	23888.497523809525	21116.6626984127	22183.67307936508	19105.579142857147	19782.619841269847	23099.407238095235	18724.37507936508	26874.799079365082	22788.195015873014	25159.487015873026	30528.498634920637	19691.302634920634	19210.995142857148
GLUCUROCAT-PWY	4318.195251736647	4989.345323113518	3167.212623846949	4282.816390861488	3537.4091655607667	4070.7299759613848	2413.5856048245514	7908.094026076751	3622.7782604904355	4341.695300721583	2374.6691373681756	5091.941773955198	4229.259581207007	3785.93325235367	4628.45171538727	5406.414290718546	5330.121121677163	4696.82911432103	3116.330864912107	3997.224615034835	3777.6812177081747	3888.7552847966194	3899.070137768336	4152.410918049382	4145.347688820423	4475.456750126594	3879.6981710723144	4748.405280960995	5298.4917565916285	5255.194907764969	16037.527758494398	8544.223338622629	7639.470832495035
GLUTORN-PWY	10912.844050538833	21360.662856660256	13190.252157021723	20054.945180906056	13202.888472348906	16195.25168203777	10596.637451775277	23401.48684267423	17247.205843721495	17812.230716192018	14801.823419479071	22773.877540961454	12291.602293841424	11985.216351812442	21668.484741056043	21075.054369446978	14689.42506097767	20023.831864126212	14079.326240329718	18201.279721631035	19161.931900273645	17012.153233336714	17179.372230667883	15217.263691767168	15498.165737306173	19099.557847032196	15984.779485828183	20938.805205905206	16704.560342555997	21923.70322691802	20307.129877031188	12187.419590216547	11717.888343299215
GLYCOCAT-PWY	11485.253510470808	22984.71038461339	14173.202559415127	22027.203719681234	14838.736041623855	17240.32994783296	12083.82761821406	27652.620026333378	18689.11439938246	19482.789340767078	15603.153762024696	24442.686528683396	12884.003764810464	12821.115945167783	24124.47063724647	23229.488336040402	15429.540885341532	22310.60971758271	15403.62015638984	20380.601456651286	21112.35962349119	18904.62705216549	18743.042815393972	16756.751405206945	17202.90079016685	20961.84978765574	17720.796560569255	23325.355682376812	19219.106941891852	23518.57543695579	19220.353054942396	12341.805129222248	11684.711415144035
GLYCOGENSYNTH-PWY	4048.1133882783893	4612.342686202687	2800.1919841269832	3301.1409523809525	3667.4076587301583	4634.64496031746	2970.651065323566	6595.862310744811	3518.1864743589736	3847.1682356532356	1865.8437301587303	4936.297554945056	4073.333485958486	3414.4487698412695	4606.881718559219	5514.619093406594	5392.559297924297	5707.66521978022	3583.924523809523	3921.4971978021977	3727.2543467643463	4032.5407814407818	3543.1185103785106	3788.8603205128206	3827.1217643467644	4220.498766788766	4079.1215048840045	4595.311269841271	4715.032512210012	5145.262704517704	14017.35082112332	7512.191654456656	6588.768632478633
GLYCOL-GLYOXDEG-PWY	296.8114285714285	341.8742857142857	544.3314285714285	234.12571428571428	472.15999999999997	838.0457142857142	112.33142857142857	161.6342857142857	182.04571428571427	165.8742857142857	108.41142857142856	795.5885714285714	233.14285714285714	495.5085714285714	199.84	146.28571428571428	466.12571428571425	790.5257142857142	175.1885714285714	101.22285714285712	152.33142857142855	178.28571428571428	443.5885714285714	144.81142857142856	224.0	132.41142857142856	129.14285714285714	184.65142857142854	397.5542857142857	145.7942857142857	4017.3028571428567	2636.4114285714286	2151.017142857143
GLYCOLYSIS	5668.975161356379	9523.40065260503	6974.237365038705	10511.236384684344	9060.226800292185	9264.201859953628	7522.9788640982415	20342.29845139496	8650.224411137728	9302.209043027038	5069.4562789573665	11281.765209901132	5782.5440884181735	6731.6190957456	13359.167752198256	12529.808655875258	7006.194534555952	12966.778885405456	7967.775149992895	11132.452484070182	10155.574633012924	9869.488866495922	9139.209340928477	8878.626763974662	9441.76784375927	10183.8971672512	9444.473599196455	12872.76551461404	12914.01808713245	10235.868695903087	15430.631736434776	9335.096200737109	8762.862942268732
GLYCOLYSIS-E-D	332.0881967213115	382.50688524590163	609.0265573770492	261.952131147541	528.2773770491804	937.6495081967213	125.68229508196723	180.8449180327869	203.68229508196723	185.58885245901638	121.29639344262296	890.1462295081967	260.8524590163935	554.4009836065574	223.5914754098361	163.672131147541	521.5259016393443	884.4816393442624	196.01016393442623	113.25344262295081	170.43639344262294	199.47540983606558	496.31016393442627	162.02262295081968	250.62295081967216	148.1488524590164	144.49180327868854	206.5977049180328	444.80459016393445	163.12229508196722	4494.769180327869	2949.755409836066	2406.6708196721315
GLYCOLYSIS-TCA-GLYOX-BYPASS	381.614693877551	439.5526530612245	699.8546938775511	301.01877551020414	607.0628571428572	1077.4873469387755	144.4261224489796	207.81551020408165	234.05877551020407	213.2669387755102	139.3861224489796	1022.8995918367348	299.7551020408163	637.0824489795918	256.9371428571429	188.08163265306123	599.3044897959185	1016.3902040816328	225.24244897959184	130.14367346938775	195.85469387755103	229.22448979591837	570.3281632653061	186.1861224489796	288.0	170.24326530612245	166.04081632653063	237.40897959183673	511.14122448979595	187.44979591836736	5165.103673469388	3389.6718367346944	2765.5934693877552
GLYOXYLATE-BYPASS	296.8114285714285	341.8742857142857	544.3314285714285	234.12571428571428	472.15999999999997	838.0457142857142	112.33142857142857	161.6342857142857	182.04571428571427	165.8742857142857	108.41142857142856	795.5885714285714	233.14285714285714	495.5085714285714	199.84	146.28571428571428	466.12571428571425	790.5257142857142	175.1885714285714	101.22285714285712	152.33142857142855	178.28571428571428	443.5885714285714	144.81142857142856	224.0	132.41142857142856	129.14285714285714	184.65142857142854	397.5542857142857	145.7942857142857	4017.3028571428567	2636.4114285714286	2151.017142857143
HCAMHPDEG-PWY	259.71	299.14	476.29	204.86	413.14	733.29	98.29	141.43	159.29	145.14	94.86	696.14	204.0	433.57	174.86	128.0	407.86	691.71	153.29	88.57	133.29	156.0	388.14	126.71	196.0	115.86	113.0	161.57	347.86	127.57	3515.14	2306.86	1882.14
